agri_cap_reference_year,agri_cap_country_iso2,agri_cap_region_nuts_code,agri_cap_farm_id_hash,agri_cap_farm_size_ha,agri_cap_farm_type_code,agri_cap_pillar_code,agri_cap_intervention_code,agri_cap_payment_amount_eur,agri_cap_payment_type_code,agri_cap_eco_scheme_flag,agri_cap_greening_requirement_flag,agri_cap_conditionality_noncompliance_flag,agri_cap_organic_farming_flag,agri_cap_natura2000_constraint_flag,agri_cap_young_farmer_support_flag,agri_cap_aecs_participation_flag,agri_cap_monitoring_satellite_flag,agri_cap_eu_funds_source,agri_cap_data_extract_date
2014,AT,PT349,2c5171850fc181caf5a8ef4b,57.19,ARABLE,PILLAR1_DIRECT_PAYMENTS,BISS,8135.08,ANNUAL,0,0,0,0,0,0,0,1,EAGF,2025-01-18
2015,CZ,DE325,bf6d87a6629829e66fc75084,26.86,PIGS_POULTRY,MIXED,INVESTMENT_AID,5410.5,TOP_UP,1,0,0,0,0,1,1,1,NATIONAL_TOPUP,2025-05-23
2016,DE,DE528,cf3cf5f00e9a5c3386023052,22.64,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,3519.08,RESULT_BASED,0,1,0,0,0,0,0,1,RRF_COFIN,2024-04-13
2017,LV,SE146,bc148592c79a7518b3034999,11.27,DAIRY,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,4289.79,LUMP_SUM,0,1,0,0,0,1,0,0,EAFRD,2024-12-18
2018,PL,LV29,8eba92b6ba518e33c410c87d,43.18,ORCHARD,MIXED,LESS_FAVOURED_AREA,13105.51,CO_FINANCED,0,1,0,0,0,0,1,1,EAGF,2025-09-15
2019,ES,PL283,625da82f6a8e6e1e76f10aad,54.46,OLIVE,PILLAR2_RURAL_DEVELOPMENT,CRISS,24229.97,ANNUAL,0,0,0,0,0,0,0,0,NATIONAL_TOPUP,2025-04-17
2020,HR,FR12,de1c190f1b90efa9c1ecc089,25.62,MIXED,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,9674.7,TOP_UP,1,0,0,1,0,0,1,1,RRF_COFIN,2025-06-30
2021,FI,MT510,6642af708cc765966d343f9d,44.31,OTHER,MIXED,AECM,10605.94,RESULT_BASED,1,0,1,1,0,0,1,1,EAFRD,2024-11-21
2022,IE,LT919,4b23f196ab885c2f71f657dc,11.45,SHEEP_GOAT,PILLAR2_RURAL_DEVELOPMENT,BISS,5504.75,LUMP_SUM,0,0,0,0,0,0,0,1,EAGF,2024-04-07
2023,MT,FR82,0f7486d237823873bd9572c0,10.17,HORTICULTURE,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,1747.22,CO_FINANCED,1,1,0,1,0,0,0,1,NATIONAL_TOPUP,2024-03-30
2024,SK,LT5,8ba94d2f21c5d48c81d09654,17.06,ARABLE,MIXED,ECO_SCHEME,9468.53,ANNUAL,1,1,0,0,0,0,0,0,RRF_COFIN,2026-02-02
2025,BE,MT97,1b1a333b2c8fb01a3c2ef96a,45.8,PIGS_POULTRY,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,8126.36,TOP_UP,1,0,1,0,0,1,0,1,EAFRD,2025-03-06
2026,DK,NL24,0c63be0ea97106daa11bcd53,10.36,VINEYARD,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,4617.75,RESULT_BASED,0,1,0,0,0,0,1,0,EAGF,2024-01-22
2014,GR,SK91,b8d4b881cf70e0c955ec3498,8.97,DAIRY,MIXED,CRISS,4184.7,LUMP_SUM,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2025-08-09
2015,LT,SE6,80c7ab333b411c588413771d,13.04,ORCHARD,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,2406.66,CO_FINANCED,0,1,0,0,0,0,0,1,RRF_COFIN,2025-06-12
2016,PT,HU1,1198975dfdc7379cf4883dc7,43.65,OLIVE,PILLAR1_DIRECT_PAYMENTS,AECM,7698.04,ANNUAL,1,0,0,0,0,0,1,1,EAFRD,2025-06-22
2017,SE,LT966,ea03cf6156f77dcb62c0460f,26.92,MIXED,MIXED,BISS,7983.82,TOP_UP,0,1,0,0,0,0,0,0,EAGF,2024-06-28
2018,CY,BE5,f333bc609ba43fc382422efd,45.14,OTHER,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,11325.44,RESULT_BASED,0,1,0,0,0,1,0,1,NATIONAL_TOPUP,2025-01-25
2019,FR,FI550,92d9b4a3512d641f008faead,20.06,SHEEP_GOAT,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,4540.99,LUMP_SUM,1,1,0,0,0,0,1,0,RRF_COFIN,2025-02-22
2020,IT,CY4,031cea344bf63ec9a3a09e62,45.66,HORTICULTURE,MIXED,YOUNG_FARMERS,16946.4,CO_FINANCED,1,0,0,0,0,1,0,0,EAFRD,2025-05-24
2021,NL,SE4,5b52c5d98c43de8612f67614,12.81,ARABLE,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,4239.82,ANNUAL,1,1,0,0,0,0,1,0,EAGF,2025-08-24
2022,SI,LU737,22bfc956b701101923c8781b,27.58,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,CRISS,7689.64,TOP_UP,0,0,0,0,0,0,1,1,NATIONAL_TOPUP,2024-04-11
2023,BG,AT28,f6eb6571769481f195cacc77,38.36,VINEYARD,MIXED,RISK_MANAGEMENT,4209.43,RESULT_BASED,0,1,1,0,0,0,0,1,RRF_COFIN,2025-02-10
2024,EE,LU8,f3ad453d13e96204088f167c,38.7,DAIRY,PILLAR2_RURAL_DEVELOPMENT,AECM,7746.36,LUMP_SUM,1,0,0,0,1,0,0,1,EAFRD,2025-08-01
2025,HU,ES655,be55a4f30064ca7d1fcf5446,28.74,ORCHARD,PILLAR1_DIRECT_PAYMENTS,BISS,8734.86,CO_FINANCED,0,1,0,0,1,0,0,0,EAGF,2024-07-05
2026,LU,DE440,d4c83a926d530b644ba8255c,27.96,OLIVE,MIXED,INVESTMENT_AID,10533.72,ANNUAL,0,0,0,0,0,1,0,1,NATIONAL_TOPUP,2024-12-14
2014,RO,DK3,79ad15c2161db9a55cbf5c76,17.35,MIXED,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,2642.27,TOP_UP,1,0,0,0,0,0,0,1,RRF_COFIN,2025-10-31
2015,AT,DE895,5da8950a4f426313f91d305b,28.74,OTHER,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,10327.43,RESULT_BASED,0,1,0,0,0,1,0,1,EAFRD,2024-01-22
2016,CZ,IE53,d204a995f4c39862ac30b575,82.66,SHEEP_GOAT,MIXED,LESS_FAVOURED_AREA,19279.02,LUMP_SUM,0,1,0,0,0,0,1,1,EAGF,2025-07-22
2017,DE,MT68,80ca06719804575d6a00c1dd,20.56,HORTICULTURE,PILLAR2_RURAL_DEVELOPMENT,CRISS,4131.57,CO_FINANCED,1,0,0,0,0,0,1,1,NATIONAL_TOPUP,2024-04-23
2018,LV,NL82,08a4373468bdc58f95d7e99b,67.75,ARABLE,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,9445.43,ANNUAL,0,1,0,0,0,0,0,0,RRF_COFIN,2025-07-18
2019,PL,ES22,73900d3763541c5b0f619ec1,21.48,PIGS_POULTRY,MIXED,AECM,10625.32,TOP_UP,1,0,0,0,0,0,0,1,EAFRD,2026-02-06
2020,ES,FR3,473212a9beb88edeb690f3dd,13.06,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,BISS,4674.45,RESULT_BASED,0,1,0,0,0,0,0,1,EAGF,2025-07-28
2021,HR,HR5,9ab312bc9b856fc4f4a60493,24.51,DAIRY,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,11146.47,LUMP_SUM,1,1,0,0,1,0,0,1,NATIONAL_TOPUP,2026-02-09
2022,FI,MT90,54cf2fda3506cbeb965dc6a0,31.74,ORCHARD,MIXED,ECO_SCHEME,10175.05,CO_FINANCED,1,1,0,1,0,0,1,1,RRF_COFIN,2025-10-03
2023,IE,SI88,8d72f1b415ccb5b740e9532f,34.62,OLIVE,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,18488.07,ANNUAL,0,1,0,0,1,1,0,0,EAFRD,2024-10-02
2024,MT,FR26,26f7f67f39dcc9efd59f6711,51.55,MIXED,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,12754.0,TOP_UP,0,1,0,0,0,0,0,0,EAGF,2025-04-01
2025,SK,CZ357,9c186457fe3709c37f6de41f,30.37,OTHER,MIXED,CRISS,8036.23,RESULT_BASED,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2024-07-18
2026,BE,SK19,77c8ee9314ab2a99ca0af0b6,32.28,SHEEP_GOAT,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,6691.09,LUMP_SUM,0,0,0,0,0,0,0,0,RRF_COFIN,2025-08-27
2014,DK,LT161,d15cf677208a92efc2ddac70,28.32,HORTICULTURE,PILLAR1_DIRECT_PAYMENTS,AECM,9558.22,CO_FINANCED,1,1,0,0,0,0,0,1,EAFRD,2024-02-05
2015,GR,NL55,625433c150de49ee3008fdb8,10.08,ARABLE,MIXED,BISS,1815.17,ANNUAL,0,1,0,0,0,0,1,0,EAGF,2025-01-23
2016,LT,GR996,b13596f7a0f5ec6725145876,17.42,PIGS_POULTRY,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,4079.1,TOP_UP,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2025-08-17
2017,PT,CY6,39863b98c06a46d6218bcdde,29.77,VINEYARD,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,14633.05,RESULT_BASED,1,1,0,0,0,0,1,1,RRF_COFIN,2024-05-13
2018,SE,IE24,24496fa87352be9fc39ce96c,20.82,DAIRY,MIXED,YOUNG_FARMERS,6762.6,LUMP_SUM,0,1,0,0,0,1,0,1,EAFRD,2024-04-08
2019,CY,IT506,3fba48da7d53eeea9bde4116,95.97,ORCHARD,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,31439.16,CO_FINANCED,0,1,0,0,0,0,0,1,EAGF,2024-11-23
2020,FR,IE933,dcba4601e292819b078ffc56,15.87,OLIVE,PILLAR1_DIRECT_PAYMENTS,CRISS,7169.25,ANNUAL,0,1,0,0,0,1,1,0,NATIONAL_TOPUP,2024-02-24
2021,IT,MT567,1f82f30913eef6e9e686ef74,15.23,MIXED,MIXED,RISK_MANAGEMENT,3692.78,TOP_UP,0,1,0,0,0,0,1,0,RRF_COFIN,2024-10-02
2022,NL,LV892,bf82abb266004545d72882c1,23.38,OTHER,PILLAR2_RURAL_DEVELOPMENT,AECM,4927.61,RESULT_BASED,1,1,0,0,0,0,1,1,EAFRD,2024-11-10
2023,SI,LV621,e3ab9f52537a52bbd662bd01,16.49,SHEEP_GOAT,PILLAR1_DIRECT_PAYMENTS,BISS,7687.3,LUMP_SUM,1,1,0,0,0,0,0,0,EAGF,2025-05-11
2024,BG,SI86,55977cf657be4ffac871ca09,26.41,HORTICULTURE,MIXED,INVESTMENT_AID,8522.85,CO_FINANCED,0,1,0,1,0,0,0,1,NATIONAL_TOPUP,2024-03-10
2025,EE,SE778,2965da521eb280ffc1042d6c,12.21,ARABLE,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,4444.4,ANNUAL,1,1,0,0,0,0,0,1,RRF_COFIN,2025-03-25
2026,HU,DK506,b64e1516b3ba0fc67e4d3090,14.91,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,5834.39,TOP_UP,0,1,0,0,1,1,0,1,EAFRD,2024-09-13
