agri_crops_harvest_year,agri_crops_country_iso2,agri_crops_region_nuts_code,agri_crops_crop_code,agri_crops_area_harvested_ha,agri_crops_production_tonnes,agri_crops_yield_t_per_ha,agri_crops_irrigated_area_ha,agri_crops_input_fertiliser_kg_per_ha,agri_crops_input_pesticide_kg_per_ha,agri_crops_seed_type_code,agri_crops_gmo_flag,agri_crops_extreme_weather_event_code,agri_crops_soil_moisture_index,agri_crops_market_price_eur_per_t,agri_crops_storage_capacity_tonnes,agri_crops_supply_chain_disruption_flag,agri_crops_eurostat_table_code,agri_crops_methodology_version,agri_crops_data_extract_date
2010,AT,PT349,WHEAT,314.39,2299.13,7.313,156.63,144.54,5.018,CONVENTIONAL,0,NONE,0.3314,908.01,3963.44,0,apro_cpsh1,CROPS_2022A,2024-01-23
2011,EE,CZ66,SUGAR_BEET,357.59,15207.59,42.528,190.84,75.51,3.707,HYBRID,0,HAIL,0.1691,804.82,14713.25,0,prc_hicp_midx,CROPS_2025D,2024-07-05
2012,IT,NL149,SOY,285.57,601.41,2.106,104.63,183.4,7.353,DROUGHT_TOLERANT,1,FLOOD,0.1931,179.01,975.6,0,aei_pr_gnb,CROPS_2024C,2024-10-22
2013,PT,HU59,MAIZE,366.83,3348.79,9.129,121.13,72.01,3.868,CERTIFIED,1,WILDFIRE,0.9358,330.62,7626.35,0,apro_cpshr,CROPS_2023B,2025-12-28
2014,BE,LV1,TOMATO,1190.05,72301.49,60.755,363.98,152.0,6.237,ORGANIC,0,FROST,0.6591,227.4,60265.83,0,apro_cpnh1,CROPS_2022A,2025-01-30
2015,FI,SK781,RYE,661.28,2718.52,4.111,259.63,28.25,2.799,CONVENTIONAL,0,DROUGHT,0.6483,728.34,3518.78,0,apro_cpsh1,CROPS_2025D,2026-01-25
2016,LV,SI61,SUNFLOWER,2625.02,6990.43,2.663,580.15,125.08,5.466,HYBRID,0,STORM,0.2934,426.16,11057.83,0,prc_hicp_midx,CROPS_2024C,2024-02-14
2017,RO,FR537,GRAPES,442.84,4505.01,10.173,116.47,132.95,0.687,DROUGHT_TOLERANT,0,HEATWAVE,0.4912,779.31,2485.64,0,aei_pr_gnb,CROPS_2023B,2026-02-20
2018,BG,PT26,BARLEY,666.52,3841.15,5.763,194.27,200.75,5.899,CERTIFIED,0,NONE,0.2801,879.86,4690.66,0,apro_cpshr,CROPS_2022A,2024-05-13
2019,FR,MT97,POTATO,755.61,12560.51,16.623,377.71,117.29,4.486,ORGANIC,0,HAIL,0.1713,439.22,30742.15,0,apro_cpnh1,CROPS_2025D,2024-03-30
2020,LT,EE341,OATS,773.22,1623.76,2.1,401.07,104.82,2.062,CONVENTIONAL,0,FLOOD,0.5315,345.4,3943.79,0,apro_cpsh1,CROPS_2024C,2024-12-30
2021,SK,CZ48,RAPESEED,64.66,119.17,1.843,8.36,82.8,2.952,HYBRID,0,WILDFIRE,0.1126,405.91,75.34,0,prc_hicp_midx,CROPS_2023B,2024-12-07
2022,HR,LT76,OLIVES,343.18,674.35,1.965,45.49,102.84,2.157,DROUGHT_TOLERANT,0,FROST,0.1154,439.76,388.13,0,aei_pr_gnb,CROPS_2022A,2024-04-17
2023,DE,DE56,WHEAT,167.63,954.49,5.694,30.23,44.31,6.983,CERTIFIED,0,DROUGHT,0.8327,259.1,941.97,0,apro_cpshr,CROPS_2025D,2025-01-11
2024,LU,HU79,SUGAR_BEET,106.29,6323.62,59.494,54.27,41.72,7.244,ORGANIC,0,STORM,0.696,833.52,8962.14,0,apro_cpnh1,CROPS_2024C,2024-07-24
2025,SI,BE200,SOY,1172.66,4187.57,3.571,634.45,176.95,4.375,CONVENTIONAL,0,HEATWAVE,0.5443,888.28,7378.09,0,apro_cpsh1,CROPS_2023B,2025-02-23
2026,CY,HR857,MAIZE,307.79,2952.32,9.592,184.06,36.71,6.363,HYBRID,0,NONE,0.7957,112.99,4209.72,1,prc_hicp_midx,CROPS_2022A,2024-12-25
2010,GR,HU621,TOMATO,533.19,30801.85,57.769,191.01,222.98,5.538,DROUGHT_TOLERANT,0,HAIL,0.5419,728.33,66388.7,0,aei_pr_gnb,CROPS_2025D,2025-05-23
2011,MT,AT28,RYE,657.66,3041.68,4.625,304.45,85.64,1.789,CERTIFIED,0,FLOOD,0.6022,706.45,5915.34,0,apro_cpshr,CROPS_2024C,2025-08-26
2012,ES,SK11,SUNFLOWER,798.43,1473.9,1.846,398.31,173.57,7.242,ORGANIC,0,WILDFIRE,0.515,789.94,1504.71,0,apro_cpnh1,CROPS_2023B,2025-01-29
2013,CZ,EE8,GRAPES,104.44,822.36,7.874,10.74,198.91,6.457,CONVENTIONAL,0,FROST,0.5176,581.07,1841.59,0,apro_cpsh1,CROPS_2022A,2024-09-29
