agri_foodprices_reference_month,agri_foodprices_country_iso2,agri_foodprices_region_nuts_code,agri_foodprices_coicop_food_code,agri_foodprices_food_price_index,agri_foodprices_farmgate_price_index,agri_foodprices_wholesale_price_index,agri_foodprices_retail_price_index,agri_foodprices_price_spread_index,agri_foodprices_energy_cost_index,agri_foodprices_freight_cost_index,agri_foodprices_packaging_cost_index,agri_foodprices_stock_to_use_ratio,agri_foodprices_import_dependency_pct,agri_foodprices_food_waste_kg_per_capita,agri_foodprices_supply_chain_disruption_flag,agri_foodprices_food_insecurity_rate_pct,agri_foodprices_eurostat_table_code,agri_foodprices_methodology_version,agri_foodprices_data_extract_date
2018-01,AT,PT349,CP011,80.129,66.061,88.244,78.785,15.879,71.145,73.413,78.619,0.3108,57.97,159.82,0,14.54,prc_hicp_midx,FOODPR_2022A,2025-06-27
2018-02,EE,CZ66,CP0115,80.897,76.606,89.948,88.008,14.094,72.198,77.127,78.986,0.2424,61.92,99.35,0,5.87,apri_pi10_out,FOODPR_2025D,2024-07-23
2018-03,IT,NL149,CP011,80.0,76.37,78.221,86.923,13.191,71.611,76.923,78.012,0.1735,67.24,151.46,1,2.07,food_prc_idx,FOODPR_2024C,2024-09-27
2018-04,PT,HU59,CP0115,80.549,77.625,74.289,91.104,16.734,71.543,76.72,78.991,0.4073,55.76,155.71,0,9.92,prc_hicp_manr,FOODPR_2023B,2025-09-10
2018-05,BE,LV1,CP011,82.093,78.456,87.519,89.934,13.982,72.953,77.402,81.132,0.3835,60.66,77.47,0,18.53,apro_fish_a,FOODPR_2022A,2024-11-09
2018-06,FI,SK781,CP0115,81.393,73.123,83.072,95.941,28.034,73.11,78.43,81.526,0.3373,62.97,98.45,0,11.42,prc_hicp_midx,FOODPR_2025D,2024-10-01
2018-07,LV,SI61,CP011,83.547,67.484,79.634,89.27,26.076,75.597,80.076,81.803,0.4013,70.87,59.6,0,2.02,apri_pi10_out,FOODPR_2024C,2025-09-16
2018-08,RO,FR537,CP0115,83.05,84.328,84.778,96.329,14.45,75.453,80.624,81.147,0.3227,63.05,82.5,0,11.7,food_prc_idx,FOODPR_2023B,2025-11-17
2018-09,BG,PT26,CP011,83.912,73.012,92.369,91.807,22.398,76.722,79.987,82.056,0.1383,18.21,104.18,0,5.34,prc_hicp_manr,FOODPR_2022A,2026-01-22
2018-10,FR,MT97,CP0115,83.487,72.978,80.178,98.348,30.388,78.208,81.022,81.638,0.4452,21.26,53.02,0,8.37,apro_fish_a,FOODPR_2025D,2024-04-26
