agri_livestock_reference_year,agri_livestock_country_iso2,agri_livestock_region_nuts_code,agri_livestock_species_code,agri_livestock_herd_count,agri_livestock_slaughtered_count,agri_livestock_meat_production_tonnes,agri_livestock_milk_production_tonnes,agri_livestock_egg_production_million,agri_livestock_feed_price_index,agri_livestock_veterinary_medicines_use_index,agri_livestock_antimicrobial_use_mg_pcu,agri_livestock_notifiable_disease_code,agri_livestock_outbreak_count,agri_livestock_animal_welfare_compliance_flag,agri_livestock_carbon_footprint_tco2e,agri_livestock_manure_management_type,agri_livestock_eurostat_table_code,agri_livestock_data_source,agri_livestock_data_extract_date
2010,AT,PT349,BOVINE,400,326,67.62,1512.6,0.0,74.468,70.339,35.34,NONE,0,1,1407.85,LAGOON,apro_mt_lscatl,EUROSTAT,2025-12-26
2011,CZ,DE325,PIGS,716,608,47.65,0.0,0.0,76.402,69.259,38.43,BRUCELLOSIS,2,1,1183.95,OTHER,agr_r_animal,ECDC_ZOONOSES,2025-03-26
2012,DE,DE528,SHEEP,796,1067,23.83,2185.28,0.0,74.944,71.084,126.27,AVIAN_INFLUENZA,3,1,680.85,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2024-05-15
2013,LV,SE146,GOATS,178,62,1.69,310.9,0.0,75.526,70.958,191.85,TB,4,1,111.48,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-08-26
2014,PL,LV29,POULTRY,644,646,1.26,0.0,2.685,77.636,71.645,93.23,BSE,5,1,3.64,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-04-15
2015,ES,PL283,EQUINE,620,786,49.43,0.0,0.0,78.052,71.061,159.52,ASF,6,1,629.35,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2026-01-31
2016,HR,FR12,BOVINE,877,1093,253.44,5077.81,0.0,78.163,71.264,140.02,BLUETONGUE,7,0,3383.73,LAGOON,agr_r_animal,ECDC_ZOONOSES,2025-04-28
2017,FI,MT510,PIGS,623,461,53.59,0.0,0.0,78.158,72.299,58.26,FMD,8,0,358.78,OTHER,apro_mk_pobta,EFSA,2024-03-06
2018,IE,LT919,SHEEP,667,293,6.52,1059.91,0.0,77.918,73.124,120.8,NONE,0,1,781.71,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-03-24
2019,MT,FR82,GOATS,967,584,9.08,229.23,0.0,77.844,72.419,30.08,BRUCELLOSIS,10,1,302.77,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2024-01-06
2020,SK,LT5,POULTRY,328,587,1.4,0.0,1.544,78.396,72.591,215.97,AVIAN_INFLUENZA,11,1,9.58,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2024-10-04
2021,BE,MT97,EQUINE,227,192,18.03,0.0,0.0,78.941,73.734,156.7,TB,12,1,286.48,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-08-21
2022,DK,NL24,BOVINE,897,961,198.37,506.56,0.0,80.032,75.344,212.01,BSE,1,1,1706.07,LAGOON,apro_mk_pobta,EFSA,2025-08-17
2023,GR,SK91,PIGS,813,525,54.79,0.0,0.0,79.517,74.154,155.79,ASF,2,0,441.11,OTHER,apro_mk_pobta,FARM_REPORTING,2024-04-04
2024,LT,SE6,SHEEP,629,528,11.64,3304.76,0.0,80.281,76.066,81.67,BLUETONGUE,3,1,1625.97,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-02-07
2025,PT,HU1,GOATS,647,585,14.64,3453.82,0.0,80.777,75.968,112.36,FMD,4,1,2371.99,COMPOSTING,apro_mt_lscatl,EUROSTAT,2025-02-20
