agri_nutrition_reference_year,agri_nutrition_country_iso2,agri_nutrition_region_nuts_code,agri_nutrition_age_group,agri_nutrition_sex,agri_nutrition_bmi_category,agri_nutrition_obesity_rate_pct,agri_nutrition_fruit_veg_intake_servings_day,agri_nutrition_ultra_processed_food_share_pct,agri_nutrition_food_desert_index,agri_nutrition_school_meal_program_flag,agri_nutrition_front_of_pack_label_scheme_code,agri_nutrition_sugar_sweetened_tax_flag,agri_nutrition_salt_reduction_policy_flag,agri_nutrition_breastfeeding_rate_pct,agri_nutrition_household_food_insecurity_rate_pct,agri_nutrition_nutri_score_distribution,agri_nutrition_ehis_table_code,agri_nutrition_data_source,agri_nutrition_data_extract_date
2010,AT,PT349,0-4,M,UNDERWEIGHT,31.05,2.52,50.88,0.4465,1,NUTRI_SCORE,0,1,68.68,2.51,A:0.25;B:0.12;C:0.21;D:0.21;E:0.21,hlth_ehis_bm1e,EHIS,2025-07-04
2011,CZ,DE325,65+,T,NORMAL,20.66,3.54,52.83,0.9284,1,NONE,0,0,28.3,4.18,A:0.23;B:0.21;C:0.35;D:0.2;E:0.01,hlth_ehis_dn1e,ECDC_NUTRITION,2024-04-10
2012,DE,DE528,50-64,F,OVERWEIGHT,22.25,2.65,21.86,0.7769,1,TRAFFIC_LIGHTS,1,1,66.8,1.5,A:0.35;B:0.24;C:0.17;D:0.1;E:0.14,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-09-09
2013,LV,SE146,35-49,M,OBESE,32.76,5.04,55.26,0.1985,0,BATTERY_LABEL,0,0,28.21,1.72,A:0.1;B:0.31;C:0.13;D:0.12;E:0.34,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-01-18
2014,PL,LV29,20-34,T,UNDERWEIGHT,13.86,1.43,53.81,0.3121,1,NORDIC_KEYHOLE,1,0,24.09,3.13,A:0.18;B:0.21;C:0.22;D:0.14;E:0.25,hlth_ehis_sk1e,WHO_EURO,2025-07-03
2015,ES,PL283,15-19,F,NORMAL,15.41,5.32,49.41,0.4295,1,KEYHOLE,1,1,53.76,17.79,A:0.2;B:0.16;C:0.31;D:0.12;E:0.21,hlth_ehis_bm1e,EHIS,2026-01-19
2016,HR,FR12,10-14,M,OVERWEIGHT,22.76,5.14,34.63,0.6732,1,NUTRI_SCORE,0,1,64.09,17.54,A:0.35;B:0.12;C:0.27;D:0.2;E:0.06,hlth_ehis_dn1e,ECDC_NUTRITION,2025-04-02
2017,FI,MT510,5-9,T,OBESE,8.84,5.35,59.48,0.1459,0,NONE,1,1,42.6,12.52,A:0.34;B:0.22;C:0.18;D:0.07;E:0.19,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2026-01-03
2018,IE,LT919,0-4,F,UNDERWEIGHT,4.61,2.55,10.72,0.43,1,TRAFFIC_LIGHTS,0,0,63.63,16.83,A:0.34;B:0.13;C:0.23;D:0.06;E:0.24,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-04-09
2019,MT,FR82,65+,M,NORMAL,19.03,6.46,18.37,0.2642,1,BATTERY_LABEL,0,1,30.79,5.24,A:0.27;B:0.24;C:0.28;D:0.2;E:0.0,hlth_ehis_sk1e,WHO_EURO,2024-12-28
