biz_demog_reference_year,biz_demog_country_iso2,biz_demog_region_nuts_code,biz_demog_nace_section,biz_demog_enterprise_size_class,biz_demog_enterprises_active_count,biz_demog_births_count,biz_demog_deaths_count,biz_demog_survival_rate_1y_pct,biz_demog_survival_rate_3y_pct,biz_demog_employment_total,biz_demog_turnover_total_eur,biz_demog_value_added_total_eur,biz_demog_high_growth_enterprise_count,biz_demog_scaleup_count,biz_demog_business_register_source,biz_demog_missing_data_flag,biz_demog_data_revision_round,biz_demog_eurostat_table_code,biz_demog_data_extract_date
2010,AT,DK733,A,MICRO,712,57,87,59.01,46.78,2182,475331486.16,158583330.62,6,1,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-12-11
2011,EE,HU4,F,LARGE,872,121,32,57.46,48.81,2210,579336944.35,224532566.15,4,0,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-09-27
2012,IT,HR765,K,MEDIUM,628,76,57,80.55,61.38,8802,520590794.69,213428409.99,3,1,VAT_REGISTER,1,SECOND,bd_9bd_sz_cl_r2e,2024-11-21
2013,PT,MT15,P,SMALL,1012,41,83,79.86,52.37,15834,4298291846.71,1659535640.98,3,1,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2024-02-07
2014,BE,AT9,U,MICRO,547,73,34,94.79,60.05,9316,2329364982.88,925532091.06,10,5,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-01-05
2015,FI,RO93,E,LARGE,1087,123,74,85.43,52.73,19192,2916656325.98,872579082.76,9,2,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2025-12-18
2016,LV,CY288,J,MEDIUM,513,15,12,57.38,37.57,3784,344330436.62,173500248.49,8,1,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-05-13
2017,RO,LT1,O,SMALL,854,114,96,72.54,64.29,13704,2571895578.64,727646551.31,5,2,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-11-10
2018,BG,AT5,T,MICRO,1065,62,106,80.47,63.95,10749,2703888064.49,1049670103.39,5,0,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2025-02-04
2019,FR,NL69,D,LARGE,654,94,79,91.08,57.14,9006,1096550231.29,354679973.98,3,0,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-03-06
2020,LT,MT458,I,MEDIUM,678,69,89,66.52,53.59,4845,526309592.07,116011542.77,2,0,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2025-03-09
2021,SK,SE49,N,SMALL,658,78,33,72.28,60.15,7171,1346167626.28,576948324.66,10,5,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2026-02-06
2022,HR,PT98,S,MICRO,536,32,52,94.51,68.77,9096,1688238092.61,684679532.92,5,1,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2025-10-12
2023,DE,LV75,C,LARGE,1089,56,88,58.05,44.47,10457,645010079.06,234751632.81,13,2,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-02-15
2024,LU,SI9,H,MEDIUM,681,83,80,93.11,61.8,10377,840632440.5,186443869.93,4,0,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-06-18
2025,SI,EE91,M,SMALL,1021,105,30,58.49,28.65,17388,4525611100.03,1646215571.18,9,2,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-02-09
2026,CY,SI8,R,MICRO,873,30,21,64.7,46.66,8382,813668154.75,337701546.68,16,2,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-10-31
2010,GR,DE2,B,LARGE,894,50,34,63.42,41.64,1879,259325970.34,126498504.05,5,1,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2024-10-10
2011,MT,SE4,G,MEDIUM,918,56,124,71.8,52.39,11711,3372433195.01,1348117384.45,2,0,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2024-09-09
2012,ES,BG41,L,SMALL,613,20,36,68.14,35.21,5350,1167320152.11,503069710.27,8,3,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2026-01-08
2013,CZ,HU1,Q,MICRO,972,104,76,62.62,28.51,15504,4747575016.09,1551542845.32,18,10,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-05-21
2014,HU,CZ3,A,LARGE,885,108,59,74.94,51.65,3251,859259497.35,393875684.04,13,4,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2024-11-13
2015,NL,IE6,F,MEDIUM,695,37,93,70.23,50.62,9218,485798887.88,187813875.73,6,1,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-11-21
2016,SE,GR8,K,SMALL,1067,106,107,87.04,52.46,8583,2382025403.86,1219293838.91,14,4,MIXED_SOURCE,1,BENCHMARK,bd_9bd_sz_cl_r2d,2024-06-19
2017,DK,FR185,P,MICRO,777,79,101,63.02,36.65,8559,2213088356.37,789555828.99,6,3,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2024-10-06
2018,IE,NL8,U,LARGE,1037,59,129,65.17,39.37,17995,985644162.35,420241052.53,15,6,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2025-08-22
2019,PL,HR578,E,MEDIUM,1104,62,136,86.68,61.25,6528,918245146.33,381394683.33,18,8,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-12-22
2020,AT,HR401,J,SMALL,566,89,22,87.04,75.89,8415,1474338502.93,638816784.33,5,1,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-05-03
2021,EE,SI621,O,MICRO,605,24,71,61.92,47.42,1922,158657524.42,39308345.33,5,2,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2025-05-02
2022,IT,ES151,T,LARGE,700,59,74,63.26,46.67,3391,469946992.97,242080191.91,5,1,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-09-23
2023,PT,LV261,D,MEDIUM,1035,56,128,88.52,71.61,12556,1559922517.22,431418442.12,18,6,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-04-12
2024,BE,IT3,I,SMALL,722,58,14,86.47,62.32,11222,1687654838.24,874875131.39,3,1,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2024-02-16
2025,FI,PT29,N,MICRO,841,40,108,61.25,49.25,2651,177444469.38,73939676.83,2,0,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2025-03-05
2026,LV,CZ17,S,LARGE,1042,157,47,77.38,59.04,18411,3554950398.01,1812159770.25,20,10,MIXED_SOURCE,1,FIRST,bd_9bd_sz_cl_r2d,2025-02-17
