biz_indprod_reference_month,biz_indprod_country_iso2,biz_indprod_region_nuts_code,biz_indprod_nace_2_digit,biz_indprod_production_index,biz_indprod_turnover_index,biz_indprod_new_orders_index,biz_indprod_capacity_utilisation_pct,biz_indprod_energy_intensity_kwh_per_eur,biz_indprod_labor_productivity_index,biz_indprod_export_share_pct,biz_indprod_import_dependency_pct,biz_indprod_supply_chain_disruption_flag,biz_indprod_short_time_work_scheme_flag,biz_indprod_carbon_intensity_tco2e_per_eur,biz_indprod_ets_covered_flag,biz_indprod_state_aid_received_eur,biz_indprod_eurostat_table_code,biz_indprod_revision_round,biz_indprod_data_extract_date
2018-01,AT,DK733,10,71.007,71.283,70.024,88.88,2.5149,75.909,22.71,82.35,0,0,0.009906,1,153976.59,sts_inpr_m,FLASH,2025-12-07
2018-02,CZ,PT3,17,69.906,69.185,61.501,76.79,2.4229,74.614,77.47,26.67,1,0,0.00604,0,36339066.9,sts_inpp_m,FIRST,2025-12-15
2018-03,DE,PL96,24,71.602,67.182,66.035,62.79,3.5659,75.341,42.03,14.32,0,0,0.007349,0,7725253.42,sts_inod_m,SECOND,2024-04-11
2018-04,LV,MT29,31,70.535,71.313,69.963,70.51,0.6073,76.355,59.82,73.64,0,0,0.007576,1,10835333.63,sts_inlb_m,BENCHMARK,2024-11-26
2018-05,PL,DK24,38,71.557,75.063,66.857,63.39,2.9537,75.622,16.47,34.24,1,1,0.007564,1,19380814.07,sts_inno_m,FLASH,2024-05-27
2018-06,ES,IE90,45,71.259,73.758,74.87,63.0,2.98,77.493,62.92,15.61,0,1,0.000844,1,90049760.99,sts_inpr_m,FIRST,2025-09-19
2018-07,HR,BE95,52,73.556,69.483,72.884,81.69,1.5429,77.304,52.62,57.8,0,0,0.00838,0,33015198.21,sts_inpp_m,SECOND,2025-06-06
2018-08,FI,CY696,59,74.339,75.443,75.61,64.52,2.2008,77.061,76.67,69.01,0,0,0.006567,0,4576422.11,sts_inod_m,BENCHMARK,2024-09-13
2018-09,IE,PT49,66,72.404,66.979,76.031,79.39,2.0157,78.491,57.5,45.57,0,0,0.007885,0,39233031.12,sts_inlb_m,FLASH,2024-03-29
2018-10,MT,EE98,73,75.009,80.106,76.625,67.25,0.6861,78.561,49.05,46.09,0,0,0.00856,0,7074941.37,sts_inno_m,FIRST,2024-05-28
2018-11,SK,SE13,80,74.54,74.469,71.166,89.59,0.9601,79.752,15.67,24.68,0,1,0.001026,1,7373011.81,sts_inpr_m,SECOND,2024-07-04
2018-12,BE,NL69,87,75.441,76.242,71.361,74.29,1.7032,80.199,76.48,12.96,0,0,0.006426,0,28974776.81,sts_inpp_m,BENCHMARK,2025-08-10
2019-01,DK,HU2,94,76.473,72.684,70.343,82.6,0.1278,79.991,18.0,48.17,0,0,0.006233,0,11815530.93,sts_inod_m,FLASH,2025-08-03
2019-02,GR,AT79,11,75.313,77.019,83.689,64.37,3.2647,80.755,22.78,15.34,0,0,0.007042,0,6171923.98,sts_inlb_m,FIRST,2025-12-25
2019-03,LT,PL87,18,76.49,81.854,81.647,76.14,2.5021,81.206,21.3,49.66,0,0,0.005837,1,20641831.34,sts_inno_m,SECOND,2024-08-02
2019-04,PT,LV2,25,76.912,72.645,76.656,87.63,0.7174,80.76,23.12,17.8,1,0,0.007629,1,89479184.97,sts_inpr_m,BENCHMARK,2025-07-06
2019-05,SE,AT7,32,77.843,79.044,70.314,89.85,2.9696,81.005,34.31,84.41,1,1,0.009926,1,42202397.86,sts_inpp_m,FLASH,2025-12-24
2019-06,CY,CZ34,39,78.405,83.584,76.504,85.25,1.9732,82.363,58.51,34.71,0,1,0.007137,1,95704672.5,sts_inod_m,FIRST,2025-07-12
2019-07,FR,HR28,46,77.603,75.473,77.266,68.52,2.9232,82.0,11.37,57.22,1,0,0.01198,1,20028815.72,sts_inlb_m,SECOND,2025-12-05
2019-08,IT,LT578,53,77.566,72.93,86.131,67.24,3.7155,83.387,39.07,83.02,0,0,0.005343,1,12203321.49,sts_inno_m,BENCHMARK,2026-01-14
2019-09,NL,CZ544,60,78.107,80.916,80.733,73.5,2.5025,82.919,23.58,38.39,0,0,0.001502,0,26068628.2,sts_inpr_m,FLASH,2024-08-28
2019-10,SI,FR5,67,78.451,76.852,83.805,63.66,1.3287,83.57,34.3,76.29,0,0,0.000374,0,32894285.72,sts_inpp_m,FIRST,2025-07-26
2019-11,BG,SE4,74,78.894,75.123,69.718,62.37,2.7126,84.364,10.18,56.07,0,0,0.01079,0,7663036.76,sts_inod_m,SECOND,2024-10-01
2019-12,EE,BG154,81,80.844,75.953,75.875,89.02,1.7017,84.681,11.84,55.67,0,0,0.007557,1,4067938.68,sts_inlb_m,BENCHMARK,2025-06-30
2020-01,HU,PL746,88,80.181,82.45,72.931,72.65,2.878,83.661,29.05,55.3,0,0,0.009354,0,27286255.21,sts_inno_m,FLASH,2024-05-23
2020-02,LU,SI5,95,81.871,87.407,81.142,77.91,1.9466,85.821,14.87,31.86,1,0,0.008556,0,13869941.55,sts_inpr_m,FIRST,2025-10-09
2020-03,RO,ES691,12,81.352,83.54,84.343,82.63,1.4476,85.18,55.11,14.14,1,0,0.008681,1,51967021.67,sts_inpp_m,SECOND,2025-09-10
2020-04,AT,IE89,19,82.956,87.641,81.524,73.08,3.2029,85.879,9.17,20.8,0,0,0.009135,0,16973347.75,sts_inod_m,BENCHMARK,2024-05-28
2020-05,CZ,LV812,26,83.688,89.252,87.727,72.06,2.9813,85.439,65.94,55.37,0,0,0.00993,0,3145839.88,sts_inlb_m,FLASH,2024-01-11
2020-06,DE,BE173,33,83.598,77.142,83.267,65.37,1.4905,86.163,21.18,64.66,0,0,0.000316,1,35969165.28,sts_inno_m,FIRST,2024-11-26
2020-07,LV,MT3,40,83.41,77.763,78.421,65.4,0.9618,86.744,27.96,67.88,0,0,0.011923,0,29955217.11,sts_inpr_m,SECOND,2026-02-22
2020-08,PL,PT82,47,84.465,89.123,86.28,73.99,3.5674,88.06,61.14,43.42,0,0,0.004503,0,5148124.6,sts_inpp_m,BENCHMARK,2024-12-20
2020-09,ES,SK71,54,84.218,89.285,93.545,78.05,0.7555,87.626,15.41,12.82,0,1,0.009509,1,46514986.05,sts_inod_m,FLASH,2024-05-13
2020-10,HR,HR401,61,85.252,79.506,78.965,76.89,0.4933,87.97,60.57,71.43,1,0,0.005656,0,52896458.29,sts_inlb_m,FIRST,2026-01-19
2020-11,FI,FI8,68,85.268,81.045,77.212,63.2,2.8817,89.478,56.79,35.96,0,0,0.008414,1,47575887.87,sts_inno_m,SECOND,2025-02-08
2020-12,IE,GR522,75,84.686,89.498,93.839,82.65,3.3311,88.098,61.68,67.36,0,0,0.005136,0,30597033.55,sts_inpr_m,BENCHMARK,2026-02-02
2021-01,MT,NL67,82,85.831,83.145,78.241,70.33,1.1757,90.349,50.33,31.0,0,1,0.006729,1,66603351.61,sts_inpp_m,FLASH,2024-12-13
2021-02,SK,BG7,89,85.618,79.856,92.728,67.46,1.9474,90.268,77.03,34.37,0,0,0.011452,1,19650983.05,sts_inod_m,FIRST,2024-06-06
2021-03,BE,FR28,96,87.284,80.599,84.439,87.59,1.6876,91.013,33.2,61.94,0,0,0.006244,0,38306952.28,sts_inlb_m,SECOND,2025-09-27
