biz_innov_reference_year,biz_innov_country_iso2,biz_innov_region_nuts_code,biz_innov_patent_office_code,biz_innov_patent_family_id_hash,biz_innov_technology_field_code,biz_innov_patent_applications_count,biz_innov_patent_grants_count,biz_innov_r_and_d_expenditure_eur,biz_innov_r_and_d_expenditure_pct_gdp,biz_innov_researchers_fte_count,biz_innov_horizon_programme_code,biz_innov_horizon_grants_awarded_eur,biz_innov_horizon_participants_count,biz_innov_startup_creation_rate_per_1k,biz_innov_spinout_count,biz_innov_tech_transfer_office_count,biz_innov_trl_level,biz_innov_open_science_policy_flag,biz_innov_data_extract_date
2014,AT,DK733,EPO,bd958fd6e171eb081a23,ICT,15,12,1853680016.79,2.634,2014,HORIZON_HEALTH,242738800.08,23,1.262,41,1,1,1,2024-01-30
2015,CZ,PT3,UPV,66eeb09f5073ae204e42,BIOTECH,26,14,1757892691.43,2.649,1802,HORIZON_WIDENING,21580510.29,25,2.339,18,2,2,0,2025-11-04
2016,DE,PL96,OEPM,770fe5d6b1c9c0ba7ddc,MEDTECH,25,18,1268954112.44,1.926,2263,HORIZON_CLIMATE,208592089.88,26,2.147,25,3,3,0,2025-09-18
2017,LV,MT29,INPI,3e5a164fda4f99869f9d,CLEAN_ENERGY,7,6,2432815313.72,3.295,2267,EIC_PATHFINDER,125021326.43,24,3.163,14,4,4,0,2024-01-03
2018,PL,DK24,EUIPO,f912f338c094aa6c7ddc,ADV_MATERIALS,23,19,1144544502.23,1.8,2207,HORIZON_SPACE,205541499.3,24,3.12,40,5,5,1,2024-07-03
2019,ES,IE90,BOIP,0b4ae2daa04ea88465a3,AEROSPACE,12,7,1098451922.12,1.553,2217,HORIZON_DIGITAL,164590727.72,23,4.141,21,6,6,1,2025-10-24
2020,HR,BE95,PRV,29f5dbf313e98af1fc3e,MOBILITY,26,12,2719547312.11,3.475,2282,EIC_ACCELERATOR,110527425.44,23,0.738,43,7,7,1,2025-03-04
2021,FI,CY696,UKIPO,90505bbd2d9b08571d8c,FINTECH,15,14,451021110.61,0.642,2216,HORIZON_INDUSTRY,21252481.16,31,1.762,30,8,8,0,2024-06-08
2022,IE,PT49,DPMA,0e5c38a56067683bbb6e,AGRI_TECH,33,18,1945860937.0,2.418,1633,HORIZON_HEALTH,206900857.88,28,0.403,25,9,9,1,2024-12-03
2023,MT,EE98,EPO,710aad1255a3a13cf118,SECURITY,15,11,2427561267.04,2.842,2088,HORIZON_WIDENING,178407192.87,11,5.4,30,10,1,1,2025-01-29
2024,SK,SE13,UPV,455ef0ec679a028f513c,ICT,19,17,331949306.45,0.432,1675,HORIZON_CLIMATE,42228407.62,23,0.567,3,11,2,1,2025-06-04
