biz_intratrade_reference_month,biz_intratrade_reporting_country_iso2,biz_intratrade_partner_country_iso2,biz_intratrade_flow_direction,biz_intratrade_cn8_code,biz_intratrade_goods_value_eur,biz_intratrade_goods_quantity_kg,biz_intratrade_dispatch_arrival_code,biz_intratrade_threshold_reporting_flag,biz_intratrade_transport_mode_code,biz_intratrade_incoterms_code,biz_intratrade_customs_simplification_flag,biz_intratrade_vat_intracommunity_number_hash,biz_intratrade_eori_hash,biz_intratrade_delivery_time_days_median,biz_intratrade_logistics_performance_index,biz_intratrade_port_congestion_index,biz_intratrade_eurostat_table_code,biz_intratrade_data_quality_flag,biz_intratrade_data_extract_date
2018-01,AT,CZ,DISPATCH,10000000,530921.1,1506.11,DISPATCH,0,ROAD,EXW,0,997db05417280cf2a7,71514f66afbd8cb4fd,5,4.214,0.2717,ext_lt_intratrd,OK,2024-08-29
2018-02,EE,LT,ARRIVAL,10007919,561442.84,1579.05,ARRIVAL,0,SEA,FOB,0,13c7ee954ffda5161d,566b1723cf0b697016,2,3.232,0.6161,bop_q_f,REVISED,2024-12-06
2018-03,IT,AT,DISPATCH,10015838,661306.67,1586.45,DISPATCH,1,AIR,DAP,0,b70da824575e11313d,a57bfd78073b56917a,6,3.924,0.4256,bop_q_g,ESTIMATED,2024-05-30
2018-04,PT,GR,ARRIVAL,10023757,767051.88,1681.76,ARRIVAL,1,RAIL,FCA,0,a566c6ee1e7360416e,fc2313153f0462a7f3,6,2.537,0.7076,bop_q_c,FLAGGED,2025-01-18
2018-05,BE,RO,DISPATCH,10031676,805561.23,1708.67,DISPATCH,1,INLAND_WATERWAY,CFR,1,28eae9c9d17d1a0288,23fb3e5442ab923dc5,9,3.08,0.1447,ext_lt_intra_q,IMPUTED,2024-09-30
2018-06,FI,DK,ARRIVAL,10039595,881641.34,1767.41,ARRIVAL,1,PIPE,DPU,0,824c5cb3ae9eb71c06,d1ff45733c9a03a838,10,3.641,0.4974,ext_lt_intratrd,OK,2024-02-01
2018-07,LV,LU,DISPATCH,10047514,1021099.42,1840.0,DISPATCH,1,ROAD,CPT,1,a6972a6e0e22ecbd93,fdfe3b4bfa23372e68,7,4.266,0.5818,bop_q_f,REVISED,2024-12-13
2018-08,RO,BE,ARRIVAL,10055433,1056453.35,1909.47,ARRIVAL,1,SEA,CIF,0,d137f3ac7148e4091d,e79c0c55535e1af705,12,4.152,0.4488,bop_q_g,ESTIMATED,2025-10-24
2018-09,BG,HU,DISPATCH,10063352,1121406.67,1943.74,DISPATCH,0,AIR,DDP,0,dd3ec2885b664307a6,c0cbc5cdc2594ffe94,11,2.841,0.4769,bop_q_c,FLAGGED,2024-03-02
2018-10,FR,SK,ARRIVAL,10071271,1216403.8,1997.55,ARRIVAL,1,RAIL,CIP,0,6b2c32efe9eff9d9b8,86de2751b4302efb63,11,3.063,0.0617,ext_lt_intra_q,IMPUTED,2024-07-11
2018-11,LT,EE,DISPATCH,10079190,1346963.62,2049.17,DISPATCH,0,INLAND_WATERWAY,EXW,0,358931bfc805f3faa0,b75711382af5492282,11,3.108,0.2403,ext_lt_intratrd,OK,2024-01-03
2018-12,SK,MT,ARRIVAL,10087109,1425105.63,2113.19,ARRIVAL,0,PIPE,FOB,0,6e96817e8fcb3d6229,b58caf40c0591d97fc,15,4.21,0.1106,bop_q_f,REVISED,2025-07-24
2019-01,HR,BG,DISPATCH,10095028,1482008.34,2155.64,DISPATCH,0,ROAD,DAP,0,ff53b2f8779ce9c0d7,77032535006a32356f,13,2.933,0.3273,bop_q_g,ESTIMATED,2025-01-13
2019-02,DE,IE,ARRIVAL,10102947,1581343.25,2195.08,ARRIVAL,1,SEA,FCA,0,58cd0f5b3261eef45b,3c310cd48be5fe11c3,14,3.221,0.7073,bop_q_c,FLAGGED,2024-09-29
2019-03,LU,SI,DISPATCH,10110866,1661316.39,2253.97,DISPATCH,1,AIR,CFR,0,86fde2397f175911c7,a284dc9b5c531e0d66,16,3.009,0.4387,ext_lt_intra_q,IMPUTED,2024-03-21
2019-04,SI,FI,ARRIVAL,10118785,1758999.24,2333.54,ARRIVAL,0,RAIL,DPU,0,a6e57646bf417c0065,d7f156994d5c820636,16,2.427,0.4448,ext_lt_intratrd,OK,2025-12-19
2019-05,CY,NL,DISPATCH,10126704,1798934.66,2393.59,DISPATCH,1,INLAND_WATERWAY,CPT,0,f0582821c0e9d4c80f,986c0ec485d31a04f2,17,3.219,0.739,bop_q_f,REVISED,2025-03-08
2019-06,GR,HR,ARRIVAL,10134623,1878473.53,2444.8,ARRIVAL,1,PIPE,CIF,0,1a442fc522acea712f,a0fab10f80faf5e40c,18,2.679,0.6827,bop_q_g,ESTIMATED,2025-03-22
2019-07,MT,IT,DISPATCH,10142542,1970361.88,2509.61,DISPATCH,1,ROAD,DDP,0,e2d664e08b8c5ad1fd,37a2c6ea988e9799cc,23,3.116,0.6886,bop_q_c,FLAGGED,2024-09-06
2019-08,ES,BG,ARRIVAL,10150461,2062984.94,2533.68,ARRIVAL,1,SEA,CIP,0,abfe0107bbb6c0dd5f,9b3ceeb80c933fa1a0,20,3.037,0.7192,ext_lt_intra_q,IMPUTED,2024-09-10
2019-09,CZ,FR,DISPATCH,10158380,2139332.5,2609.01,DISPATCH,0,AIR,EXW,1,603fab388da646dcf6,c13f419f10d0ce2e74,2,2.249,0.3683,ext_lt_intratrd,OK,2025-09-11
2019-10,HU,PL,ARRIVAL,10166299,2233311.18,2674.85,ARRIVAL,0,RAIL,FOB,0,46eb2da18851bb166d,a358d7cd7f65319d81,3,4.249,0.7049,bop_q_f,REVISED,2024-10-18
2019-11,NL,CY,DISPATCH,10174218,2286374.89,2731.57,DISPATCH,0,INLAND_WATERWAY,DAP,0,b831d1a36fa5831fd1,7d60bed7b6f999a620,6,3.708,0.5553,bop_q_g,ESTIMATED,2025-04-09
2019-12,SE,LV,ARRIVAL,10182137,2355980.09,2747.08,ARRIVAL,0,PIPE,FCA,0,0abe111e3074fdc697,d622c19a87d25a11c8,5,4.37,0.4148,bop_q_c,FLAGGED,2025-10-06
2020-01,DK,SE,DISPATCH,10190056,2482584.63,2812.6,DISPATCH,0,ROAD,CFR,1,215696231780f9bfcd,129d223ecd3c023cad,6,2.993,0.7731,ext_lt_intra_q,IMPUTED,2024-12-13
2020-02,IE,DE,ARRIVAL,10197975,2561098.27,2853.6,ARRIVAL,1,SEA,DPU,0,c3462e256685bf704c,3cbf97bd24fb032fbc,7,2.355,0.7949,ext_lt_intratrd,OK,2025-05-18
2020-03,PL,PT,DISPATCH,10205894,2606424.71,2940.29,DISPATCH,0,AIR,CPT,1,00edd12939996601ca,49790193eff7142925,8,2.377,0.0598,bop_q_f,REVISED,2025-11-25
2020-04,AT,CZ,ARRIVAL,10213813,2739340.24,2978.19,ARRIVAL,1,RAIL,CIF,0,b77d21d55772f529b8,b4ad23ef1eeaa0d831,9,3.551,0.282,bop_q_g,ESTIMATED,2025-12-28
2020-05,EE,LT,DISPATCH,10221732,2806472.34,3015.9,DISPATCH,0,INLAND_WATERWAY,DDP,1,266656960475cb39c4,e0d759289d742d6f45,9,3.935,0.6367,bop_q_c,FLAGGED,2025-07-06
2020-06,IT,AT,ARRIVAL,10229651,2889089.47,3074.89,ARRIVAL,1,PIPE,CIP,0,6d5ff140bc3a0f4dc6,4f6d5742162fd2f6e7,13,4.076,0.684,ext_lt_intra_q,IMPUTED,2024-01-06
2020-07,PT,GR,DISPATCH,10237570,2963113.72,3155.07,DISPATCH,1,ROAD,EXW,1,9f3020a12ff439a6c9,cb42c3ed1c3d07b30c,12,3.598,0.1291,ext_lt_intratrd,OK,2024-08-20
2020-08,BE,RO,ARRIVAL,10245489,3074669.04,3220.47,ARRIVAL,1,SEA,FOB,0,caee787ca850a2c965,c9855aeaf64920e2e1,14,2.3,0.1473,bop_q_f,REVISED,2025-05-09
2020-09,FI,DK,DISPATCH,10253408,3100360.7,3268.33,DISPATCH,0,AIR,DAP,1,c6528a0abfcb3fe0c5,09681dd56fc492ec73,13,2.439,0.5727,bop_q_g,ESTIMATED,2024-01-17
2020-10,LV,LU,ARRIVAL,10261327,3175627.32,3317.03,ARRIVAL,1,RAIL,FCA,0,1cbb7010af06ac2df5,96a5def5c817c475a4,18,3.808,0.5325,bop_q_c,FLAGGED,2025-01-28
2020-11,RO,BE,DISPATCH,10269246,3316511.18,3349.77,DISPATCH,0,INLAND_WATERWAY,CFR,0,9fe94832acfabed27c,e4a86a7bef1ae2e229,15,2.867,0.4907,ext_lt_intra_q,IMPUTED,2025-06-22
2020-12,BG,HU,ARRIVAL,10277165,3381009.11,3402.29,ARRIVAL,1,PIPE,DPU,0,9c73a6d27eefbc717b,6d6ef3e7d9dae6f8c1,19,3.118,0.2867,ext_lt_intratrd,OK,2025-09-18
2021-01,FR,SK,DISPATCH,10285084,3473695.28,3501.61,DISPATCH,0,ROAD,CPT,0,6dfb51864078eeb762,e8b4a3780c30e4ab34,19,3.766,0.7038,bop_q_f,REVISED,2025-07-29
2021-02,LT,EE,ARRIVAL,10293003,3548010.73,3512.56,ARRIVAL,0,SEA,CIF,0,80182b53ec859f7ac5,81998c0b222e41ba52,19,2.407,0.4804,bop_q_g,ESTIMATED,2024-08-16
