biz_sme_reference_year,biz_sme_country_iso2,biz_sme_region_nuts_code,biz_sme_sector_nace_section,biz_sme_sme_definition_code,biz_sme_micro_enterprises_count,biz_sme_small_enterprises_count,biz_sme_medium_enterprises_count,biz_sme_employment_sme_total,biz_sme_value_added_sme_eur,biz_sme_access_to_finance_index,biz_sme_venture_capital_investment_eur,biz_sme_interest_rate_on_loans_pct,biz_sme_digital_intensity_score,biz_sme_exporting_sme_share_pct,biz_sme_innovation_active_share_pct,biz_sme_sustainability_reporting_csrd_flag,biz_sme_late_payment_days_avg,biz_sme_eurostat_table_code,biz_sme_data_extract_date
2010,AT,DK733,A,EU_SME_2003_361_EC,1286,234,78,8538,768496781.51,87.39,153888886.08,3.499,64.99,25.84,18.58,0,44.42,sbs_sc_sca_r2,2025-04-01
2011,HR,AT620,L,NATIONAL_SME,1051,228,46,5817,568664594.58,62.51,92929146.53,5.745,31.13,6.86,49.72,1,45.69,tin00145,2025-06-06
2012,DK,AT6,B,BANKING_SME,1086,186,24,4594,563233717.12,35.82,109862625.0,3.774,46.12,10.17,29.97,0,39.79,bd_9bd_sz_cl_r2,2024-11-15
2013,FR,SE910,M,MIXED,1076,192,61,7827,1038105799.93,52.3,25313279.41,7.676,14.81,54.5,9.6,0,46.47,sbs_na_sca_r2,2025-08-20
2014,HU,IT46,C,EU_SME_2003_361_EC,1502,155,49,8217,841067096.61,50.67,57955596.11,5.712,29.23,33.66,40.84,0,36.46,isoc_sme,2024-01-30
2015,LV,MT54,N,NATIONAL_SME,947,143,53,6665,831157827.58,80.84,200672590.31,7.181,33.96,10.82,39.72,1,54.72,sbs_sc_sca_r2,2025-02-18
2016,MT,LU326,D,BANKING_SME,1580,315,49,10091,638189504.02,57.2,114784457.93,6.257,72.53,42.71,34.35,0,67.63,tin00145,2024-05-31
2017,PT,LU224,O,MIXED,903,150,58,7105,657329936.19,69.69,101734257.59,3.368,70.79,7.57,51.66,0,53.51,bd_9bd_sz_cl_r2,2025-12-07
2018,SI,CY33,E,EU_SME_2003_361_EC,1681,257,95,12419,1021912199.5,87.13,42606196.69,4.78,25.26,11.28,21.99,0,19.46,sbs_na_sca_r2,2024-10-15
2019,AT,CY696,P,NATIONAL_SME,933,183,64,6379,649677571.75,35.75,63577223.34,8.884,52.62,32.01,14.43,0,59.65,isoc_sme,2025-04-28
2020,HR,BG67,F,BANKING_SME,1379,214,79,7686,637363537.98,59.73,103786866.09,2.625,53.46,39.36,57.52,0,5.04,sbs_sc_sca_r2,2024-07-02
2021,DK,LT1,Q,MIXED,1166,219,62,7147,536342738.07,80.22,161056138.65,7.027,15.34,19.91,45.85,1,42.14,tin00145,2024-09-17
2022,FR,HR839,G,EU_SME_2003_361_EC,1628,149,114,13505,509702636.35,32.58,72940360.49,9.003,72.25,27.74,9.4,0,29.51,bd_9bd_sz_cl_r2,2025-07-20
2023,HU,PT83,R,NATIONAL_SME,1408,295,96,13795,1096853557.57,63.25,75014643.0,2.347,94.71,47.58,9.0,1,37.55,sbs_na_sca_r2,2024-07-28
2024,LV,HU83,H,BANKING_SME,1599,274,108,13364,1520536077.33,58.71,208678529.13,9.342,24.54,14.25,20.33,0,14.5,isoc_sme,2025-10-04
2025,MT,RO5,S,MIXED,1649,167,47,10733,269876816.58,59.39,10661172.82,4.246,80.96,53.79,18.41,0,47.15,sbs_sc_sca_r2,2025-08-05
2026,PT,PL34,I,EU_SME_2003_361_EC,1383,302,42,8489,432887712.4,75.99,146330995.58,5.106,61.48,18.19,39.42,1,33.35,tin00145,2025-12-02
2010,SI,PL400,T,NATIONAL_SME,1098,168,49,5127,277018827.86,73.91,157395825.72,3.973,82.63,18.98,26.89,0,59.06,bd_9bd_sz_cl_r2,2024-02-19
2011,AT,PL87,J,BANKING_SME,1439,145,94,11737,584227170.45,49.55,147781823.28,9.107,67.5,13.29,12.35,0,2.5,sbs_na_sca_r2,2026-01-07
2012,HR,FI161,U,MIXED,1495,267,39,7245,634248249.05,65.45,253806831.19,7.399,74.32,37.25,47.16,1,51.04,isoc_sme,2024-05-22
2013,DK,LT3,K,EU_SME_2003_361_EC,1133,178,74,10468,859165232.31,70.18,185786942.09,4.87,36.26,36.16,51.57,0,44.45,sbs_sc_sca_r2,2024-09-06
2014,FR,LV72,A,NATIONAL_SME,1191,251,64,7958,756600701.31,40.6,88249819.89,4.402,28.59,17.56,46.82,1,24.22,tin00145,2024-03-12
2015,HU,SI9,L,BANKING_SME,896,143,31,5185,515198092.49,72.36,250508558.53,6.651,33.16,18.38,40.28,1,63.48,bd_9bd_sz_cl_r2,2025-11-03
2016,LV,SK91,B,MIXED,1328,237,91,10994,947725349.85,37.35,66265096.94,0.709,29.71,34.33,57.91,0,43.31,sbs_na_sca_r2,2025-08-08
2017,MT,BG66,M,EU_SME_2003_361_EC,1150,182,70,9054,1135970252.0,34.62,78075199.05,5.357,89.03,20.16,53.12,0,19.82,isoc_sme,2024-03-20
2018,PT,NL313,C,NATIONAL_SME,916,94,41,4127,422117370.28,81.27,98555417.55,4.666,71.77,47.52,8.47,1,14.59,sbs_sc_sca_r2,2024-12-03
2019,SI,EE2,N,BANKING_SME,869,156,65,8813,600346298.96,86.87,60515462.71,3.043,39.32,54.42,24.94,0,48.98,tin00145,2024-07-24
2020,AT,FR5,D,MIXED,1472,203,59,8812,908601371.33,53.45,41128147.48,2.891,59.09,55.7,37.13,1,7.37,bd_9bd_sz_cl_r2,2024-08-15
2021,HR,AT88,O,EU_SME_2003_361_EC,1317,162,48,7553,529004049.53,34.49,69199414.22,2.305,51.98,4.5,55.53,0,5.37,sbs_na_sca_r2,2024-11-28
2022,DK,RO2,E,NATIONAL_SME,1412,154,82,8539,275360224.04,62.28,68529547.05,9.302,15.81,12.99,33.89,0,13.28,isoc_sme,2025-07-05
2023,FR,SI31,P,BANKING_SME,1308,116,52,8304,790357506.5,58.77,142479977.72,6.351,86.93,37.54,46.96,0,57.35,sbs_sc_sca_r2,2024-10-03
2024,HU,IT788,F,MIXED,1757,289,68,10905,528486191.38,48.95,176418357.5,6.706,88.62,58.93,34.72,0,30.04,tin00145,2024-07-24
2025,LV,IE341,Q,EU_SME_2003_361_EC,1670,322,35,11206,987735433.81,45.88,55801596.52,2.453,11.14,41.86,48.84,1,63.67,bd_9bd_sz_cl_r2,2025-06-14
2026,MT,CZ3,G,NATIONAL_SME,1434,275,43,9555,268803943.37,42.88,73399170.12,3.805,28.67,10.53,27.53,0,66.94,sbs_na_sca_r2,2024-04-15
2010,PT,SK78,R,BANKING_SME,1017,125,78,5618,172502255.81,65.5,147471609.01,8.664,84.01,45.37,19.02,1,18.96,isoc_sme,2024-08-05
2011,SI,CZ98,H,MIXED,1698,338,50,6170,168194026.29,62.2,130004232.43,9.14,12.94,20.44,45.43,0,61.89,sbs_sc_sca_r2,2024-03-12
2012,AT,LV812,S,EU_SME_2003_361_EC,1413,238,92,14273,769904151.82,60.62,258974407.95,7.171,58.48,51.3,31.86,1,14.07,tin00145,2024-05-28
2013,HR,PT898,I,NATIONAL_SME,1543,177,95,10582,877645898.36,72.48,119015122.7,6.993,68.09,18.56,7.15,1,27.91,bd_9bd_sz_cl_r2,2024-12-02
2014,DK,IE9,T,BANKING_SME,1427,273,91,6253,690870446.42,53.45,38993560.45,5.568,10.19,8.69,50.47,0,11.99,sbs_na_sca_r2,2025-06-17
2015,FR,LT38,J,MIXED,1735,378,111,18222,1348542595.85,86.98,130462192.45,0.471,23.59,54.55,30.42,1,45.89,isoc_sme,2024-07-01
2016,HU,PL9,U,EU_SME_2003_361_EC,1717,140,92,8503,1060179386.24,36.88,130434488.25,7.92,94.96,49.55,56.81,0,38.88,sbs_sc_sca_r2,2025-08-13
2017,LV,DK29,K,NATIONAL_SME,1167,209,47,8427,869008512.86,56.3,126098600.72,8.367,46.92,33.13,13.57,1,26.04,tin00145,2024-06-14
2018,MT,IE858,A,BANKING_SME,905,162,56,6143,640884719.81,72.55,252479669.71,9.211,28.85,4.66,30.76,1,33.05,bd_9bd_sz_cl_r2,2025-11-21
2019,PT,LV58,L,MIXED,1705,335,88,8763,960517983.75,47.48,111854988.04,1.946,15.06,5.56,50.21,1,34.48,sbs_na_sca_r2,2024-10-16
2020,SI,SI621,B,EU_SME_2003_361_EC,1204,103,72,7092,908927851.24,49.64,230973863.33,2.53,81.63,35.74,8.59,0,6.94,isoc_sme,2025-02-01
2021,AT,GR522,M,NATIONAL_SME,1014,191,48,6985,814956494.51,74.48,7918316.93,7.691,53.98,5.39,14.75,0,21.83,sbs_sc_sca_r2,2024-01-08
2022,HR,AT42,C,BANKING_SME,1375,181,40,6977,269580834.24,78.46,97006447.12,2.99,92.14,58.24,46.16,1,44.95,tin00145,2024-02-24
2023,DK,IE542,N,MIXED,1388,163,60,10643,1359006689.37,58.04,280450782.28,8.412,54.5,21.0,11.85,0,3.44,bd_9bd_sz_cl_r2,2025-10-22
2024,FR,EE3,D,EU_SME_2003_361_EC,1193,205,82,11547,588219888.98,56.19,191019475.34,6.225,90.98,15.84,13.79,0,10.03,sbs_na_sca_r2,2024-08-10
2025,HU,NL738,O,NATIONAL_SME,1485,150,111,5901,313245193.54,86.71,245837686.44,5.914,92.65,14.99,20.51,0,66.88,isoc_sme,2024-09-28
2026,LV,RO214,E,BANKING_SME,1152,98,91,8883,1016460307.48,68.72,145895176.98,2.306,51.45,35.13,54.2,0,19.47,sbs_sc_sca_r2,2024-12-13
2010,MT,SE1,P,MIXED,1457,268,74,11966,1424423403.26,65.3,228136531.99,8.786,41.58,30.74,57.58,1,58.97,tin00145,2025-01-02
