civ_ep_elections_election_year,civ_ep_elections_member_state_iso2,civ_ep_elections_constituency_code,civ_ep_elections_party_id,civ_ep_elections_party_group_eu_parl,civ_ep_elections_candidate_id_hash,civ_ep_elections_list_type_code,civ_ep_elections_votes_count,civ_ep_elections_vote_share_pct,civ_ep_elections_seats_won_count,civ_ep_elections_turnout_pct,civ_ep_elections_eligible_voters_count,civ_ep_elections_postal_vote_share_pct,civ_ep_elections_early_vote_flag,civ_ep_elections_gender_of_candidate,civ_ep_elections_age_of_candidate,civ_ep_elections_mep_term_start_date,civ_ep_elections_mep_term_end_date,civ_ep_elections_data_source,civ_ep_elections_data_extract_date
2004,AT,AT_EP_01,AT_P01,EPP,05e82509d312dad8de513e91,OPEN_LIST,19865,14.638,0,85.59,158552,27.25,0,M,20,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-10-06
2009,CZ,CZ_EP_02,CZ_P02,NI,5fa8eaf2dd8190b4f33be4a1,CLOSED_LIST,24179,10.48,1,80.53,286509,41.72,1,F,20,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2025-06-03
2014,DE,DE_EP_03,DE_P03,ID,889d494b1ed9e9a5dfe3c8ac,MIXED,15183,10.066,5,55.52,271665,22.0,0,X,23,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-07-15
2019,LV,LV_EP_04,LV_P04,GREENS_EFA,148ebdbc087eebd4f3058931,STV,29592,11.901,6,45.82,542655,0.77,0,M,24,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2024-03-14
2024,PL,PL_EP_05,PL_P05,S&D,8a7bad4b3f87b9baea186bf8,PREFERENTIAL,23023,7.042,3,55.06,593819,32.37,1,F,22,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-09-25
2004,ES,ES_EP_06,ES_P06,OTHER,db9d308f077c184de661afe4,OPEN_LIST,94649,15.733,8,85.94,700029,1.01,0,X,27,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2026-02-03
2009,HR,HR_EP_07,HR_P07,LEFT,db8e11fc936d57d88f537f2f,CLOSED_LIST,32894,9.272,2,42.66,831658,3.82,0,M,27,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2024-01-29
2014,FI,FI_EP_08,FI_P08,ECR,414451f7b369f427b9ed1ee1,MIXED,63020,9.558,2,81.5,809034,11.67,0,F,27,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2024-06-21
2019,IE,IE_EP_09,IE_P09,RENEW,86a38a5019b4461b182885fe,STV,11123,2.404,0,58.96,784793,25.06,0,X,30,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-02-16
2024,MT,MT_EP_10,MT_P10,EPP,21063d0215ed3fac11a75168,PREFERENTIAL,26825,6.648,1,41.75,966451,15.95,0,M,30,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-03-23
2004,SK,SK_EP_11,SK_P11,NI,bc3502b652c57e3ca4ed8758,OPEN_LIST,13997,3.817,1,34.09,1075637,41.35,1,F,29,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2025-01-06
2009,BE,BE_EP_12,BE_P12,ID,df067b6bff38c3bde8da9af2,CLOSED_LIST,122908,15.53,3,63.65,1243384,11.87,0,X,31,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-04-19
2014,DK,DK_EP_01,DK_P13,GREENS_EFA,38ad1eb0ca8ded460979d415,MIXED,45908,5.051,1,81.04,1121545,21.67,1,M,30,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2024-10-14
2019,GR,GR_EP_02,GR_P14,S&D,6b5afb3398d8e68e10cb75be,STV,89940,17.969,7,35.36,1415543,29.23,0,F,35,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2025-01-16
2024,LT,LT_EP_03,LT_P15,OTHER,24735c15838be35cdeb1877f,PREFERENTIAL,4079,0.416,0,69.68,1406514,30.32,0,X,35,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-02-28
2004,PT,PT_EP_04,PT_P16,LEFT,4452f4067312b01179375a18,OPEN_LIST,54309,10.819,3,31.24,1606771,7.45,0,M,35,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-11-12
2009,SE,SE_EP_05,SE_P17,ECR,a1a3dc55c76145cdb3ee48d4,CLOSED_LIST,10653,1.851,0,38.68,1487667,40.33,1,F,35,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2026-02-07
2014,CY,CY_EP_06,CY_P18,RENEW,293ca2ad4faf01bee0f67acc,MIXED,88621,12.268,6,43.15,1674110,15.83,1,X,38,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-06-05
2019,FR,FR_EP_07,FR_P19,EPP,0d496f331a177b3507cf68b3,STV,90339,8.347,2,61.62,1756315,2.39,0,M,36,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2025-10-02
