civ_leg_act_id,civ_leg_act_type_code,civ_leg_policy_area_code,civ_leg_proposal_date,civ_leg_adoption_date,civ_leg_entry_into_force_date,civ_leg_celex_number,civ_leg_legal_basis_tfeu_article,civ_leg_ordinary_legislative_procedure_flag,civ_leg_council_voting_rule_code,civ_leg_parliament_committee_code,civ_leg_trilogue_rounds_count,civ_leg_amendments_count,civ_leg_impact_assessment_published_flag,civ_leg_delegated_act_flag,civ_leg_implementing_act_flag,civ_leg_transposition_deadline_date,civ_leg_infringement_cases_count,civ_leg_eurlex_url_hash,civ_leg_data_extract_date
ACT_2012_0001,REGULATION,DIGITAL,2012-11-18,2014-08-28,2014-09-29,32012R0001,TFEU_114,1,QMV,IMCO,10,1540,1,0,1,,23,920f1f82e75c8321c35a0c69e1dd,2024-02-21
ACT_2013_0002,DIRECTIVE,MIGRATION,2013-02-21,2013-10-13,2013-12-16,32013L0002,TFEU_192,1,UNANIMITY,TRAN,12,1753,1,1,0,2015-05-16,38,e26d9f6566a779a7d149d2ee71b0,2026-01-06
ACT_2014_0003,DECISION,CLIMATE,2014-04-22,2016-06-04,2016-09-04,32014D0003,TFEU_153,1,SIMPLE_MAJORITY,BUDG,7,2592,1,0,0,,74,b0bf5987d8d87f065bbfcdcc1789,2024-06-20
ACT_2015_0004,RECOMMENDATION,SECURITY,2015-02-05,2016-05-05,2016-06-14,32015D0004,TFEU_207,0,QMV,ITRE,11,2398,1,0,0,,19,3f82fa04d01f5ae4f88853267202,2025-02-08
ACT_2016_0005,REGULATION,ENERGY,2016-02-27,2018-02-14,2018-02-26,32016R0005,TFEU_168,1,UNANIMITY,EMPL,11,727,1,0,0,,16,bece59c587b12f26bad75a3acd56,2025-06-23
ACT_2017_0006,DIRECTIVE,CONSUMER,2017-02-22,2018-02-06,2018-04-29,32017L0006,TFEU_91,1,SIMPLE_MAJORITY,LIBE,1,266,1,0,0,2020-10-07,88,e97bb95b9d32130a951a9d91338c,2025-03-05
ACT_2018_0007,DECISION,HEALTH,2018-02-15,2020-07-17,2020-09-04,32018D0007,TFEU_173,0,QMV,AGRI,1,988,1,0,0,,110,a65bed6655c9bc44b47c7f0cdaa2,2025-06-15
ACT_2019_0008,RECOMMENDATION,COMPETITION,2019-11-20,2020-08-16,2020-09-26,32019D0008,TFEU_77,0,UNANIMITY,AFET,1,1531,0,0,0,,17,0c09c127340f717b2c877b0c938a,2024-05-27
ACT_2020_0009,REGULATION,TRANSPORT,2020-12-06,2023-04-09,2023-05-03,32020R0009,TFEU_83,0,SIMPLE_MAJORITY,ECON,4,926,0,0,1,,7,0c851fe2a9d91933e8fd6488754c,2024-01-18
ACT_2021_0010,DIRECTIVE,DATA_GOV,2021-12-16,2023-06-06,2023-09-27,32021L0010,TFEU_352,1,QMV,CULT,12,1177,1,0,0,2026-06-01,81,88dac9d2bff0a69d62d4434f5fcc,2025-12-17
