civ_nat_elections_election_date,civ_nat_elections_country_iso2,civ_nat_elections_election_type_code,civ_nat_elections_region_nuts_code,civ_nat_elections_party_id,civ_nat_elections_candidate_id_hash,civ_nat_elections_votes_count,civ_nat_elections_vote_share_pct,civ_nat_elections_seats_won_count,civ_nat_elections_turnout_pct,civ_nat_elections_eligible_voters_count,civ_nat_elections_e_voting_flag,civ_nat_elections_misinformation_incident_count,civ_nat_elections_campaign_spend_eur,civ_nat_elections_donation_limit_flag,civ_nat_elections_election_observer_mission_flag,civ_nat_elections_result_challenge_count,civ_nat_elections_data_provider,civ_nat_elections_data_quality_flag,civ_nat_elections_data_extract_date
2016-11-12,AT,PARLIAMENTARY,,AT_P01,62f199e98b44413850079a61,25448,11.701,1,61.58,353181,1,3,27565260.41,1,0,0,NATIONAL_ELECTION_COMMISSION,OK,2024-09-18
2013-01-09,EE,PARLIAMENTARY,,EE_P02,aad230d31a2cef7d97ea7bae,28369,7.789,7,65.92,552527,0,2,86470669.86,1,1,5,OSCE_ODIHR,REVISED,2024-10-13
2023-04-13,IT,PARLIAMENTARY,,IT_P03,f2d9b3672c28259b909f1309,56945,15.302,17,83.87,443700,0,4,105931280.21,1,1,0,ACADEMIC_COMPILATION,ESTIMATED,2026-02-13
2018-04-30,PT,PARLIAMENTARY,,PT_P04,4035c7e3fd36d9b95c4ad52e,9149,3.249,0,51.59,545821,0,5,32356744.36,1,1,1,MEDIA_VERIFIED_TALLY,FLAGGED,2024-06-26
2013-03-01,BE,PARLIAMENTARY,,BE_P05,1232788770ba89b58de2f736,56755,10.67,13,73.79,720859,0,21,88003898.38,1,1,0,NATIONAL_ELECTION_COMMISSION,OK,2025-10-11
2025-02-04,FI,PARLIAMENTARY,,FI_P06,5833be75a8c24d7566e25d5e,61038,20.225,16,41.1,734311,0,47,4951276.74,0,0,2,OSCE_ODIHR,REVISED,2024-03-06
2023-06-01,LV,PARLIAMENTARY,,LV_P07,ab7604531d31f5e56577b0fd,48488,10.056,10,65.65,734454,0,8,37298323.56,1,0,3,ACADEMIC_COMPILATION,ESTIMATED,2024-03-07
2020-12-09,RO,PARLIAMENTARY,,RO_P08,9fbff47202c8c5009220c790,123108,17.986,9,71.61,955849,0,19,21222021.27,1,0,1,MEDIA_VERIFIED_TALLY,FLAGGED,2024-09-07
2022-01-10,BG,PARLIAMENTARY,,BG_P09,c45ad30622003f872f9b3f72,94641,19.819,2,47.48,1005728,0,28,105989995.07,0,1,1,NATIONAL_ELECTION_COMMISSION,OK,2024-03-01
2025-09-29,FR,PARLIAMENTARY,,FR_P10,9c59537b7fef58dff7c50567,26555,5.517,3,45.74,1052255,0,23,44080149.77,1,0,4,OSCE_ODIHR,REVISED,2026-01-22
2012-12-29,LT,PARLIAMENTARY,,LT_P11,4dc55c324464888908339c3a,70528,12.832,11,38.38,1432012,0,20,63968465.84,1,0,0,ACADEMIC_COMPILATION,ESTIMATED,2025-05-19
2010-03-07,SK,PARLIAMENTARY,,SK_P12,bb09da3f12ab99840566bae6,208056,20.33,9,79.45,1288091,0,75,55534814.53,1,0,8,MEDIA_VERIFIED_TALLY,FLAGGED,2024-07-31
2025-12-05,HR,PARLIAMENTARY,,HR_P13,a3329c61a88ea7f9233e7218,10076,1.228,1,51.1,1606035,0,21,60108730.43,1,0,5,NATIONAL_ELECTION_COMMISSION,OK,2024-10-03
2010-10-09,DE,PARLIAMENTARY,,DE_P14,a782dbfc3c822752da3fd655,62208,8.278,9,50.74,1481057,0,16,30656314.07,0,0,1,OSCE_ODIHR,REVISED,2025-11-23
2010-09-08,LU,PARLIAMENTARY,,LU_P15,626933e106441fb28254eecc,190056,12.829,13,84.22,1758978,0,29,75380997.01,1,0,7,ACADEMIC_COMPILATION,ESTIMATED,2025-09-14
