civ_part_reference_year,civ_part_instrument_type_code,civ_part_topic_policy_area_code,civ_part_submission_date,civ_part_member_state_iso2,civ_part_petition_id_hash,civ_part_signatures_count,civ_part_signature_threshold_reached_flag,civ_part_eci_registration_decision_code,civ_part_response_publication_date,civ_part_consultation_id_hash,civ_part_responses_count,civ_part_stakeholder_group_code,civ_part_ngos_participation_count,civ_part_business_participation_count,civ_part_citizen_participation_count,civ_part_feedback_summary_published_flag,civ_part_follow_up_action_code,civ_part_source_portal,civ_part_data_extract_date
2012,PETITION,DIGITAL,2012-09-28,AT,53e379ce2541ab6a4f786598,926052,0,,2012-12-22,,100084,CITIZENS,454,1040,124812,0,NO_ACTION,EU_PETITIONS_PORTAL,2024-04-16
2013,PETITION,MIGRATION,2013-12-22,GR,7d39523418c65ea93de0d470,1239920,0,,2014-09-09,,72519,MIXED,1426,870,117542,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2024-10-04
2014,PETITION,CLIMATE,2014-11-10,RO,994610ca1606d18bb5b4de76,610647,1,,2015-01-30,,81435,PUBLIC_AUTHORITY,507,163,65018,0,COMMUNICATION,YOUR_VOICE_EUROPE,2025-03-02
2015,PETITION,SECURITY,2015-06-21,DK,1656eb0f661bd196512cc95f,1641104,0,,2015-09-01,,84574,ACADEMIA,585,852,81325,1,IMPLEMENTATION,EUROPA_FORUMS,2024-10-09
2016,PETITION,ENERGY,2016-02-01,LU,e6125982345b7f659b7b6ee7,1366261,0,,2017-02-20,,18902,NGO,908,21,105095,1,REVIEW,ECI_REGISTER,2025-08-04
2017,PETITION,CONSUMER,2017-11-18,BE,368ceb8aac1747f46709a74d,966204,0,,2018-03-10,,3469,BUSINESS,29,612,135406,0,FUNDING_CALL,EU_PETITIONS_PORTAL,2025-06-22
2018,PETITION,HEALTH,2018-01-17,HU,dfe009849c6af6fee06f115e,376856,1,,2018-07-27,,76290,CITIZENS,249,562,201562,0,NO_ACTION,OPEN_DATA_PORTAL,2024-11-08
2019,PETITION,COMPETITION,2019-08-06,SK,517bf0e6428eb7f2b1d87a98,731148,1,,2020-02-23,,70858,MIXED,938,1450,30482,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2025-02-28
2020,PETITION,TRANSPORT,2020-12-13,EE,684c811064c76c5bdf13a053,1081810,0,,,,141404,PUBLIC_AUTHORITY,770,273,96606,1,COMMUNICATION,EUROPA_FORUMS,2024-02-05
2021,PETITION,DATA_GOV,2021-05-09,MT,a0e24b4faca1313ca0568aa0,1324094,1,,2021-12-12,,64716,ACADEMIA,188,18,83869,1,IMPLEMENTATION,ECI_REGISTER,2024-02-18
2022,PETITION,FINANCE,2022-10-20,BG,9e91581221b5f5456ecf8ca7,332774,0,,,,12475,NGO,1438,909,103211,0,REVIEW,EU_PETITIONS_PORTAL,2024-10-05
2023,PETITION,SPACE,2023-03-11,IE,5cf45293fb9e06066aa3e1e0,1471347,0,,2024-03-31,,56846,BUSINESS,259,1152,66999,0,FUNDING_CALL,OPEN_DATA_PORTAL,2024-01-26
2024,PETITION,AGRICULTURE,2024-07-22,SI,077f1187b4fc7a10d5b43766,1051420,0,,2024-09-07,,112460,CITIZENS,320,623,139172,1,NO_ACTION,YOUR_VOICE_EUROPE,2025-01-12
2025,PETITION,DIGITAL,2025-11-01,FI,7bb1477ade4acd8371b217db,150724,0,,,,32029,MIXED,1558,1542,199836,0,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2024-03-21
2012,PETITION,MIGRATION,2012-06-21,NL,57df883c75d9dbe006df9919,729047,1,,2013-05-08,,56500,PUBLIC_AUTHORITY,28,757,81558,1,COMMUNICATION,ECI_REGISTER,2025-03-29
2013,PETITION,CLIMATE,2013-08-04,HR,4eadf043ab7c13cd7fd2212f,1069511,0,,2014-08-29,,88186,ACADEMIA,652,143,105326,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2025-12-11
2014,PETITION,SECURITY,2014-05-21,IT,5a503466daa1bd8f3234f0cf,2831,0,,2014-10-21,,70590,NGO,1096,443,43088,0,REVIEW,OPEN_DATA_PORTAL,2024-01-24
2015,PETITION,ENERGY,2015-12-09,ES,df02785f1c9fa87b0495f1f4,1208555,1,,2016-10-07,,85463,BUSINESS,132,966,121735,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2025-01-28
2016,PETITION,CONSUMER,2016-01-25,FR,958ff25bbbe664ad204b1641,414792,0,,2016-10-20,,94795,CITIZENS,166,572,83016,1,NO_ACTION,EUROPA_FORUMS,2024-11-09
2017,PETITION,HEALTH,2017-04-25,PL,57f044eaa480eaa4c54b7fbd,15375,0,,,,124154,MIXED,1358,420,11962,0,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-06-07
2018,PETITION,COMPETITION,2018-01-23,CY,3aec781e90d7001c27fd90ba,495066,1,,2018-04-02,,17918,PUBLIC_AUTHORITY,625,223,96872,1,COMMUNICATION,EU_PETITIONS_PORTAL,2024-09-30
