civ_trans_reference_year,civ_trans_register_entity_id,civ_trans_entity_type_code,civ_trans_headquarters_country_iso2,civ_trans_policy_area_code,civ_trans_declared_spend_eur,civ_trans_spend_bracket_code,civ_trans_number_of_persons_involved,civ_trans_meetings_commissioners_count,civ_trans_meetings_cabinet_count,civ_trans_meetings_meps_count,civ_trans_legislative_files_targeted_count,civ_trans_clients_count,civ_trans_consultation_participations_count,civ_trans_code_of_conduct_breach_flag,civ_trans_sanction_type_code,civ_trans_sanction_date,civ_trans_data_source,civ_trans_last_update_date,civ_trans_data_extract_date
2014,REG_2014_000001,COMPANY,AT,DIGITAL,3885170.57,1M_4_9M,12,13,27,30,67,29,4,0,NONE,,EU_TRANSPARENCY_REGISTER,2014-11-16,2024-09-29
2015,REG_2015_000002,THINK_TANK,EE,DATA_GOV,10716556.22,5M_PLUS,34,13,11,31,1,14,43,0,NONE,,PUBLIC_DISCLOSURE_API,2016-12-17,2024-12-10
2016,REG_2016_000003,CONSULTANCY,IT,CONSUMER,5233101.22,5M_PLUS,45,3,8,13,34,123,42,0,NONE,,JOINT_SECRETARIAT,2017-08-09,2024-09-08
2017,REG_2017_000004,UNIVERSITY,PT,MIGRATION,2780915.06,1M_4_9M,11,11,25,9,18,2,44,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-06-24,2025-09-05
2018,REG_2018_000005,LAW_FIRM,GB,FINANCE,6320968.35,5M_PLUS,19,3,7,33,81,190,45,0,NONE,,PUBLIC_DISCLOSURE_API,2019-04-23,2025-08-08
2019,REG_2019_000006,NGO,JP,HEALTH,2047319.43,1M_4_9M,74,12,25,41,69,33,50,0,NONE,,JOINT_SECRETARIAT,2020-07-14,2026-01-05
2020,REG_2020_000007,PUBLIC_BODY,CZ,CLIMATE,4569406.12,1M_4_9M,53,13,35,52,83,5,55,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-08-17,2024-06-08
2021,REG_2021_000008,TRADE_ASSOCIATION,HU,SPACE,3536324.11,1M_4_9M,74,9,21,61,76,10,35,0,NONE,,PUBLIC_DISCLOSURE_API,2021-10-02,2025-10-09
2022,REG_2022_000009,COMPANY,NL,COMPETITION,5905626.2,5M_PLUS,74,18,6,56,7,13,16,0,NONE,,JOINT_SECRETARIAT,2023-09-07,2025-09-30
2023,REG_2023_000010,THINK_TANK,SE,SECURITY,2727432.69,1M_4_9M,55,5,23,5,20,13,8,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-10-07,2025-03-29
2024,REG_2024_000011,CONSULTANCY,TR,AGRICULTURE,4724404.46,1M_4_9M,40,11,9,2,16,95,0,0,NONE,,PUBLIC_DISCLOSURE_API,2024-03-13,2026-01-11
2025,REG_2025_000012,UNIVERSITY,HR,TRANSPORT,3423883.52,1M_4_9M,36,0,13,45,83,37,48,0,NONE,,JOINT_SECRETARIAT,2026-04-08,2024-01-03
2026,REG_2026_000013,LAW_FIRM,DE,ENERGY,8293585.18,5M_PLUS,38,18,27,39,17,13,23,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-04-09,2025-11-02
2014,REG_2014_000014,NGO,LU,DIGITAL,5486865.97,5M_PLUS,59,10,34,0,47,23,48,0,NONE,,PUBLIC_DISCLOSURE_API,2014-04-26,2024-05-11
2015,REG_2015_000015,PUBLIC_BODY,SI,DATA_GOV,865522.74,500000_999999,43,2,23,32,1,0,40,0,NONE,,JOINT_SECRETARIAT,2016-01-01,2025-02-01
2016,REG_2016_000016,TRADE_ASSOCIATION,IS,CONSUMER,4672460.51,1M_4_9M,92,8,9,50,75,12,14,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-04-02,2025-07-23
2017,REG_2017_000017,COMPANY,BE,MIGRATION,2735170.3,1M_4_9M,72,16,4,2,59,18,1,0,NONE,,PUBLIC_DISCLOSURE_API,2018-03-06,2025-07-01
2018,REG_2018_000018,THINK_TANK,FI,FINANCE,1562532.55,1M_4_9M,29,20,24,16,59,40,27,0,NONE,,JOINT_SECRETARIAT,2018-12-09,2024-07-09
2019,REG_2019_000019,CONSULTANCY,LV,HEALTH,4095261.28,1M_4_9M,52,6,0,27,21,163,54,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-05-26,2024-03-28
2020,REG_2020_000020,UNIVERSITY,RO,CLIMATE,4692750.0,1M_4_9M,78,6,0,30,8,27,11,0,NONE,,PUBLIC_DISCLOSURE_API,2021-04-13,2024-09-27
2021,REG_2021_000021,LAW_FIRM,CH,SPACE,9630598.63,5M_PLUS,93,18,21,21,3,139,31,0,NONE,,JOINT_SECRETARIAT,2021-08-18,2024-11-05
2022,REG_2022_000022,NGO,KR,COMPETITION,10216689.58,5M_PLUS,36,17,37,13,8,38,47,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-11-19,2024-06-10
2023,REG_2023_000023,PUBLIC_BODY,DK,SECURITY,1057177.71,1M_4_9M,42,1,21,14,56,0,50,0,NONE,,PUBLIC_DISCLOSURE_API,2023-09-15,2025-09-02
2024,REG_2024_000024,TRADE_ASSOCIATION,IE,AGRICULTURE,1120181.82,1M_4_9M,90,9,4,37,64,26,21,0,NONE,,JOINT_SECRETARIAT,2025-05-09,2025-12-21
2025,REG_2025_000025,COMPANY,PL,TRANSPORT,4494597.97,1M_4_9M,45,17,34,22,52,2,41,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-09-21,2025-12-28
2026,REG_2026_000026,THINK_TANK,US,ENERGY,1208825.02,1M_4_9M,81,5,6,17,1,1,42,0,NONE,,PUBLIC_DISCLOSURE_API,2026-03-03,2025-09-07
2014,REG_2014_000027,CONSULTANCY,CA,DIGITAL,317715.99,100000_499999,40,13,18,5,63,152,13,0,NONE,,JOINT_SECRETARIAT,2014-07-03,2025-06-30
2015,REG_2015_000028,UNIVERSITY,CY,DATA_GOV,5142109.76,5M_PLUS,62,10,33,40,9,0,32,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-07-18,2026-02-22
2016,REG_2016_000029,LAW_FIRM,GR,CONSUMER,9223828.85,5M_PLUS,68,6,27,58,45,220,7,0,NONE,,PUBLIC_DISCLOSURE_API,2016-06-13,2025-01-19
2017,REG_2017_000030,NGO,MT,MIGRATION,3139433.64,1M_4_9M,98,13,15,17,32,1,42,0,NONE,,JOINT_SECRETARIAT,2017-03-12,2025-06-14
2018,REG_2018_000031,PUBLIC_BODY,ES,FINANCE,5105629.64,5M_PLUS,60,14,25,21,47,9,13,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-03-18,2025-12-28
2019,REG_2019_000032,TRADE_ASSOCIATION,UA,HEALTH,3901344.89,1M_4_9M,46,12,15,11,49,35,45,0,NONE,,PUBLIC_DISCLOSURE_API,2020-06-07,2024-09-20
2020,REG_2020_000033,COMPANY,BG,CLIMATE,7714148.81,5M_PLUS,67,24,27,11,10,4,36,0,NONE,,JOINT_SECRETARIAT,2021-04-21,2026-01-16
2021,REG_2021_000034,THINK_TANK,FR,SPACE,5997945.94,5M_PLUS,113,13,11,35,71,20,16,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-12-31,2025-03-11
2022,REG_2022_000035,CONSULTANCY,LT,COMPETITION,919138.28,500000_999999,108,3,30,13,6,7,15,0,NONE,,PUBLIC_DISCLOSURE_API,2022-07-09,2025-06-08
2023,REG_2023_000036,UNIVERSITY,SK,SECURITY,4991650.11,1M_4_9M,60,11,13,35,36,2,10,0,NONE,,JOINT_SECRETARIAT,2024-11-15,2025-03-19
2024,REG_2024_000037,LAW_FIRM,NO,AGRICULTURE,6673447.19,5M_PLUS,47,19,30,54,73,244,52,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-04-08,2025-12-20
2025,REG_2025_000038,NGO,AT,TRANSPORT,749363.5,500000_999999,52,16,31,7,55,36,32,0,NONE,,PUBLIC_DISCLOSURE_API,2026-05-29,2024-10-27
2026,REG_2026_000039,PUBLIC_BODY,EE,ENERGY,7200682.48,5M_PLUS,69,0,22,25,97,27,38,0,NONE,,JOINT_SECRETARIAT,2026-06-05,2024-04-05
2014,REG_2014_000040,TRADE_ASSOCIATION,IT,DIGITAL,8800205.06,5M_PLUS,100,3,15,4,44,34,23,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-07-11,2024-09-02
2015,REG_2015_000041,COMPANY,PT,DATA_GOV,704827.55,500000_999999,85,23,24,57,91,12,52,0,NONE,,PUBLIC_DISCLOSURE_API,2016-08-06,2024-06-19
2016,REG_2016_000042,THINK_TANK,GB,CONSUMER,6780624.7,5M_PLUS,98,4,8,51,5,8,39,0,NONE,,JOINT_SECRETARIAT,2016-04-20,2024-02-02
2017,REG_2017_000043,CONSULTANCY,JP,MIGRATION,2004554.06,1M_4_9M,105,3,0,15,64,107,43,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-03-13,2025-11-17
2018,REG_2018_000044,UNIVERSITY,CZ,FINANCE,74699.27,50000_99999,50,10,25,19,42,23,11,0,NONE,,PUBLIC_DISCLOSURE_API,2018-01-01,2025-03-28
2019,REG_2019_000045,LAW_FIRM,HU,HEALTH,7702753.42,5M_PLUS,55,10,32,0,2,75,54,0,NONE,,JOINT_SECRETARIAT,2020-05-30,2024-09-03
2020,REG_2020_000046,NGO,NL,CLIMATE,4339830.16,1M_4_9M,75,20,16,43,84,12,12,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-06-13,2024-07-23
2021,REG_2021_000047,PUBLIC_BODY,SE,SPACE,38994.97,10000_49999,79,11,35,39,22,0,23,0,NONE,,PUBLIC_DISCLOSURE_API,2021-06-07,2025-07-25
2022,REG_2022_000048,TRADE_ASSOCIATION,TR,COMPETITION,9573591.49,5M_PLUS,122,12,32,6,18,22,33,0,NONE,,JOINT_SECRETARIAT,2023-02-12,2024-02-01
2023,REG_2023_000049,COMPANY,HR,SECURITY,7207666.06,5M_PLUS,63,14,22,15,76,39,12,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-06-24,2024-04-14
2024,REG_2024_000050,THINK_TANK,DE,AGRICULTURE,2538768.3,1M_4_9M,110,1,10,32,53,4,2,0,NONE,,PUBLIC_DISCLOSURE_API,2024-01-05,2025-06-22
2025,REG_2025_000051,CONSULTANCY,LU,TRANSPORT,2867922.08,1M_4_9M,90,20,35,21,29,244,40,0,NONE,,JOINT_SECRETARIAT,2026-05-09,2024-08-27
2026,REG_2026_000052,UNIVERSITY,SI,ENERGY,6883308.08,5M_PLUS,110,0,9,43,14,5,30,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-06-05,2025-03-14
2014,REG_2014_000053,LAW_FIRM,IS,DIGITAL,5356978.23,5M_PLUS,104,5,19,52,43,213,43,0,NONE,,PUBLIC_DISCLOSURE_API,2015-05-25,2024-08-11
2015,REG_2015_000054,NGO,BE,DATA_GOV,5611074.61,5M_PLUS,107,11,4,58,14,28,11,0,NONE,,JOINT_SECRETARIAT,2015-07-11,2025-08-08
2016,REG_2016_000055,PUBLIC_BODY,FI,CONSUMER,6423825.49,5M_PLUS,63,8,13,42,54,25,10,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-06-01,2024-02-20
2017,REG_2017_000056,TRADE_ASSOCIATION,LV,MIGRATION,8433852.12,5M_PLUS,92,6,24,15,12,29,43,0,NONE,,PUBLIC_DISCLOSURE_API,2017-11-02,2025-04-24
2018,REG_2018_000057,COMPANY,RO,FINANCE,1322725.35,1M_4_9M,125,12,15,42,36,2,24,0,NONE,,JOINT_SECRETARIAT,2018-07-06,2024-03-29
2019,REG_2019_000058,THINK_TANK,CH,HEALTH,9153536.56,5M_PLUS,102,0,7,61,85,4,6,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-05-12,2025-02-09
2020,REG_2020_000059,CONSULTANCY,KR,CLIMATE,6576948.14,5M_PLUS,133,18,10,6,43,240,35,0,NONE,,PUBLIC_DISCLOSURE_API,2021-11-28,2025-05-13
2021,REG_2021_000060,UNIVERSITY,DK,SPACE,7043905.76,5M_PLUS,81,12,2,44,82,36,3,0,NONE,,JOINT_SECRETARIAT,2021-04-04,2024-04-24
2022,REG_2022_000061,LAW_FIRM,IE,COMPETITION,2976471.49,1M_4_9M,75,8,3,32,83,149,43,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-01-04,2024-03-03
