demo_household_survey_year,demo_household_household_id_sample,demo_household_country_iso2,demo_household_region_nuts_code,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_household_size,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly_eur,demo_household_sampling_stratum
2019,EUHH2019000000,AT,PL1,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,8.47,2.14,4,FIBER,EN,NONE,45,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000001,BG,CY6,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,1,0,0,69.92,1.85,2,DSL,PT,SEVERE,33,919.89,URBAN_MIXED
2021,EUHH2021000002,CY,FI62,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,2,0,0,9.42,2.74,2,MOBILE,DE,SOME,1,891.35,RURAL_LOW_DENSITY
2022,EUHH2022000003,DK,HU824,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,1,0,0,66.13,1.54,2,NONE,BG,NONE,58,104.08,RURAL_AGRI
2023,EUHH2023000004,FI,SI61,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,4,1,0,37.47,2.46,0,CABLE,FR,SEVERE,47,380.23,INTERMEDIATE_TOWNS
2024,EUHH2024000005,DE,EE217,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,3,0,0,35.68,1.34,3,FIBER,HR,SOME,19,337.56,COASTAL_TOURISM
2025,EUHH2025000006,HU,AT939,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,6,0,0,52.24,2.43,3,DSL,ES,NONE,0,876.62,URBAN_HIGH_INCOME
2026,EUHH2026000007,IT,BE61,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,2,0,0,30.44,0.84,0,MOBILE,DA,SEVERE,12,207.79,URBAN_MIXED
2019,EUHH2019000008,LT,FI56,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,48.73,2.2,2,NONE,IT,SOME,6,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000009,MT,MT191,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,30.66,1.42,3,CABLE,ET,NONE,55,1254.5,RURAL_AGRI
2021,EUHH2021000010,PL,SE598,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,2,0,0,69.05,1.39,2,FIBER,PL,SEVERE,79,31.23,INTERMEDIATE_TOWNS
2022,EUHH2022000011,RO,CZ886,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,3,0,0,46.85,2.13,3,DSL,LV,SOME,42,727.05,COASTAL_TOURISM
2023,EUHH2023000012,SI,IE3,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,4,1,0,57.29,1.86,1,MOBILE,RO,NONE,74,144.33,URBAN_HIGH_INCOME
2024,EUHH2024000013,SE,BE7,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,4,0,0,22.33,1.62,4,NONE,LT,SEVERE,75,62.5,URBAN_MIXED
2025,EUHH2025000014,BE,HU582,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,1,0,0,14.91,2.13,4,CABLE,NL,SOME,49,1212.04,RURAL_LOW_DENSITY
2026,EUHH2026000015,HR,PT43,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,0,0,0,6.75,1.6,2,FIBER,GA,NONE,63,0.0,RURAL_AGRI
2019,EUHH2019000016,CZ,SE968,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,64.1,2.29,2,DSL,SV,SEVERE,23,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000017,EE,BG75,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,48.91,1.1,0,MOBILE,MT,SOME,12,111.4,COASTAL_TOURISM
2021,EUHH2021000018,FR,DE727,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,42.76,0.89,3,NONE,FI,NONE,17,351.83,URBAN_HIGH_INCOME
2022,EUHH2022000019,GR,SI103,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,3,1,0,46.11,1.81,1,CABLE,SK,SEVERE,31,11.15,URBAN_MIXED
2023,EUHH2023000020,IE,GR751,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,4,0,0,69.79,1.41,1,FIBER,EL,SOME,31,736.15,RURAL_LOW_DENSITY
2024,EUHH2024000021,LV,DK55,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,5,0,0,18.47,1.45,1,DSL,SL,NONE,23,772.46,RURAL_AGRI
2025,EUHH2025000022,LU,DE84,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,2,0,0,57.2,1.52,3,MOBILE,HU,SEVERE,70,589.03,INTERMEDIATE_TOWNS
2026,EUHH2026000023,NL,LU37,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,6,0,0,53.61,2.71,4,NONE,CY,SOME,5,47.06,COASTAL_TOURISM
2019,EUHH2019000024,PT,IT59,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,28.42,1.82,2,CABLE,CS,NONE,27,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000025,SK,ES461,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,1,0,0,12.53,1.63,2,FIBER,EN,SEVERE,6,1369.3,URBAN_MIXED
2021,EUHH2021000026,ES,LV75,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,25.41,1.09,4,DSL,PT,SOME,42,681.09,RURAL_LOW_DENSITY
2022,EUHH2022000027,AT,FI347,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,0,0,0,8.21,1.66,4,MOBILE,DE,NONE,35,0.0,RURAL_AGRI
2023,EUHH2023000028,BG,DK921,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,4,0,0,64.78,2.36,4,NONE,BG,SEVERE,66,1306.99,INTERMEDIATE_TOWNS
2024,EUHH2024000029,CY,CY617,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,0,0,0,54.25,2.0,0,CABLE,FR,SOME,37,0.0,COASTAL_TOURISM
2025,EUHH2025000030,DK,ES5,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,2,0,0,11.02,1.91,4,FIBER,HR,NONE,43,378.81,URBAN_HIGH_INCOME
2026,EUHH2026000031,FI,IT56,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,3,1,0,5.24,2.44,2,DSL,ES,SEVERE,53,1265.12,URBAN_MIXED
2019,EUHH2019000032,DE,PL147,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,30.41,1.78,2,MOBILE,DA,SOME,37,0.0,RURAL_LOW_DENSITY
2020,EUHH2020000033,HU,GR596,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,55.95,2.07,1,NONE,IT,NONE,51,329.75,RURAL_AGRI
2021,EUHH2021000034,IT,BE637,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,2,0,0,37.26,1.55,4,CABLE,ET,SEVERE,79,1334.18,INTERMEDIATE_TOWNS
2022,EUHH2022000035,LT,LU31,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,3,0,0,15.96,1.1,2,FIBER,PL,SOME,16,349.49,COASTAL_TOURISM
2023,EUHH2023000036,MT,LV71,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,4,0,0,59.26,1.0,3,DSL,LV,NONE,54,1458.73,URBAN_HIGH_INCOME
2024,EUHH2024000037,PL,IE55,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,4,0,0,44.9,0.84,3,MOBILE,RO,SEVERE,12,468.08,URBAN_MIXED
2025,EUHH2025000038,RO,MT427,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,1,0,0,20.19,1.08,2,NONE,LT,SOME,68,1410.71,RURAL_LOW_DENSITY
2026,EUHH2026000039,SI,DK77,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,5,0,0,18.43,0.79,2,CABLE,NL,NONE,10,944.92,RURAL_AGRI
2019,EUHH2019000040,SE,HU103,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,49.04,1.03,3,FIBER,GA,SEVERE,14,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020000041,BE,MT76,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,1,0,0,12.1,1.58,0,DSL,SV,SOME,20,727.72,COASTAL_TOURISM
2021,EUHH2021000042,HR,SI899,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,2,0,0,35.86,1.25,3,MOBILE,MT,NONE,73,1183.08,URBAN_HIGH_INCOME
2022,EUHH2022000043,CZ,NL92,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,3,1,0,16.42,2.29,0,NONE,FI,SEVERE,61,1145.48,URBAN_MIXED
2023,EUHH2023000044,EE,SK351,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,0,0,0,68.18,1.5,1,CABLE,SK,SOME,21,0.0,RURAL_LOW_DENSITY
2024,EUHH2024000045,FR,FR9,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,2,0,0,27.17,2.68,2,FIBER,EL,NONE,25,180.18,RURAL_AGRI
2025,EUHH2025000046,GR,PT874,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,5,0,0,25.42,2.1,3,DSL,SL,SEVERE,38,22.66,INTERMEDIATE_TOWNS
2026,EUHH2026000047,IE,LT46,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,3,0,0,22.8,2.5,1,MOBILE,HU,SOME,78,715.01,COASTAL_TOURISM
2019,EUHH2019000048,LV,IE811,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,45.85,0.83,3,NONE,CY,NONE,44,0.0,URBAN_HIGH_INCOME
2020,EUHH2020000049,LU,RO32,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,27.2,1.67,4,CABLE,CS,SEVERE,7,577.3,URBAN_MIXED
