demo_migflow_move_year,demo_migflow_origin_nuts_code,demo_migflow_destination_nuts_code,demo_migflow_movement_scope_code,demo_migflow_schengen_flag,demo_migflow_residence_permit_type,demo_migflow_citizenship_iso2,demo_migflow_age_at_move,demo_migflow_sex,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_employment_status_before_move,demo_migflow_employment_status_after_move,demo_migflow_commute_change_minutes,demo_migflow_distance_km_estimate,demo_migflow_cross_border_worker_flag,demo_migflow_inflow_count,demo_migflow_outflow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2015,PL1,FR37,INTRA_EU,1,WORK,AT,0,M,1,WORK,EMPLOYED,EMPLOYED,70,581,0,21,23,1.2647,2022Q1
2016,CY281,LT5,EXTRA_EU,1,WORK,GR,3,F,2,OTHER,INACTIVE,INACTIVE,-112,1126,0,19,32,0.654,2024Q2
2017,BG4,CY38,INTERNAL,1,WORK,RO,6,T,3,RETIREMENT,STUDENT,STUDENT,-57,1636,0,32,50,1.3817,2026Q3
2018,RO963,LV2,CROSS_BORDER,1,WORK,DK,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,96,2400,0,44,55,2.8888,2023Q4
2019,RO64,EE217,INTRA_EU,1,WORK,LU,12,F,5,FAMILY,EMPLOYED,EMPLOYED,-49,678,0,17,37,3.4896,2026Q1
2020,HR7,SI3,EXTRA_EU,1,WORK,BE,15,T,6,STUDY,INACTIVE,INACTIVE,48,596,0,36,63,1.2316,2023Q2
2021,FI8,FI738,INTERNAL,1,WORK,HU,18,M,1,WORK,STUDENT,STUDENT,-64,343,0,50,36,1.9812,2025Q3
2022,BG595,PT678,CROSS_BORDER,1,WORK,SK,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-49,87,0,44,56,0.8882,2022Q4
2023,BE441,EE6,INTRA_EU,0,WORK,EE,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,38,2462,0,28,40,1.8532,2025Q1
2024,FI62,EE2,EXTRA_EU,0,WORK,MT,27,M,4,PROTECTION,INACTIVE,INACTIVE,33,573,0,20,56,0.5784,2022Q2
2025,RO292,BE28,INTERNAL,1,WORK,BG,30,F,5,FAMILY,STUDENT,STUDENT,117,729,0,42,55,2.1891,2024Q3
2026,HU93,LU8,CROSS_BORDER,0,WORK,IE,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-23,2479,1,21,68,1.0081,2026Q4
2015,SE6,GR77,INTRA_EU,1,WORK,SI,36,M,1,WORK,EMPLOYED,EMPLOYED,-30,140,0,29,60,2.1764,2024Q1
2016,MT637,BE61,EXTRA_EU,1,WORK,FI,39,F,2,OTHER,INACTIVE,INACTIVE,-43,2182,0,45,49,0.8918,2026Q2
2017,CY9,LU36,INTERNAL,1,WORK,NL,42,T,3,RETIREMENT,STUDENT,STUDENT,-96,2755,0,30,88,1.066,2023Q3
2018,HU42,BG91,CROSS_BORDER,1,WORK,HR,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-25,2540,1,63,86,0.5712,2025Q4
2019,HR3,IE83,INTRA_EU,1,WORK,IT,48,F,5,FAMILY,EMPLOYED,EMPLOYED,-106,2651,1,63,79,1.6769,2023Q1
2020,HU88,HU7,EXTRA_EU,1,WORK,ES,51,T,6,STUDY,INACTIVE,INACTIVE,-73,1399,0,44,92,0.5048,2025Q2
2021,SI61,RO972,INTERNAL,1,WORK,FR,54,M,1,WORK,STUDENT,STUDENT,-30,2461,0,56,101,3.492,2022Q3
2022,AT582,MT905,CROSS_BORDER,0,WORK,PL,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-84,934,1,51,80,0.7375,2024Q4
2023,SE993,LT308,INTRA_EU,1,WORK,CY,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-22,2671,0,59,104,2.7588,2022Q1
2024,SI195,NL4,EXTRA_EU,1,WORK,LV,63,M,4,PROTECTION,INACTIVE,INACTIVE,-24,1191,0,49,88,1.7206,2024Q2
2025,GR40,MT191,INTERNAL,0,WORK,SE,66,F,5,FAMILY,STUDENT,STUDENT,-90,2523,0,54,88,2.4686,2026Q3
2026,SE9,DK634,CROSS_BORDER,1,WORK,DE,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-94,333,0,60,105,2.5768,2023Q4
2015,PT92,IT20,INTRA_EU,1,WORK,PT,72,M,1,WORK,EMPLOYED,EMPLOYED,-32,729,0,60,86,0.7001,2026Q1
2016,SI446,DK525,EXTRA_EU,0,WORK,CZ,75,F,2,OTHER,INACTIVE,INACTIVE,-80,2273,0,55,115,2.0518,2023Q2
2017,IT4,FR8,INTERNAL,1,WORK,LT,78,T,3,RETIREMENT,STUDENT,STUDENT,-102,2564,1,44,103,0.5216,2025Q3
2018,AT939,AT941,CROSS_BORDER,1,WORK,AT,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,2,2569,1,65,92,1.5364,2022Q4
2019,RO131,SK344,INTRA_EU,0,WORK,GR,84,F,5,FAMILY,EMPLOYED,EMPLOYED,41,1756,0,53,102,0.7837,2025Q1
2020,EE83,DK587,EXTRA_EU,1,WORK,RO,87,T,6,STUDY,INACTIVE,INACTIVE,-89,2213,0,48,101,3.0808,2022Q2
2021,EE73,PL50,INTERNAL,1,WORK,DK,0,M,1,WORK,STUDENT,STUDENT,42,2121,0,72,123,1.6251,2024Q3
2022,SK2,CZ886,CROSS_BORDER,0,WORK,LU,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-99,345,1,50,141,1.297,2026Q4
2023,EE4,BG380,INTRA_EU,1,WORK,BE,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-113,1007,0,63,121,2.1234,2024Q1
2024,CZ83,IE1,EXTRA_EU,1,WORK,HU,9,M,4,PROTECTION,INACTIVE,INACTIVE,112,613,0,47,122,0.7582,2026Q2
2025,BE901,DK415,INTERNAL,1,WORK,SK,12,F,5,FAMILY,STUDENT,STUDENT,33,2703,0,68,136,2.2603,2023Q3
2026,HU3,EE3,CROSS_BORDER,1,WORK,EE,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,2,2197,0,80,127,2.8646,2025Q4
2015,FI56,SK73,INTRA_EU,1,WORK,MT,18,M,1,WORK,EMPLOYED,EMPLOYED,-33,2340,1,67,131,3.2419,2023Q1
2016,DK40,EE8,EXTRA_EU,1,WORK,BG,21,F,2,OTHER,INACTIVE,INACTIVE,-96,407,0,48,145,2.8723,2025Q2
2017,BE8,AT465,INTERNAL,1,WORK,IE,24,T,3,RETIREMENT,STUDENT,STUDENT,-11,1614,0,75,152,3.0706,2022Q3
2018,BG2,GR968,CROSS_BORDER,0,WORK,SI,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,103,1515,1,58,158,0.8859,2024Q4
2019,HU4,BE7,INTRA_EU,1,WORK,FI,30,F,5,FAMILY,EMPLOYED,EMPLOYED,-32,908,0,65,161,3.3406,2022Q1
2020,IE954,LT7,EXTRA_EU,1,WORK,NL,33,T,6,STUDY,INACTIVE,INACTIVE,-20,1291,0,75,172,1.8016,2024Q2
2021,HU5,BE708,INTERNAL,1,WORK,HR,36,M,1,WORK,STUDENT,STUDENT,15,1812,0,89,163,0.8112,2026Q3
2022,IT218,BG695,CROSS_BORDER,1,WORK,IT,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,85,2371,1,76,146,0.3694,2023Q4
2023,BG6,LT75,INTRA_EU,1,WORK,ES,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-85,1294,1,80,179,0.7148,2026Q1
2024,SE598,DK72,EXTRA_EU,1,WORK,FR,45,M,4,PROTECTION,INACTIVE,INACTIVE,-37,1574,0,76,152,0.7576,2023Q2
2025,CY21,SE5,INTERNAL,1,WORK,PL,48,F,5,FAMILY,STUDENT,STUDENT,101,1732,0,84,174,2.5751,2025Q3
2026,NL6,ES677,CROSS_BORDER,1,WORK,CY,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-61,1313,0,94,164,1.1237,2022Q4
2015,FI2,ES314,INTRA_EU,0,WORK,LV,54,M,1,WORK,EMPLOYED,EMPLOYED,101,572,1,94,161,1.2637,2025Q1
2016,AT34,PT43,EXTRA_EU,0,WORK,SE,57,F,2,OTHER,INACTIVE,INACTIVE,48,1525,0,70,166,2.8198,2022Q2
2017,LU2,EE27,INTERNAL,1,WORK,DE,60,T,3,RETIREMENT,STUDENT,STUDENT,6,1895,0,60,178,3.2143,2024Q3
2018,SE92,PL116,CROSS_BORDER,0,WORK,PT,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,65,2328,1,69,186,0.6719,2026Q4
2019,FR15,IT9,INTRA_EU,1,WORK,CZ,66,F,5,FAMILY,EMPLOYED,EMPLOYED,58,2689,1,63,179,1.0366,2024Q1
2020,SI792,NL89,EXTRA_EU,1,WORK,LT,69,T,6,STUDY,INACTIVE,INACTIVE,-86,388,0,98,178,2.7773,2026Q2
2021,IE3,IT8,INTERNAL,1,WORK,AT,72,M,1,WORK,STUDENT,STUDENT,45,644,0,100,189,1.3133,2023Q3
2022,HU8,SI834,CROSS_BORDER,1,WORK,GR,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-19,2004,1,93,175,1.5654,2025Q4
2023,GR43,EE65,INTRA_EU,1,WORK,RO,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-64,2753,0,99,205,0.9415,2023Q1
2024,FI5,CY7,EXTRA_EU,1,WORK,DK,81,M,4,PROTECTION,INACTIVE,INACTIVE,-85,625,1,70,214,1.235,2025Q2
2025,DE2,BG75,INTERNAL,0,WORK,LU,84,F,5,FAMILY,STUDENT,STUDENT,-88,1593,0,102,197,0.9547,2022Q3
2026,GR669,DK79,CROSS_BORDER,1,WORK,BE,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-12,1853,0,101,197,3.3032,2024Q4
2015,MT5,LV6,INTRA_EU,1,WORK,HU,0,M,1,WORK,EMPLOYED,EMPLOYED,34,1665,0,110,195,2.5314,2022Q1
2016,ES456,SK993,EXTRA_EU,1,WORK,SK,3,F,2,OTHER,INACTIVE,INACTIVE,98,1379,0,87,231,3.2355,2024Q2
2017,PT5,IE16,INTERNAL,0,WORK,EE,6,T,3,RETIREMENT,STUDENT,STUDENT,104,2460,0,107,219,3.2351,2026Q3
2018,HU582,CY906,CROSS_BORDER,1,WORK,MT,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,63,217,1,85,208,1.137,2023Q4
2019,NL568,CY30,INTRA_EU,1,WORK,BG,12,F,5,FAMILY,EMPLOYED,EMPLOYED,101,388,0,87,225,0.4597,2026Q1
2020,FR7,IT66,EXTRA_EU,1,WORK,IE,15,T,6,STUDY,INACTIVE,INACTIVE,107,8,1,96,223,1.5528,2023Q2
2021,IT487,LV9,INTERNAL,1,WORK,SI,18,M,1,WORK,STUDENT,STUDENT,81,2178,0,79,242,3.1089,2025Q3
2022,LT613,SI103,CROSS_BORDER,1,WORK,FI,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,14,2092,1,79,229,1.1169,2022Q4
2023,CY1,PT4,INTRA_EU,1,WORK,NL,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-48,256,0,82,236,1.5981,2025Q1
2024,IE467,NL224,EXTRA_EU,0,WORK,HR,27,M,4,PROTECTION,INACTIVE,INACTIVE,-33,315,0,100,229,1.9718,2022Q2
2025,EE9,PT73,INTERNAL,1,WORK,IT,30,F,5,FAMILY,STUDENT,STUDENT,-50,2114,0,110,239,1.7659,2024Q3
2026,CY98,PT290,CROSS_BORDER,1,WORK,ES,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-108,812,1,121,223,0.6299,2026Q4
2015,SE968,LT606,INTRA_EU,1,WORK,FR,36,M,1,WORK,EMPLOYED,EMPLOYED,118,1306,0,110,233,1.8586,2024Q1
2016,IT44,GR826,EXTRA_EU,0,WORK,PL,39,F,2,OTHER,INACTIVE,INACTIVE,20,1079,1,121,231,0.7953,2026Q2
2017,IT5,ES876,INTERNAL,1,WORK,CY,42,T,3,RETIREMENT,STUDENT,STUDENT,113,2696,0,122,265,2.5205,2023Q3
2018,LU3,MT750,CROSS_BORDER,1,WORK,LV,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-68,1986,0,91,258,1.9511,2025Q4
2019,RO4,DK55,INTRA_EU,1,WORK,SE,48,F,5,FAMILY,EMPLOYED,EMPLOYED,84,2124,0,93,243,2.12,2023Q1
2020,LU70,LT2,EXTRA_EU,1,WORK,DE,51,T,6,STUDY,INACTIVE,INACTIVE,92,1583,0,124,274,0.9463,2025Q2
2021,RO7,SI8,INTERNAL,1,WORK,PT,54,M,1,WORK,STUDENT,STUDENT,-15,273,0,90,264,3.0675,2022Q3
2022,FR78,BG46,CROSS_BORDER,1,WORK,CZ,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,17,854,1,105,269,2.3596,2024Q4
2023,LV5,LT78,INTRA_EU,1,WORK,LT,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-31,1733,0,99,284,1.4828,2022Q1
2024,DE727,FR41,EXTRA_EU,1,WORK,AT,63,M,4,PROTECTION,INACTIVE,INACTIVE,-59,1018,0,128,285,0.8219,2024Q2
2025,MT116,HR923,INTERNAL,1,WORK,GR,66,F,5,FAMILY,STUDENT,STUDENT,-18,2706,0,121,286,1.3725,2026Q3
2026,FI63,SI513,CROSS_BORDER,1,WORK,RO,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,54,1357,1,110,286,1.6688,2023Q4
2015,FI51,CZ18,INTRA_EU,1,WORK,DK,72,M,1,WORK,EMPLOYED,EMPLOYED,102,857,1,106,12,0.7852,2026Q1
2016,BE41,LU37,EXTRA_EU,1,WORK,LU,75,F,2,OTHER,INACTIVE,INACTIVE,-68,650,0,124,26,1.8328,2023Q2
2017,DK3,LV85,INTERNAL,1,WORK,BE,78,T,3,RETIREMENT,STUDENT,STUDENT,31,2299,0,110,34,1.3133,2025Q3
2018,IT552,HU29,CROSS_BORDER,1,WORK,HU,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,87,255,1,105,54,1.486,2022Q4
2019,HR149,ES513,INTRA_EU,1,WORK,SK,84,F,5,FAMILY,EMPLOYED,EMPLOYED,-93,982,1,132,53,2.9182,2025Q1
2020,BG414,ES486,EXTRA_EU,0,WORK,EE,87,T,6,STUDY,INACTIVE,INACTIVE,-119,2197,0,129,35,3.1352,2022Q2
2021,GR751,IE19,INTERNAL,0,WORK,MT,0,M,1,WORK,STUDENT,STUDENT,43,1875,0,114,65,3.0681,2024Q3
2022,SE26,PL5,CROSS_BORDER,0,WORK,BG,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,3,1951,1,108,40,3.1122,2026Q4
2023,CZ949,BG1,INTRA_EU,1,WORK,IE,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-85,1311,0,132,68,3.2489,2024Q1
2024,SE553,BE5,EXTRA_EU,1,WORK,SI,9,M,4,PROTECTION,INACTIVE,INACTIVE,79,2473,1,131,44,0.7686,2026Q2
2025,LV37,ES461,INTERNAL,1,WORK,FI,12,F,5,FAMILY,STUDENT,STUDENT,-84,1146,0,122,60,1.8644,2023Q3
2026,FI580,IT564,CROSS_BORDER,0,WORK,NL,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-107,1433,0,133,75,0.6006,2025Q4
2015,EE778,NL7,INTRA_EU,1,WORK,HR,18,M,1,WORK,EMPLOYED,EMPLOYED,117,1754,0,143,85,2.3189,2023Q1
2016,PL870,SI590,EXTRA_EU,1,WORK,IT,21,F,2,OTHER,INACTIVE,INACTIVE,-27,2503,0,132,76,2.7629,2025Q2
2017,RO5,MT81,INTERNAL,1,WORK,ES,24,T,3,RETIREMENT,STUDENT,STUDENT,-110,2492,0,132,87,3.035,2022Q3
2018,DE84,DE225,CROSS_BORDER,1,WORK,FR,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,79,1094,1,148,80,0.7875,2024Q4
2019,SK6,SE171,INTRA_EU,0,WORK,PL,30,F,5,FAMILY,EMPLOYED,EMPLOYED,94,1158,0,134,83,0.9281,2022Q1
2020,DK849,SI90,EXTRA_EU,1,WORK,CY,33,T,6,STUDY,INACTIVE,INACTIVE,-69,751,0,116,100,0.543,2024Q2
2021,FR6,DK697,INTERNAL,1,WORK,LV,36,M,1,WORK,STUDENT,STUDENT,39,59,0,135,84,1.8304,2026Q3
2022,CY10,FI347,CROSS_BORDER,1,WORK,SE,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-108,472,1,153,106,0.6657,2023Q4
2023,HR5,PL424,INTRA_EU,0,WORK,DE,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-36,157,0,120,74,0.5216,2026Q1
2024,CZ5,IE4,EXTRA_EU,1,WORK,PT,45,M,4,PROTECTION,INACTIVE,INACTIVE,112,625,0,116,107,0.4046,2023Q2
2025,PL122,HR374,INTERNAL,1,WORK,CZ,48,F,5,FAMILY,STUDENT,STUDENT,23,2347,0,132,107,3.2112,2025Q3
2026,HR799,LV8,CROSS_BORDER,1,WORK,LT,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,101,2283,0,137,99,1.9243,2022Q4
2015,IT59,FI68,INTRA_EU,1,WORK,AT,54,M,1,WORK,EMPLOYED,EMPLOYED,-29,2020,0,156,95,0.645,2025Q1
2016,SK4,IT855,EXTRA_EU,1,WORK,GR,57,F,2,OTHER,INACTIVE,INACTIVE,0,2340,0,135,111,1.0759,2022Q2
2017,PT3,DK496,INTERNAL,0,WORK,RO,60,T,3,RETIREMENT,STUDENT,STUDENT,9,1697,0,144,108,2.4721,2024Q3
2018,IE84,SK76,CROSS_BORDER,1,WORK,DK,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-81,98,0,152,101,2.9153,2026Q4
2019,RO81,CY617,INTRA_EU,1,WORK,LU,66,F,5,FAMILY,EMPLOYED,EMPLOYED,-27,604,0,131,115,1.5571,2024Q1
2020,NL571,IE317,EXTRA_EU,1,WORK,BE,69,T,6,STUDY,INACTIVE,INACTIVE,99,2430,0,154,107,1.2283,2026Q2
2021,LT871,RO25,INTERNAL,1,WORK,HU,72,M,1,WORK,STUDENT,STUDENT,-112,2771,0,125,136,1.5516,2023Q3
2022,SK50,EE531,CROSS_BORDER,1,WORK,SK,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-43,2735,0,145,110,2.1855,2025Q4
2023,LT842,AT6,INTRA_EU,1,WORK,EE,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-34,1151,0,135,139,3.1077,2023Q1
2024,LV75,GR72,EXTRA_EU,1,WORK,MT,81,M,4,PROTECTION,INACTIVE,INACTIVE,46,836,0,139,126,1.3249,2025Q2
2025,IE846,CZ2,INTERNAL,1,WORK,BG,84,F,5,FAMILY,STUDENT,STUDENT,47,894,0,140,114,0.5861,2022Q3
2026,DE61,MT4,CROSS_BORDER,1,WORK,IE,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,64,159,1,162,155,2.1837,2024Q4
2015,PT860,PT8,INTRA_EU,1,WORK,SI,0,M,1,WORK,EMPLOYED,EMPLOYED,-7,2139,0,130,139,3.0315,2022Q1
2016,PL13,IT56,EXTRA_EU,1,WORK,FI,3,F,2,OTHER,INACTIVE,INACTIVE,-109,715,0,145,144,2.5369,2024Q2
2017,RO20,DK81,INTERNAL,1,WORK,NL,6,T,3,RETIREMENT,STUDENT,STUDENT,-35,2232,0,170,137,2.3,2026Q3
2018,LU9,FR506,CROSS_BORDER,1,WORK,HR,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,69,947,1,149,143,2.3267,2023Q4
2019,SE8,NL843,INTRA_EU,1,WORK,IT,12,F,5,FAMILY,EMPLOYED,EMPLOYED,-98,998,0,159,142,2.0081,2026Q1
2020,LT567,NL31,EXTRA_EU,1,WORK,ES,15,T,6,STUDY,INACTIVE,INACTIVE,11,342,0,143,175,1.6731,2023Q2
2021,DK921,BE621,INTERNAL,1,WORK,FR,18,M,1,WORK,STUDENT,STUDENT,98,2348,0,165,154,2.7611,2025Q3
2022,SK82,DK9,CROSS_BORDER,0,WORK,PL,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,103,1428,0,142,143,3.4343,2022Q4
2023,LU775,FI55,INTRA_EU,1,WORK,CY,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-66,2767,0,153,144,3.0585,2025Q1
