demo_nativity_estimate_year,demo_nativity_country_iso2,demo_nativity_region_nuts_code,demo_nativity_nativity_category,demo_nativity_country_of_birth_iso2,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_second_citizenship_iso2,demo_nativity_language_main_home,demo_nativity_language_secondary_home,demo_nativity_language_proficiency_level,demo_nativity_education_level_isc,demo_nativity_employment_status,demo_nativity_refugee_or_protection_flag,demo_nativity_family_reunification_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_integration_policy_index_score,demo_nativity_eurostat_table_code,demo_nativity_cultural_linguistic_diversity_index
2018,AT,PL1,NATIVE_BORN,AT,,NATIONAL,,EN,DE,A1,ISCED0_2,EMPLOYED,0,0,0,0,33.2,migr_pop1ctz,0.7208
2019,CZ,BG4,FOREIGN_BORN,GR,1981,EU,,ET,IT,C2,ISCED7_8,UNEMPLOYED,0,0,1,0,30.61,migr_pop3ctb,0.4504
2020,DE,RO64,SECOND_GEN,RO,1982,NON_EU,,FI,DA,B2,ISCED5_6,STUDENT,0,0,0,0,81.83,edat_lfse_03,0.6143
2021,LV,FI8,NATIVE_BORN,LV,,DUAL,,DE,SK,A2,ISCED3_4,INACTIVE,0,0,0,0,61.72,ilc_lvps08,0.4269
2022,PL,BE441,FOREIGN_BORN,LU,1984,NATIONAL,,LV,HU,NATIVE,ISCED0_2,EMPLOYED,0,1,0,0,30.88,migr_imm8,0.5166
2023,ES,RO292,SECOND_GEN,BE,1985,EU,,EL,DA,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,36.59,migr_pop1ctz,0.1982
2024,HR,SE6,NATIVE_BORN,HR,,NON_EU,,FR,,B1,ISCED5_6,STUDENT,0,0,0,0,45.33,migr_pop3ctb,0.1216
2025,FI,CY9,FOREIGN_BORN,SK,1987,DUAL,BG,LT,BG,A1,ISCED3_4,INACTIVE,0,0,0,1,30.0,edat_lfse_03,0.5028
2026,IE,HR3,SECOND_GEN,EE,1988,NATIONAL,,HU,BG,C2,ISCED0_2,EMPLOYED,0,0,0,0,30.33,ilc_lvps08,0.3702
2018,MT,SI61,NATIVE_BORN,MT,,EU,,ES,SL,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,84.27,migr_imm8,0.7471
2019,SK,SE993,FOREIGN_BORN,BG,1990,NON_EU,,GA,LV,A2,ISCED5_6,STUDENT,0,1,0,0,56.28,migr_pop1ctz,0.6788
2020,BE,GR40,SECOND_GEN,IE,1991,DUAL,,CS,SV,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,53.95,migr_pop3ctb,0.384
2021,DK,PT92,NATIVE_BORN,DK,,NATIONAL,,IT,ET,C1,ISCED0_2,EMPLOYED,0,0,0,0,78.46,edat_lfse_03,0.7757
2022,GR,IT4,FOREIGN_BORN,FI,1993,EU,,MT,ET,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,81.13,ilc_lvps08,0.307
2023,LT,RO131,SECOND_GEN,NL,1994,NON_EU,,PT,FI,A1,ISCED5_6,STUDENT,0,0,0,0,90.58,migr_imm8,0.4524
2024,PT,EE73,NATIVE_BORN,PT,,DUAL,PT,PL,LT,C2,ISCED3_4,INACTIVE,0,0,0,0,86.87,migr_pop1ctz,0.1615
2025,SE,EE4,FOREIGN_BORN,IT,1996,NATIONAL,,SK,LT,B2,ISCED0_2,EMPLOYED,0,0,1,0,37.74,migr_pop3ctb,0.4489
2026,CY,BE901,SECOND_GEN,ES,1997,EU,,BG,,A2,ISCED7_8,UNEMPLOYED,0,0,0,1,32.2,edat_lfse_03,0.3691
2018,FR,FI56,NATIVE_BORN,FR,,NON_EU,,RO,CY,NATIVE,ISCED5_6,STUDENT,0,0,0,0,35.7,ilc_lvps08,0.2475
2019,IT,BE8,FOREIGN_BORN,PL,1999,DUAL,,SL,BG,C1,ISCED3_4,INACTIVE,0,0,1,0,70.43,migr_imm8,0.2754
2020,NL,HU4,SECOND_GEN,CY,2000,NATIONAL,,HR,ET,B1,ISCED0_2,EMPLOYED,0,0,0,1,52.72,migr_pop1ctz,0.2449
2021,SI,HU5,NATIVE_BORN,SI,,EU,,NL,IT,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,41.32,migr_pop3ctb,0.5571
2022,BG,BG6,FOREIGN_BORN,SE,2002,NON_EU,,CY,DE,C2,ISCED5_6,STUDENT,0,1,0,0,55.27,edat_lfse_03,0.7318
2023,EE,CY21,SECOND_GEN,DE,2003,DUAL,SK,DA,FI,B2,ISCED3_4,INACTIVE,0,0,0,0,27.51,ilc_lvps08,0.064
2024,HU,FI2,NATIVE_BORN,HU,,NATIONAL,,SV,,A2,ISCED0_2,EMPLOYED,0,0,0,0,78.96,migr_imm8,0.9289
2025,LU,LU2,FOREIGN_BORN,CZ,2005,EU,,EN,LT,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,47.36,migr_pop1ctz,0.4167
2026,RO,FR15,SECOND_GEN,LT,2006,NON_EU,,ET,,C1,ISCED5_6,STUDENT,0,0,0,0,70.49,migr_pop3ctb,0.4154
2018,AT,IE3,NATIVE_BORN,AT,,DUAL,PT,FI,MT,B1,ISCED3_4,INACTIVE,0,0,0,0,54.63,edat_lfse_03,0.2342
2019,CZ,GR43,FOREIGN_BORN,GR,2008,NATIONAL,,DE,SL,A1,ISCED0_2,EMPLOYED,0,0,0,1,67.76,ilc_lvps08,0.0788
2020,DE,DE2,SECOND_GEN,RO,2009,EU,,LV,HR,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,63.97,migr_imm8,0.5876
2021,LV,MT5,NATIVE_BORN,LV,,NON_EU,,EL,LV,B2,ISCED5_6,STUDENT,0,0,0,0,57.62,migr_pop1ctz,0.6621
2022,PL,PT5,FOREIGN_BORN,LU,2011,DUAL,NL,FR,EN,A2,ISCED3_4,INACTIVE,0,0,0,0,88.42,migr_pop3ctb,0.6796
2023,ES,NL568,SECOND_GEN,BE,2012,NATIONAL,,LT,EN,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,32.24,edat_lfse_03,0.7314
2024,HR,IT487,NATIVE_BORN,HR,,EU,,HU,IT,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,43.79,ilc_lvps08,0.5064
2025,FI,CY1,FOREIGN_BORN,SK,2014,NON_EU,,ES,,B1,ISCED5_6,STUDENT,0,0,1,0,50.36,migr_imm8,0.7478
2026,IE,EE9,SECOND_GEN,EE,2015,DUAL,FI,GA,PT,A1,ISCED3_4,INACTIVE,0,0,0,0,37.95,migr_pop1ctz,0.7013
2018,MT,SE968,NATIVE_BORN,MT,,NATIONAL,,CS,,C2,ISCED0_2,EMPLOYED,0,0,0,0,87.69,migr_pop3ctb,0.8737
2019,SK,IT5,FOREIGN_BORN,BG,2017,EU,,IT,HU,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,82.92,edat_lfse_03,0.7969
2020,BE,RO4,SECOND_GEN,IE,2018,NON_EU,,MT,ET,A2,ISCED5_6,STUDENT,0,0,0,0,80.24,ilc_lvps08,0.7268
2021,DK,RO7,NATIVE_BORN,DK,,DUAL,MT,PT,HR,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,44.22,migr_imm8,0.0566
2022,GR,LV5,FOREIGN_BORN,FI,2020,NATIONAL,,PL,,C1,ISCED0_2,EMPLOYED,0,0,0,0,78.47,migr_pop1ctz,0.2488
2023,LT,MT116,SECOND_GEN,NL,2021,EU,,SK,ES,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,82.92,migr_pop3ctb,0.8157
2024,PT,FI51,NATIVE_BORN,PT,,NON_EU,,BG,MT,A1,ISCED5_6,STUDENT,0,0,0,0,58.72,edat_lfse_03,0.5124
2025,SE,DK3,FOREIGN_BORN,IT,2023,DUAL,EE,RO,BG,C2,ISCED3_4,INACTIVE,0,1,0,0,35.51,ilc_lvps08,0.547
2026,CY,HR149,SECOND_GEN,ES,2024,NATIONAL,,SL,DE,B2,ISCED0_2,EMPLOYED,0,0,0,0,77.42,migr_imm8,0.7647
2018,FR,GR751,NATIVE_BORN,FR,,EU,,HR,CY,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,53.09,migr_pop1ctz,0.4925
