demo_popproj_projection_year,demo_popproj_geography_nuts_code,demo_popproj_nuts_level,demo_popproj_age_cohort_5yr,demo_popproj_sex,demo_popproj_citizenship_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_fertility_rate_assumption,demo_popproj_mortality_rate_assumption,demo_popproj_net_migration_assumption,demo_popproj_household_projection_total,demo_popproj_urban_rural_typology,demo_popproj_dependency_ratio_old_age,demo_popproj_median_age,demo_popproj_life_expectancy_at_birth,demo_popproj_eurostat_release_vintage,demo_popproj_methodology_code
2020,PL1,1,0-4,M,NATIONAL,5415,5415,5335,5485,1.66,7.33,-4799,2494,URBAN,30.74,38.0,75.6,2023-03,EUROPOP2023
2023,SK43,2,25-29,F,UNKNOWN,5703,6030,5796,6229,1.89,11.92,-1322,2709,RURAL,29.24,45.1,76.8,2026-06,NUTS_PROJ_V1
2026,CY281,3,50-54,T,NON_EU,5079,5300,5110,5451,1.16,8.67,3450,1972,INTERMEDIATE,43.76,31.4,78.9,2025-09,REG_DEMO_MODEL_B
2029,MT10,2,75-79,M,EU,5539,6233,6051,6283,1.6,9.77,-223,2602,URBAN,26.21,43.1,78.9,2024-12,EUROPOP2024
2032,BG4,1,100+,F,NATIONAL,6105,7666,7627,7912,1.91,11.1,-984,3641,RURAL,43.17,30.5,79.7,2024-03,REG_DEMO_MODEL_A
2035,LT183,3,20-24,T,UNKNOWN,6401,8024,7949,8331,1.1,11.93,7092,3198,INTERMEDIATE,20.81,41.1,76.5,2023-06,EUROPOP2023
2038,RO963,3,45-49,M,NON_EU,6503,9098,9043,9188,1.41,7.33,-1208,3461,URBAN,32.03,44.7,77.9,2026-09,NUTS_PROJ_V1
2041,IT502,3,70-74,F,EU,7247,9394,9209,9607,1.8,9.96,4697,3918,RURAL,29.74,50.2,76.5,2025-12,REG_DEMO_MODEL_B
2044,RO64,2,95-99,T,NATIONAL,6767,9794,9719,9977,2.02,9.45,2417,4471,INTERMEDIATE,20.02,34.3,82.2,2025-03,EUROPOP2024
2047,CY6,1,15-19,M,UNKNOWN,7348,6123,5900,6249,1.45,7.91,870,2288,URBAN,23.61,36.5,76.8,2024-06,REG_DEMO_MODEL_A
2050,HR7,1,40-44,F,NON_EU,7122,5718,5650,5807,1.88,11.52,-1478,2211,RURAL,26.85,31.9,76.6,2023-09,EUROPOP2023
2022,HR69,2,65-69,T,EU,7614,7642,7349,7760,2.0,8.3,1625,2941,INTERMEDIATE,33.01,41.6,75.0,2026-12,NUTS_PROJ_V1
2025,FI8,1,90-94,M,NATIONAL,7604,8156,7869,8200,2.01,14.37,-2859,3813,URBAN,28.82,44.4,83.8,2026-03,REG_DEMO_MODEL_B
2028,LU7,1,10-14,F,UNKNOWN,7836,8316,8058,8594,1.12,7.48,5583,3599,RURAL,21.48,49.0,82.7,2025-06,EUROPOP2024
2031,BG595,3,35-39,T,NON_EU,8339,7776,7721,7828,2.12,10.25,6869,3415,INTERMEDIATE,18.8,44.3,75.8,2024-09,REG_DEMO_MODEL_A
2034,MT2,1,60-64,M,EU,8469,10760,10433,10981,1.26,11.61,5108,4953,URBAN,25.97,38.7,79.8,2023-12,EUROPOP2023
2037,BE441,3,85-89,F,NATIONAL,8562,7550,7349,7698,1.81,12.98,-918,3092,RURAL,39.66,46.7,84.4,2023-03,NUTS_PROJ_V1
2040,EE7,1,5-9,T,UNKNOWN,9550,11980,11701,12367,1.48,11.24,269,5273,INTERMEDIATE,22.86,36.7,76.3,2026-06,REG_DEMO_MODEL_B
2043,FI62,2,30-34,M,NON_EU,9917,13753,13338,14211,1.62,9.68,4568,5094,URBAN,44.3,32.1,80.9,2025-09,EUROPOP2024
2046,GR44,2,55-59,F,EU,9522,11127,10990,11469,1.94,14.11,4432,4291,RURAL,39.53,37.5,82.8,2024-12,REG_DEMO_MODEL_A
2049,RO292,3,80-84,T,NATIONAL,10365,9018,8731,9163,1.91,9.69,4692,4464,INTERMEDIATE,36.92,49.9,79.9,2024-03,EUROPOP2023
2021,LU427,3,0-4,M,UNKNOWN,10326,10516,10403,10866,2.17,11.07,-2124,4487,URBAN,20.44,34.9,76.3,2023-06,NUTS_PROJ_V1
2024,HU93,2,25-29,F,NON_EU,10539,10723,10418,11007,1.99,9.56,-2093,4056,RURAL,40.8,36.8,74.2,2026-09,REG_DEMO_MODEL_B
2027,PT13,2,50-54,T,EU,10850,11724,11313,11828,1.68,9.74,-3812,5184,INTERMEDIATE,43.43,38.3,75.1,2025-12,EUROPOP2024
2030,SE6,1,75-79,M,NATIONAL,10809,10774,10711,11104,1.58,11.79,2982,4389,URBAN,22.7,50.3,81.3,2025-03,REG_DEMO_MODEL_A
2033,HU23,2,100+,F,UNKNOWN,11701,13047,12688,13416,2.0,9.84,7025,5256,RURAL,21.44,45.3,84.0,2024-06,EUROPOP2023
2036,MT637,3,20-24,T,NON_EU,11971,13423,13285,13852,1.72,8.37,213,5075,INTERMEDIATE,44.12,34.6,79.9,2023-09,NUTS_PROJ_V1
2039,HU824,3,45-49,M,EU,12209,13393,13012,13496,1.48,9.4,5423,5112,URBAN,20.4,44.9,80.7,2026-12,REG_DEMO_MODEL_B
2042,CY9,1,70-74,F,NATIONAL,12407,12426,11933,12579,1.86,9.63,7894,5986,RURAL,18.03,38.1,81.7,2026-03,EUROPOP2024
2045,LU79,2,95-99,T,UNKNOWN,12742,11238,10951,11641,1.49,9.82,2855,4403,INTERMEDIATE,33.61,45.9,76.4,2025-06,REG_DEMO_MODEL_A
2048,HU42,2,15-19,M,NON_EU,12462,10011,9906,10164,1.45,14.14,-3785,4470,URBAN,41.97,33.4,74.8,2024-09,EUROPOP2023
2020,LT20,2,40-44,F,EU,13214,13214,12728,13554,1.78,10.62,-4493,5740,RURAL,35.65,42.8,78.6,2023-12,NUTS_PROJ_V1
2023,HR3,1,65-69,T,NATIONAL,12554,12293,11889,12436,1.87,12.42,6959,5169,INTERMEDIATE,35.84,36.2,75.0,2023-03,REG_DEMO_MODEL_B
2026,ES791,3,90-94,M,UNKNOWN,13152,13726,13580,13868,1.5,10.21,-175,5326,URBAN,34.88,40.1,75.0,2026-06,EUROPOP2024
2029,HU88,2,10-14,F,NON_EU,13211,12642,12265,12741,2.03,9.31,1512,5426,RURAL,42.16,35.6,80.7,2025-09,REG_DEMO_MODEL_A
2032,FI118,3,35-39,T,EU,13646,12934,12817,13165,1.59,8.97,2619,5921,INTERMEDIATE,40.6,41.8,75.6,2024-12,EUROPOP2023
2035,SI61,2,60-64,M,NATIONAL,14213,16506,15895,16787,1.7,14.28,4662,7644,URBAN,19.65,38.1,79.5,2024-03,NUTS_PROJ_V1
2038,FR37,2,85-89,F,UNKNOWN,14738,16432,16273,16787,2.07,10.57,-3707,7218,RURAL,41.06,30.7,80.0,2023-06,REG_DEMO_MODEL_B
2041,AT582,3,5-9,T,NON_EU,14529,19460,19143,19979,1.23,12.68,-2168,7303,INTERMEDIATE,22.51,34.4,76.0,2026-09,EUROPOP2024
2044,LT5,1,30-34,M,EU,14293,15248,15165,15556,2.2,11.7,4749,6992,URBAN,42.59,49.2,74.7,2025-12,REG_DEMO_MODEL_A
2047,SE993,3,55-59,F,NATIONAL,14897,17835,17466,18458,1.67,13.88,-4798,6992,RURAL,34.82,41.0,78.4,2025-03,EUROPOP2023
2050,CY38,2,80-84,T,UNKNOWN,15174,12855,12595,13181,2.16,7.75,-3270,5369,INTERMEDIATE,20.73,36.0,79.6,2024-06,NUTS_PROJ_V1
2022,SI195,3,0-4,M,NON_EU,15352,15857,15369,16299,1.73,10.55,-2179,7231,URBAN,21.88,42.8,81.3,2023-09,REG_DEMO_MODEL_B
2025,LV2,1,25-29,F,EU,15289,15432,15289,15882,1.15,10.56,-600,5872,RURAL,18.55,47.2,77.2,2026-12,EUROPOP2024
2028,GR40,2,50-54,T,NATIONAL,15787,17823,17645,18339,2.17,8.71,-77,6645,INTERMEDIATE,29.96,47.3,76.8,2026-03,REG_DEMO_MODEL_A
