econ_fiscal_reference_year,econ_fiscal_country_iso2,econ_fiscal_gov_sector_esa2010,econ_fiscal_deficit_surplus_eur,econ_fiscal_deficit_surplus_pct_gdp,econ_fiscal_gross_debt_eur,econ_fiscal_gross_debt_pct_gdp,econ_fiscal_interest_expenditure_eur,econ_fiscal_primary_balance_pct_gdp,econ_fiscal_structural_balance_pct_gdp,econ_fiscal_excessive_deficit_procedure_status,econ_fiscal_sgp_corrective_arm_flag,econ_fiscal_sgp_preventive_arm_flag,econ_fiscal_debt_reduction_benchmark_flag,econ_fiscal_expenditure_benchmark_flag,econ_fiscal_one_off_measures_eur,econ_fiscal_revenue_total_eur,econ_fiscal_expenditure_total_eur,econ_fiscal_eurostat_table_code,econ_fiscal_data_extract_date
2010,AT,S13,-1610343591.26,-3.255,84240511627.05,170.276,2839151572.46,-3.977,-3.366,IN_EDP,1,0,0,0,-841569909.64,21882211296.65,23492554887.91,gov_10dd_edpt1,2024-04-04
2011,CZ,S1312,-1243623589.96,-2.396,40131255729.86,77.318,1704002499.61,-3.255,-0.8,UNKNOWN,0,0,0,1,-1185963857.22,20859842719.4,22103466309.36,gov_10q_ggdebt,2025-07-28
2012,DE,S1314,-6518854743.25,-11.962,33848234990.65,62.111,294665872.35,-13.406,-11.31,ON_WATCHLIST,0,1,0,1,-158796327.98,25977300067.95,32496154811.2,gov_10dd_edpt2,2025-02-05
2013,LV,S1311,-96269455.77,-0.169,80657853968.4,141.594,3002346245.83,1.07,0.77,OUT_EDP,0,1,1,1,1386141338.65,25306251554.91,25402521010.68,gov_10dd_sgpe,2025-11-15
2014,PL,S1313,-4343422350.55,-7.288,41752994848.68,70.059,403276860.48,-5.097,-8.121,IN_EDP,1,0,0,1,-708003816.05,30944148616.83,35287570967.38,gov_10dd_ma,2026-01-15
2015,ES,S13,3595610975.52,5.681,57494965081.43,90.841,2498693996.5,5.472,4.752,UNKNOWN,0,0,0,1,1115430444.84,31719628848.25,28124017872.73,gov_10dd_edpt1,2026-02-23
2016,HR,S1312,-4633782100.1,-7.092,78269231747.42,119.791,952395668.65,-6.848,-8.949,ON_WATCHLIST,0,1,1,0,-1904328559.05,26055479302.93,30689261403.03,gov_10q_ggdebt,2024-04-11
2017,FI,S1314,-5224125712.77,-7.683,61590694658.68,90.58,1239076861.15,-7.985,-7.007,OUT_EDP,0,1,1,1,900505871.98,27915016962.73,33139142675.5,gov_10dd_edpt2,2024-04-04
2018,IE,S1311,-950139450.34,-1.345,22091272037.88,31.272,807231354.29,-1.281,-1.123,IN_EDP,1,0,0,1,-1947655328.25,29995020976.22,30945160426.56,gov_10dd_sgpe,2025-11-23
2019,MT,S1313,-1161454787.6,-1.591,82793986977.4,113.414,944715299.06,-0.698,0.392,UNKNOWN,0,0,1,1,1019536865.86,34281928757.93,35443383545.53,gov_10dd_ma,2025-11-29
2020,SK,S13,-123652334.55,-0.164,103259501061.82,136.953,2486386845.84,0.973,0.366,ON_WATCHLIST,0,1,1,1,1180676988.85,29830496266.43,29954148600.98,gov_10dd_edpt1,2025-01-19
2021,BE,S1312,-8542001900.66,-11.044,67755926340.21,87.602,2694082005.57,-8.985,-10.934,OUT_EDP,0,1,0,0,752892500.06,30920740690.34,39462742591.0,gov_10q_ggdebt,2024-09-18
2022,DK,S1314,1110266906.55,1.386,53594009463.01,66.904,1622172871.05,3.499,1.969,IN_EDP,1,0,0,0,-1464123544.86,38726682376.29,37616415469.74,gov_10dd_edpt2,2025-08-05
2023,GR,S1311,3297876806.52,3.995,145483833479.47,176.237,3374465794.22,4.679,5.797,UNKNOWN,0,0,0,1,1402325807.34,32291774077.84,28993897271.32,gov_10dd_sgpe,2025-03-15
2024,LT,S1313,-477080511.32,-0.559,22676259724.26,26.57,721524161.4,0.7,-0.983,ON_WATCHLIST,0,1,0,1,1768193005.65,34764350168.46,35241430679.78,gov_10dd_ma,2025-02-05
2025,PT,S13,4178814731.55,4.79,40508330778.75,46.433,1763641257.7,6.908,2.877,OUT_EDP,0,1,0,0,533917361.45,33728007416.75,29549192685.2,gov_10dd_edpt1,2025-02-01
