econ_output_release_quarter,econ_output_country_iso2,econ_output_region_nuts_code,econ_output_nace_section,econ_output_gdp_current_eur,econ_output_gdp_chain_linked_eur,econ_output_gva_current_eur,econ_output_gva_chain_linked_eur,econ_output_gdp_per_capita_eur,econ_output_household_income_disposable_eur,econ_output_productivity_gva_per_hour_eur,econ_output_investment_gfcf_eur,econ_output_government_consumption_eur,econ_output_export_goods_services_eur,econ_output_import_goods_services_eur,econ_output_eurostat_table_code,econ_output_revision_round,econ_output_seasonal_adjustment_flag,econ_output_reference_base_year,econ_output_data_extract_date
2018Q1,AT,BE26,A,502788725.48,503664176.94,489437562.03,490289766.57,251.02,173704563.17,28.999211,112106029.27,74163627.23,126153739.88,237530102.01,namq_10_gdp,FLASH,0,2015,2025-10-01
2019Q4,EE,DE839,F,533897941.53,568781863.12,505015898.84,538012720.23,265.7,261664898.66,15.742866,118251049.34,134847939.2,126942622.74,208826511.22,nama_10_gdp,FIRST,1,2020,2024-03-13
2020Q3,IT,SI487,K,546662293.0,575408870.83,512773423.12,539737933.58,271.38,197135363.35,37.434661,104690986.49,78535868.12,172923803.58,189734675.38,nama_10r_3gdp,SECOND,0,2015,2024-04-15
2021Q2,PT,FI18,P,587490276.13,547622647.65,526512403.47,490782789.31,289.78,241385279.44,16.175178,130890430.09,130169737.96,273729841.24,238423043.38,nama_10_gdp,BENCHMARK,1,2020,2024-11-19
2022Q1,BE,SK846,U,610289546.85,661294779.3,593455145.81,643053435.37,300.6,303363961.31,50.221143,103624240.56,136009132.54,206135348.91,312110151.06,nama_10r_3gva,FLASH,0,2015,2024-03-17
2023Q4,FI,NL25,E,626323944.52,591337193.41,599898847.18,566388214.48,307.66,284231273.68,19.90034,151652807.24,121951658.37,291139455.31,242970098.96,namq_10_gdp,FIRST,1,2020,2026-02-13
2024Q3,LV,ES7,J,650924974.65,684343849.28,628027097.65,660270381.68,318.29,316193688.28,30.828317,108917448.23,139303339.69,343026882.37,217217304.22,nama_10_gdp,SECOND,0,2015,2024-02-15
2025Q2,RO,PT37,O,668963880.38,634785484.59,616197075.24,584714616.86,325.02,234556607.14,23.570514,144051341.28,99489020.76,362451135.95,195078918.49,nama_10r_3gdp,BENCHMARK,1,2020,2026-01-14
2026Q1,BG,LT2,T,698892986.65,664644685.62,647155593.3,615442612.92,337.83,337883904.79,18.615401,165119258.66,98633782.66,293431333.48,362756954.46,nama_10_gdp,FLASH,0,2015,2024-07-23
2018Q4,FR,HR63,D,711458725.36,688588839.11,690370956.0,668178937.44,344.03,259454140.6,19.242277,145927188.93,154780792.19,282087419.01,142760352.14,nama_10r_3gva,FIRST,1,2020,2025-02-24
2019Q3,LT,BE9,I,737975230.92,669137041.62,721594617.84,654284409.02,355.44,279495218.29,31.864041,134992837.72,104621194.31,190912703.89,259674474.04,namq_10_gdp,SECOND,0,2015,2024-10-15
2020Q2,SK,IT4,N,760903318.72,804577274.01,660198640.03,698092397.59,364.67,349017996.01,18.586516,204692752.81,186989233.05,398362011.39,272871752.59,nama_10_gdp,BENCHMARK,1,2020,2024-04-28
2021Q1,HR,RO6,S,802997518.93,769801977.64,716175219.86,686568871.75,382.7,356298785.16,53.766352,137000090.88,147200134.16,304881334.71,410389823.94,nama_10r_3gdp,FLASH,0,2015,2025-02-10
2022Q4,DE,RO241,C,838671832.18,777275999.96,821802767.83,761641852.78,398.61,322929235.48,21.778142,178219891.79,142968528.88,192230154.96,316594741.01,nama_10_gdp,FIRST,1,2020,2025-07-01
2023Q3,LU,SI51,H,849521005.0,787598344.25,776731098.91,720114186.49,401.86,413029519.48,53.555469,221890424.78,119889592.07,372615394.35,253277392.14,nama_10r_3gva,SECOND,0,2015,2024-05-19
2024Q2,SI,BG2,M,878332695.19,851101294.47,820185029.68,794756410.97,414.48,445963489.43,34.155132,183118664.25,173818828.16,396230614.97,297042063.39,namq_10_gdp,BENCHMARK,1,2020,2025-11-29
2025Q1,CY,AT389,R,899874941.54,889219372.9,848230568.09,838186529.06,423.27,398612812.0,28.08054,189243413.66,180028567.99,206008624.68,457127539.3,nama_10_gdp,FLASH,0,2015,2024-12-14
2026Q4,GR,SI9,B,930727741.7,897292315.34,891140381.57,859127089.96,435.6,402397336.49,45.639713,223932279.08,214237856.34,403426735.67,357361468.43,nama_10r_3gdp,FIRST,1,2020,2024-07-17
2018Q3,MT,IE257,G,954210442.5,902756920.2,821083495.37,776808526.19,444.63,367832104.95,34.748321,175319995.26,153631967.94,481335604.59,196492852.37,nama_10_gdp,SECOND,0,2015,2024-01-02
2019Q2,ES,HU813,L,967327476.5,1036206594.87,853110875.7,913857134.25,449.28,428198810.22,51.469346,156457703.27,147414561.95,411346635.63,213627834.32,nama_10r_3gva,BENCHMARK,1,2020,2024-09-04
2020Q1,CZ,LT75,Q,1005929693.09,978131986.19,932504498.25,906735811.92,465.12,449963723.35,52.200245,214937516.43,212097926.78,378008131.27,471454974.5,namq_10_gdp,FLASH,0,2015,2025-10-15
2021Q4,HU,SI4,A,1027208784.32,1100571740.59,934904007.82,1001674583.48,473.26,400184859.72,30.805549,237210420.59,194472210.73,517752255.5,452012147.34,nama_10_gdp,FIRST,1,2020,2024-11-09
2022Q3,NL,HU257,F,1037490866.07,1098077443.21,892829290.97,944968035.02,477.28,484369884.72,72.138862,288714652.41,255904188.19,320934835.87,374267063.75,nama_10r_3gdp,SECOND,0,2015,2024-03-07
2023Q2,SE,HR909,K,1069384330.39,1030166739.81,950590756.1,915729688.82,488.96,392066629.67,40.714267,199820649.3,207126589.75,348975171.47,532811951.04,nama_10_gdp,BENCHMARK,1,2020,2025-07-22
2024Q1,DK,FI543,P,1113665400.9,1103521158.59,1021409623.57,1012105727.88,508.55,404626364.72,29.411831,281571384.82,232073019.15,277574925.46,322895668.33,nama_10r_3gva,FLASH,0,2015,2024-06-08
