econ_prices_pricing_month,econ_prices_country_iso2,econ_prices_region_nuts_code,econ_prices_hicp_coicop_code,econ_prices_hicp_index_level,econ_prices_hicp_monthly_change_pct,econ_prices_hicp_12mo_change_pct,econ_prices_core_hicp_index_level,econ_prices_ppi_nace_code,econ_prices_ppi_index_level,econ_prices_energy_price_index,econ_prices_food_price_index,econ_prices_rent_index,econ_prices_wage_growth_pct,econ_prices_terms_of_trade_index,econ_prices_eurostat_table_code,econ_prices_reference_base_year,econ_prices_methodology_version,econ_prices_outlier_flag,econ_prices_data_extract_date
2018-01,AT,BE26,CP01,84.7,0.215,-0.606,83.812,C10,79.119,69.535,73.769,90.369,-0.89,84.932,prc_hicp_midx,2015,HICP_2023A,0,2024-03-13
2019-08,HR,AT29,CP12,84.626,-0.118,3.337,86.1,C24,81.087,69.005,75.434,90.498,5.419,85.196,sts_inpp_m,2020,PPI_2025B,0,2025-11-26
2020-03,DK,LV5,CP11,85.381,-1.136,-0.953,88.23,C28,80.945,71.136,75.276,91.096,1.423,85.693,prc_ppi_m,2015,PPI_2024A,0,2024-03-26
2021-10,FR,GR121,CP10,85.923,-0.541,8.823,87.487,E36,81.328,73.642,75.822,91.284,8.252,85.823,prc_hicp_manr,2020,HICP_2025C,0,2024-02-16
2022-05,HU,AT46,CP09,86.937,-0.467,4.907,90.316,H49,83.195,71.719,78.441,91.502,-0.155,85.858,prc_hicp_cow,2015,HICP_2024B,0,2025-07-24
2023-12,LV,AT8,CP08,87.392,1.164,6.547,87.026,M69,83.562,72.824,79.237,91.84,4.668,86.781,prc_hicp_midx,2020,HICP_2023A,1,2025-01-31
2024-07,MT,GR216,CP07,87.083,0.834,4.469,85.737,C20,84.253,75.944,79.41,91.551,6.72,86.901,sts_inpp_m,2015,PPI_2025B,0,2024-10-09
2025-02,PT,PL361,CP06,87.878,0.838,-0.492,90.844,C27,82.904,74.449,79.691,93.039,6.493,87.19,prc_ppi_m,2020,PPI_2024A,0,2025-04-22
2026-09,SI,CY681,CP05,88.517,0.608,1.194,87.115,D35,85.001,76.146,79.11,92.585,-0.746,86.991,prc_hicp_manr,2015,HICP_2025C,0,2024-09-17
2018-04,AT,ES3,CP04,88.166,-0.101,-1.809,89.885,F41,84.726,78.77,81.055,93.207,-0.346,88.065,prc_hicp_cow,2020,HICP_2024B,0,2024-11-10
2019-11,HR,DE5,CP03,88.674,-0.993,1.235,87.965,J61,86.016,77.308,80.894,93.484,8.0,88.204,prc_hicp_midx,2015,HICP_2023A,0,2024-02-10
2020-06,DK,NL25,CP02,89.0,1.693,0.88,88.414,C10,86.729,81.849,80.893,93.608,6.127,87.905,sts_inpp_m,2020,PPI_2025B,0,2024-04-02
2021-01,FR,EE390,CP01,90.411,0.514,0.176,88.641,C24,85.666,79.291,84.005,93.964,3.168,88.916,prc_ppi_m,2015,PPI_2024A,0,2024-02-26
2022-08,HU,SE7,CP12,90.896,1.298,-1.919,92.394,C28,86.943,80.668,84.678,94.552,5.633,88.728,prc_hicp_manr,2020,HICP_2025C,0,2024-08-09
2023-03,LV,DE7,CP11,90.535,0.164,4.538,90.261,E36,88.54,81.92,85.004,95.091,0.234,88.593,prc_hicp_cow,2015,HICP_2024B,0,2025-12-19
