econ_tradebal_reference_month,econ_tradebal_reporting_country_iso2,econ_tradebal_partner_area_code,econ_tradebal_flow_direction,econ_tradebal_hs2_code,econ_tradebal_product_group,econ_tradebal_trade_value_eur,econ_tradebal_trade_quantity_kg,econ_tradebal_trade_value_index,econ_tradebal_unit_value_index,econ_tradebal_intra_eu_flag,econ_tradebal_extra_eu_flag,econ_tradebal_mode_of_transport_code,econ_tradebal_incoterms_code,econ_tradebal_customs_procedure_code,econ_tradebal_sanctions_regime_flag,econ_tradebal_current_account_balance_eur,econ_tradebal_financial_account_balance_eur,econ_tradebal_eurostat_table_code,econ_tradebal_data_extract_date
2018-01,AT,EU27_2020,IMPORT,01,AGRI_FOOD,1242244.03,4970.76,70.011,74.759,0,1,SEA,EXW,4000,0,-3067463789.17,-5086262199.04,ext_lt_intratrd,2024-08-13
2019-06,EE,APAC,EXPORT,18,SERVICES_EST,1247752.02,5091.13,70.744,76.185,0,1,POST,CIF,4200,0,5379243436.75,-2526557209.84,bop_q_c,2024-12-09
2020-11,IT,LATAM,IMPORT,35,ELECTRONICS,1370174.79,5231.42,70.956,75.053,0,1,PIPE,CFR,5100,0,-3139172315.33,-6963483645.1,bop_q_g,2024-11-17
2021-04,PT,AFR,EXPORT,52,METALS,1470761.59,5426.0,70.598,76.207,0,1,RAIL,FOB,6100,0,5436641904.6,4433838895.73,ext_lt_extratrd,2024-02-19
2022-09,BE,MEA,IMPORT,69,TEXTILES,1556445.04,5589.21,71.638,77.358,0,1,ROAD,DDP,7100,0,-3075222169.55,4303107221.39,bop_q_f,2025-11-14
2023-02,FI,TUR,EXPORT,86,PHARMA,1657649.26,5714.65,71.511,77.01,0,1,AIR,DPU,A123,0,392853126.34,6203708540.89,ext_lt_intratrd,2024-06-27
2024-07,LV,RUS,IMPORT,04,VEHICLES,1780712.37,5761.62,72.69,77.562,0,1,SEA,DAP,4000,1,-1635294382.15,-2887743259.22,bop_q_c,2025-10-25
2025-12,RO,CHN,EXPORT,21,MACHINERY,1821043.62,5924.77,73.324,78.615,0,1,POST,CIP,4200,0,2238160406.57,2522478263.59,bop_q_g,2025-06-14
2026-05,BG,USA,IMPORT,38,CHEMICALS,1926833.89,6048.44,73.412,78.092,0,1,PIPE,CPT,5100,0,-197358222.19,-1210650026.42,ext_lt_extratrd,2025-11-29
2018-10,FR,UK,EXPORT,55,ENERGY,2011279.09,6234.49,73.836,79.331,0,1,RAIL,FCA,6100,0,1597025568.11,-1942365039.06,bop_q_f,2024-09-26
2019-03,LT,EFTA,IMPORT,72,AGRI_FOOD,2143660.82,6335.31,74.418,79.955,0,1,ROAD,EXW,7100,0,-4268443038.33,595820350.5,ext_lt_intratrd,2024-10-27
2020-08,SK,EA20,EXPORT,89,SERVICES_EST,2236993.51,6464.24,75.517,79.214,1,0,AIR,CIF,A123,0,160348520.12,-3971481867.81,bop_q_c,2025-07-20
2021-01,HR,EU27_2020,IMPORT,07,ELECTRONICS,2347251.43,6575.74,75.683,80.129,1,0,SEA,CFR,4000,0,7208572762.85,-3096499541.73,bop_q_g,2024-01-25
2022-06,DE,APAC,EXPORT,24,METALS,2421038.37,6763.3,75.581,80.312,0,1,POST,FOB,4200,0,1336763207.6,3494390658.1,ext_lt_extratrd,2024-09-18
2023-11,LU,LATAM,IMPORT,41,TEXTILES,2566135.43,6862.71,76.552,81.445,0,1,PIPE,DDP,5100,0,4795580594.59,440768313.97,bop_q_f,2025-12-08
2024-04,SI,AFR,EXPORT,58,PHARMA,2580323.11,7054.84,77.088,81.674,0,1,RAIL,DPU,6100,0,-2926298091.33,4398929923.94,ext_lt_intratrd,2025-03-12
2025-09,CY,MEA,IMPORT,75,VEHICLES,2747871.09,7161.32,76.645,81.54,0,1,ROAD,DAP,7100,0,7066799580.86,-6396506643.79,bop_q_c,2024-05-25
2026-02,GR,TUR,EXPORT,92,MACHINERY,2810989.17,7344.89,77.445,82.664,0,1,AIR,CIP,A123,0,5172344419.72,5048872309.83,bop_q_g,2025-10-03
2018-07,MT,RUS,IMPORT,10,CHEMICALS,2950789.02,7469.44,78.897,82.413,0,1,SEA,CPT,4000,1,-2313036520.78,5065183914.74,ext_lt_extratrd,2024-01-29
2019-12,ES,CHN,EXPORT,27,ENERGY,2956230.37,7608.69,77.985,83.059,0,1,POST,FCA,4200,0,-3701377023.41,-6315721292.5,bop_q_f,2024-06-19
2020-05,CZ,USA,IMPORT,44,AGRI_FOOD,3098729.34,7742.82,79.707,82.888,0,1,PIPE,EXW,5100,0,-582089700.02,6036962208.79,ext_lt_intratrd,2024-01-18
2021-10,HU,UK,EXPORT,61,SERVICES_EST,3209730.52,7864.51,79.43,83.231,0,1,RAIL,CIF,6100,0,-3025764152.92,2329656628.4,bop_q_c,2025-10-24
2022-03,NL,EFTA,IMPORT,78,ELECTRONICS,3304652.9,7934.2,80.392,84.861,1,0,ROAD,CFR,7100,0,103798202.6,5967184144.31,bop_q_g,2025-05-18
2023-08,SE,EA20,EXPORT,95,METALS,3380199.61,8071.95,80.586,85.365,1,0,AIR,FOB,A123,0,-4510199559.74,-1599869938.33,ext_lt_extratrd,2024-12-01
