edu_att_reference_year,edu_att_country_iso2,edu_att_region_nuts_code,edu_att_age_group,edu_att_sex,edu_att_isc_level,edu_att_early_school_leavers_rate_pct,edu_att_tertiary_attainment_rate_pct,edu_att_vet_participation_rate_pct,edu_att_adult_learning_rate_pct,edu_att_neet_rate_pct,edu_att_pisa_reading_score,edu_att_pisa_math_score,edu_att_pisa_science_score,edu_att_digital_skills_students_pct,edu_att_teacher_shortage_index,edu_att_education_expenditure_pct_gdp,edu_att_eurostat_table_code,edu_att_survey_weight,edu_att_data_extract_date
2006,AT,PT975,15_24,F,ISCED_0_2,16.54,54.62,33.22,5.73,9.6,526,499,487,25.86,11.6,5.79,edat_lfse_14,1.5557,2025-01-05
2007,EE,ES716,25_34,M,ISCED_5_8,12.46,34.4,17.47,13.03,8.04,500,486,534,49.6,35.8,3.45,edat_lfse_29,4.5808,2024-06-03
2008,IT,IT1,35_44,X,ISCED_3_4,12.1,30.68,37.61,9.55,12.7,498,512,510,59.22,56.76,3.33,edat_lfs_9912,3.8615,2024-08-25
2009,PT,SE37,45_54,F,ISCED_0_2,12.2,41.41,51.52,19.04,14.56,467,512,504,42.7,36.58,6.73,edat_lfse_03,1.9101,2024-03-03
2010,BE,LU18,55_64,M,ISCED_5_8,10.45,48.28,15.17,19.03,12.16,400,415,411,62.14,59.93,5.06,edat_lfse_14,2.2722,2026-01-24
2011,FI,DE749,15_24,X,ISCED_3_4,15.61,30.41,43.22,9.64,9.23,531,558,538,73.47,49.68,6.0,edat_lfse_29,3.5678,2024-08-09
2012,LV,GR54,25_34,F,ISCED_0_2,13.38,61.89,32.5,9.26,9.15,513,521,521,67.09,9.44,5.22,edat_lfs_9912,4.289,2026-01-13
2013,RO,EE84,35_44,M,ISCED_5_8,5.31,20.7,30.13,10.68,5.82,473,455,521,26.36,47.25,4.81,edat_lfse_03,3.3495,2025-11-02
2014,BG,CZ81,45_54,X,ISCED_3_4,7.2,26.55,46.98,6.3,13.94,498,489,461,63.62,34.96,4.53,edat_lfse_14,4.3695,2025-04-26
2015,FR,LU6,55_64,F,ISCED_0_2,14.67,18.24,38.0,11.46,18.34,458,402,468,45.93,10.25,4.55,edat_lfse_29,2.8221,2024-06-06
2016,LT,FR3,15_24,M,ISCED_5_8,17.88,44.08,45.47,6.52,12.83,497,510,523,28.39,52.13,4.19,edat_lfs_9912,2.3281,2025-03-25
2017,SK,LT317,25_34,X,ISCED_3_4,5.12,55.6,16.84,13.23,7.93,454,463,498,37.62,42.67,5.63,edat_lfse_03,4.0847,2026-02-14
2018,HR,BG4,35_44,F,ISCED_0_2,9.12,37.78,35.92,7.11,13.65,448,418,428,29.4,45.47,4.22,edat_lfse_14,3.1333,2025-05-12
2019,DE,HU1,45_54,M,ISCED_5_8,3.93,20.17,49.66,13.11,6.91,483,508,522,32.06,44.07,3.27,edat_lfse_29,3.6112,2024-12-15
2020,LU,HU4,55_64,X,ISCED_3_4,6.44,25.15,28.63,15.51,13.43,435,392,434,78.76,65.0,6.81,edat_lfs_9912,3.5158,2024-01-21
2021,SI,RO29,15_24,F,ISCED_0_2,6.54,46.03,40.72,12.24,18.43,471,448,415,66.69,40.0,6.61,edat_lfse_03,3.7244,2025-04-30
2022,CY,AT986,25_34,M,ISCED_5_8,6.51,63.84,48.59,12.77,10.66,483,513,505,85.18,24.42,5.59,edat_lfse_14,0.9043,2025-10-10
2023,GR,IT2,35_44,X,ISCED_3_4,5.86,58.48,38.36,11.07,4.75,453,454,472,45.72,56.74,5.8,edat_lfse_29,3.9724,2025-12-19
2024,MT,AT569,45_54,F,ISCED_0_2,9.07,56.29,44.16,9.96,9.55,464,499,460,80.16,28.3,5.59,edat_lfs_9912,2.8852,2024-06-18
2025,ES,MT7,55_64,M,ISCED_5_8,8.16,48.36,51.09,18.97,14.25,487,469,473,67.55,19.56,6.15,edat_lfse_03,4.3658,2025-10-22
2006,CZ,SE539,15_24,X,ISCED_3_4,8.17,21.0,19.34,8.36,11.07,500,468,505,33.33,15.84,7.18,edat_lfse_14,2.9694,2025-06-14
2007,HU,SI69,25_34,F,ISCED_0_2,7.92,58.28,19.03,15.32,8.51,413,423,418,74.81,13.45,6.95,edat_lfse_29,2.9315,2025-05-26
2008,NL,LT14,35_44,M,ISCED_5_8,8.22,54.95,25.13,4.46,10.57,534,513,522,57.81,37.77,4.37,edat_lfs_9912,1.6327,2024-12-13
2009,SE,FI82,45_54,X,ISCED_3_4,13.81,29.07,14.89,4.42,5.81,455,419,471,74.48,50.89,6.58,edat_lfse_03,1.379,2025-01-29
2010,DK,DE150,55_64,F,ISCED_0_2,12.42,29.33,24.57,14.2,6.75,474,458,464,62.56,15.71,5.09,edat_lfse_14,4.0993,2026-02-10
2011,IE,CZ188,15_24,M,ISCED_5_8,9.76,26.39,32.95,12.13,18.45,573,540,568,27.27,53.49,6.44,edat_lfse_29,0.3686,2025-09-15
2012,PL,DK68,25_34,X,ISCED_3_4,5.45,32.08,43.79,11.38,5.76,465,460,448,75.84,40.33,6.35,edat_lfs_9912,0.7549,2024-11-09
2013,AT,SK31,35_44,F,ISCED_0_2,3.54,24.01,42.36,5.27,18.79,439,432,460,51.21,37.51,3.29,edat_lfse_03,1.8364,2025-05-26
2014,EE,AT9,45_54,M,ISCED_5_8,12.73,49.94,30.57,5.77,8.51,502,500,553,23.94,66.57,3.42,edat_lfse_14,1.1448,2024-06-27
2015,IT,BE868,55_64,X,ISCED_3_4,14.28,18.87,9.83,15.73,8.68,425,452,407,62.77,38.7,3.14,edat_lfse_29,1.6372,2024-07-30
2016,PT,PL522,15_24,F,ISCED_0_2,18.75,51.83,48.56,18.09,21.18,465,469,449,74.17,14.3,7.37,edat_lfs_9912,2.5296,2025-01-11
2017,BE,RO8,25_34,M,ISCED_5_8,14.47,33.65,15.57,6.24,13.57,467,462,449,52.94,66.51,3.37,edat_lfse_03,1.0779,2025-11-26
2018,FI,SI794,35_44,X,ISCED_3_4,5.04,41.5,49.48,7.73,10.07,531,512,551,35.56,66.57,3.66,edat_lfse_14,2.2381,2024-01-09
2019,LV,LT4,45_54,F,ISCED_0_2,14.75,45.37,43.0,4.95,8.0,423,431,424,50.65,31.84,3.39,edat_lfse_29,3.7097,2025-02-21
2020,RO,LU691,55_64,M,ISCED_5_8,16.62,57.04,45.67,7.42,8.1,520,538,518,37.59,78.71,7.15,edat_lfs_9912,3.6769,2025-09-04
2021,BG,ES17,15_24,X,ISCED_3_4,11.92,30.54,37.04,14.69,8.19,425,411,431,90.29,27.41,6.56,edat_lfse_03,1.8893,2024-08-27
2022,FR,PL4,25_34,F,ISCED_0_2,7.34,40.5,21.1,15.28,10.98,413,405,410,59.09,60.13,3.58,edat_lfse_14,0.801,2025-08-24
2023,LT,NL71,35_44,M,ISCED_5_8,9.6,43.47,50.35,15.53,16.19,525,493,496,66.9,70.77,4.64,edat_lfse_29,4.4956,2026-01-15
2024,SK,DK835,45_54,X,ISCED_3_4,7.78,31.72,57.03,8.56,9.7,522,524,520,43.6,73.24,4.39,edat_lfs_9912,0.4284,2024-06-13
2025,HR,LV6,55_64,F,ISCED_0_2,6.53,35.72,26.28,11.03,17.08,501,502,514,90.96,9.18,5.4,edat_lfse_03,1.6068,2025-06-14
2006,DE,PT218,15_24,M,ISCED_5_8,4.62,44.7,27.74,6.22,20.43,542,509,543,54.31,40.27,7.31,edat_lfse_14,2.6827,2024-04-25
2007,LU,RO731,25_34,X,ISCED_3_4,6.67,19.98,43.06,13.91,12.02,470,486,474,37.16,21.26,3.3,edat_lfse_29,4.0302,2026-01-18
2008,SI,SI546,35_44,F,ISCED_0_2,6.06,65.44,21.53,10.1,18.51,462,433,474,62.02,23.67,5.45,edat_lfs_9912,4.1355,2024-10-22
2009,CY,LV250,45_54,M,ISCED_5_8,6.85,34.82,25.42,12.47,10.02,456,467,462,37.78,40.99,4.31,edat_lfse_03,0.8405,2025-12-26
2010,GR,MT336,55_64,X,ISCED_3_4,13.84,30.91,13.78,19.01,4.55,450,495,485,25.8,32.16,6.6,edat_lfse_14,0.6993,2024-10-01
2011,MT,SK22,15_24,F,ISCED_0_2,16.68,37.56,12.77,13.3,19.67,467,432,462,61.8,63.49,4.55,edat_lfse_29,1.9644,2024-08-19
2012,ES,BE34,25_34,M,ISCED_5_8,12.5,22.26,29.66,11.82,11.98,446,465,478,31.77,43.56,5.12,edat_lfs_9912,3.3657,2025-12-16
2013,CZ,SK194,35_44,X,ISCED_3_4,5.36,47.42,51.57,13.21,7.43,482,470,462,70.3,61.08,7.06,edat_lfse_03,4.0337,2025-04-29
2014,HU,BE5,45_54,F,ISCED_0_2,10.64,31.0,21.92,16.03,4.51,528,518,512,40.22,45.18,4.9,edat_lfse_14,1.1829,2024-01-19
2015,NL,LV57,55_64,M,ISCED_5_8,12.26,39.03,47.01,12.87,14.23,467,506,483,48.27,27.49,4.94,edat_lfse_29,2.0789,2025-04-24
2016,SE,MT41,15_24,X,ISCED_3_4,9.83,43.89,10.5,19.62,18.19,502,501,507,29.85,62.25,6.63,edat_lfs_9912,3.9457,2025-05-26
2017,DK,GR26,25_34,F,ISCED_0_2,8.86,22.0,20.39,12.54,5.02,521,478,505,52.22,19.61,3.79,edat_lfse_03,4.7412,2025-08-18
2018,IE,ES81,35_44,M,ISCED_5_8,11.76,24.29,49.97,8.59,7.79,524,583,518,29.78,26.07,7.01,edat_lfse_14,4.4986,2024-01-15
2019,PL,HU51,45_54,X,ISCED_3_4,8.21,38.99,29.6,8.3,9.3,488,460,452,71.4,47.72,5.93,edat_lfse_29,0.5414,2026-01-17
2020,AT,HU579,55_64,F,ISCED_0_2,13.33,25.02,20.98,19.43,17.83,401,418,455,32.19,49.85,5.95,edat_lfs_9912,2.0187,2025-02-16
2021,EE,LT118,15_24,M,ISCED_5_8,4.52,29.02,49.96,3.04,19.16,519,576,517,46.49,28.51,3.39,edat_lfse_03,0.8111,2024-12-14
2022,IT,HR985,25_34,X,ISCED_3_4,5.61,43.57,45.98,14.0,5.55,466,472,471,78.68,41.38,6.26,edat_lfse_14,1.229,2026-01-17
2023,PT,IT32,35_44,F,ISCED_0_2,5.64,35.33,16.64,19.4,4.95,444,479,481,66.61,30.52,5.64,edat_lfse_29,3.4241,2024-09-01
2024,BE,PT61,45_54,M,ISCED_5_8,3.86,20.76,24.94,6.53,6.65,502,501,529,57.18,18.92,6.96,edat_lfs_9912,3.5374,2025-07-30
2025,FI,HR87,55_64,X,ISCED_3_4,15.06,36.52,23.89,14.2,12.0,483,467,536,60.19,77.48,6.12,edat_lfse_03,0.9847,2024-12-22
2006,LV,IT144,15_24,F,ISCED_0_2,17.95,23.19,32.33,8.26,14.7,503,483,534,39.79,28.92,3.16,edat_lfse_14,1.3769,2024-02-09
2007,RO,GR4,25_34,M,ISCED_5_8,9.55,56.13,34.25,14.83,16.17,461,434,442,51.35,39.48,7.1,edat_lfse_29,0.9221,2025-10-18
2008,BG,HU85,35_44,X,ISCED_3_4,13.16,47.73,24.1,7.67,6.95,520,488,464,27.79,22.06,6.06,edat_lfs_9912,1.6733,2024-10-01
2009,FR,AT355,45_54,F,ISCED_0_2,9.13,46.97,45.13,4.69,18.01,501,465,502,38.27,23.5,4.76,edat_lfse_03,0.3773,2025-12-18
2010,LT,DK157,55_64,M,ISCED_5_8,10.76,30.86,44.4,10.22,14.16,542,539,492,56.68,36.96,6.15,edat_lfse_14,3.6597,2024-03-07
2011,SK,DK887,15_24,X,ISCED_3_4,9.36,55.75,20.97,9.19,16.31,444,420,438,47.97,45.11,5.38,edat_lfse_29,1.3649,2026-01-11
2012,HR,IE6,25_34,F,ISCED_0_2,11.37,33.84,47.98,9.46,15.36,503,438,508,42.88,54.02,3.59,edat_lfs_9912,3.1971,2025-07-30
2013,DE,IT963,35_44,M,ISCED_5_8,11.28,52.19,51.73,11.42,18.67,434,400,452,42.54,12.5,6.01,edat_lfse_03,3.4023,2025-03-14
2014,LU,BG867,45_54,X,ISCED_3_4,12.9,41.2,17.89,11.7,13.62,434,467,428,59.0,68.17,3.74,edat_lfse_14,1.0536,2024-01-26
2015,SI,LT70,55_64,F,ISCED_0_2,11.57,20.59,44.32,9.38,8.5,524,528,495,59.48,29.69,3.76,edat_lfse_29,4.0712,2025-08-28
2016,CY,FI828,15_24,M,ISCED_5_8,12.88,29.83,51.08,6.59,13.75,390,426,386,43.51,54.89,5.05,edat_lfs_9912,3.7344,2024-08-04
2017,GR,DK868,25_34,X,ISCED_3_4,10.0,28.31,20.16,9.74,13.08,451,463,446,50.92,45.26,7.01,edat_lfse_03,3.2371,2026-01-05
2018,MT,PL602,35_44,F,ISCED_0_2,8.71,42.75,45.15,2.95,16.31,480,536,492,61.15,62.0,3.81,edat_lfse_14,1.1108,2025-10-24
2019,ES,MT673,45_54,M,ISCED_5_8,13.98,28.51,19.07,17.52,7.32,505,470,484,40.45,20.95,6.74,edat_lfse_29,2.1793,2026-01-20
2020,CZ,HR38,55_64,X,ISCED_3_4,3.99,30.61,56.87,14.31,19.63,415,415,421,28.74,48.96,4.71,edat_lfs_9912,2.5335,2025-01-05
2021,HU,SI17,15_24,F,ISCED_0_2,10.86,19.22,48.28,11.94,25.73,543,537,498,53.71,53.18,4.96,edat_lfse_03,3.139,2025-09-16
2022,NL,RO98,25_34,M,ISCED_5_8,3.62,35.43,40.66,19.71,11.71,450,469,460,86.77,50.54,8.0,edat_lfse_14,4.1773,2024-03-12
2023,SE,FI32,35_44,X,ISCED_3_4,10.35,57.84,31.82,18.56,16.26,523,481,497,87.4,71.01,6.2,edat_lfse_29,4.6252,2025-01-31
2024,DK,AT5,45_54,F,ISCED_0_2,15.26,21.18,48.6,14.17,9.44,533,565,538,50.98,61.96,6.7,edat_lfs_9912,3.0336,2026-01-04
2025,IE,IE728,55_64,M,ISCED_5_8,11.04,31.54,22.41,7.06,12.17,526,512,532,47.18,34.39,6.98,edat_lfse_03,3.5549,2024-12-08
2006,PL,CZ4,15_24,X,ISCED_3_4,7.46,49.53,33.31,18.29,9.46,433,432,395,28.41,57.54,6.4,edat_lfse_14,2.2694,2025-12-20
2007,AT,BE1,25_34,F,ISCED_0_2,8.37,25.24,32.99,12.56,12.41,448,458,423,59.72,13.71,5.5,edat_lfse_29,1.6187,2024-12-31
2008,EE,IE874,35_44,M,ISCED_5_8,10.29,58.64,43.37,16.3,18.76,495,452,529,44.89,61.88,6.86,edat_lfs_9912,2.5855,2025-02-11
2009,IT,GR49,45_54,X,ISCED_3_4,9.71,42.75,35.38,16.97,17.0,412,420,443,25.25,55.18,7.26,edat_lfse_03,3.8845,2025-09-15
2010,PT,HR925,55_64,F,ISCED_0_2,18.12,46.42,31.56,7.87,11.33,463,446,449,23.28,16.06,3.17,edat_lfse_14,3.0567,2024-12-14
2011,BE,CZ857,15_24,M,ISCED_5_8,12.02,52.5,46.11,7.38,20.67,450,457,442,42.01,14.27,6.0,edat_lfse_29,0.9934,2024-01-29
2012,FI,DK54,25_34,X,ISCED_3_4,13.47,30.69,46.0,5.41,10.02,510,512,535,49.66,30.1,7.82,edat_lfs_9912,3.4335,2024-10-09
2013,LV,HU152,35_44,F,ISCED_0_2,5.83,39.68,21.24,6.97,14.48,463,427,469,53.67,56.41,6.92,edat_lfse_03,2.6984,2024-07-30
2014,RO,LV62,45_54,M,ISCED_5_8,17.18,49.07,48.92,6.28,9.46,476,421,427,33.44,56.53,7.31,edat_lfse_14,1.0109,2024-12-08
2015,BG,BG89,55_64,X,ISCED_3_4,15.98,46.8,35.81,8.73,10.19,424,407,450,80.72,7.67,6.44,edat_lfse_29,3.1977,2025-03-06
2016,FR,HU2,15_24,F,ISCED_0_2,11.86,43.5,47.16,17.92,7.98,479,506,513,78.74,55.97,5.91,edat_lfs_9912,4.125,2025-07-08
2017,LT,DK777,25_34,M,ISCED_5_8,6.21,24.86,32.03,4.5,13.72,464,420,467,39.6,27.46,3.87,edat_lfse_03,4.5372,2024-05-28
2018,SK,MT771,35_44,X,ISCED_3_4,7.45,26.92,14.87,13.11,16.37,405,441,418,76.55,56.79,7.16,edat_lfse_14,3.2374,2026-01-03
2019,HR,DK1,45_54,F,ISCED_0_2,13.14,35.5,41.4,3.47,5.41,480,454,424,61.18,65.63,3.82,edat_lfse_29,2.4641,2024-08-16
2020,DE,LU28,55_64,M,ISCED_5_8,14.26,47.17,59.61,4.27,9.16,464,433,451,32.5,33.26,3.44,edat_lfs_9912,2.5508,2025-05-04
2021,LU,DE528,15_24,X,ISCED_3_4,11.52,29.68,19.83,13.44,20.42,488,482,430,77.2,39.77,3.36,edat_lfse_03,1.6377,2025-02-05
2022,SI,HR438,25_34,F,ISCED_0_2,5.63,21.09,33.77,6.56,9.74,498,453,457,76.26,56.73,4.9,edat_lfse_14,3.003,2025-12-06
2023,CY,SI53,35_44,M,ISCED_5_8,4.12,24.47,40.92,17.2,10.56,481,484,461,35.95,39.41,6.88,edat_lfse_29,3.682,2024-12-15
2024,GR,SK393,45_54,X,ISCED_3_4,4.68,49.53,49.28,18.26,16.75,453,411,435,84.45,42.89,6.54,edat_lfs_9912,0.3195,2025-07-10
2025,MT,LT356,55_64,F,ISCED_0_2,13.21,46.78,11.44,8.5,6.3,457,454,482,33.31,10.29,7.01,edat_lfse_03,0.7746,2024-04-01
2006,ES,EE96,15_24,M,ISCED_5_8,11.07,29.81,47.82,19.65,15.53,411,398,430,55.15,63.82,5.85,edat_lfse_14,3.0338,2024-12-03
2007,CZ,DE833,25_34,X,ISCED_3_4,14.0,38.87,33.25,17.07,9.56,417,401,405,54.39,66.47,5.08,edat_lfse_29,3.0554,2024-06-06
2008,HU,RO95,35_44,F,ISCED_0_2,8.13,34.63,30.15,11.92,7.89,437,424,472,22.67,67.67,4.48,edat_lfs_9912,2.0282,2025-01-18
2009,NL,LV149,45_54,M,ISCED_5_8,12.72,43.45,17.04,13.33,7.69,510,523,501,36.17,48.59,4.04,edat_lfse_03,3.885,2025-07-02
2010,SE,SI8,55_64,X,ISCED_3_4,8.54,35.99,44.84,13.69,9.75,503,471,485,56.04,60.37,3.72,edat_lfse_14,2.5769,2025-04-27
2011,DK,FR714,15_24,F,ISCED_0_2,12.17,34.37,34.92,12.36,7.27,575,557,554,49.52,28.58,6.18,edat_lfse_29,3.9378,2025-10-02
2012,IE,SK367,25_34,M,ISCED_5_8,5.99,29.36,34.89,12.91,18.0,560,516,523,35.34,38.84,4.02,edat_lfs_9912,1.967,2024-05-25
2013,PL,BG5,35_44,X,ISCED_3_4,14.76,29.55,19.81,3.37,5.43,414,383,441,44.18,52.08,6.16,edat_lfse_03,3.0562,2025-01-10
2014,AT,LU87,45_54,F,ISCED_0_2,4.68,29.72,17.97,8.8,17.75,455,448,469,40.22,32.12,7.08,edat_lfse_14,0.6832,2025-11-03
2015,EE,MT374,55_64,M,ISCED_5_8,3.92,50.3,32.73,9.52,13.42,580,554,551,57.77,47.13,3.95,edat_lfse_29,2.8687,2024-03-23
2016,IT,LV1,15_24,X,ISCED_3_4,13.65,29.47,15.17,11.57,11.29,424,404,442,79.31,65.49,6.44,edat_lfs_9912,4.6035,2024-07-24
2017,PT,MT725,25_34,F,ISCED_0_2,7.54,26.67,10.76,5.46,17.22,514,518,490,25.32,41.36,3.45,edat_lfse_03,0.4042,2024-10-12
2018,BE,LT2,35_44,M,ISCED_5_8,8.51,42.47,29.71,6.48,12.15,460,443,494,76.59,44.28,3.89,edat_lfse_14,1.7947,2026-01-08
2019,FI,ES63,45_54,X,ISCED_3_4,10.95,40.16,12.3,4.7,9.44,523,478,503,73.04,51.13,4.1,edat_lfse_29,1.6716,2025-07-14
2020,LV,ES34,55_64,F,ISCED_0_2,11.86,40.63,49.84,14.98,17.73,420,440,462,66.43,39.01,3.73,edat_lfs_9912,4.6155,2025-07-14
