edu_erasmus_project_year,edu_erasmus_programme_period_code,edu_erasmus_participant_id_hash,edu_erasmus_home_country_iso2,edu_erasmus_host_country_iso2,edu_erasmus_home_institution_id,edu_erasmus_host_institution_id,edu_erasmus_mobility_type_code,edu_erasmus_duration_days,edu_erasmus_grant_amount_eur,edu_erasmus_inclusion_support_flag,edu_erasmus_green_travel_flag,edu_erasmus_virtual_component_flag,edu_erasmus_recognition_ects_flag,edu_erasmus_language_preparation_flag,edu_erasmus_student_satisfaction_score,edu_erasmus_employability_outcome_flag,edu_erasmus_data_source,edu_erasmus_last_update_date,edu_erasmus_data_extract_date
2006,2014_2020,f2c3c11007553b2b1fc0cb,AT,AT,HEI_AT_0000,HEI_AT_0000,STUDY,225,2068.21,0,0,0,1,1,3.91,1,ERASMUS_DASHBOARD,2020-02-02,2024-06-27
2007,2014_2020,2a4541bd296f42e41d6918,EE,GR,HEI_EE_0005,HEI_GR_0009,YOUTH_EXCHANGE,77,1660.74,0,0,0,1,0,4.79,1,NATIONAL_AGENCY_EXPORT,2020-02-25,2025-06-30
2008,2014_2020,8650c8e6425d983ad966cb,IT,RO,HEI_IT_0010,HEI_RO_0018,STAFF_TRAINING,6,215.76,0,0,0,0,0,4.56,1,INSTITUTION_REPORTING,2020-03-19,2024-01-29
2009,2014_2020,da174c55ec8f2d08a84bce,PT,DK,HEI_PT_0015,HEI_DK_0027,STAFF_TEACHING,106,1633.64,0,0,1,0,1,5.0,0,ERASMUS_DASHBOARD,2020-04-11,2024-06-07
2010,2014_2020,ed70f4470cc0810a953567,BE,LU,HEI_BE_0020,HEI_LU_0036,BLENDED_INTENSIVE,113,2921.34,0,0,0,1,1,3.44,0,NATIONAL_AGENCY_EXPORT,2020-05-04,2024-03-06
2011,2014_2020,bf68618b6b83c75d26c807,FI,BE,HEI_FI_0025,HEI_BE_0045,TRAINEESHIP,106,2746.23,1,0,0,0,1,3.72,0,INSTITUTION_REPORTING,2020-05-27,2025-11-25
2012,2014_2020,0c0c256cf7af92ec443dcf,LV,HU,HEI_LV_0030,HEI_HU_0054,STUDY,86,889.99,0,0,0,0,1,3.76,0,ERASMUS_DASHBOARD,2020-06-19,2024-05-02
2013,2014_2020,a69a095d0dc6e3860b4cf1,RO,SK,HEI_RO_0035,HEI_SK_0063,YOUTH_EXCHANGE,138,4386.07,1,0,0,0,0,3.53,0,NATIONAL_AGENCY_EXPORT,2020-07-12,2025-09-21
2014,2014_2020,93696cb226894d5c407a14,BG,EE,HEI_BG_0040,HEI_EE_0072,STAFF_TRAINING,121,3850.99,1,1,0,0,0,4.56,1,INSTITUTION_REPORTING,2020-08-04,2026-02-23
2015,2014_2020,9d58ad7fb66c08709aa42f,FR,MT,HEI_FR_0045,HEI_MT_0081,STAFF_TEACHING,136,1598.95,0,0,0,0,1,3.43,1,ERASMUS_DASHBOARD,2020-08-27,2026-02-13
