edu_he_reference_year,edu_he_country_iso2,edu_he_institution_id,edu_he_institution_type_code,edu_he_students_total,edu_he_international_students_share_pct,edu_he_graduation_rate_pct,edu_he_staff_fte_total,edu_he_research_expenditure_eur,edu_he_publications_count,edu_he_citations_normalised_index,edu_he_horizon_participation_count,edu_he_patents_count,edu_he_spinouts_count,edu_he_open_access_share_pct,edu_he_microcredential_offers_count,edu_he_european_universities_alliance_flag,edu_he_data_source,edu_he_revision_round,edu_he_data_extract_date
2006,AT,HEI_AT_0000,PUBLIC_UNIVERSITY,26971,5.03,59.43,2465,1827781231.74,8997,1.26,244,61,62,33.99,171,0,EUROSTAT_EDU,FLASH,2025-08-26
2007,CZ,HEI_CZ_0007,PRIVATE_UNIVERSITY,24119,14.96,55.12,2512,2536128954.29,9527,2.037,66,98,40,48.43,177,0,SCIMAGO_EXPORT,BENCHMARK,2024-01-05
2008,DE,HEI_DE_0014,UNIVERSITY_OF_APPLIED_SCIENCES,49911,38.88,43.7,5816,2680816651.45,8247,0.773,53,128,24,29.62,182,0,NATIONAL_HE_REGISTRY,SECOND,2025-12-01
2009,LV,HEI_LV_0021,RESEARCH_INSTITUTE,6617,21.3,51.3,491,1862447857.73,2542,1.342,333,91,91,25.48,10,0,INSTITUTIONAL_REPORT,FIRST,2024-05-25
2010,PL,HEI_PL_0028,TECHNICAL_UNIVERSITY,49138,2.27,51.19,2989,1130630663.88,19376,1.173,235,152,89,42.25,22,0,EUROSTAT_EDU,FLASH,2024-03-17
2011,ES,HEI_ES_0035,PUBLIC_UNIVERSITY,80333,27.12,67.75,8762,1014089060.46,2680,1.242,22,57,9,64.8,25,0,SCIMAGO_EXPORT,BENCHMARK,2025-12-31
2012,HR,HEI_HR_0042,PRIVATE_UNIVERSITY,43911,7.6,71.16,3062,517833766.17,10211,1.254,153,24,16,19.52,60,0,NATIONAL_HE_REGISTRY,SECOND,2025-01-24
2013,FI,HEI_FI_0049,UNIVERSITY_OF_APPLIED_SCIENCES,24523,8.85,44.72,992,2270931680.63,4135,1.162,51,144,102,23.61,120,0,INSTITUTIONAL_REPORT,FIRST,2024-08-10
2014,IE,HEI_IE_0056,RESEARCH_INSTITUTE,7483,19.96,53.27,524,3122898777.07,32575,1.072,600,222,96,30.28,133,0,EUROSTAT_EDU,FLASH,2024-10-29
2015,MT,HEI_MT_0063,TECHNICAL_UNIVERSITY,11030,10.86,58.53,1197,3231632025.5,6018,0.92,359,162,98,61.14,55,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-20
