edu_res_reference_year,edu_res_country_iso2,edu_res_region_nuts_code,edu_res_school_level_code,edu_res_student_teacher_ratio,edu_res_teacher_salary_index,edu_res_school_infrastructure_index,edu_res_devices_per_100_students,edu_res_high_speed_internet_school_pct,edu_res_digital_learning_platform_usage_pct,edu_res_special_needs_support_staff_per_1k,edu_res_meals_programme_coverage_pct,edu_res_language_support_programmes_count,edu_res_dropout_prevention_programmes_count,edu_res_safety_incidents_count,edu_res_budget_per_student_eur,edu_res_r_and_r_rf_education_investment_eur,edu_res_data_source,edu_res_methodology_version,edu_res_data_extract_date
2006,AT,PT975,PRIMARY,14.28,82.07,71.79,134.03,65.04,70.68,15.94,45.29,221,207,394,14600.26,46520373.66,EURYDICE_EXPORT,RES_V1,2024-07-04
2007,CZ,NL8,MIXED,11.49,94.93,92.88,66.35,69.48,43.58,3.74,62.88,45,1,760,8659.56,126172080.18,NATIONAL_EDU_MINISTRY,RES_V3,2025-05-14
2008,DE,ES6,UPPER_SECONDARY,9.74,82.13,74.17,110.8,55.95,27.53,14.17,58.44,83,89,573,12787.04,187543226.89,SCHOOL_CENSUS,RES_V2,2025-05-23
2009,LV,LU80,LOWER_SECONDARY,8.7,118.09,70.96,121.51,53.37,18.36,12.17,66.63,260,155,592,14539.15,264410999.57,RRF_MONITORING,RES_V1,2024-07-10
2010,PL,SE1,PRIMARY,9.9,101.94,68.52,82.35,44.02,65.6,11.16,87.38,182,185,556,14560.44,252676080.98,EURYDICE_EXPORT,RES_V3,2024-08-05
2011,ES,EE84,MIXED,14.69,118.12,101.68,85.42,41.11,29.44,13.13,34.09,71,49,500,8808.21,119997839.43,NATIONAL_EDU_MINISTRY,RES_V2,2024-04-26
2012,HR,IE71,UPPER_SECONDARY,14.05,115.2,86.75,111.8,79.84,46.26,9.48,55.97,43,40,723,14388.4,319131765.67,SCHOOL_CENSUS,RES_V1,2024-12-15
2013,FI,LT35,LOWER_SECONDARY,14.32,100.54,94.44,92.8,81.97,21.77,2.67,95.44,116,65,491,11837.32,221469133.1,RRF_MONITORING,RES_V3,2025-11-22
2014,IE,NL12,PRIMARY,19.74,88.74,69.66,111.38,65.41,30.82,12.36,87.06,135,203,479,15335.39,233187284.12,EURYDICE_EXPORT,RES_V2,2025-11-24
2015,MT,SK946,MIXED,11.31,122.82,92.94,58.66,53.92,70.46,11.33,78.48,169,77,440,5626.55,302000964.71,NATIONAL_EDU_MINISTRY,RES_V1,2025-03-25
2016,SK,HU4,UPPER_SECONDARY,20.76,123.5,99.63,113.53,40.8,23.34,14.26,14.34,328,119,157,14836.35,317618876.98,SCHOOL_CENSUS,RES_V3,2024-01-17
2017,BE,PL75,LOWER_SECONDARY,13.95,102.76,75.32,47.03,43.61,23.13,9.46,29.0,81,238,397,2198.34,294001791.14,RRF_MONITORING,RES_V2,2025-07-02
2018,DK,LV616,PRIMARY,15.37,123.09,90.24,50.56,97.7,12.08,9.36,43.5,88,127,128,14092.19,405436732.16,EURYDICE_EXPORT,RES_V1,2024-12-28
2019,GR,GR9,MIXED,16.15,99.19,96.38,44.85,93.18,60.14,7.41,82.34,94,235,376,7074.32,92095359.23,NATIONAL_EDU_MINISTRY,RES_V3,2025-02-03
2020,LT,IE311,UPPER_SECONDARY,16.24,107.76,81.32,110.63,67.22,56.19,3.49,30.15,304,244,32,9793.72,330609205.08,SCHOOL_CENSUS,RES_V2,2024-09-14
2021,PT,SI69,LOWER_SECONDARY,13.31,118.73,122.61,93.76,100.0,100.0,8.55,44.71,257,231,202,7011.39,1331331989.36,RRF_MONITORING,RES_V1,2025-02-26
2022,SE,LV75,PRIMARY,19.63,122.3,124.31,79.69,100.0,30.62,16.15,26.58,333,64,224,13030.02,1753965455.21,EURYDICE_EXPORT,RES_V3,2024-07-31
2023,CY,SE5,MIXED,11.41,108.35,114.71,30.33,52.83,26.25,7.48,64.34,31,110,262,15965.52,1404917814.41,NATIONAL_EDU_MINISTRY,RES_V2,2026-02-02
2024,FR,CZ531,UPPER_SECONDARY,13.86,117.85,120.0,50.59,61.04,14.55,9.63,40.94,316,238,955,6307.18,1002746480.18,SCHOOL_CENSUS,RES_V1,2024-07-10
2025,IT,LT308,LOWER_SECONDARY,12.1,112.57,108.91,171.74,91.19,54.62,13.47,34.79,324,142,489,3081.3,113842957.58,RRF_MONITORING,RES_V3,2025-04-16
2006,NL,AT9,PRIMARY,18.33,120.87,79.94,36.7,80.07,56.94,9.22,81.33,103,146,511,14492.51,353637440.55,EURYDICE_EXPORT,RES_V2,2025-09-15
