edu_vet_reference_year,edu_vet_country_iso2,edu_vet_region_nuts_code,edu_vet_programme_code,edu_vet_field_of_education_code,edu_vet_participants_count,edu_vet_apprenticeships_count,edu_vet_employer_partners_count,edu_vet_completion_rate_pct,edu_vet_job_placement_rate_pct,edu_vet_wage_premium_pct,edu_vet_dual_system_flag,edu_vet_microcredentials_flag,edu_vet_recognition_framework_code,edu_vet_funding_amount_eur,edu_vet_esf_plus_support_flag,edu_vet_quality_assurance_flag,edu_vet_data_source,edu_vet_last_update_date,edu_vet_data_extract_date
2006,AT,PT975,VET_AT_0000,01_EDUCATION,86751,35925,6972,92.31,67.32,16.3,0,0,EQF_LINKED,104390900.56,0,0,CEDEFOP_EXPORT,2018-01-19,2024-12-21
2007,EE,ES716,VET_EE_0009,02_ARTS,88997,22093,4526,94.3,92.41,5.35,0,0,NQF_ONLY,104743183.3,0,0,NATIONAL_VET_AGENCY,2018-02-17,2024-12-14
2008,IT,IT1,VET_IT_0018,03_HUMANITIES,3308,556,6182,66.81,77.38,6.61,0,0,SECTORAL,198903684.79,0,1,PROVIDER_ADMIN_DATA,2018-03-18,2025-12-28
2009,PT,SE37,VET_PT_0027,04_BUSINESS,49726,11681,3055,94.51,96.29,19.42,0,0,NONE,1717204033.97,0,0,ESF_PLUS_MONITORING,2018-04-16,2024-02-18
2010,BE,LU18,VET_BE_0036,05_SCIENCE,43320,13194,659,77.54,93.59,10.08,0,0,EQF_LINKED,1445235239.93,0,1,CEDEFOP_EXPORT,2018-05-15,2025-06-01
2011,FI,DE749,VET_FI_0045,06_ICT,85147,39858,7373,83.99,85.14,19.76,0,0,NQF_ONLY,2174650111.77,0,0,NATIONAL_VET_AGENCY,2018-06-13,2024-12-21
2012,LV,GR54,VET_LV_0054,07_ENGINEERING,37093,14055,1985,64.32,63.06,16.13,0,0,SECTORAL,350407692.6,0,0,PROVIDER_ADMIN_DATA,2018-07-12,2024-08-17
2013,RO,EE84,VET_RO_0063,08_AGRI,35928,12068,3938,58.05,78.13,16.42,0,0,NONE,840732104.54,0,1,ESF_PLUS_MONITORING,2018-08-10,2025-09-30
2014,BG,CZ81,VET_BG_0072,09_HEALTH,40248,17959,1579,89.29,85.18,9.93,0,0,EQF_LINKED,1825905273.43,0,1,CEDEFOP_EXPORT,2018-09-08,2024-07-31
2015,FR,LU6,VET_FR_0081,10_SERVICES,96672,30913,2631,82.11,93.42,14.22,0,0,NQF_ONLY,212791687.07,0,1,NATIONAL_VET_AGENCY,2018-10-07,2026-02-13
2016,LT,FR3,VET_LT_0090,01_EDUCATION,48833,32387,5698,66.48,81.11,5.41,0,0,SECTORAL,1175681651.1,0,1,PROVIDER_ADMIN_DATA,2018-11-05,2024-09-04
2017,SK,LT317,VET_SK_0099,02_ARTS,94925,37948,8587,89.41,86.09,17.64,1,0,NONE,1188885062.14,0,0,ESF_PLUS_MONITORING,2018-12-04,2025-11-11
2018,HR,BG4,VET_HR_0108,03_HUMANITIES,54163,17957,7301,93.64,79.45,3.42,1,0,EQF_LINKED,419733311.4,0,1,CEDEFOP_EXPORT,2019-01-02,2024-08-23
2019,DE,HU1,VET_DE_0117,04_BUSINESS,75430,12029,7103,62.48,55.84,7.48,0,0,NQF_ONLY,2035049987.28,0,0,NATIONAL_VET_AGENCY,2019-01-31,2024-05-21
2020,LU,HU4,VET_LU_0126,05_SCIENCE,31873,14533,1487,77.42,72.29,17.83,0,0,SECTORAL,340578046.45,0,1,PROVIDER_ADMIN_DATA,2019-03-01,2026-02-02
2021,SI,RO29,VET_SI_0135,06_ICT,29014,12878,9358,67.9,64.25,22.09,1,1,NONE,481592440.85,1,1,ESF_PLUS_MONITORING,2019-03-30,2025-06-11
2022,CY,AT986,VET_CY_0144,07_ENGINEERING,74246,35564,2730,65.11,69.76,17.32,1,0,EQF_LINKED,2725224269.83,0,1,CEDEFOP_EXPORT,2019-04-28,2024-12-07
2023,GR,IT2,VET_GR_0153,08_AGRI,37664,18685,9075,93.87,81.38,4.46,0,0,NQF_ONLY,146764579.53,1,1,NATIONAL_VET_AGENCY,2019-05-27,2025-02-13
2024,MT,AT569,VET_MT_0162,09_HEALTH,33960,10472,8163,86.8,85.79,20.79,0,1,SECTORAL,1508993137.61,0,1,PROVIDER_ADMIN_DATA,2019-06-25,2025-09-27
2025,ES,MT7,VET_ES_0171,10_SERVICES,81133,42132,7947,77.67,67.61,15.45,0,1,NONE,3318851777.31,0,0,ESF_PLUS_MONITORING,2019-07-24,2025-11-08
2006,CZ,SE539,VET_CZ_0180,01_EDUCATION,47560,33844,6419,69.07,75.22,8.42,0,0,EQF_LINKED,1223419184.95,0,0,CEDEFOP_EXPORT,2019-08-22,2024-03-11
2007,HU,SI69,VET_HU_0189,02_ARTS,65913,29274,2722,62.86,48.27,19.4,0,0,NQF_ONLY,1534547934.69,0,0,NATIONAL_VET_AGENCY,2019-09-20,2025-06-11
2008,NL,LT14,VET_NL_0198,03_HUMANITIES,58649,31897,7056,77.7,93.29,14.29,1,0,SECTORAL,750225199.85,0,1,PROVIDER_ADMIN_DATA,2019-10-19,2025-07-28
2009,SE,FI82,VET_SE_0207,04_BUSINESS,70821,43120,1684,73.89,42.06,15.1,0,0,NONE,1450352805.45,0,1,ESF_PLUS_MONITORING,2019-11-17,2025-03-23
