energy_eff_reference_year,energy_eff_country_iso2,energy_eff_region_nuts_code,energy_eff_building_type_code,energy_eff_epc_label_distribution,energy_eff_renovation_rate_pct,energy_eff_deep_renovation_share_pct,energy_eff_energy_use_kwh_m2,energy_eff_heat_pump_installations_count,energy_eff_district_heating_share_pct,energy_eff_smart_controls_penetration_pct,energy_eff_public_buildings_renovated_count,energy_eff_epbd_minimum_standards_flag,energy_eff_energy_savings_obligation_twh,energy_eff_rebound_effect_index,energy_eff_financing_scheme_code,energy_eff_investment_eur,energy_eff_just_transition_fund_support_eur,energy_eff_data_source,energy_eff_data_extract_date
2004,AT,BG2,RESIDENTIAL_SFH,A:14.26;B:7.66;C:15.24;D:11.76;E:0.45;F:48.98;G:1.65,1.94,33.63,265.88,201759,10.06,48.56,6190,1,17.669,0.3594,ESCO_CONTRACT,2047899052.13,373544178.92,BUILDING_STOCK_OBSERVATORY,2025-04-09
2005,EE,NL207,COMMERCIAL_OFFICE,A:45.84;B:3.77;C:9.86;D:8.17;E:14.20;F:2.66;G:15.50,2.27,35.3,264.42,67205,34.57,56.54,18623,0,1.331,0.643,SOCIAL_HOUSING_FUND,14632808157.07,289002968.19,NATIONAL_EPC_REGISTRY,2024-08-03
2006,IT,HR56,RESIDENTIAL_MFH,A:31.27;B:11.78;C:13.59;D:7.94;E:9.04;F:4.61;G:21.77,4.29,26.26,128.46,245896,8.23,30.88,14215,0,1.889,0.2868,ON_BILL_FINANCING,10304600368.18,310630759.12,EPBD_REPORTING,2024-07-08
2007,PT,HR12,COMMERCIAL_RETAIL,A:17.55;B:14.49;C:4.59;D:6.71;E:9.59;F:23.75;G:23.33,4.48,44.48,269.7,334194,0.71,40.38,7081,0,17.579,0.8201,EIB_LOAN,10586957848.83,29061168.44,SURVEY_ESTIMATE,2024-10-24
2008,BE,DE892,PUBLIC_SCHOOLS,A:29.00;B:29.89;C:7.65;D:10.35;E:3.88;F:9.54;G:9.69,3.07,35.85,211.83,161583,45.54,5.38,24021,0,15.034,0.301,TAX_REBATE,8552349870.31,166062414.21,BUILDING_STOCK_OBSERVATORY,2025-07-10
2009,FI,LT73,INDUSTRIAL_LIGHT,A:10.23;B:4.65;C:23.96;D:9.24;E:14.31;F:2.74;G:34.88,3.34,38.5,190.53,157370,42.91,75.96,3113,0,17.217,0.6069,PUBLIC_GRANT,5374917855.9,184717887.35,NATIONAL_EPC_REGISTRY,2025-11-18
2010,LV,PL6,PUBLIC_HOSPITALS,A:5.07;B:7.53;C:9.39;D:47.36;E:0.50;F:10.40;G:19.76,4.44,7.66,262.7,32968,46.5,13.94,40750,0,2.674,0.3714,GREEN_MORTGAGE,19388050183.82,249287658.95,EPBD_REPORTING,2024-08-19
2011,RO,SI48,RESIDENTIAL_SFH,A:17.56;B:7.26;C:10.03;D:37.86;E:19.60;F:4.20;G:3.48,0.84,2.77,104.31,108171,12.01,33.59,18455,0,12.972,0.7039,ESCO_CONTRACT,10874453693.02,490687934.06,SURVEY_ESTIMATE,2024-07-22
2012,BG,SE712,COMMERCIAL_OFFICE,A:30.47;B:0.50;C:17.57;D:0.78;E:38.11;F:5.73;G:6.84,3.03,23.15,279.83,289051,26.41,57.29,10241,0,2.739,0.7352,SOCIAL_HOUSING_FUND,27731853680.57,218376047.73,BUILDING_STOCK_OBSERVATORY,2024-09-23
2013,FR,HR8,RESIDENTIAL_MFH,A:47.87;B:16.65;C:1.69;D:14.76;E:3.26;F:13.19;G:2.58,5.14,33.85,37.92,260842,23.9,23.81,1907,0,3.258,0.2591,ON_BILL_FINANCING,6384763305.4,302161839.25,NATIONAL_EPC_REGISTRY,2024-09-22
