energy_gas_reference_date,energy_gas_country_iso2,energy_gas_storage_site_id,energy_gas_storage_capacity_twh,energy_gas_storage_filled_twh,energy_gas_storage_fill_rate_pct,energy_gas_lng_imports_twh,energy_gas_pipeline_imports_twh,energy_gas_domestic_production_twh,energy_gas_consumption_twh,energy_gas_price_ttf_eur_mwh,energy_gas_price_spread_eur_mwh,energy_gas_supply_source_country_iso2,energy_gas_repower_eu_policy_flag,energy_gas_security_of_supply_alert_level,energy_gas_demand_response_savings_twh,energy_gas_industrial_curtailment_flag,energy_gas_storage_obligation_compliance_flag,energy_gas_data_source,energy_gas_data_extract_date
2018-01-30,AT,AT_UGS_001,13.8337,8.4626,61.17,0.3299,1.8665,0.7274,3.0802,22.45,-2.5,US,1,NORMAL,0.1424,0,0,ENTSOG_TRANSPARENCY,2024-07-27
2018-02-16,EE,EE_UGS_002,18.6011,2.9675,15.95,0.6015,8.0038,1.4866,10.0427,26.21,-11.61,IN,0,NORMAL,0.2579,0,0,AGSI_PLUS,2025-01-30
2018-03-05,IT,IT_UGS_003,7.1791,1.3168,18.34,1.485,1.2928,0.0466,2.8218,14.36,-10.0,US,0,NORMAL,0.2399,0,0,NATIONAL_GAS_TSO,2024-01-07
2018-03-22,PT,PT_UGS_004,10.3541,7.8067,75.4,0.7963,6.1016,0.6938,7.8982,15.27,20.65,IN,0,NORMAL,0.2056,0,1,MARKET_DATA_PROVIDER,2025-04-19
2018-04-08,BE,BE_UGS_005,4.8254,1.1786,24.43,0.9553,5.4351,1.264,7.9494,21.71,13.1,US,0,NORMAL,0.2154,0,0,ENTSOG_TRANSPARENCY,2025-07-13
2018-04-25,FI,FI_UGS_006,16.686,14.0148,83.99,2.1659,0.5267,2.2133,3.9177,21.52,6.84,IN,1,NORMAL,0.1307,0,1,AGSI_PLUS,2024-11-20
2018-05-12,LV,LV_UGS_007,2.0816,1.662,79.84,2.8693,3.9291,1.2106,7.1832,10.37,23.62,US,0,NORMAL,0.1908,0,0,NATIONAL_GAS_TSO,2024-09-18
2018-05-29,RO,RO_UGS_008,12.897,10.2865,79.76,1.3365,3.723,1.3952,6.5437,9.18,-4.41,IN,1,NORMAL,0.235,0,0,MARKET_DATA_PROVIDER,2024-03-15
2018-06-15,BG,BG_UGS_009,11.6226,7.2825,62.66,1.4966,4.8135,0.1633,6.3883,14.78,-9.26,US,0,NORMAL,0.2004,0,1,ENTSOG_TRANSPARENCY,2025-05-21
2018-07-02,FR,FR_UGS_010,5.9351,5.4684,92.14,0.3883,3.8339,0.5663,4.1428,18.96,20.9,IN,0,NORMAL,0.1943,0,1,AGSI_PLUS,2024-08-01
2018-07-19,LT,LT_UGS_011,1.8999,1.7976,94.62,0.6792,4.0446,0.4434,5.4962,21.89,-6.43,US,1,NORMAL,0.0223,0,1,NATIONAL_GAS_TSO,2026-02-14
2018-08-05,SK,SK_UGS_012,1.8799,1.7238,91.7,2.8491,1.8071,1.0211,5.1976,17.55,12.02,IN,0,NORMAL,0.299,0,1,MARKET_DATA_PROVIDER,2024-04-24
2018-08-22,HR,HR_UGS_013,4.6249,0.7441,16.09,1.4589,1.1485,0.1522,2.4136,15.75,-3.69,US,0,NORMAL,0.1472,0,0,ENTSOG_TRANSPARENCY,2024-07-04
2018-09-08,DE,DE_UGS_014,3.4747,3.0996,89.2,1.2611,4.279,1.1947,6.282,14.68,-7.65,IN,0,NORMAL,0.2233,0,1,AGSI_PLUS,2024-10-22
2018-09-25,LU,LU_UGS_015,7.5086,3.9449,52.54,1.9376,5.4462,0.2863,7.1332,21.13,15.44,US,0,NORMAL,0.2657,0,0,NATIONAL_GAS_TSO,2025-11-09
2018-10-12,SI,SI_UGS_016,12.4712,7.3812,59.19,0.9111,3.0285,0.1661,3.9036,16.96,0.67,IN,1,NORMAL,0.1023,0,0,MARKET_DATA_PROVIDER,2025-09-04
2018-10-29,CY,CY_UGS_017,11.2459,8.2901,73.72,0.9872,4.4733,0.7,6.5628,9.03,11.8,US,1,NORMAL,0.1947,0,0,ENTSOG_TRANSPARENCY,2025-05-25
2018-11-15,GR,GR_UGS_018,17.2311,1.888,10.96,0.9445,2.387,0.5264,3.6721,21.0,-8.91,IN,0,NORMAL,0.0157,0,0,AGSI_PLUS,2026-01-22
2018-12-02,MT,MT_UGS_019,5.3727,1.3659,25.42,3.4035,1.0099,2.1299,6.3925,22.43,0.92,US,0,NORMAL,0.2501,0,0,NATIONAL_GAS_TSO,2025-12-12
2018-12-19,ES,ES_UGS_020,3.6055,2.5413,70.49,2.2698,1.5961,0.6732,3.7292,12.14,3.85,IN,0,NORMAL,0.2456,0,1,MARKET_DATA_PROVIDER,2025-12-11
2019-01-05,CZ,CZ_UGS_021,6.7824,5.0164,73.96,1.9381,3.151,0.6655,5.5676,11.64,12.42,US,0,NORMAL,0.1389,0,0,ENTSOG_TRANSPARENCY,2025-03-14
2019-01-22,HU,HU_UGS_022,7.4036,5.099,68.87,3.114,1.6912,0.3281,5.0609,25.66,3.46,IN,0,NORMAL,0.0998,0,1,AGSI_PLUS,2024-11-18
2019-02-08,NL,NL_UGS_023,2.4989,1.8964,75.89,1.2779,3.7154,1.206,5.9411,10.88,2.59,US,0,NORMAL,0.0936,0,1,NATIONAL_GAS_TSO,2024-01-19
2019-02-25,SE,SE_UGS_024,0.3566,0.1082,30.35,1.2674,3.7922,0.4677,6.0852,13.76,12.19,IN,0,NORMAL,0.0847,0,0,MARKET_DATA_PROVIDER,2026-02-21
2019-03-14,DK,DK_UGS_025,8.2834,3.4263,41.36,0.8152,5.229,1.5133,7.7043,14.16,-6.01,US,0,NORMAL,0.3225,0,0,ENTSOG_TRANSPARENCY,2025-03-27
2019-03-31,IE,IE_UGS_026,6.4561,5.0709,78.54,2.1293,7.197,1.2888,9.9853,27.07,10.38,IN,0,NORMAL,0.2224,0,1,AGSI_PLUS,2024-04-09
2019-04-17,PL,PL_UGS_027,2.9925,2.4355,81.39,1.4247,0.9921,1.6356,3.3064,27.6,-6.94,US,0,NORMAL,0.0517,0,0,NATIONAL_GAS_TSO,2025-08-10
2019-05-04,AT,AT_UGS_028,17.8692,17.172,96.1,1.0859,1.9122,0.7471,4.3102,12.87,16.21,IN,0,NORMAL,0.2542,0,1,MARKET_DATA_PROVIDER,2024-02-06
2019-05-21,EE,EE_UGS_029,6.7921,6.5315,96.16,2.5095,3.343,1.5647,7.8291,12.83,-5.19,US,0,NORMAL,0.3292,0,1,ENTSOG_TRANSPARENCY,2024-11-16
2019-06-07,IT,IT_UGS_030,2.7464,1.5289,55.67,1.0867,0.4667,1.3123,2.5927,18.54,1.76,IN,0,NORMAL,0.2458,0,1,AGSI_PLUS,2024-04-24
2019-06-24,PT,PT_UGS_031,4.1139,0.8259,20.08,2.3559,0.8305,0.7862,4.3399,26.88,-9.7,US,0,NORMAL,0.2851,0,0,NATIONAL_GAS_TSO,2025-01-03
2019-07-11,BE,BE_UGS_032,0.7541,0.4295,56.95,0.2234,5.4187,0.8591,5.6077,20.34,9.45,IN,0,NORMAL,0.0613,0,0,MARKET_DATA_PROVIDER,2025-08-30
2019-07-28,FI,FI_UGS_033,12.6744,7.0149,55.35,0.6223,4.2925,0.1596,4.5891,11.78,4.72,US,1,NORMAL,0.1481,0,0,ENTSOG_TRANSPARENCY,2025-12-06
2019-08-14,LV,LV_UGS_034,5.3727,5.2977,98.6,0.2458,4.3494,2.1134,6.7899,16.28,-7.11,IN,0,NORMAL,0.0854,0,1,AGSI_PLUS,2025-06-02
2019-08-31,RO,RO_UGS_035,6.5391,4.1164,62.95,0.3659,0.8523,0.4139,1.5255,15.11,6.06,US,0,NORMAL,0.3193,0,1,NATIONAL_GAS_TSO,2025-04-09
2019-09-17,BG,BG_UGS_036,7.7852,7.1748,92.16,0.1642,3.3088,0.0245,4.0852,9.27,2.55,IN,0,NORMAL,0.2005,0,1,MARKET_DATA_PROVIDER,2024-02-04
2019-10-04,FR,FR_UGS_037,10.7295,9.9228,92.48,1.0676,2.5449,0.2885,3.7139,17.9,17.54,US,0,NORMAL,0.0857,0,1,ENTSOG_TRANSPARENCY,2025-11-29
2019-10-21,LT,LT_UGS_038,3.4596,1.7785,51.41,1.0158,1.4552,0.2786,2.6049,18.77,15.06,IN,1,NORMAL,0.0939,0,0,AGSI_PLUS,2025-06-12
2019-11-07,SK,SK_UGS_039,0.7198,0.7069,98.21,0.2771,2.0585,1.418,4.3178,18.49,15.82,US,0,NORMAL,0.2942,0,1,NATIONAL_GAS_TSO,2024-03-14
2019-11-24,HR,HR_UGS_040,0.4016,0.0335,8.34,2.3615,5.0797,0.5771,7.2031,11.69,-2.3,IN,0,NORMAL,0.1686,0,0,MARKET_DATA_PROVIDER,2025-08-10
2019-12-11,DE,DE_UGS_041,3.2591,2.0118,61.73,1.418,3.8764,0.2764,5.7025,22.66,-10.59,US,0,NORMAL,0.2423,0,1,ENTSOG_TRANSPARENCY,2024-02-15
