energy_gen_operating_month,energy_gen_country_iso2,energy_gen_bidding_zone_code,energy_gen_plant_id,energy_gen_unit_id,energy_gen_fuel_type_primary,energy_gen_capacity_mw,energy_gen_net_generation_mwh,energy_gen_capacity_factor_pct,energy_gen_planned_outage_hours,energy_gen_forced_outage_hours,energy_gen_emissions_co2_tons,energy_gen_emissions_nox_tons,energy_gen_emissions_so2_tons,energy_gen_water_withdrawal_m3,energy_gen_cooling_technology_code,energy_gen_renewable_guarantees_of_origin_mwh,energy_gen_grid_operator_entsoe_code,energy_gen_unit_retirement_year,energy_gen_data_extract_date
2017-01,AT,AT_BZ01,AT_PLANT_0001,AT_PLANT_0001_U01,NUCLEAR,1235.599,737956.85,86.8,82.23,33.03,259993.353,180.7004,60.6955,8709209.2,ONCE_THROUGH,0.0,ENTSOE_AT_TSO01,2025,2025-04-05
2017-02,CZ,CZ_BZ02,CZ_PLANT_0002,CZ_PLANT_0002_U02,WASTE,538.332,79812.15,19.15,43.74,3.03,60736.699,12.0399,1.6786,816749.87,AIR_COOLING,0.0,ENTSOE_CZ_TSO02,0,2024-01-13
2017-03,DE,DE_BZ03,DE_PLANT_0003,DE_PLANT_0003_U03,NUCLEAR,1103.109,674341.3,80.93,67.3,36.65,311252.974,121.3606,35.3125,11014838.46,SEA_WATER,0.0,ENTSOE_DE_TSO03,0,2025-08-18
2017-04,LV,LV_BZ04,LV_PLANT_0004,LV_PLANT_0004_U04,WASTE,64.887,18740.02,37.67,73.47,12.27,19436.952,0.8043,0.3021,1056654.78,HYBRID,0.0,ENTSOE_LV_TSO04,0,2025-10-25
2017-05,PL,PL_BZ05,PL_PLANT_0005,PL_PLANT_0005_U05,NUCLEAR,587.964,294696.14,72.88,66.41,62.52,79310.427,61.7416,30.2579,27620432.45,DRY_COOLING,0.0,ENTSOE_PL_TSO01,2029,2024-10-16
2017-06,ES,ES_BZ06,ES_PLANT_0006,ES_PLANT_0006_U06,WASTE,383.344,123929.92,48.07,55.97,49.53,104627.598,13.0594,10.2374,2757318.57,RECIRCULATING,0.0,ENTSOE_ES_TSO02,2030,2025-03-04
2017-07,HR,HR_BZ01,HR_PLANT_0007,HR_PLANT_0007_U07,NUCLEAR,1408.779,800085.8,80.03,81.19,44.88,110434.164,67.4917,27.9826,2026110.61,ONCE_THROUGH,0.0,ENTSOE_HR_TSO03,2031,2024-06-09
2017-08,FI,FI_BZ02,FI_PLANT_0008,FI_PLANT_0008_U08,WASTE,466.16,190736.03,54.98,6.37,17.46,99287.629,22.0289,6.0705,324839.95,AIR_COOLING,0.0,ENTSOE_FI_TSO04,2032,2024-09-03
2017-09,IE,IE_BZ03,IE_PLANT_0009,IE_PLANT_0009_U01,NUCLEAR,794.546,390917.47,70.18,107.3,61.15,138063.538,84.7031,42.0426,29767082.25,SEA_WATER,0.0,ENTSOE_IE_TSO01,2033,2025-04-12
2017-10,MT,MT_BZ04,MT_PLANT_0010,MT_PLANT_0010_U02,WASTE,215.311,65232.88,39.3,72.04,1.86,49842.467,13.9764,4.9805,2146099.41,HYBRID,0.0,ENTSOE_MT_TSO02,2034,2025-09-27
