energy_prices_reference_month,energy_prices_country_iso2,energy_prices_consumer_type_code,energy_prices_band_consumption_code,energy_prices_price_eur_kwh,energy_prices_energy_component_eur_kwh,energy_prices_network_component_eur_kwh,energy_prices_tax_levy_component_eur_kwh,energy_prices_vat_rate_pct,energy_prices_retail_market_concentration_hhi,energy_prices_supplier_switching_rate_pct,energy_prices_price_cap_regulation_flag,energy_prices_renewable_levy_flag,energy_prices_energy_poverty_rate_pct,energy_prices_bill_arrears_rate_pct,energy_prices_smart_meter_penetration_pct,energy_prices_time_of_use_tariff_flag,energy_prices_eurostat_table_code,energy_prices_methodology_version,energy_prices_data_extract_date
2016-01,AT,HOUSEHOLD,BAND_1_LOW,0.1869,0.0925,0.0644,0.03,11.87,2112,8.15,0,1,19.98,8.87,23.6,0,nrg_pc_204,EUROSTAT_METH_V1,2025-09-04
2016-02,CZ,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.3988,0.286,0.1336,0.0,23.36,1600,7.87,1,1,18.56,6.91,74.41,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-12-23
2016-03,DE,SME,BAND_3_HIGH,0.2928,0.2078,0.0717,0.0133,18.06,2002,4.71,0,1,17.18,9.52,17.22,0,nrg_pc_206,EUROSTAT_METH_V2,2024-02-20
2016-04,LV,HOUSEHOLD,BAND_2_MEDIUM,0.2052,0.1233,0.0612,0.0207,25.81,3632,5.38,0,1,20.25,4.76,40.9,0,nrg_pc_204,EUROSTAT_METH_V1,2025-05-01
2016-05,PL,NON_HOUSEHOLD,BAND_1_LOW,0.2924,0.14,0.0471,0.1053,5.99,1863,1.47,0,1,20.84,15.53,73.97,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-03-18
2016-06,ES,SME,BAND_4_VERY_HIGH,0.2194,0.1167,0.0267,0.076,21.89,3024,4.62,0,0,20.84,0.35,46.06,1,nrg_pc_206,EUROSTAT_METH_V2,2024-02-21
2016-07,HR,HOUSEHOLD,BAND_3_HIGH,0.314,0.1865,0.0805,0.047,10.6,4328,1.61,1,1,9.86,15.32,30.4,0,nrg_pc_204,EUROSTAT_METH_V1,2024-02-21
2016-08,FI,NON_HOUSEHOLD,BAND_2_MEDIUM,0.2627,0.1223,0.0587,0.0817,18.78,5006,11.18,0,0,6.15,5.81,85.52,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-03-14
2016-09,IE,SME,BAND_1_LOW,0.1404,0.0646,0.041,0.0348,19.83,2991,0.67,1,1,5.89,1.38,81.26,1,nrg_pc_206,EUROSTAT_METH_V2,2025-06-16
2016-10,MT,HOUSEHOLD,BAND_4_VERY_HIGH,0.3483,0.191,0.0971,0.0602,20.23,3110,4.17,0,0,12.49,8.33,59.93,1,nrg_pc_204,EUROSTAT_METH_V1,2024-11-09
