energy_renew_reference_year,energy_renew_country_iso2,energy_renew_sector_code,energy_renew_share_pct,energy_renew_target_2030_pct,energy_renew_fit55_alignment_flag,energy_renew_installed_capacity_mw,energy_renew_new_installations_mw,energy_renew_permitting_time_months_median,energy_renew_grid_connection_queue_count,energy_renew_curtailment_rate_pct,energy_renew_storage_capacity_mwh,energy_renew_hydrogen_production_tonnes,energy_renew_rfnsbo_compliance_flag,energy_renew_renewable_guarantees_of_origin_count,energy_renew_support_scheme_code,energy_renew_support_amount_eur,energy_renew_repower_eu_flag,energy_renew_data_source,energy_renew_data_extract_date
2004,AT,ELECTRICITY,42.9,34.37,1,112472.92,5933.26,22.85,6987,4.05,691361.92,32091.83,0,9918097,FEED_IN_TARIFF,2118315656.51,0,NATIONAL_ENERGY_STAT,2024-04-16
2005,CZ,INDUSTRY,31.74,44.13,1,39300.59,2680.66,9.3,3741,1.48,85453.73,35729.56,0,8610658,TAX_CREDIT,5162989862.57,0,ENTSOE_RENEWABLES,2024-06-26
2006,DE,TRANSPORT,82.09,59.0,1,315261.16,13505.61,42.22,8134,8.88,225235.64,102796.51,0,3468067,FEED_IN_PREMIUM,3309302293.96,0,COMMISSION_PROGRESS_REPORT,2025-11-16
2007,LV,HEATING_COOLING,10.88,46.23,0,259278.24,18628.43,47.19,8256,7.67,475863.32,63200.98,0,7947337,NET_METERING,1353934400.51,1,GO_REGISTRY,2024-06-15
2008,PL,ELECTRICITY,56.76,52.2,1,205631.26,5034.73,45.63,1622,2.19,65040.49,72569.67,0,6215781,AUCTION_CFD,7913233338.76,0,NATIONAL_ENERGY_STAT,2026-02-20
2009,ES,INDUSTRY,41.86,51.0,0,140394.83,4926.45,51.05,1044,4.12,119028.78,23491.45,0,11061087,CONTRACTS_FOR_DIFFERENCE,6783905383.66,1,ENTSOE_RENEWABLES,2025-11-20
2010,HR,TRANSPORT,25.6,37.17,1,88669.81,1200.36,36.19,10045,6.06,513366.72,40987.94,0,13734036,CAPEX_GRANT,4770751958.38,0,COMMISSION_PROGRESS_REPORT,2024-01-08
2011,FI,HEATING_COOLING,56.35,39.8,0,328167.04,7115.96,5.38,6395,9.42,341587.86,104381.46,0,10663439,FEED_IN_TARIFF,181578130.05,0,GO_REGISTRY,2025-06-15
2012,IE,ELECTRICITY,78.53,58.87,1,104429.68,6818.52,42.23,2580,12.44,249616.72,45823.86,0,29887259,TAX_CREDIT,211213390.65,0,NATIONAL_ENERGY_STAT,2026-01-08
2013,MT,INDUSTRY,8.66,39.97,0,134826.01,8260.41,40.55,6269,9.17,353129.01,41563.68,0,1163702,FEED_IN_PREMIUM,7619540504.41,0,ENTSOE_RENEWABLES,2026-01-14
