env_adapt_reference_year,env_adapt_country_iso2,env_adapt_region_nuts_code,env_adapt_hazard_type_code,env_adapt_hazard_frequency_index,env_adapt_hazard_severity_index,env_adapt_population_exposed_count,env_adapt_assets_exposed_eur,env_adapt_vulnerability_index,env_adapt_adaptive_capacity_index,env_adapt_expected_annual_loss_eur,env_adapt_insurance_penetration_pct,env_adapt_national_adaptation_plan_flag,env_adapt_local_adaptation_plan_count,env_adapt_nature_based_solutions_area_ha,env_adapt_climate_services_usage_flag,env_adapt_disaster_risk_reduction_investment_eur,env_adapt_solidarity_fund_activation_flag,env_adapt_data_source,env_adapt_data_extract_date
2005,AT,MT27,HEATWAVE,0.2893,0.2556,6319,31804505505.87,0.4989,0.5718,43256521.33,67.07,1,211,48432.42,1,2724968979.14,0,EEA_CLIMATE_ADAPTATION_DB,2026-01-19
2006,CZ,SE3,COLD_SPELL,0.5849,0.7863,6333,27237471492.44,0.7915,0.5337,704441269.7,69.39,1,250,21302.01,1,2589836803.58,1,COPERNICUS_C3S_INDICATORS,2024-09-30
2007,DE,LV795,LANDSLIDE,0.5997,0.2411,4109,31528611549.57,0.2744,0.8348,91901427.89,12.93,1,218,76328.85,1,711882500.65,0,NATIONAL_RISK_ASSESSMENT,2024-04-27
2008,LV,EE67,STORM_WIND,0.8423,0.5227,76692,13755216565.7,0.5884,0.3774,156923503.49,19.03,1,115,56868.78,0,606480857.49,0,REGIONAL_RESILIENCE_REPORT,2025-10-31
2009,PL,DK6,WILDFIRE,0.6584,0.9562,73141,43383068720.75,0.2987,0.6945,590138767.45,33.17,0,59,30146.1,0,368219942.65,0,EEA_CLIMATE_ADAPTATION_DB,2026-02-10
2010,ES,LU2,DROUGHT,0.8456,0.7408,75943,56206195367.51,0.7944,0.6278,1062051005.91,70.69,0,112,71239.54,1,1482006678.85,0,COPERNICUS_C3S_INDICATORS,2026-01-11
2011,HR,HR16,FLOOD_COASTAL,0.6495,0.4194,6977,26661810650.37,0.5645,0.1491,71691535.53,21.96,0,41,2354.73,0,1550731172.27,0,NATIONAL_RISK_ASSESSMENT,2024-06-01
2012,FI,SK980,FLOOD_RIVER,0.6474,0.9257,72859,54575862146.41,0.8259,0.9064,1336945159.68,41.71,1,129,64229.21,0,442172682.31,0,REGIONAL_RESILIENCE_REPORT,2025-08-08
2013,IE,EE3,HEATWAVE,0.5684,0.7906,44138,24859738034.83,0.4201,0.722,53416251.58,15.33,0,27,41037.41,0,1325638846.56,0,EEA_CLIMATE_ADAPTATION_DB,2024-09-19
2014,MT,RO2,COLD_SPELL,0.3417,0.153,61749,12388036852.74,0.4007,0.9329,11237067.58,78.87,0,22,16072.83,0,3772688691.04,0,COPERNICUS_C3S_INDICATORS,2025-07-23
2015,SK,EE53,LANDSLIDE,0.4792,0.2731,64053,24083725863.35,0.7872,0.7847,57301072.19,16.9,1,120,25416.52,0,3073384152.31,0,NATIONAL_RISK_ASSESSMENT,2025-03-31
2016,BE,RO25,STORM_WIND,0.765,0.6073,84713,40627059478.07,0.3107,0.5407,287678206.09,58.21,1,178,40743.67,0,737718340.26,0,REGIONAL_RESILIENCE_REPORT,2026-01-06
2017,DK,DE282,WILDFIRE,0.6596,0.2899,75098,42427695929.88,0.5483,0.8993,171820964.4,18.92,1,68,73803.25,1,2606020823.36,0,EEA_CLIMATE_ADAPTATION_DB,2024-10-08
2018,GR,SE44,DROUGHT,0.6156,0.6638,76978,47697918431.08,0.9116,0.881,1339216517.08,69.79,0,35,54260.76,1,1959404532.12,0,COPERNICUS_C3S_INDICATORS,2024-02-29
2019,LT,CZ65,FLOOD_COASTAL,0.7625,0.6332,36962,36062456486.83,0.4434,0.8825,445155979.88,54.4,1,165,97521.76,0,842793749.99,0,NATIONAL_RISK_ASSESSMENT,2024-07-29
