env_bio_reference_year,env_bio_member_state_iso2,env_bio_site_id,env_bio_natura2000_designation_code,env_bio_nuts_code,env_bio_habitat_code,env_bio_species_code,env_bio_site_area_ha,env_bio_conservation_status_code,env_bio_pressure_threat_code,env_bio_management_plan_flag,env_bio_restoration_actions_count,env_bio_invasive_species_presence_flag,env_bio_land_cover_corine_class,env_bio_water_body_status_code,env_bio_protected_area_connectivity_index,env_bio_ecosystem_services_index,env_bio_funding_eu_life_programme_eur,env_bio_data_source,env_bio_last_assessment_date
2000,AT,AT_N2K_000001,SPA,MT27,HAB_001,SP_0001,67381.5,FV,AGRI_INTENSIFICATION,1,14,0,111_URBAN,HIGH,0.87,0.273,20957582.6,EEA_NATURA2000,2007-01-18
2001,EE,EE_N2K_000002,SPA,SE3,HAB_002,SP_0002,228708.89,U1,URBANISATION,1,28,0,211_ARABLE,UNKNOWN,0.7128,0.1442,20176392.68,LIFE_PROJECT_DATABASE,2007-01-31
2002,IT,IT_N2K_000003,SPA,LV795,HAB_003,SP_0003,2596.57,U2,POLLUTION,1,3,1,231_PASTURES,BAD,0.7482,0.6534,29047983.91,NATIONAL_HABITAT_REPORTING,2007-02-13
2003,PT,PT_N2K_000004,SPA,EE67,HAB_004,SP_0004,187100.72,XX,INVASIVE_SPECIES,1,17,0,311_BROADLEAVED,POOR,0.7364,0.7619,11370561.39,EEA_NATURA2000,2007-02-26
2004,BE,BE_N2K_000005,SPA,DK6,HAB_005,SP_0005,152550.79,FV,FORESTRY,1,4,1,312_CONIFEROUS,MODERATE,0.3654,0.1664,20775684.63,LIFE_PROJECT_DATABASE,2007-03-11
2005,FI,FI_N2K_000006,SPA,LU2,HAB_006,SP_0006,49392.22,U1,WATER_ABSTRACTION,1,27,0,313_MIXED,GOOD,0.4987,0.1879,26789815.9,NATIONAL_HABITAT_REPORTING,2007-03-24
2006,LV,LV_N2K_000007,SPA,HR16,HAB_007,SP_0007,26180.75,U2,TOURISM_PRESSURE,1,25,1,321_NATURAL_GRASS,HIGH,0.5746,0.1783,29793101.19,EEA_NATURA2000,2007-04-06
2007,RO,RO_N2K_000008,SPA,SK980,HAB_008,SP_0008,28868.89,XX,CLIMATE_CHANGE,0,21,0,411_INLAND_WETLAND,UNKNOWN,0.727,0.7593,12661008.49,LIFE_PROJECT_DATABASE,2007-04-19
2008,BG,BG_N2K_000009,SPA,EE3,HAB_009,SP_0009,229804.08,FV,AGRI_INTENSIFICATION,1,0,0,512_WATER,BAD,0.9072,0.8635,24591123.42,NATIONAL_HABITAT_REPORTING,2007-05-02
2009,FR,FR_N2K_000010,SPA,RO2,HAB_010,SP_0010,15506.56,U1,URBANISATION,1,13,1,111_URBAN,POOR,0.2459,0.1071,9340381.14,EEA_NATURA2000,2007-05-15
2010,LT,LT_N2K_000011,SPA,EE53,HAB_011,SP_0011,230355.17,U2,POLLUTION,0,5,1,211_ARABLE,MODERATE,0.1905,0.3844,8925522.59,LIFE_PROJECT_DATABASE,2007-05-28
2011,SK,SK_N2K_000012,SPA,RO25,HAB_012,SP_0012,202605.2,XX,INVASIVE_SPECIES,0,1,1,231_PASTURES,GOOD,0.5066,0.3646,13805952.66,NATIONAL_HABITAT_REPORTING,2007-06-10
2012,HR,HR_N2K_000013,SPA,DE282,HAB_013,SP_0013,192319.86,FV,FORESTRY,0,13,0,311_BROADLEAVED,HIGH,0.785,0.256,15658255.51,EEA_NATURA2000,2007-06-23
2013,DE,DE_N2K_000014,SPA,SE44,HAB_014,SP_0014,88901.79,U1,WATER_ABSTRACTION,0,21,0,312_CONIFEROUS,UNKNOWN,0.834,0.2361,16353488.69,LIFE_PROJECT_DATABASE,2007-07-06
2014,LU,LU_N2K_000015,SPA,CZ65,HAB_015,SP_0015,223600.8,U2,TOURISM_PRESSURE,1,18,1,313_MIXED,BAD,0.7384,0.8219,27017900.0,NATIONAL_HABITAT_REPORTING,2007-07-19
2015,SI,SI_N2K_000016,SPA,FR7,HAB_016,SP_0016,115812.84,XX,CLIMATE_CHANGE,1,24,0,321_NATURAL_GRASS,POOR,0.5362,0.5499,760357.18,EEA_NATURA2000,2007-08-01
2016,CY,CY_N2K_000017,SPA,SE795,HAB_017,SP_0017,15542.72,FV,AGRI_INTENSIFICATION,0,13,0,411_INLAND_WETLAND,MODERATE,0.7137,0.1659,3116642.76,LIFE_PROJECT_DATABASE,2007-08-14
