env_ets_reference_date,env_ets_phase_code,env_ets_allowance_type_code,env_ets_auction_platform_code,env_ets_allowances_auctioned_count,env_ets_allowances_surrendered_count,env_ets_allowances_in_circulation_count,env_ets_msr_intake_count,env_ets_msr_release_count,env_ets_allowance_price_eur_per_t,env_ets_price_change_pct,env_ets_verified_emissions_tco2,env_ets_covered_installations_count,env_ets_sector_coverage_code,env_ets_free_allocation_tco2,env_ets_innovation_fund_disbursed_eur,env_ets_modernisation_fund_disbursed_eur,env_ets_cbam_transition_flag,env_ets_data_source,env_ets_data_extract_date
2013-01-18,PHASE_3,EUA,EEX,186871,192083,1042136520,28357464,3918045,9.51,0.22,406855,509,POWER,161267,162200746.29,197993397.77,0,EEX_AUCTION_DATA,2025-07-27
2013-01-31,PHASE_3,EUAA,NATIONAL_PLATFORM,248669,218305,1070012457,46402562,12604115,4.81,4.008,779425,879,MARITIME_PILOT,294648,75574100.51,218311230.11,0,EC_ETS_REPORTING,2025-10-20
2013-02-13,PHASE_3,EUA,EXCH_CENTRAL,335604,331202,1070901010,11349504,6340571,6.23,2.476,552388,715,INDUSTRY,232509,42520520.68,234989747.56,0,EUTL_AGGREGATE,2025-11-05
2013-02-26,PHASE_3,EUAA,ICE,270117,261937,1122255931,30069859,507910,8.97,2.559,556249,926,MULTI_SECTOR,196646,83567653.99,17856079.02,0,MARKET_DATA_PROVIDER,2025-11-26
2013-03-11,PHASE_3,EUA,EEX,143280,121887,1180109153,6596365,16126909,8.54,3.353,295603,1041,AVIATION,65032,297058161.31,83594338.73,0,EEX_AUCTION_DATA,2025-11-22
2013-03-24,PHASE_3,EUAA,NATIONAL_PLATFORM,308690,315961,1219761886,43146748,14348563,10.17,-3.75,555950,662,POWER,179694,270929289.14,73383072.77,0,EC_ETS_REPORTING,2025-02-22
2013-04-06,PHASE_3,EUA,EXCH_CENTRAL,201090,189919,1249822339,26232006,13509944,7.69,4.537,368843,824,MARITIME_PILOT,113623,240055015.51,59344702.04,0,EUTL_AGGREGATE,2025-09-28
2013-04-19,PHASE_3,EUAA,ICE,392429,265597,1293998493,32257004,3160638,11.03,-7.238,1168632,754,INDUSTRY,472751,41931691.52,165094168.39,0,MARKET_DATA_PROVIDER,2025-07-16
2013-05-02,PHASE_3,EUA,EEX,264517,211404,1299017148,62300408,6331338,4.32,3.634,747495,644,MULTI_SECTOR,57226,84640866.09,161349771.74,0,EEX_AUCTION_DATA,2025-10-07
2013-05-15,PHASE_3,EUAA,NATIONAL_PLATFORM,298041,309400,1339991395,16924140,8660300,7.34,5.047,571402,557,AVIATION,189121,295244269.27,198019217.9,0,EC_ETS_REPORTING,2025-06-22
2013-05-28,PHASE_3,EUA,EXCH_CENTRAL,326924,229737,1387025461,43182983,4963519,7.03,4.865,307990,717,POWER,102257,339756637.09,99410736.09,0,EUTL_AGGREGATE,2026-01-12
2013-06-10,PHASE_3,EUAA,ICE,419839,322371,1401466706,41533638,3671552,10.16,7.299,444289,897,MARITIME_PILOT,108776,260047276.93,162335946.55,0,MARKET_DATA_PROVIDER,2024-04-08
2013-06-23,PHASE_3,EUA,EEX,392351,358626,1457010910,41461347,5291761,8.09,6.729,1058545,611,INDUSTRY,210442,229240898.04,184446516.01,0,EEX_AUCTION_DATA,2025-08-26
2013-07-06,PHASE_3,EUAA,NATIONAL_PLATFORM,436195,350002,1457136830,57661204,9380173,7.4,-2.457,1058809,648,MULTI_SECTOR,451421,324742486.92,120756225.49,0,EC_ETS_REPORTING,2024-03-21
2013-07-19,PHASE_3,EUA,EXCH_CENTRAL,528615,378161,1526223215,24425764,8085119,8.46,-6.69,1175477,546,AVIATION,235277,108523596.1,237588577.4,0,EUTL_AGGREGATE,2025-05-03
2013-08-01,PHASE_3,EUAA,ICE,545353,398610,1548465558,8841408,13049973,8.03,1.274,1381353,532,POWER,272066,51278109.92,219554978.86,0,MARKET_DATA_PROVIDER,2024-10-01
2013-08-14,PHASE_3,EUA,EEX,523738,506650,1606856128,15160510,9592848,6.12,6.226,986404,714,MARITIME_PILOT,267411,268755308.94,27198299.15,0,EEX_AUCTION_DATA,2025-09-15
