env_ghg_reference_year,env_ghg_country_iso2,env_ghg_sector_ipcc_code,env_ghg_subsector_code,env_ghg_emissions_co2e_tonnes,env_ghg_emissions_ch4_tonnes,env_ghg_emissions_n2o_tonnes,env_ghg_lulucf_net_sink_co2e_tonnes,env_ghg_per_capita_co2e_tonnes,env_ghg_emissions_intensity_per_gdp,env_ghg_national_target_2030_pct,env_ghg_fit55_alignment_flag,env_ghg_policy_measure_count,env_ghg_energy_efficiency_contribution_pct,env_ghg_renewables_contribution_pct,env_ghg_transport_contribution_pct,env_ghg_agriculture_contribution_pct,env_ghg_data_source_eea_inventory,env_ghg_methodology_version,env_ghg_data_extract_date
1995,AT,1_ENERGY,1A1_ENERGY_INDUSTRIES,82184156.33,29436.9623,923.05434,-553231.36,14.986,0.215,-59.02,1,15,36.38,27.98,22.15,13.72,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-03-27
1996,EE,1_ENERGY,1A2_MANUFACTURING,287280260.42,92011.0512,6731.77514,-268280.68,9.244,0.1582,-36.09,0,26,27.94,32.85,10.84,10.09,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-04-12
1997,IT,1_ENERGY,1A3_TRANSPORT,239746500.63,146309.6686,14853.21914,-679010.84,3.662,0.4457,-44.24,0,9,32.31,30.45,20.34,5.09,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-05-13
1998,PT,1_ENERGY,1A4_BUILDINGS,49306206.07,7252.8648,2785.08271,-352192.19,13.39,0.2145,-52.51,0,19,40.45,17.92,15.56,11.91,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-06-29
1999,BE,1_ENERGY,1B_FUGITIVE,134266200.75,70783.7878,4515.65655,-697007.69,2.473,0.2443,-32.53,1,20,7.4,25.02,13.42,9.34,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-12-07
2000,FI,1_ENERGY,1A1_ENERGY_INDUSTRIES,186992434.71,42759.6901,1647.97484,-963626.67,13.847,0.4121,-54.03,0,52,9.81,45.77,34.18,23.66,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-02-16
2001,LV,1_ENERGY,1A2_MANUFACTURING,128530504.68,16385.5274,9209.45874,-646900.77,4.062,0.3992,-56.37,0,47,9.24,8.09,33.18,7.94,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-03-22
2002,RO,1_ENERGY,1A3_TRANSPORT,248113945.1,66663.3539,6579.73936,-726774.8,9.925,0.5441,-52.38,1,32,38.84,18.57,28.11,3.52,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-07-09
2003,BG,1_ENERGY,1A4_BUILDINGS,362393203.56,194133.8229,26074.74978,-732929.35,5.017,0.3092,-45.88,1,48,42.23,46.86,20.31,11.09,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-05-26
2004,FR,1_ENERGY,1B_FUGITIVE,398185305.09,128918.5878,6357.72634,-925450.66,2.477,0.6009,-57.22,1,25,12.23,44.01,12.26,22.48,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-01-08
2005,LT,1_ENERGY,1A1_ENERGY_INDUSTRIES,641153500.17,350452.5386,11136.04544,-616588.49,4.471,0.1517,-62.82,1,63,15.36,13.85,36.55,9.94,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-01-31
2006,SK,1_ENERGY,1A2_MANUFACTURING,115485876.84,46424.6821,6927.17128,-846473.08,7.916,0.2985,-39.55,0,28,42.91,47.63,5.14,2.05,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-03-02
2007,HR,1_ENERGY,1A3_TRANSPORT,69941869.22,25116.5244,1304.30663,-891274.5,16.505,0.5467,-37.29,0,59,22.75,34.59,14.58,11.37,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-02-22
2008,DE,1_ENERGY,1A4_BUILDINGS,258581486.08,93027.5778,9048.13504,-857275.8,7.746,0.3199,-63.4,1,68,44.85,38.22,26.71,9.44,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-12-31
2009,LU,1_ENERGY,1B_FUGITIVE,319733357.56,153920.8762,652.70989,-811011.48,12.125,0.1588,-44.5,1,33,34.1,18.76,26.11,16.75,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-01-06
2010,SI,1_ENERGY,1A1_ENERGY_INDUSTRIES,307491603.09,190107.4909,16949.08595,-622456.19,14.945,0.4242,-63.01,1,61,20.77,32.75,13.91,14.11,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-07-28
