gov_cohesion_programme_period_code,gov_cohesion_fund_code,gov_cohesion_programme_id,gov_cohesion_region_nuts_code,gov_cohesion_thematic_objective_code,gov_cohesion_priority_axis_code,gov_cohesion_allocated_eur,gov_cohesion_committed_eur,gov_cohesion_spent_eur,gov_cohesion_absorption_rate_pct,gov_cohesion_project_count,gov_cohesion_beneficiary_type_code,gov_cohesion_state_aid_flag,gov_cohesion_green_spending_share_pct,gov_cohesion_digital_spending_share_pct,gov_cohesion_urban_dimension_flag,gov_cohesion_audit_irregularities_eur,gov_cohesion_anti_fraud_cases_count,gov_cohesion_data_source,gov_cohesion_data_extract_date
2014_2020,ERDF,2014_2020_ERDF_PRG_001,FI3,TO1_RDI,PA_01,9533074157.96,6037851596.94,4122571849.62,43.24,792,MUNICIPALITY,0,41.85,53.82,1,125051157.39,44,COHESION_OPEN_DATA,2025-08-29
2021_2027,ERDF,2021_2027_ERDF_PRG_002,GR3,TO1_RDI,PA_02,2909593064.6,2281075383.36,1004722809.2,34.53,551,UNIVERSITY,1,50.36,31.07,1,62733181.73,9,MANAGING_AUTHORITY_REPORTING,2024-02-24
2014_2020,ERDF,2014_2020_ERDF_PRG_003,EE492,TO1_RDI,PA_03,236637611.26,108149837.48,42789353.97,18.08,552,HEALTH_PROVIDER,0,26.63,52.38,1,66865520.56,63,ECA_AUDIT_SUMMARY,2025-06-07
2021_2027,ERDF,2021_2027_ERDF_PRG_004,CZ7,TO1_RDI,PA_04,3757862555.46,1643253551.65,1064015040.5,28.31,762,OTHER,0,50.87,49.46,0,31967331.52,44,OLAF_CASES_DB,2025-04-13
2014_2020,ERDF,2014_2020_ERDF_PRG_005,DE47,TO1_RDI,PA_05,9815414164.54,5020057998.44,2303652099.05,23.47,686,SME,1,28.53,11.64,1,167100517.15,59,COHESION_OPEN_DATA,2024-12-26
2021_2027,ERDF,2021_2027_ERDF_PRG_006,IE46,TO1_RDI,PA_06,3469486824.67,2061201469.28,683028139.93,19.69,205,UTILITY,0,27.44,37.64,1,13015544.63,1,MANAGING_AUTHORITY_REPORTING,2024-01-09
2014_2020,ERDF,2014_2020_ERDF_PRG_007,DE27,TO1_RDI,PA_07,6003470113.34,4301728579.14,1648865026.86,27.47,473,MINISTRY,0,36.06,40.8,0,120303184.14,24,ECA_AUDIT_SUMMARY,2025-07-01
2021_2027,ERDF,2021_2027_ERDF_PRG_008,FR228,TO1_RDI,PA_08,3283608339.06,2072828417.25,1101798081.91,33.55,183,REGIONAL_AUTHORITY,0,15.75,27.77,1,17071079.94,4,OLAF_CASES_DB,2025-07-11
2014_2020,ERDF,2014_2020_ERDF_PRG_009,BG77,TO1_RDI,PA_09,9947770001.66,5255499551.73,989906391.97,9.95,641,NGO,0,23.21,24.54,1,3948657.8,5,COHESION_OPEN_DATA,2026-02-04
2021_2027,ERDF,2021_2027_ERDF_PRG_010,BE2,TO1_RDI,PA_10,4229679433.73,4137706931.05,2784355761.94,65.83,287,TRANSPORT_OPERATOR,1,27.43,24.29,0,127179590.08,4,MANAGING_AUTHORITY_REPORTING,2024-06-18
2014_2020,ERDF,2014_2020_ERDF_PRG_011,CY9,TO1_RDI,PA_11,3124323142.1,2668363723.9,2121999936.5,67.92,803,MUNICIPALITY,0,29.21,10.72,1,72570185.37,4,ECA_AUDIT_SUMMARY,2025-08-20
2021_2027,ERDF,2021_2027_ERDF_PRG_012,FR375,TO1_RDI,PA_12,1992584682.31,897968881.46,568385682.47,28.53,826,UNIVERSITY,0,23.49,54.47,0,63559646.44,2,OLAF_CASES_DB,2024-02-25
2014_2020,ERDF,2014_2020_ERDF_PRG_013,HU82,TO1_RDI,PA_01,9025439385.41,6635560334.79,6030927988.18,66.82,715,HEALTH_PROVIDER,1,17.63,3.04,0,88288117.66,24,COHESION_OPEN_DATA,2024-12-20
2021_2027,ERDF,2021_2027_ERDF_PRG_014,GR8,TO1_RDI,PA_02,8966533110.51,6805672784.91,3777373685.93,42.13,498,OTHER,0,44.53,34.8,0,53219138.81,30,MANAGING_AUTHORITY_REPORTING,2026-01-08
2014_2020,ERDF,2014_2020_ERDF_PRG_015,FI47,TO1_RDI,PA_03,4319689498.33,2401487594.4,679749187.24,15.74,383,SME,1,57.42,6.46,1,15785349.02,6,ECA_AUDIT_SUMMARY,2025-07-25
2021_2027,ERDF,2021_2027_ERDF_PRG_016,SE31,TO1_RDI,PA_04,4530469808.18,4002084848.21,1261585527.51,27.85,148,UTILITY,0,30.87,41.64,1,32588889.49,53,OLAF_CASES_DB,2024-06-20
2014_2020,ERDF,2014_2020_ERDF_PRG_017,IT64,TO1_RDI,PA_05,5585208673.13,4585342411.65,2381259484.0,42.64,442,MINISTRY,0,35.07,54.21,0,10791295.24,16,COHESION_OPEN_DATA,2024-02-17
2021_2027,ERDF,2021_2027_ERDF_PRG_018,HR785,TO1_RDI,PA_06,6817975052.61,5371866394.36,1736393167.37,25.47,341,REGIONAL_AUTHORITY,0,43.17,50.4,0,100753030.88,2,MANAGING_AUTHORITY_REPORTING,2026-02-16
2014_2020,ERDF,2014_2020_ERDF_PRG_019,SK982,TO1_RDI,PA_07,1234753152.2,988751519.74,687065398.35,55.64,261,NGO,0,46.29,48.03,0,87372616.72,14,ECA_AUDIT_SUMMARY,2024-03-23
2021_2027,ERDF,2021_2027_ERDF_PRG_020,SK558,TO1_RDI,PA_08,2906344319.21,1317257509.76,897597015.09,30.88,629,TRANSPORT_OPERATOR,1,36.89,18.5,1,152405810.54,43,OLAF_CASES_DB,2024-02-13
2014_2020,ERDF,2014_2020_ERDF_PRG_021,DK154,TO1_RDI,PA_09,8582329682.93,5169616968.99,4903960438.95,57.14,427,MUNICIPALITY,0,37.93,45.68,0,105214233.61,51,COHESION_OPEN_DATA,2024-05-27
2021_2027,ERDF,2021_2027_ERDF_PRG_022,FI8,TO1_RDI,PA_10,850046483.8,327470608.72,147020275.0,17.3,654,UNIVERSITY,0,13.08,17.78,0,20149645.55,37,MANAGING_AUTHORITY_REPORTING,2025-09-28
2014_2020,ERDF,2014_2020_ERDF_PRG_023,PL8,TO1_RDI,PA_11,998224926.28,382734696.79,263026379.44,26.35,636,HEALTH_PROVIDER,0,10.24,25.7,0,15661790.49,9,ECA_AUDIT_SUMMARY,2025-07-18
2021_2027,ERDF,2021_2027_ERDF_PRG_024,AT86,TO1_RDI,PA_12,3214122801.39,2574733528.0,562186844.93,17.49,531,OTHER,1,6.39,21.82,1,142151527.44,47,OLAF_CASES_DB,2025-09-22
2014_2020,ERDF,2014_2020_ERDF_PRG_025,NL477,TO1_RDI,PA_01,7331854799.24,3563402316.23,2452260143.41,33.45,623,SME,1,30.63,24.44,1,117302127.77,20,COHESION_OPEN_DATA,2024-05-03
