gov_gfs_reference_year,gov_gfs_country_iso2,gov_gfs_gov_subsector_code,gov_gfs_revenue_total_eur,gov_gfs_expenditure_total_eur,gov_gfs_compensation_employees_eur,gov_gfs_social_benefits_eur,gov_gfs_interest_payments_eur,gov_gfs_gross_fixed_capital_formation_eur,gov_gfs_taxes_on_production_imports_eur,gov_gfs_current_taxes_on_income_wealth_eur,gov_gfs_social_contributions_eur,gov_gfs_capital_taxes_eur,gov_gfs_property_income_eur,gov_gfs_subsidies_eur,gov_gfs_net_lending_borrowing_eur,gov_gfs_function_cofog_code,gov_gfs_eurostat_table_code,gov_gfs_revision_round,gov_gfs_data_extract_date
2010,AT,S1311_CENTRAL,530402493075.91,592709675842.73,159916115789.69,197116812913.05,22783646942.02,51896782244.94,165019700614.91,115899200647.88,142419899138.17,7397932700.16,16920274115.65,22830027917.94,-62307182766.83,GF01_GENERAL,gov_10a_main,FLASH,2026-01-18
2011,CZ,S1314_SOCIAL_SECURITY,907246269482.23,840485792670.22,315844512259.06,297908877262.63,46047447718.41,69359272408.66,233753954435.29,252075380865.68,92077811317.73,12713106820.59,55051359485.97,39138122010.44,66760476812.01,GF02_DEFENCE,gov_10a_exp,FIRST,2024-11-10
2012,DE,S1313_LOCAL,424864349220.66,491628863806.91,99435438980.66,171651095275.87,12592028764.22,41262873171.09,65955661088.0,67141087907.21,60702585159.93,12080605848.95,12873104839.45,28544091275.24,-66764514586.25,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2025-05-03
2013,LV,S1312_STATE,1095813799407.32,1202602017338.31,282596492469.98,555910090462.24,54767667229.55,111232088444.02,228962810454.51,243504952902.99,96663870596.96,22200354949.26,70872847904.49,28461291470.07,-106788217930.98,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2026-02-21
2014,PL,S1311_CENTRAL,735009581259.32,875720572412.29,186314162328.75,318300242305.57,60775706207.12,61068269575.41,175119405973.61,157005988279.06,178943374890.46,14536794102.05,26684709130.5,23216136503.55,-140710991152.97,GF05_ENVIRONMENT,gov_10a_main,FLASH,2025-01-08
2015,ES,S1314_SOCIAL_SECURITY,615760253119.34,656008167781.78,141659562212.44,151192019052.63,22559880717.23,53268758711.2,103037654782.83,115577072013.1,78139336453.96,1159776491.4,8805551178.16,26437701343.39,-40247914662.44,GF06_HOUSING,gov_10a_exp,FIRST,2026-02-16
2016,HR,S1313_LOCAL,337418980842.37,315235279479.81,67898776474.46,91239675307.95,16280605019.67,16979323902.87,55349861581.88,72878877167.72,92983800307.95,792681104.76,14947269291.51,4494149995.89,22183701362.56,GF07_HEALTH,gov_10a_rev,SECOND,2024-08-21
2017,FI,S1312_STATE,1608557325706.7,1640940725165.41,436997631836.83,699985305919.23,31779832611.0,95085844658.64,314953893661.62,373257027507.91,413204212016.1,32214415462.13,115786393444.01,33513176797.82,-32383399458.71,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2024-03-24
2018,IE,S1311_CENTRAL,92682583011.39,90552991874.48,19623582705.29,36383129767.19,3238318126.08,7830951780.6,18815805214.37,17160912503.41,8695752949.92,2140797439.64,5274288075.33,1009187439.45,2129591136.91,GF09_EDUCATION,gov_10a_main,FLASH,2025-01-11
2019,MT,S1314_SOCIAL_SECURITY,91944028133.53,103952258683.3,31041463800.2,44868656484.35,4748610006.57,9227870645.19,16586674565.96,14982427363.54,18333004990.46,2280773988.29,2245810789.52,2443215127.74,-12008230549.78,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2024-04-15
