gov_mff_reference_year,gov_mff_mff_period_code,gov_mff_heading_code,gov_mff_programme_code,gov_mff_commitments_eur,gov_mff_payments_eur,gov_mff_execution_rate_pct,gov_mff_revenue_own_resources_eur,gov_mff_gni_based_resource_eur,gov_mff_vat_based_resource_eur,gov_mff_customs_duties_resource_eur,gov_mff_plastic_own_resource_eur,gov_mff_rebates_eur,gov_mff_unspent_commitments_ral_eur,gov_mff_audits_findings_count,gov_mff_irregularities_amount_eur,gov_mff_anti_fraud_olaf_cases_count,gov_mff_transparency_portal_url_hash,gov_mff_data_source,gov_mff_data_extract_date
2014,2014_2020,H1_SINGLE_MARKET,HORIZON_EUROPE,5078184873.29,4389119906.4,86.43,20805352723.99,42906614667.25,18842111974.86,5958375951.06,426813602.24,4029459790.56,1051754788.55,50,246446788.38,48,0f88455a29513248a2e9a871e7bd,EU_BUDGET_FINANCIAL_REPORT,2025-04-09
2015,2014_2020,H6_NEIGHBOURHOOD_WORLD,EU4HEALTH,36124734781.29,17898015168.43,49.55,6297834957.69,23463248685.07,11562427240.71,9742564725.33,151845831.73,1515320484.96,16622000267.56,128,227219635.73,85,7648d6486b4911f5f6892317e3a6,OLAF_ANNUAL_REPORT,2025-03-08
2016,2014_2020,H4_MIGRATION_BORDER,ERDF,5722107416.32,4090218846.24,71.48,9862094820.07,31401838307.17,11275895614.66,5404446027.75,694164573.31,2371038271.2,2077753543.18,87,552859211.62,59,68f06ddbec69b81376a6028ee644,ECA_AUDIT_SUMMARY,2026-01-06
2017,2014_2020,H2_COHESION_RESILIENCE,AMIF,9876190111.7,8625922029.47,87.34,6445003087.84,18579031946.04,1698772403.99,9578741611.11,252605284.38,3671151229.01,1273927598.11,14,94820040.84,22,cc593317f786a24233a366a4fd56,OPEN_DATA_PORTAL_BUDGET,2025-07-05
2018,2014_2020,H7_PUBLIC_ADMIN,ESF_PLUS,33764988636.54,29962102729.3,88.74,10790958959.34,57017414568.89,5506838727.05,5207763016.43,220484756.56,4417808654.74,5073306559.89,113,590188232.99,49,73bf69b5656b3c4630ee388b30a0,EU_BUDGET_FINANCIAL_REPORT,2025-02-05
2019,2014_2020,H5_SECURITY_DEFENCE,ISF,1955770433.14,1367005863.6,69.9,2453544405.69,31154405270.61,220976166.82,3767795698.79,26018531.61,2219823558.16,791984504.99,73,322720573.17,70,0d0e57cf51a07db618685286a5eb,OLAF_ANNUAL_REPORT,2024-03-24
2020,2014_2020,H3_NATURAL_RESOURCES,CAP,53048009224.2,39729875242.93,74.89,13779078200.91,66806770588.96,1085510456.61,10463081366.02,173673162.42,4550762653.93,17475177693.91,91,388985095.17,13,208dca1621e540c60c7558f1ddb9,ECA_AUDIT_SUMMARY,2024-11-17
2021,2021_2027,H1_SINGLE_MARKET,NDICI,82219698761.38,63643865885.92,77.41,23972761872.91,21916455686.7,4916349435.41,1477760410.17,2359374821.53,1758468597.42,16006166099.48,122,110022866.07,67,8cb754f68d803186a5ac64aac843,OPEN_DATA_PORTAL_BUDGET,2025-03-20
2022,2021_2027,H6_NEIGHBOURHOOD_WORLD,CEF_DIGITAL,49884183441.1,17677944292.8,35.44,22163920612.59,71161501536.88,6499825543.39,5825101588.93,1111600841.26,3370716423.72,35621305213.86,47,218064500.01,83,af1c83f48b231f197bad6440c0f8,EU_BUDGET_FINANCIAL_REPORT,2024-10-25
2023,2021_2027,H4_MIGRATION_BORDER,IPA,49834006738.79,29030301668.55,58.25,12699708724.01,39545262521.85,1640478850.28,6965946129.53,2957888855.7,1790097750.97,19079886368.43,39,56415773.47,1,700a5a5a6853a4a56fce843f52fd,OLAF_ANNUAL_REPORT,2024-11-17
2024,2021_2027,H2_COHESION_RESILIENCE,DIGITAL_EUROPE,37536825103.36,24438932205.96,65.11,41029311190.9,35870452739.59,8504040484.08,9585416572.36,1087230522.97,7702043602.68,16663275803.34,132,378230305.48,64,e07124f8d45b8d3161ec4de7087b,ECA_AUDIT_SUMMARY,2025-09-13
2025,2021_2027,H7_PUBLIC_ADMIN,JUST_TRANSITION,57662154155.89,51608830638.97,89.5,16027572003.86,43244176240.59,3061733591.01,9744676775.55,2251245854.53,2052701089.27,8023753752.28,70,590854244.56,16,6b87e098a4eb07b9586b046783d0,OPEN_DATA_PORTAL_BUDGET,2025-01-18
2026,2021_2027,H5_SECURITY_DEFENCE,LIFE,51090294926.41,20208002811.57,39.55,11341793978.44,35566759160.56,11550082594.47,8385718305.59,566591293.86,2235259883.71,48176895418.89,96,29215548.33,71,d4d658f32dbc5c62dafa1ba53c4d,EU_BUDGET_FINANCIAL_REPORT,2025-05-26
2014,2014_2020,H3_NATURAL_RESOURCES,HORIZON_EUROPE,676102426.16,620058781.99,91.71,29418984561.03,19275350521.14,14891962922.73,4364306991.72,622888843.72,4895095762.25,66078350.35,77,441676700.93,18,b2845178d16cf8f8220e523f3f53,OLAF_ANNUAL_REPORT,2024-12-27
2015,2014_2020,H1_SINGLE_MARKET,EU4HEALTH,25659498898.22,25431196732.6,99.11,7543754175.24,4078602210.6,11701426912.75,9696699283.96,317402657.54,913863683.42,269948721.05,71,408713090.14,82,d7c91ed169d5d7d03aae3dfb6ab5,ECA_AUDIT_SUMMARY,2025-10-06
