gov_proc_notice_id,gov_proc_publication_date,gov_proc_country_iso2,gov_proc_contracting_authority_id,gov_proc_procedure_type_code,gov_proc_cpvs_main_code,gov_proc_lot_count,gov_proc_award_criteria_code,gov_proc_estimated_value_eur,gov_proc_awarded_value_eur,gov_proc_number_of_bidders,gov_proc_sme_winner_flag,gov_proc_cross_border_bid_flag,gov_proc_eea_coverage_flag,gov_proc_green_public_procurement_flag,gov_proc_social_clauses_flag,gov_proc_contract_duration_months,gov_proc_modification_count,gov_proc_data_source_ted_flag,gov_proc_data_extract_date
AT-TED-2021-000001,2021-09-09,AT,AT_AUTH_00001,OPEN,69691856,1,LOWEST_PRICE,147166413.08,109832135.05,9,0,0,1,1,0,78,6,1,2024-10-14
CZ-TED-2019-000002,2019-08-17,CZ,CZ_AUTH_00002,RESTRICTED,12661285,2,COST_EFFECTIVENESS,54848837.51,37504981.4,3,0,1,1,0,0,87,2,1,2025-12-29
DE-TED-2024-000003,2024-02-17,DE,DE_AUTH_00003,NEGOTIATED,63730869,3,MEAT,134891398.62,98732183.99,17,1,0,1,0,1,29,7,1,2024-02-18
LV-TED-2024-000004,2024-04-25,LV,LV_AUTH_00004,COMPETITIVE_DIALOGUE,17885256,4,LIFE_CYCLE_COST,94587218.4,92108663.12,17,1,0,0,1,0,32,0,1,2025-10-08
PL-TED-2021-000005,2021-12-07,PL,PL_AUTH_00005,INNOVATION_PARTNERSHIP,67356009,5,QUALITY,108752517.26,112644239.34,18,1,0,1,1,1,48,1,1,2024-03-30
ES-TED-2021-000006,2021-04-03,ES,ES_AUTH_00006,DESIGN_CONTEST,10873329,6,LOWEST_PRICE,165651529.57,128854396.12,16,1,0,1,0,0,25,0,1,2024-04-19
HR-TED-2019-000007,2019-08-04,HR,HR_AUTH_00007,OPEN,23775914,7,COST_EFFECTIVENESS,46597529.88,32765374.81,24,1,0,0,0,1,39,3,0,2024-09-20
FI-TED-2022-000008,2022-10-30,FI,FI_AUTH_00008,RESTRICTED,71376849,8,MEAT,169215453.77,165038426.83,15,0,1,1,0,1,95,4,1,2024-10-18
IE-TED-2020-000009,2020-02-11,IE,IE_AUTH_00009,NEGOTIATED,87009197,9,LIFE_CYCLE_COST,166512089.12,129291068.25,20,1,0,1,1,0,80,0,1,2024-10-02
MT-TED-2024-000010,2024-06-22,MT,MT_AUTH_00010,COMPETITIVE_DIALOGUE,22647084,10,QUALITY,119703602.77,99656607.62,24,1,0,1,0,1,94,4,1,2025-07-29
SK-TED-2025-000011,2025-07-05,SK,SK_AUTH_00011,INNOVATION_PARTNERSHIP,39066529,1,LOWEST_PRICE,50741338.76,35557864.57,18,0,0,1,0,1,69,5,1,2024-01-02
BE-TED-2025-000012,2025-06-02,BE,BE_AUTH_00012,DESIGN_CONTEST,20308014,2,COST_EFFECTIVENESS,35672611.51,24735863.93,31,0,0,1,0,0,48,3,0,2025-01-17
DK-TED-2025-000013,2025-12-22,DK,DK_AUTH_00013,OPEN,34586949,3,MEAT,87308612.89,80077155.4,24,0,1,1,0,0,76,8,1,2025-04-22
GR-TED-2025-000014,2025-12-01,GR,GR_AUTH_00014,RESTRICTED,21284494,4,LIFE_CYCLE_COST,243912942.19,231836392.13,20,0,0,0,1,0,61,2,1,2025-02-26
LT-TED-2023-000015,2023-09-21,LT,LT_AUTH_00015,NEGOTIATED,54300327,5,QUALITY,30541318.55,20080608.11,16,0,0,1,1,0,31,5,0,2024-07-06
PT-TED-2025-000016,2025-06-19,PT,PT_AUTH_00016,COMPETITIVE_DIALOGUE,80006645,6,LOWEST_PRICE,48189486.67,42201509.91,16,0,0,1,0,1,33,4,1,2026-02-14
SE-TED-2025-000017,2025-10-21,SE,SE_AUTH_00017,INNOVATION_PARTNERSHIP,68140905,7,COST_EFFECTIVENESS,82238862.74,68278020.69,36,1,0,0,1,0,83,2,1,2025-03-27
CY-TED-2021-000018,2021-01-31,CY,CY_AUTH_00018,DESIGN_CONTEST,38054005,8,MEAT,50745871.28,35711893.79,22,1,0,1,0,0,10,5,1,2025-12-03
FR-TED-2022-000019,2022-09-14,FR,FR_AUTH_00019,OPEN,65451544,9,LIFE_CYCLE_COST,36637021.7,34204407.78,28,1,1,0,0,0,48,6,1,2025-05-05
IT-TED-2019-000020,2019-12-23,IT,IT_AUTH_00020,RESTRICTED,65878382,10,QUALITY,302867572.04,305084288.96,27,1,0,1,1,1,87,3,1,2025-01-09
NL-TED-2021-000021,2021-01-26,NL,NL_AUTH_00021,NEGOTIATED,92689600,1,LOWEST_PRICE,62253604.1,64245052.21,41,0,0,1,0,0,94,8,1,2026-02-25
SI-TED-2019-000022,2019-10-30,SI,SI_AUTH_00022,COMPETITIVE_DIALOGUE,36966622,2,COST_EFFECTIVENESS,169856053.09,167679453.73,29,1,0,1,1,0,27,3,1,2024-03-04
BG-TED-2019-000023,2019-07-30,BG,BG_AUTH_00023,INNOVATION_PARTNERSHIP,59187901,3,MEAT,77063139.04,71393876.42,42,0,0,1,0,0,59,4,1,2024-07-20
EE-TED-2020-000024,2020-01-28,EE,EE_AUTH_00024,DESIGN_CONTEST,84775866,4,LIFE_CYCLE_COST,896091.16,607914.94,44,1,1,0,1,0,19,8,1,2024-01-19
HU-TED-2025-000025,2025-12-03,HU,HU_AUTH_00025,OPEN,32748744,5,QUALITY,124292172.26,103512922.4,43,0,0,1,1,0,94,1,1,2024-07-20
LU-TED-2019-000026,2019-10-17,LU,LU_AUTH_00026,RESTRICTED,88458539,6,LOWEST_PRICE,88238067.59,57516190.56,35,0,0,1,1,0,50,5,1,2026-01-14
RO-TED-2022-000027,2022-02-18,RO,RO_AUTH_00027,NEGOTIATED,29879670,7,COST_EFFECTIVENESS,28801861.94,25788490.12,46,1,0,1,0,0,32,2,1,2024-10-24
AT-TED-2024-000028,2024-05-16,AT,AT_AUTH_00028,COMPETITIVE_DIALOGUE,44792506,8,MEAT,43652954.24,42102176.91,28,1,0,1,0,1,21,8,1,2024-06-04
CZ-TED-2022-000029,2022-03-15,CZ,CZ_AUTH_00029,INNOVATION_PARTNERSHIP,49697921,9,LIFE_CYCLE_COST,125025914.89,118902675.25,44,1,0,0,0,0,60,7,1,2024-02-29
DE-TED-2018-000030,2018-09-25,DE,DE_AUTH_00030,DESIGN_CONTEST,60085841,10,QUALITY,143829681.6,137019363.77,43,0,0,1,0,0,67,8,1,2026-01-04
LV-TED-2021-000031,2021-11-18,LV,LV_AUTH_00031,OPEN,31650604,1,LOWEST_PRICE,13600495.37,10379545.71,38,1,0,1,1,0,35,1,1,2025-02-27
PL-TED-2021-000032,2021-01-27,PL,PL_AUTH_00032,RESTRICTED,70843959,2,COST_EFFECTIVENESS,304588.19,208522.9,47,0,0,1,0,0,81,0,1,2025-07-10
ES-TED-2023-000033,2023-02-20,ES,ES_AUTH_00033,NEGOTIATED,72062548,3,MEAT,41640298.37,29631608.97,41,1,0,1,0,0,73,7,1,2024-06-01
HR-TED-2024-000034,2024-08-04,HR,HR_AUTH_00034,COMPETITIVE_DIALOGUE,61304933,4,LIFE_CYCLE_COST,105586306.42,94109394.79,49,0,0,1,1,0,24,0,1,2025-08-22
FI-TED-2020-000035,2020-08-20,FI,FI_AUTH_00035,INNOVATION_PARTNERSHIP,99997297,5,QUALITY,221801533.19,187528438.46,47,0,0,0,1,0,76,5,1,2025-12-20
IE-TED-2023-000036,2023-07-17,IE,IE_AUTH_00036,DESIGN_CONTEST,28915031,6,LOWEST_PRICE,75201465.99,57977367.81,51,0,1,1,0,1,62,7,1,2024-01-22
MT-TED-2023-000037,2023-01-27,MT,MT_AUTH_00037,OPEN,38227297,7,COST_EFFECTIVENESS,10951578.38,7807227.26,47,0,0,1,1,0,40,4,1,2024-04-21
SK-TED-2019-000038,2019-07-11,SK,SK_AUTH_00038,RESTRICTED,90673266,8,MEAT,51966502.23,48143754.4,44,1,0,1,0,0,9,2,1,2025-03-06
BE-TED-2019-000039,2019-04-18,BE,BE_AUTH_00039,NEGOTIATED,70335446,9,LIFE_CYCLE_COST,194905370.83,154234950.31,40,0,0,0,1,1,88,8,1,2025-02-06
DK-TED-2018-000040,2018-09-09,DK,DK_AUTH_00040,COMPETITIVE_DIALOGUE,96607307,10,QUALITY,51163692.47,36164835.81,56,0,0,1,1,0,67,8,1,2025-04-04
