gov_rrf_reference_year,gov_rrf_member_state_iso2,gov_rrf_plan_component_code,gov_rrf_measure_id,gov_rrf_milestone_id,gov_rrf_target_id,gov_rrf_milestone_due_date,gov_rrf_milestone_status_code,gov_rrf_payment_request_date,gov_rrf_payment_disbursed_eur,gov_rrf_total_allocation_eur,gov_rrf_green_share_pct,gov_rrf_digital_share_pct,gov_rrf_reforms_flag,gov_rrf_investments_flag,gov_rrf_procurement_linked_flag,gov_rrf_state_aid_compliance_flag,gov_rrf_audit_findings_count,gov_rrf_data_source,gov_rrf_data_extract_date
2020,AT,C01,AT_C01_M001,AT_C01_M001_MS01,AT_C01_M001_T01,2022-05-20,PLANNED,,33990142.15,1613658973.82,47.7,30.89,1,1,1,1,40,RRF_SCOREBOARD,2025-04-17
2021,CZ,C02,CZ_C02_M002,CZ_C02_M002_MS02,CZ_C02_M002_T02,2021-11-28,IN_PROGRESS,2020-11-13,200300297.2,5557986245.62,24.39,27.91,1,1,0,1,26,ECA_AUDIT_SUMMARY,2024-12-22
2022,DE,C03,DE_C03_M003,DE_C03_M003_MS03,DE_C03_M003_T03,2022-10-23,COMPLETED,,2287608324.16,44008851130.95,23.55,34.56,0,1,1,1,26,COMMISSION_IMPLEMENTING_DECISIONS,2025-01-04
2023,LV,C04,LV_C04_M004,LV_C04_M004_MS04,LV_C04_M004_T04,2025-03-25,DELAYED,,236397925.85,32505599376.4,47.12,31.06,0,1,0,1,8,NATIONAL_RRF_REPORT,2025-09-17
2024,PL,C05,PL_C05_M005,PL_C05_M005_MS05,PL_C05_M005_T05,2025-03-10,CANCELLED,2024-03-04,559072024.45,40343003891.11,50.31,38.42,0,1,1,1,32,RRF_SCOREBOARD,2026-02-19
2025,ES,C06,ES_C06_M006,ES_C06_M006_MS06,ES_C06_M006_T06,2025-05-09,REVISED,,73774973.89,7253190464.18,46.43,15.9,1,0,0,1,24,ECA_AUDIT_SUMMARY,2024-02-04
2026,HR,C07,HR_C07_M007,HR_C07_M007_MS07,HR_C07_M007_T07,2026-01-10,PLANNED,2024-08-30,1049770096.1,25913139287.05,33.04,23.95,1,1,0,1,0,COMMISSION_IMPLEMENTING_DECISIONS,2026-01-04
2020,FI,C08,FI_C08_M008,FI_C08_M008_MS08,FI_C08_M008_T08,2020-01-26,IN_PROGRESS,2022-07-19,204788974.32,4538846571.5,36.64,18.2,1,1,1,1,25,NATIONAL_RRF_REPORT,2024-05-15
2021,IE,C09,IE_C09_M009,IE_C09_M009_MS09,IE_C09_M009_T09,2025-08-27,COMPLETED,2025-11-10,433173058.32,7243956422.44,31.5,33.55,1,1,0,0,1,RRF_SCOREBOARD,2026-01-26
2022,MT,C10,MT_C10_M010,MT_C10_M010_MS10,MT_C10_M010_T10,2025-07-24,DELAYED,2022-04-22,419860170.32,9003392965.1,41.84,32.52,0,1,1,0,29,ECA_AUDIT_SUMMARY,2025-10-21
