health_cap_reference_year,health_cap_country_iso2,health_cap_region_nuts_code,health_cap_hospital_type_code,health_cap_hospitals_count,health_cap_beds_total,health_cap_icu_beds_total,health_cap_doctors_per_1000,health_cap_nurses_per_1000,health_cap_gps_per_1000,health_cap_specialists_per_1000,health_cap_occupancy_rate_pct,health_cap_avg_length_of_stay_days,health_cap_surgery_wait_time_days_median,health_cap_emergency_wait_time_minutes_median,health_cap_staff_vacancy_rate_pct,health_cap_cross_border_patient_flows_count,health_cap_data_source,health_cap_revision_round,health_cap_data_extract_date
2006,AT,FI75,GENERAL_ACUTE,51,21833,1197,4.92,13.96,1.35,4.82,59.75,11.39,97.26,57.15,4.31,178494,OECD_HEALTH_STAT,FLASH,2025-06-18
2007,CZ,HU32,DAY_SURGERY,30,10753,937,2.03,11.09,1.13,1.07,59.48,10.96,128.9,76.67,12.36,108653,EUROSTAT_HEALTH,FIRST,2024-12-27
2008,DE,PL869,PSYCHIATRIC,121,33907,2219,3.74,4.76,1.9,1.64,78.97,5.18,160.82,130.11,2.0,44061,NATIONAL_HEALTH_MINISTRY,SECOND,2025-01-27
2009,LV,CZ53,REHABILITATION,91,21212,802,5.63,7.49,0.64,4.51,81.39,10.13,169.77,150.38,5.36,101711,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-03-17
2010,PL,DE109,SPECIALISED,227,106470,1507,3.04,10.49,1.94,1.47,81.26,4.5,91.09,166.17,4.44,97843,OECD_HEALTH_STAT,FLASH,2024-02-13
2011,ES,IT719,UNIVERSITY,70,13132,779,2.59,4.83,0.64,3.03,62.44,4.98,27.59,63.26,10.89,71559,EUROSTAT_HEALTH,FIRST,2025-06-09
2012,HR,RO140,GENERAL_ACUTE,147,75165,6732,3.91,13.54,0.43,4.7,60.25,11.3,14.23,146.69,6.25,55014,NATIONAL_HEALTH_MINISTRY,SECOND,2024-10-13
2013,FI,EE39,DAY_SURGERY,112,44359,2707,4.25,6.63,0.43,4.39,67.47,6.06,170.27,166.17,0.8,2293,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-03-19
2014,IE,CY38,PSYCHIATRIC,140,29137,1439,5.24,4.35,2.06,3.11,71.79,14.67,168.95,175.31,6.96,83305,OECD_HEALTH_STAT,FLASH,2025-01-07
2015,MT,BG88,REHABILITATION,66,23521,1453,2.7,10.29,0.97,1.53,86.44,6.7,19.48,115.95,1.84,25705,EUROSTAT_HEALTH,FIRST,2025-07-01
2016,SK,SK2,SPECIALISED,120,31109,1239,5.52,5.64,0.88,5.89,55.73,7.12,131.7,130.31,7.18,80664,NATIONAL_HEALTH_MINISTRY,SECOND,2024-05-18
2017,BE,BG2,UNIVERSITY,39,7915,162,2.04,4.82,1.07,1.38,80.42,4.52,174.39,30.56,10.58,99634,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-05-31
2018,DK,PT340,GENERAL_ACUTE,105,34436,766,3.33,14.18,1.18,1.66,80.44,10.89,139.22,80.82,2.64,35339,OECD_HEALTH_STAT,FLASH,2024-12-14
2019,GR,MT8,DAY_SURGERY,37,12706,327,2.88,11.46,1.63,1.49,56.32,5.4,65.29,76.58,13.39,10065,EUROSTAT_HEALTH,FIRST,2025-12-26
2020,LT,LT19,PSYCHIATRIC,55,2567,175,1.83,13.28,2.08,0.6,61.0,15.78,164.47,50.06,14.36,90460,NATIONAL_HEALTH_MINISTRY,SECOND,2025-11-20
2021,PT,PT616,REHABILITATION,145,24643,2011,3.87,5.31,2.14,1.25,61.54,9.51,41.73,187.03,18.38,123655,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-01-19
2022,SE,FR2,SPECIALISED,127,46613,3732,4.73,7.51,1.81,3.23,75.18,8.9,13.17,28.71,20.23,155842,OECD_HEALTH_STAT,FLASH,2024-07-09
2023,CY,PL61,UNIVERSITY,28,11367,564,1.86,11.48,1.83,0.6,58.02,10.72,16.42,75.33,1.74,66456,EUROSTAT_HEALTH,FIRST,2024-01-26
2024,FR,IT2,GENERAL_ACUTE,166,76876,6879,4.87,11.33,2.11,2.74,93.38,5.03,188.52,47.81,12.23,150156,NATIONAL_HEALTH_MINISTRY,SECOND,2024-09-16
2025,IT,RO330,DAY_SURGERY,116,26165,363,4.66,6.76,0.91,4.96,75.06,8.07,18.88,59.34,11.54,94892,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-06-14
2006,NL,HR713,PSYCHIATRIC,6,2489,67,2.45,5.87,1.8,2.02,81.71,4.47,136.95,146.83,14.89,29811,OECD_HEALTH_STAT,FLASH,2025-05-22
2007,SI,HR115,REHABILITATION,127,41647,999,4.35,6.44,0.43,5.01,75.19,7.94,72.12,34.08,5.1,43265,EUROSTAT_HEALTH,FIRST,2024-08-03
2008,BG,CY7,SPECIALISED,114,32008,909,5.58,13.23,1.46,4.8,53.4,8.8,65.81,56.25,1.53,118871,NATIONAL_HEALTH_MINISTRY,SECOND,2025-10-04
2009,EE,BE12,UNIVERSITY,8,577,8,6.22,10.21,1.58,5.46,65.86,8.62,69.44,118.44,1.71,27312,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-06-17
2010,HU,DE67,GENERAL_ACUTE,90,17813,1521,4.45,6.82,2.0,3.23,85.22,3.82,128.78,147.26,10.52,79656,OECD_HEALTH_STAT,FLASH,2024-05-12
2011,LU,IE6,DAY_SURGERY,69,26300,562,5.39,7.61,2.16,3.42,66.4,9.76,16.93,181.14,4.11,162481,EUROSTAT_HEALTH,FIRST,2024-07-28
2012,RO,MT2,PSYCHIATRIC,82,26444,768,3.37,12.6,1.47,2.69,72.81,14.08,114.69,20.69,14.09,105527,NATIONAL_HEALTH_MINISTRY,SECOND,2024-04-07
2013,AT,PL7,REHABILITATION,126,51699,3938,2.95,7.33,0.4,2.45,67.35,4.31,158.16,15.39,4.61,65931,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-11-01
2014,CZ,AT468,SPECIALISED,171,14047,192,2.74,7.65,0.83,3.28,60.56,3.84,30.69,43.99,14.03,58705,OECD_HEALTH_STAT,FLASH,2025-10-08
2015,DE,DK220,UNIVERSITY,161,33241,2000,4.49,5.58,2.02,3.71,80.32,7.65,51.51,39.5,10.82,28455,EUROSTAT_HEALTH,FIRST,2024-11-24
2016,LV,AT6,GENERAL_ACUTE,21,4030,192,2.31,11.8,1.91,1.32,61.05,3.83,156.42,149.56,7.44,104752,NATIONAL_HEALTH_MINISTRY,SECOND,2025-11-02
2017,PL,GR1,DAY_SURGERY,114,47543,976,2.22,13.23,1.57,1.5,76.94,9.14,49.88,109.61,6.17,23597,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-01-14
2018,ES,MT6,PSYCHIATRIC,122,64223,3047,4.67,5.14,1.02,4.82,82.25,6.2,114.89,152.75,9.63,71287,OECD_HEALTH_STAT,FLASH,2025-03-10
2019,HR,LU331,REHABILITATION,43,12735,202,4.55,13.1,1.21,3.35,63.73,5.84,111.65,90.13,13.24,94395,EUROSTAT_HEALTH,FIRST,2024-11-02
2020,FI,CY61,SPECIALISED,200,39895,2722,5.08,5.34,0.42,5.66,53.65,4.16,20.76,17.41,16.12,5312,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-04
2021,IE,LU5,UNIVERSITY,94,20880,681,4.33,5.35,1.06,4.16,75.58,11.02,78.68,80.2,1.1,53702,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-03-05
2022,MT,IT5,GENERAL_ACUTE,188,68771,2704,5.7,5.14,1.98,3.96,59.48,6.98,96.77,175.22,2.56,76020,OECD_HEALTH_STAT,FLASH,2025-03-21
2023,SK,SI41,DAY_SURGERY,85,21021,1520,6.15,4.4,1.73,4.08,67.66,3.81,20.11,181.37,19.73,1680,EUROSTAT_HEALTH,FIRST,2025-06-07
2024,BE,GR24,PSYCHIATRIC,8,1442,100,4.58,12.59,0.83,4.95,57.72,15.25,46.83,178.03,7.04,190776,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-30
2025,DK,PT373,REHABILITATION,90,14988,478,4.88,8.82,2.03,3.37,65.47,11.84,87.79,28.12,6.55,160437,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-10-26
2006,GR,ES719,SPECIALISED,207,87251,7842,2.35,12.55,0.5,2.91,71.56,9.94,27.5,32.49,7.86,16786,OECD_HEALTH_STAT,FLASH,2025-08-23
2007,LT,LU50,UNIVERSITY,81,13252,332,4.77,6.25,0.62,3.87,66.59,3.54,141.15,76.09,11.43,64641,EUROSTAT_HEALTH,FIRST,2024-03-30
2008,PT,EE329,GENERAL_ACUTE,158,22925,845,4.28,10.4,1.37,2.98,85.75,4.17,76.09,196.8,12.01,23921,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-14
2009,SE,FI561,DAY_SURGERY,43,13700,315,4.86,5.95,1.47,3.26,68.74,11.09,39.88,32.99,14.57,30750,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-03-22
2010,CY,ES13,PSYCHIATRIC,157,73595,1001,4.11,4.37,1.89,2.97,83.95,5.13,140.04,109.39,3.48,76957,OECD_HEALTH_STAT,FLASH,2025-10-26
2011,FR,NL493,REHABILITATION,117,17785,1211,5.57,11.98,1.8,4.07,53.45,12.78,11.87,65.64,0.75,88097,EUROSTAT_HEALTH,FIRST,2025-11-26
2012,IT,FI4,SPECIALISED,36,15298,705,3.21,3.11,2.17,1.78,52.31,5.35,115.88,24.3,12.51,111612,NATIONAL_HEALTH_MINISTRY,SECOND,2024-04-21
2013,NL,SK3,UNIVERSITY,120,5417,263,2.16,5.63,1.31,2.23,72.21,6.25,25.22,28.14,7.83,68955,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-09-29
2014,SI,RO728,GENERAL_ACUTE,180,40293,2095,2.17,11.45,1.3,1.74,66.98,5.82,132.07,163.25,4.48,90319,OECD_HEALTH_STAT,FLASH,2025-09-19
2015,BG,RO588,DAY_SURGERY,85,6669,553,4.66,11.83,1.36,3.75,66.29,8.29,129.53,180.84,2.2,23990,EUROSTAT_HEALTH,FIRST,2025-09-30
2016,EE,FI32,PSYCHIATRIC,141,79196,3675,5.72,4.51,0.94,4.56,66.57,11.77,161.6,156.27,1.46,106029,NATIONAL_HEALTH_MINISTRY,SECOND,2024-06-25
2017,HU,BG6,REHABILITATION,38,3758,245,2.44,13.03,0.82,2.22,56.47,9.28,155.81,20.37,4.06,55377,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-04-29
2018,LU,IT687,SPECIALISED,124,20019,345,1.79,4.42,0.6,1.14,83.71,10.17,167.74,130.87,7.94,50127,OECD_HEALTH_STAT,FLASH,2024-09-30
2019,RO,LT8,UNIVERSITY,87,25110,1354,6.31,6.97,1.73,4.82,79.71,8.03,112.14,28.42,0.91,95926,EUROSTAT_HEALTH,FIRST,2024-02-29
2020,AT,EE813,GENERAL_ACUTE,61,27666,349,6.29,10.13,2.13,4.31,71.6,3.8,110.18,184.76,1.0,197220,NATIONAL_HEALTH_MINISTRY,SECOND,2025-07-04
2021,CZ,GR3,DAY_SURGERY,163,10172,873,3.55,10.14,1.34,2.49,61.85,9.01,149.64,60.62,16.83,31935,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-22
2022,DE,RO21,PSYCHIATRIC,32,2098,137,3.2,7.12,1.99,1.65,71.95,11.26,43.39,112.44,12.38,189918,OECD_HEALTH_STAT,FLASH,2024-01-09
2023,LV,CZ525,REHABILITATION,43,6303,434,2.4,14.37,1.95,1.47,67.46,8.23,90.95,130.34,8.76,124236,EUROSTAT_HEALTH,FIRST,2024-04-09
2024,PL,SI56,SPECIALISED,149,40821,2073,4.32,7.86,1.64,2.57,83.38,3.64,155.97,114.46,17.46,99896,NATIONAL_HEALTH_MINISTRY,SECOND,2025-09-27
2025,ES,SE6,UNIVERSITY,64,25440,847,3.32,13.22,1.86,2.11,61.54,7.72,96.95,145.41,15.43,91443,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-06-22
2006,HR,LU40,GENERAL_ACUTE,67,3857,103,5.57,8.95,1.0,5.96,75.37,9.01,117.86,49.02,13.52,41657,OECD_HEALTH_STAT,FLASH,2024-03-25
2007,FI,GR94,DAY_SURGERY,63,7183,646,6.3,8.6,2.14,3.74,74.24,7.22,89.19,82.86,13.93,103553,EUROSTAT_HEALTH,FIRST,2024-01-01
2008,IE,BE49,PSYCHIATRIC,135,6001,207,3.83,10.29,1.22,3.96,74.08,15.38,71.3,68.95,9.07,74186,NATIONAL_HEALTH_MINISTRY,SECOND,2025-01-27
2009,MT,GR2,REHABILITATION,63,27989,1128,2.41,3.99,1.15,2.2,73.78,13.78,28.41,164.21,10.41,113565,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-27
2010,SK,IT93,SPECIALISED,31,16962,909,1.99,10.43,1.8,0.6,75.24,4.08,199.21,41.65,2.44,27257,OECD_HEALTH_STAT,FLASH,2025-01-10
2011,BE,LV762,UNIVERSITY,130,18299,333,4.67,4.01,1.14,3.15,86.01,7.96,110.15,120.14,4.81,69966,EUROSTAT_HEALTH,FIRST,2024-11-12
2012,DK,LT88,GENERAL_ACUTE,155,86498,6645,5.06,13.07,2.08,4.14,87.78,4.06,13.38,175.52,7.15,102067,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-27
2013,GR,HU22,DAY_SURGERY,42,18243,630,4.75,14.46,0.96,4.48,84.11,11.07,67.57,118.27,5.65,87840,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-03-29
2014,LT,LT13,PSYCHIATRIC,16,8146,428,2.63,9.46,1.25,1.95,76.07,4.67,8.93,50.74,13.31,23575,OECD_HEALTH_STAT,FLASH,2024-11-13
2015,PT,SI5,REHABILITATION,48,10700,717,2.13,11.47,0.75,1.39,76.13,12.92,8.46,126.79,11.39,46689,EUROSTAT_HEALTH,FIRST,2025-11-16
2016,SE,IE19,SPECIALISED,196,36592,1766,6.16,14.45,0.49,6.23,65.93,4.05,84.69,131.45,3.58,109930,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-10
