health_cb_reference_year,health_cb_country_of_treatment_iso2,health_cb_country_of_affiliation_iso2,health_cb_treatment_type_code,health_cb_prior_authorisation_required_flag,health_cb_cases_count,health_cb_reimbursement_amount_eur,health_cb_out_of_pocket_amount_eur,health_cb_waiting_time_avoidance_days,health_cb_patient_satisfaction_score,health_cb_denied_cases_count,health_cb_denial_reason_code,health_cb_appeals_count,health_cb_successful_appeals_count,health_cb_ehds_ready_flag,health_cb_ehealth_interoperability_flag,health_cb_data_source,health_cb_methodology_version,health_cb_last_update_date,health_cb_data_extract_date
2006,AT,AT,PLANNED_SURGERY,1,17537,45874370.62,6286125.38,82.1,4.1,2987,INCOMPLETE_DOCUMENTS,1222,382,0,0,NCP_REPORTING,CBHC_V1,2017-04-20,2025-01-09
2007,EE,GR,DENTAL,0,4779,6988490.67,2027536.65,141.16,4.5,608,ALTERNATIVE_AVAILABLE,142,81,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2017-05-09,2024-07-11
2008,IT,RO,RARE_DISEASE_CARE,0,59561,155150619.07,51516249.54,181.97,4.37,8267,MEDICAL_JUSTIFICATION,2383,1436,0,0,EHDS_PILOT,CBHC_V2,2017-05-28,2025-12-30
2009,PT,DK,TELECONSULTATION,0,10898,1728920.98,374617.67,137.66,4.95,330,OTHER,63,29,0,0,PATIENT_SURVEY,CBHC_V1,2017-06-16,2024-05-14
2010,BE,LU,MATERNITY,0,52475,38214564.99,4174546.72,163.11,3.25,5922,NOT_COVERED,1696,699,0,0,NCP_REPORTING,CBHC_V3,2017-07-05,2024-08-07
2011,FI,BE,DIAGNOSTICS,0,1184,665669.79,51355.28,248.17,3.65,30,NO_PRIOR_AUTHORISATION,8,3,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2017-07-24,2024-01-28
2012,LV,HU,REHABILITATION,1,16994,4788425.86,1432068.82,102.91,3.14,2217,CAPACITY_LIMITS,452,176,0,0,EHDS_PILOT,CBHC_V1,2017-08-12,2024-09-27
2013,RO,SK,CANCER_CARE,1,22789,27226499.84,2888296.47,44.25,4.51,1751,INCOMPLETE_DOCUMENTS,637,159,0,1,PATIENT_SURVEY,CBHC_V3,2017-08-31,2024-12-11
2014,BG,EE,PLANNED_SURGERY,0,29577,76546381.15,28030217.26,115.13,3.31,4276,ALTERNATIVE_AVAILABLE,1110,279,0,0,NCP_REPORTING,CBHC_V2,2017-09-19,2024-03-10
2015,FR,MT,DENTAL,0,17840,28783860.68,3438109.69,190.41,3.38,1846,MEDICAL_JUSTIFICATION,681,474,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2017-10-08,2025-06-16
2016,LT,BG,RARE_DISEASE_CARE,1,11657,18532485.32,6670776.74,101.73,4.4,796,OTHER,249,146,0,0,EHDS_PILOT,CBHC_V3,2017-10-27,2025-11-02
2017,SK,IE,TELECONSULTATION,0,10874,11403495.08,1330761.07,57.14,2.79,324,NOT_COVERED,143,68,0,0,PATIENT_SURVEY,CBHC_V2,2017-11-15,2024-11-15
2018,HR,SI,MATERNITY,0,7050,9106580.11,2884984.3,77.65,3.19,573,NO_PRIOR_AUTHORISATION,52,24,0,0,NCP_REPORTING,CBHC_V1,2017-12-04,2025-09-09
2019,DE,FI,DIAGNOSTICS,0,15556,12316144.16,2875702.79,280.25,3.34,326,CAPACITY_LIMITS,100,73,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2017-12-23,2024-07-23
2020,LU,NL,REHABILITATION,1,17473,36909766.66,13602052.32,163.5,4.19,2396,INCOMPLETE_DOCUMENTS,1309,675,0,1,EHDS_PILOT,CBHC_V2,2018-01-11,2024-04-16
2021,SI,HR,CANCER_CARE,1,1356,4927555.12,1148944.1,155.7,4.85,143,ALTERNATIVE_AVAILABLE,11,4,0,1,PATIENT_SURVEY,CBHC_V1,2018-01-30,2024-06-25
2022,CY,IT,PLANNED_SURGERY,1,4057,9074880.34,1394183.21,192.93,3.21,755,MEDICAL_JUSTIFICATION,317,107,0,0,NCP_REPORTING,CBHC_V3,2018-02-18,2025-04-07
2023,GR,ES,DENTAL,0,29610,66525570.05,3850688.34,156.06,4.31,3246,OTHER,1053,533,1,1,INSURANCE_FUND_ADMIN,CBHC_V2,2018-03-09,2024-06-15
