health_eh_reference_year,health_eh_country_iso2,health_eh_region_nuts_code,health_eh_ehr_coverage_pct,health_eh_e_prescription_coverage_pct,health_eh_e_referral_coverage_pct,health_eh_patient_portal_usage_pct,health_eh_interoperability_level_code,health_eh_eidas_authentication_supported_flag,health_eh_cross_border_ehealth_enabled_flag,health_eh_cyber_incidents_count,health_eh_gdpr_breach_notifications_count,health_eh_digital_health_apps_certified_count,health_eh_ai_in_clinical_use_cases_count,health_eh_telemedicine_visits_per_1k,health_eh_remote_monitoring_patients_count,health_eh_data_spaces_health_flag,health_eh_data_source,health_eh_methodology_version,health_eh_data_extract_date
2006,AT,FI75,12.75,38.65,14.11,4.96,LEVEL_0_NONE,0,0,61,8,368,10,7.71,12606,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-11-06
2007,EE,LV9,13.05,20.2,30.51,19.88,LEVEL_1_BASIC,1,0,1,9,1131,83,66.2,22951,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-10-02
2008,IT,CY963,29.6,26.7,8.97,6.4,LEVEL_2_STRUCTURED,0,0,4,11,4,90,209.35,125382,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-03-03
2009,PT,MT83,16.5,25.55,27.85,7.75,LEVEL_3_SEMANTIC,1,0,7,25,529,64,87.53,43667,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-10-07
2010,BE,MT4,29.43,45.96,19.02,10.98,LEVEL_4_FEDERATED,0,0,4,31,648,54,4.95,43277,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-04-29
2011,FI,FI43,40.07,22.31,26.54,33.33,LEVEL_0_NONE,0,0,10,25,1346,83,122.44,82025,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-10-01
2012,LV,BG5,34.43,62.24,41.55,40.72,LEVEL_1_BASIC,1,0,19,20,1113,48,245.95,56787,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-08-09
2013,RO,IT719,53.75,56.28,33.9,29.33,LEVEL_2_STRUCTURED,0,0,52,9,84,49,117.02,18103,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-10-15
2014,BG,DK2,67.54,48.7,34.4,41.76,LEVEL_3_SEMANTIC,0,0,5,18,1057,44,57.87,18600,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-09-24
2015,FR,CY3,49.64,69.72,47.14,32.9,LEVEL_4_FEDERATED,0,0,20,22,1439,92,92.46,104251,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-05-25
