health_exp_reference_year,health_exp_country_iso2,health_exp_financing_scheme_code,health_exp_provider_type_code,health_exp_function_code,health_exp_total_expenditure_eur,health_exp_expenditure_pct_gdp,health_exp_public_share_pct,health_exp_out_of_pocket_share_pct,health_exp_per_capita_eur,health_exp_preventive_care_share_pct,health_exp_pharmaceuticals_share_pct,health_exp_long_term_care_share_pct,health_exp_admin_cost_share_pct,health_exp_unmet_need_rate_pct,health_exp_catastrophic_spending_rate_pct,health_exp_waiting_times_index,health_exp_eurostat_oecd_sha_table_code,health_exp_methodology_version,health_exp_data_extract_date
2006,AT,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,181821890812.19,7.36,83.89,20.7,6188.71,2.4,14.32,8.35,3.24,7.02,1.62,0.6545,hlth_sha11_hf,SHA2011_V1,2024-09-28
2007,EE,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,132100754120.58,10.85,66.13,36.51,3406.06,1.59,8.89,10.82,2.84,2.07,5.91,0.8245,hlth_sha11_exp,SHA2011_V3,2024-01-25
2008,IT,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,127263660295.05,9.29,71.9,22.23,6155.49,1.89,26.23,25.74,2.48,5.66,2.44,1.0244,hlth_sha11_hc,SHA2011_V2,2025-04-08
2009,PT,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,251813284909.95,6.38,55.22,44.05,7202.99,3.74,17.55,12.9,5.71,0.87,1.8,1.6841,hlth_sha11_hp,SHA2011_V1,2024-01-28
2010,BE,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,244594812037.39,11.7,56.7,45.0,9530.86,3.87,18.73,15.28,4.09,5.8,5.1,0.9639,hlth_sha11_hf,SHA2011_V3,2024-03-10
2011,FI,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,50055869522.05,12.14,62.24,45.0,4713.68,2.77,25.04,27.49,2.88,2.1,7.45,1.4224,hlth_sha11_exp,SHA2011_V2,2025-07-06
2012,LV,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,238159422845.16,6.28,82.13,19.98,7656.42,7.93,9.81,9.86,2.91,0.71,5.42,0.47,hlth_sha11_hc,SHA2011_V1,2025-01-16
2013,RO,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,38981817476.53,12.96,65.35,43.07,1942.65,7.89,14.64,4.14,5.6,1.96,3.8,1.0616,hlth_sha11_hp,SHA2011_V3,2024-12-30
2014,BG,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,237392411444.94,10.97,56.27,45.0,8535.04,4.89,24.08,8.2,2.44,0.76,2.14,0.5156,hlth_sha11_hf,SHA2011_V2,2025-07-31
2015,FR,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,128785748368.14,6.28,80.53,16.15,6177.83,4.84,17.75,19.86,2.43,3.36,3.54,0.8079,hlth_sha11_exp,SHA2011_V1,2025-08-12
2016,LT,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,86095629043.42,6.51,79.34,32.15,6916.7,5.15,20.97,13.83,3.86,7.91,7.38,0.8836,hlth_sha11_hc,SHA2011_V3,2025-12-13
2017,SK,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,174536502435.09,7.74,61.38,42.33,9729.17,4.47,15.67,15.0,1.34,7.63,2.52,1.7306,hlth_sha11_hp,SHA2011_V2,2025-04-11
2018,HR,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,289437165148.22,11.98,69.73,31.59,2429.71,7.7,19.83,13.47,3.01,5.68,6.05,1.3749,hlth_sha11_hf,SHA2011_V1,2024-09-13
2019,DE,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,287079444406.02,6.89,72.42,23.32,4174.97,7.19,23.62,14.44,1.2,8.35,6.15,1.5401,hlth_sha11_exp,SHA2011_V3,2026-01-28
2020,LU,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,251734957695.61,12.4,58.88,45.0,4795.71,5.84,24.78,17.46,1.51,4.51,6.61,1.0272,hlth_sha11_hc,SHA2011_V2,2025-07-04
2021,SI,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,70370636022.92,12.15,69.67,32.47,8786.4,2.67,24.24,12.55,5.59,9.07,6.0,1.2038,hlth_sha11_hp,SHA2011_V1,2024-11-29
2022,CY,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,260907819745.6,10.89,83.3,21.88,1133.02,7.79,24.73,20.35,4.62,3.43,2.97,1.7464,hlth_sha11_hf,SHA2011_V3,2026-01-05
2023,GR,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,300379822766.43,8.63,76.83,20.55,6413.14,5.62,8.51,25.7,1.81,6.45,2.95,0.7351,hlth_sha11_exp,SHA2011_V2,2025-10-06
2024,MT,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,244944692610.76,11.25,85.6,23.69,2373.25,6.32,10.0,27.8,2.89,4.0,4.77,0.4844,hlth_sha11_hc,SHA2011_V1,2025-08-22
