health_pharma_reference_year,health_pharma_country_iso2,health_pharma_atc_code,health_pharma_medicine_type_code,health_pharma_authorisation_type_code,health_pharma_price_eur_pack_median,health_pharma_reimbursement_rate_pct,health_pharma_volume_units_sold,health_pharma_generic_share_pct,health_pharma_biosimilar_share_pct,health_pharma_shortage_reports_count,health_pharma_shortage_duration_days_median,health_pharma_htA_decision_code,health_pharma_time_to_market_days_median,health_pharma_parallel_trade_flag,health_pharma_joint_procurement_flag,health_pharma_clinical_trials_count,health_pharma_data_source_ema_flag,health_pharma_revision_round,health_pharma_data_extract_date
2006,AT,A00AA00,BRANDED_ORIGINATOR,CENTRALISED_EMA,66.93,22.47,20606526,51.53,8.67,160,132.91,POSITIVE,715.38,1,0,82,1,FLASH,2025-05-17
2007,CZ,B07LN17,ORPHAN,NATIONAL_MA,307.08,41.17,24376077,52.51,0.87,64,150.54,NEGATIVE,113.12,1,0,108,0,BENCHMARK,2025-06-13
2008,DE,C14WA34,OTC,MUTUAL_RECOGNITION,89.78,75.38,16551457,6.73,2.38,464,201.72,NOT_REQUIRED,334.46,0,0,209,0,SECOND,2025-05-04
2009,LV,D21HN51,VACCINE,DECENTRALISED,234.0,43.98,7491728,41.67,9.19,2,94.2,CONDITIONAL,178.49,1,0,15,0,FIRST,2024-05-12
2010,PL,E28SA68,BIOSIMILAR,CENTRALISED_EMA,106.39,48.9,1911103,55.15,43.72,432,67.3,PENDING,385.41,1,0,72,1,FLASH,2025-08-07
2011,ES,F35DN85,GENERIC,NATIONAL_MA,116.55,90.67,28129096,17.91,3.77,140,62.93,POSITIVE,136.14,0,0,71,0,BENCHMARK,2025-10-08
2012,HR,G42OA02,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,316.54,73.76,20194839,46.22,14.65,103,136.12,NEGATIVE,724.96,0,0,268,0,SECOND,2024-03-15
2013,FI,H49ZN19,ORPHAN,DECENTRALISED,273.45,29.93,75601,7.03,8.14,173,45.03,NOT_REQUIRED,622.37,0,0,506,0,FIRST,2024-01-25
2014,IE,J56KA36,OTC,CENTRALISED_EMA,155.64,21.41,30384459,66.13,13.44,145,155.44,CONDITIONAL,488.12,0,0,14,1,FLASH,2024-03-28
2015,MT,L63VN53,VACCINE,NATIONAL_MA,229.57,80.27,9681758,63.13,22.22,402,69.37,PENDING,630.99,1,0,1,0,BENCHMARK,2024-12-02
