house_epc_issuance_date,house_epc_country_iso2,house_epc_region_nuts_code,house_epc_building_id_hash,house_epc_building_type_code,house_epc_construction_year,house_epc_floor_area_m2,house_epc_epc_label,house_epc_primary_energy_kwh_m2,house_epc_heating_fuel_type,house_epc_heat_pump_flag,house_epc_solar_pv_flag,house_epc_insulation_quality_code,house_epc_recommendations_count,house_epc_renovation_passport_flag,house_epc_co2e_emissions_kg_m2,house_epc_epbd_minimum_standards_flag,house_epc_data_source,house_epc_last_update_date,house_epc_data_extract_date
2010-01-18,AT,FI898,ad8a897bc801143dabad,RESIDENTIAL_SFH,1903,209.4,A,48.54,ELECTRICITY,1,0,POOR,2,0,14.574,0,NATIONAL_EPC_REGISTRY,2016-11-23,2026-01-16
2010-02-10,CZ,DK41,0d3962386d9d6e1d615a,PUBLIC_SCHOOLS,1963,529.79,G,348.83,LPG,0,0,UNKNOWN,3,0,85.458,0,ENERGY_AGENCY_REPORT,2016-12-16,2025-03-19
2010-03-05,DE,PT238,7a510772f9876a872eed,RESIDENTIAL_MFH,1914,556.8,F,259.53,BIOMASS,0,0,VERY_GOOD,8,0,89.125,0,BUILDING_STOCK_OBSERVATORY,2017-01-08,2025-03-11
2010-03-28,LV,EE67,677f93f346762e729be5,PUBLIC_HOSPITALS,1933,47.77,E,234.78,HEATING_OIL,0,0,GOOD,7,0,86.397,0,NATIONAL_EPC_REGISTRY,2017-01-31,2025-12-30
2010-04-20,PL,NL882,b543a0f60d45562dd35b,COMMERCIAL_OFFICE,1940,64.3,D,140.96,DISTRICT_HEAT,0,0,AVERAGE,10,1,29.338,0,ENERGY_AGENCY_REPORT,2017-02-23,2024-09-28
2010-05-13,ES,ES121,0fe3e3544b391901149c,INDUSTRIAL_LIGHT,2000,254.92,C,91.0,NATURAL_GAS,0,1,POOR,5,0,37.794,0,BUILDING_STOCK_OBSERVATORY,2017-03-18,2024-04-29
2010-06-05,HR,SI62,b12fb1b38f3ac741c9e0,COMMERCIAL_RETAIL,1961,285.84,B,103.14,ELECTRICITY,0,0,UNKNOWN,0,0,14.958,0,NATIONAL_EPC_REGISTRY,2017-04-10,2024-08-05
2010-06-28,FI,LT715,833f68fd725816c147bf,RESIDENTIAL_SFH,1904,150.24,A,66.99,LPG,0,0,VERY_GOOD,9,1,11.766,0,ENERGY_AGENCY_REPORT,2017-05-03,2025-06-26
2010-07-21,IE,LV60,06d48ffce81a9df3f722,PUBLIC_SCHOOLS,2017,139.89,G,407.4,BIOMASS,0,1,GOOD,9,0,163.088,0,BUILDING_STOCK_OBSERVATORY,2017-05-26,2025-10-10
2010-08-13,MT,FI94,7c186558c1c91e18129c,RESIDENTIAL_MFH,1918,418.07,F,369.48,HEATING_OIL,0,0,AVERAGE,8,0,155.115,0,NATIONAL_EPC_REGISTRY,2017-06-18,2025-05-28
