house_homeless_reference_year,house_homeless_country_iso2,house_homeless_region_nuts_code,house_homeless_measurement_method_code,house_homeless_total_count,house_homeless_sheltered_count,house_homeless_unsheltered_count,house_homeless_temporary_accommodation_count,house_homeless_youth_share_pct,house_homeless_women_share_pct,house_homeless_migrant_share_pct,house_homeless_duration_long_term_share_pct,house_homeless_health_needs_share_pct,house_homeless_housing_first_programme_flag,house_homeless_support_service_capacity,house_homeless_evictions_count,house_homeless_rent_arrears_share_pct,house_homeless_data_source,house_homeless_revision_round,house_homeless_data_extract_date
2006,AT,FI898,POINT_IN_TIME,57355,32837,23906,24629,5.8,45.65,52.16,29.36,49.24,0,42862,3147,5.3,FEANTSA_REPORTING,FLASH,2024-09-03
2007,EE,LV377,ADMIN_REGISTER,51138,32418,19510,20276,17.29,36.3,15.01,20.91,27.49,1,38705,12617,16.83,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-12-21
2008,IT,NL849,SURVEY_ESTIMATE,15382,11078,2759,8212,13.33,25.36,42.29,56.39,25.85,1,11211,6491,16.09,CITY_HOMELESSNESS_CENSUS,SECOND,2024-11-20
2009,PT,AT47,SERVICE_USE_ADMIN,34678,26363,6033,7664,22.38,16.65,53.61,49.91,7.78,1,24053,425,1.36,SURVEY_ESTIMATE,BENCHMARK,2024-02-24
2010,BE,CY19,MODELLED_ESTIMATE,23515,10830,7081,3530,9.49,26.5,46.76,36.96,50.94,1,24695,12098,3.77,FEANTSA_REPORTING,FLASH,2024-05-28
2011,FI,AT3,POINT_IN_TIME,70062,48480,13460,7161,8.02,25.13,47.56,44.19,39.12,0,69271,9201,13.25,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-02-09
2012,LV,AT5,ADMIN_REGISTER,7643,3877,2785,3314,11.87,45.52,53.24,15.59,7.05,1,7212,2988,9.34,CITY_HOMELESSNESS_CENSUS,SECOND,2024-10-03
2013,RO,ES121,SURVEY_ESTIMATE,100108,87250,8720,22198,5.6,21.36,12.06,37.91,51.78,0,111089,14419,17.04,SURVEY_ESTIMATE,BENCHMARK,2025-08-14
2014,BG,GR5,SERVICE_USE_ADMIN,78321,63843,10548,12056,21.73,46.21,13.16,59.19,11.39,1,60143,1422,12.3,FEANTSA_REPORTING,FLASH,2025-07-01
2015,FR,BE505,MODELLED_ESTIMATE,8424,6392,1669,3068,12.09,27.8,10.26,57.57,21.62,0,7081,9057,0.99,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-01-25
2016,LT,CY531,POINT_IN_TIME,33564,25571,7213,13145,14.4,42.74,12.77,31.06,10.44,0,25242,13582,2.68,CITY_HOMELESSNESS_CENSUS,SECOND,2024-06-10
2017,SK,IT454,ADMIN_REGISTER,97313,50642,43977,48920,16.89,21.93,8.26,60.26,24.45,0,104550,12596,19.85,SURVEY_ESTIMATE,BENCHMARK,2024-09-27
2018,HR,FR8,SURVEY_ESTIMATE,7347,3407,3652,2840,26.03,43.6,13.34,16.76,35.21,1,7151,2520,18.7,FEANTSA_REPORTING,FLASH,2024-07-04
2019,DE,NL6,SERVICE_USE_ADMIN,71047,40586,29314,13629,15.14,21.71,32.99,48.02,19.2,1,60979,4956,11.21,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-08-16
2020,LU,RO893,MODELLED_ESTIMATE,68517,43890,19277,34866,5.84,43.1,38.03,12.79,38.8,1,50647,4210,12.06,CITY_HOMELESSNESS_CENSUS,SECOND,2025-07-25
2021,SI,AT149,POINT_IN_TIME,8678,4592,3890,2292,12.04,20.92,45.25,13.42,27.54,1,5392,2399,17.46,SURVEY_ESTIMATE,BENCHMARK,2025-07-23
2022,CY,PL4,ADMIN_REGISTER,18505,11122,6442,6614,22.33,28.2,53.79,59.07,38.66,0,15105,7993,5.91,FEANTSA_REPORTING,FLASH,2025-08-08
2023,GR,RO40,SURVEY_ESTIMATE,9880,4969,3102,2513,23.49,34.53,16.7,24.58,19.95,1,9428,5496,21.74,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-09-18
2024,MT,SI163,SERVICE_USE_ADMIN,13211,6364,4346,1939,22.34,32.97,49.56,33.56,22.28,0,15158,8163,15.16,CITY_HOMELESSNESS_CENSUS,SECOND,2025-04-28
2025,ES,AT463,MODELLED_ESTIMATE,81132,37736,41323,36745,16.27,19.18,13.83,24.3,46.53,0,81960,9065,14.99,SURVEY_ESTIMATE,BENCHMARK,2024-12-15
2006,CZ,DK531,POINT_IN_TIME,82320,65869,13270,28661,16.42,20.53,10.33,18.89,44.82,1,44817,382,1.65,FEANTSA_REPORTING,FLASH,2025-09-05
2007,HU,LU955,ADMIN_REGISTER,7206,5892,1125,2529,19.05,37.26,29.48,27.36,31.88,0,4817,4329,5.64,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-04-26
2008,NL,HU2,SURVEY_ESTIMATE,36619,28095,7241,3804,25.23,38.81,42.05,19.38,41.89,0,22036,2734,20.88,CITY_HOMELESSNESS_CENSUS,SECOND,2024-11-23
2009,SE,RO30,SERVICE_USE_ADMIN,71775,59309,11727,32807,14.94,24.88,12.03,38.0,43.8,0,68869,16966,1.9,SURVEY_ESTIMATE,BENCHMARK,2024-01-12
2010,DK,RO2,MODELLED_ESTIMATE,9929,5544,4078,2506,18.76,46.68,24.26,14.98,51.61,1,3921,12860,6.87,FEANTSA_REPORTING,FLASH,2026-01-10
2011,IE,NL33,POINT_IN_TIME,28550,24807,3694,7829,14.37,30.43,57.5,38.27,22.62,0,11270,16439,9.79,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-11-05
2012,PL,LU1,ADMIN_REGISTER,75973,58740,14396,36445,6.79,17.92,25.0,61.27,50.91,1,74550,6903,1.35,CITY_HOMELESSNESS_CENSUS,SECOND,2026-01-24
2013,AT,HR32,SURVEY_ESTIMATE,74815,51189,19870,27597,15.47,12.94,32.84,14.27,36.74,1,71196,17801,15.58,SURVEY_ESTIMATE,BENCHMARK,2025-06-24
2014,EE,IT76,SERVICE_USE_ADMIN,70880,52181,13932,17405,10.28,34.02,43.45,21.3,18.84,1,49052,4011,9.72,FEANTSA_REPORTING,FLASH,2024-09-01
2015,IT,PT671,MODELLED_ESTIMATE,30053,13989,12631,13673,25.64,25.97,57.34,36.04,12.01,1,15870,13935,18.75,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-02-04
