house_permits_reference_month,house_permits_country_iso2,house_permits_region_nuts_code,house_permits_building_type_code,house_permits_dwellings_authorised_count,house_permits_floor_area_authorised_m2,house_permits_construction_cost_index,house_permits_construction_time_months_median,house_permits_material_cost_index,house_permits_labor_shortage_index,house_permits_green_building_standard_flag,house_permits_social_housing_quota_flag,house_permits_renovation_permits_count,house_permits_demolition_permits_count,house_permits_land_use_planning_code,house_permits_flood_risk_zone_flag,house_permits_epbd_compliance_flag,house_permits_data_source,house_permits_revision_round,house_permits_data_extract_date
2016-01,AT,FI898,RESIDENTIAL_SINGLE_FAMILY,6732,688105.66,97.8,15.56,98.39,0.5725,0,0,8439,1180,ZONING_PLAN_A,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-03-15
2016-02,EE,LV377,MIXED_USE,5661,768727.67,95.53,19.02,110.42,0.7263,0,1,256,1078,FLOODPLAIN_CONTROL,1,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-06-30
2016-03,IT,NL849,INDUSTRIAL,2434,199336.12,110.9,26.16,119.51,1.1669,0,0,1399,165,COASTAL_CONTROL,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-07-26
2016-04,PT,AT47,PUBLIC,817,69991.76,112.18,6.9,114.81,0.4318,0,0,370,653,BROWNFIELD_REUSE,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-02-03
2016-05,BE,CY19,COMMERCIAL,4153,483208.7,110.29,26.47,113.2,0.0933,0,0,1863,1019,URBAN_REGEN,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-02-11
2016-06,FI,AT3,RESIDENTIAL_MULTI_FAMILY,7800,566258.28,96.75,28.0,98.36,1.5806,0,0,8121,1090,FAST_TRACK,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-12-22
2016-07,LV,AT5,RESIDENTIAL_SINGLE_FAMILY,9995,1093857.46,115.69,26.33,104.38,1.8447,1,0,459,1379,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-09-30
2016-08,RO,ES121,MIXED_USE,4612,356437.5,105.58,25.66,111.41,1.7918,0,1,2675,1479,ZONING_PLAN_A,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2026-02-13
2016-09,BG,GR5,INDUSTRIAL,4672,514124.97,108.12,16.6,98.05,0.9547,1,0,2086,378,FLOODPLAIN_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-12-07
2016-10,FR,BE505,PUBLIC,979,50317.48,100.0,34.66,111.12,1.2577,1,0,3298,1543,COASTAL_CONTROL,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-08-28
2016-11,LT,CY531,COMMERCIAL,3319,223696.06,99.05,23.37,109.19,0.3378,1,0,1696,538,BROWNFIELD_REUSE,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-10-29
2016-12,SK,IT454,RESIDENTIAL_MULTI_FAMILY,6156,344779.93,112.6,12.03,94.31,0.1191,1,0,2484,1557,URBAN_REGEN,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-05-01
2017-01,HR,FR8,RESIDENTIAL_SINGLE_FAMILY,5123,597837.0,108.44,18.36,121.04,1.3332,0,0,4198,680,FAST_TRACK,1,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-10-04
2017-02,DE,NL6,MIXED_USE,441,34030.14,108.27,9.62,106.23,1.093,1,0,7185,1160,ZONING_PLAN_B,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-04-23
2017-03,LU,RO893,INDUSTRIAL,5478,713718.27,110.21,20.78,121.38,0.236,0,0,3197,74,ZONING_PLAN_A,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-08-01
2017-04,SI,AT149,PUBLIC,5436,683433.68,115.94,21.18,106.1,1.5554,0,0,2685,1095,FLOODPLAIN_CONTROL,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-01-19
2017-05,CY,PL4,COMMERCIAL,2899,250360.82,107.25,15.82,124.47,1.4867,0,1,113,1372,COASTAL_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-06-17
2017-06,GR,RO40,RESIDENTIAL_MULTI_FAMILY,730,45595.06,110.02,19.02,110.77,1.8608,0,1,3211,277,BROWNFIELD_REUSE,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-10-12
2017-07,MT,SI163,RESIDENTIAL_SINGLE_FAMILY,120,10371.71,98.07,24.73,123.44,1.0482,0,0,3635,521,URBAN_REGEN,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-12-16
2017-08,ES,AT463,MIXED_USE,6284,448978.43,112.76,19.34,121.66,1.1192,0,1,7973,839,FAST_TRACK,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-03-18
2017-09,CZ,DK531,INDUSTRIAL,1409,158423.72,108.71,15.08,106.65,0.1486,1,1,8047,1283,ZONING_PLAN_B,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-01-31
2017-10,HU,LU955,PUBLIC,78,9441.78,116.01,27.38,109.44,1.3787,0,0,309,1930,ZONING_PLAN_A,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-08-22
2017-11,NL,HU2,COMMERCIAL,1159,58383.13,109.82,6.43,106.69,0.382,1,1,7380,1888,FLOODPLAIN_CONTROL,1,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-11-05
