house_social_reference_year,house_social_country_iso2,house_social_region_nuts_code,house_social_social_housing_stock_count,house_social_social_housing_share_pct,house_social_new_units_completed_count,house_social_renovated_units_count,house_social_waitlist_households_count,house_social_average_wait_time_months,house_social_allocation_rule_code,house_social_income_threshold_eur,house_social_rent_setting_rule_code,house_social_rent_level_eur_median,house_social_energy_efficiency_upgrade_flag,house_social_state_aid_compliance_flag,house_social_public_investment_eur,house_social_eu_funding_support_eur,house_social_data_source,house_social_last_update_date,house_social_data_extract_date
2006,AT,FI898,950882,15.31,5463,5336,201650,98.21,POINTS_BASED,91640.0,COST_BASED,638.45,0,1,12439573929.48,1086824396.04,HOUSING_AUTHORITY_ADMIN,2015-10-12,2024-11-27
2007,CZ,DK41,6448,17.03,270,361,159872,3.56,NEEDS_BASED,61681.72,FIXED_GRID,400.84,0,1,3175868463.09,520488378.48,MINISTRY_HOUSING_REPORT,2015-11-04,2024-10-22
2008,DE,PT238,445573,1.54,5352,34061,81697,74.06,LOTTERY,15149.02,INCOME_RELATED,595.7,0,0,1007464691.1,872720420.86,SOCIAL_HOUSING_REGISTER,2015-11-27,2025-02-25
2009,LV,EE67,2627552,15.44,96709,111517,212577,20.59,LOCAL_PRIORITY,62603.74,CAPPED_RENT,295.18,1,1,1156745257.86,835572925.8,AUDIT_REPORT,2015-12-20,2024-07-01
2010,PL,NL882,535077,26.47,16765,4108,328198,12.59,MIXED_MODEL,32387.56,MARKET_DISCOUNTED,1100.5,1,1,5033350666.93,166621026.79,HOUSING_AUTHORITY_ADMIN,2016-01-12,2024-10-20
2011,ES,ES121,919537,20.97,19059,22640,24335,56.57,POINTS_BASED,32646.22,COST_BASED,716.71,1,0,8223635646.66,636686182.42,MINISTRY_HOUSING_REPORT,2016-02-04,2025-04-27
2012,HR,SI62,1224095,11.53,10423,75486,512899,77.72,NEEDS_BASED,77864.92,FIXED_GRID,651.76,1,1,3176629947.12,976876381.95,SOCIAL_HOUSING_REGISTER,2016-02-27,2025-05-09
2013,FI,LT715,1482346,2.9,82986,69175,332415,92.8,LOTTERY,25271.58,INCOME_RELATED,1160.45,0,0,5749228342.65,13251563.47,AUDIT_REPORT,2016-03-21,2024-10-21
2014,IE,LV60,1813178,17.47,29610,160215,390791,22.37,LOCAL_PRIORITY,16142.21,CAPPED_RENT,1837.4,1,1,462841194.71,965249609.14,HOUSING_AUTHORITY_ADMIN,2016-04-13,2024-01-04
2015,MT,FI94,836561,13.57,27010,57328,135181,33.94,MIXED_MODEL,28665.11,MARKET_DISCOUNTED,318.45,1,0,5385576217.36,3113871650.64,MINISTRY_HOUSING_REPORT,2016-05-06,2025-05-14
