lab_cond_reference_year,lab_cond_country_iso2,lab_cond_region_nuts_code,lab_cond_sector_nace_section,lab_cond_contract_type_code,lab_cond_working_hours_week_mean,lab_cond_overtime_share_pct,lab_cond_shift_work_share_pct,lab_cond_remote_work_share_pct,lab_cond_right_to_disconnect_policy_flag,lab_cond_work_accidents_rate_per_100k,lab_cond_work_related_illness_rate_per_100k,lab_cond_job_satisfaction_score,lab_cond_work_life_balance_score,lab_cond_burnout_risk_index,lab_cond_training_provided_share_pct,lab_cond_union_membership_share_pct,lab_cond_eurofound_source_flag,lab_cond_survey_weight,lab_cond_data_extract_date
2006,AT,FI898,A,PERMANENT,35.28,12.17,17.7,15.75,0,206.12,231.64,6.82,8.52,30.61,72.72,5.57,1,2.5437,2025-01-22
2007,EE,LV377,L,APPRENTICE,28.82,13.23,5.34,28.02,0,184.0,516.57,6.56,5.51,45.26,42.59,23.35,0,3.4897,2025-12-23
2008,IT,NL849,B,TEMPORARY,27.38,6.58,25.89,18.79,0,632.8,1220.68,6.76,6.22,43.53,28.15,12.59,0,2.9298,2024-12-10
2009,PT,AT47,M,PLATFORM,34.7,7.16,3.96,12.23,0,241.4,555.18,7.31,6.09,51.66,20.13,39.26,1,1.4055,2025-06-17
2010,BE,CY19,C,SELF_EMPLOYED,36.63,8.37,7.83,7.09,0,87.91,597.88,7.7,4.92,43.98,26.08,28.72,1,1.0025,2024-07-31
2011,FI,AT3,N,PERMANENT,33.29,10.68,27.06,13.91,0,437.25,520.15,6.03,6.34,32.49,82.02,18.08,0,3.4879,2025-06-23
2012,LV,AT5,D,APPRENTICE,20.82,13.75,25.55,6.09,0,160.52,824.52,6.51,7.52,61.6,80.98,7.42,1,2.0068,2025-03-14
2013,RO,ES121,O,TEMPORARY,40.18,4.87,24.73,11.14,0,232.34,1392.48,6.95,5.69,24.17,56.91,41.17,1,2.4301,2025-05-01
2014,BG,GR5,E,PLATFORM,40.33,9.83,16.67,16.5,0,1259.35,1107.97,7.62,6.91,62.08,65.32,37.08,1,1.6756,2024-09-07
2015,FR,BE505,P,SELF_EMPLOYED,34.64,4.82,6.89,5.22,1,265.62,1076.03,6.13,7.44,60.51,20.29,20.53,1,0.4423,2025-05-08
2016,LT,CY531,F,PERMANENT,38.28,26.21,7.11,11.86,0,1113.61,491.61,6.64,5.49,71.81,31.72,41.45,1,4.3744,2024-04-22
2017,SK,IT454,Q,APPRENTICE,24.36,10.37,21.59,2.01,0,283.71,227.14,6.76,7.34,37.31,28.93,49.75,1,0.2782,2024-05-02
2018,HR,FR8,G,TEMPORARY,25.85,9.26,13.82,15.83,1,145.65,1180.42,6.53,8.67,40.9,57.9,51.1,0,3.2654,2024-07-13
2019,DE,NL6,R,PLATFORM,39.67,21.2,14.6,13.81,1,623.43,769.53,6.28,8.13,32.52,64.84,23.08,1,2.9374,2024-05-22
2020,LU,RO893,H,SELF_EMPLOYED,42.21,17.96,34.33,9.09,1,600.27,1012.47,7.89,6.3,36.46,66.51,6.25,1,0.3831,2024-10-24
2021,SI,AT149,S,PERMANENT,27.06,19.24,26.32,30.17,0,415.96,1478.33,7.51,7.33,56.17,25.05,26.16,1,0.539,2025-09-28
