lab_dialogue_reference_year,lab_dialogue_country_iso2,lab_dialogue_sector_nace_section,lab_dialogue_collective_bargaining_coverage_pct,lab_dialogue_union_density_pct,lab_dialogue_employer_organisation_density_pct,lab_dialogue_wage_setting_level_code,lab_dialogue_minimum_wage_directive_alignment_flag,lab_dialogue_agreements_signed_count,lab_dialogue_disputes_count,lab_dialogue_strike_days_lost_per_1k,lab_dialogue_mediation_cases_count,lab_dialogue_social_partner_consultations_count,lab_dialogue_tripartite_body_flag,lab_dialogue_gender_equality_clause_share_pct,lab_dialogue_platform_work_clause_share_pct,lab_dialogue_telework_clause_share_pct,lab_dialogue_training_clause_share_pct,lab_dialogue_data_source,lab_dialogue_last_update_date
2006,AT,A,37.88,8.98,14.51,COMPANY,0,61,33,0.36,17,339,1,12.71,2.82,4.0,20.56,EUROFOUND_EWCS,2010-01-11
2007,EE,L,60.98,56.47,31.96,SECTOR,0,64,67,10.36,43,564,0,27.6,10.2,35.98,78.65,NATIONAL_LABOUR_MINISTRY,2010-02-09
2008,IT,B,67.9,33.87,70.8,NATIONAL,0,454,49,12.83,74,167,0,47.31,3.98,5.17,31.24,SOCIAL_PARTNER_REGISTRY,2010-03-10
2009,PT,M,17.56,25.68,62.52,MIXED,0,38,52,48.59,58,365,1,9.53,19.18,40.34,70.28,ILO_EXPORT,2010-04-08
2010,BE,C,100.0,35.46,55.59,COMPANY,0,274,4,3.2,39,473,1,32.13,9.51,2.46,77.65,EUROFOUND_EWCS,2010-05-07
2011,FI,N,100.0,60.94,62.14,SECTOR,0,520,57,34.18,38,448,1,12.27,8.36,42.14,54.56,NATIONAL_LABOUR_MINISTRY,2010-06-05
2012,LV,D,38.24,12.43,49.21,NATIONAL,0,165,36,3.69,8,347,0,20.25,12.65,2.68,65.19,SOCIAL_PARTNER_REGISTRY,2010-07-04
2013,RO,O,27.07,55.8,43.02,MIXED,0,82,84,38.7,69,215,1,18.45,16.22,43.48,64.19,ILO_EXPORT,2010-08-02
2014,BG,E,54.11,30.22,9.59,COMPANY,0,253,79,6.38,43,281,0,43.24,3.48,17.32,25.83,EUROFOUND_EWCS,2010-08-31
2015,FR,P,55.13,21.9,14.73,SECTOR,0,75,87,7.51,131,45,1,48.63,8.09,12.62,72.15,NATIONAL_LABOUR_MINISTRY,2010-09-29
2016,LT,F,72.81,38.93,9.86,NATIONAL,1,469,63,50.17,84,558,1,30.61,1.22,14.72,54.07,SOCIAL_PARTNER_REGISTRY,2010-10-28
2017,SK,Q,42.04,20.53,28.42,MIXED,0,198,62,44.39,68,435,0,66.77,17.0,20.55,54.53,ILO_EXPORT,2010-11-26
2018,HR,G,63.87,16.19,34.94,COMPANY,0,294,57,1.96,6,11,1,59.53,0.27,9.03,38.88,EUROFOUND_EWCS,2010-12-25
2019,DE,R,74.56,12.4,30.11,SECTOR,0,389,75,44.3,28,364,1,41.2,7.68,5.18,66.44,NATIONAL_LABOUR_MINISTRY,2011-01-23
2020,LU,H,50.26,49.32,57.64,NATIONAL,0,248,100,47.34,65,550,1,24.75,22.52,73.31,44.42,SOCIAL_PARTNER_REGISTRY,2011-02-21
