lab_lfs_reference_quarter,lab_lfs_country_iso2,lab_lfs_region_nuts_code,lab_lfs_age_group,lab_lfs_sex,lab_lfs_employment_status_code,lab_lfs_employed_count,lab_lfs_unemployed_count,lab_lfs_inactive_count,lab_lfs_unemployment_rate_pct,lab_lfs_long_term_unemployment_rate_pct,lab_lfs_youth_unemployment_rate_pct,lab_lfs_participation_rate_pct,lab_lfs_hours_worked_mean,lab_lfs_part_time_share_pct,lab_lfs_temporary_contract_share_pct,lab_lfs_self_employment_share_pct,lab_lfs_telework_share_pct,lab_lfs_eurostat_table_code,lab_lfs_data_extract_date
2013-Q1,AT,FI898,15_24,F,EMP,178747,53181,349782,22.93,9.66,35.54,39.87,19.01,34.81,28.1,17.83,11.71,lfsi_emp_q,2025-09-05
2013-Q2,EE,LV377,65_74,M,INA,78569,2689,561608,3.31,1.18,3.09,12.64,23.13,28.34,15.25,18.33,21.59,lfsa_egan_q,2024-01-10
2013-Q3,IT,NL849,55_64,X,UNE,1419448,139870,713077,8.97,5.12,6.68,68.62,17.65,17.39,23.48,21.67,24.54,lfsi_part_q,2024-12-19
2013-Q4,PT,AT47,45_54,F,EMP,2341158,132854,713326,5.37,1.77,4.2,77.62,31.98,17.17,16.19,11.93,10.6,lfsi_unemp_q,2024-07-09
2014-Q1,BE,CY19,35_44,M,INA,1792619,85648,347167,4.56,1.79,4.72,84.4,41.96,30.03,16.63,6.4,18.94,lfsi_emp_q,2025-03-02
2014-Q2,FI,AT3,25_34,X,UNE,214378,16857,94631,7.29,2.85,6.11,70.96,32.75,12.25,23.64,19.35,28.08,lfsa_egan_q,2024-07-15
2014-Q3,LV,AT5,15_24,F,EMP,736599,101588,1000346,12.12,3.48,18.79,45.59,17.64,17.19,30.01,7.34,21.37,lfsi_part_q,2025-05-13
2014-Q4,RO,ES121,65_74,M,INA,254535,5592,821934,2.15,0.66,1.83,24.04,41.17,18.37,16.96,7.78,4.32,lfsi_unemp_q,2024-08-23
2015-Q1,BG,GR5,55_64,X,UNE,684033,27020,309109,3.8,2.05,3.14,69.7,31.97,18.44,5.2,13.65,6.95,lfsi_emp_q,2024-02-05
2015-Q2,FR,BE505,45_54,F,EMP,1140930,110913,346526,8.86,5.57,6.24,78.32,32.35,16.36,6.66,13.47,14.66,lfsa_egan_q,2025-08-07
2015-Q3,LT,CY531,35_44,M,INA,2454855,177132,270833,6.73,2.5,6.18,90.67,35.96,10.73,23.66,16.29,20.5,lfsi_part_q,2024-08-03
2015-Q4,SK,IT454,25_34,X,UNE,1706345,268819,540327,13.61,5.08,8.37,78.52,39.99,18.37,9.72,12.56,21.83,lfsi_unemp_q,2026-02-15
2016-Q1,HR,FR8,15_24,F,EMP,250902,46445,278572,15.62,2.02,24.21,51.63,30.12,15.06,10.13,8.37,3.25,lfsi_emp_q,2025-09-25
2016-Q2,DE,NL6,65_74,M,INA,464791,7653,1602411,1.62,0.41,1.26,22.77,21.5,15.07,23.64,14.57,10.12,lfsa_egan_q,2025-04-16
2016-Q3,LU,RO893,55_64,X,UNE,1021670,98704,937246,8.81,1.64,8.43,54.45,19.46,26.35,22.62,11.45,11.7,lfsi_part_q,2025-04-25
2016-Q4,SI,AT149,45_54,F,EMP,636196,30745,173458,4.61,0.84,3.79,79.36,34.77,13.67,17.51,19.51,16.2,lfsi_unemp_q,2025-07-08
2017-Q1,CY,PL4,35_44,M,INA,2123234,150522,300987,6.62,1.61,4.05,88.31,41.21,33.43,6.96,7.58,10.49,lfsi_emp_q,2024-08-31
2017-Q2,GR,RO40,25_34,X,UNE,232948,28585,125751,10.93,3.92,11.17,67.53,20.69,31.84,14.27,14.01,12.36,lfsa_egan_q,2024-12-19
2017-Q3,MT,SI163,15_24,F,EMP,528085,99094,663047,15.8,6.67,24.49,48.61,19.01,20.81,6.69,16.05,20.17,lfsi_part_q,2025-05-21
2017-Q4,ES,AT463,65_74,M,INA,69415,1590,177613,2.24,0.31,1.38,28.56,31.18,29.27,27.72,8.83,18.57,lfsi_unemp_q,2025-09-22
2018-Q1,CZ,DK531,55_64,X,UNE,433827,30407,361365,6.55,1.4,4.18,56.23,24.01,17.31,18.27,13.26,23.23,lfsi_emp_q,2025-11-16
2018-Q2,HU,LU955,45_54,F,EMP,775806,88890,380366,10.28,1.63,10.63,69.45,22.94,20.45,21.02,7.73,11.94,lfsa_egan_q,2024-10-25
2018-Q3,NL,HU2,35_44,M,INA,673894,79818,230631,10.59,4.98,7.59,76.57,24.72,29.85,13.24,6.83,12.62,lfsi_part_q,2024-05-19
2018-Q4,SE,RO30,25_34,X,UNE,180216,12672,65952,6.57,1.12,4.02,74.52,28.31,28.98,10.25,20.83,16.22,lfsi_unemp_q,2025-12-20
2019-Q1,DK,RO2,15_24,F,EMP,765031,138299,1234223,15.31,2.31,23.73,42.26,28.14,36.4,13.56,16.95,28.44,lfsi_emp_q,2026-01-26
2019-Q2,IE,NL33,65_74,M,INA,51377,2704,340100,5.0,0.91,4.49,13.72,34.72,28.11,18.79,17.93,30.04,lfsa_egan_q,2024-03-12
2019-Q3,PL,LU1,55_64,X,UNE,1012064,67931,803170,6.29,2.21,5.31,57.35,38.99,26.23,10.9,18.77,14.88,lfsi_part_q,2024-07-06
2019-Q4,AT,HR32,45_54,F,EMP,208730,4848,72106,2.27,0.52,2.32,74.76,29.04,13.48,10.0,7.26,8.15,lfsi_unemp_q,2024-10-04
2020-Q1,EE,IT76,35_44,M,INA,1066299,129505,80809,10.83,3.7,8.71,93.67,32.95,9.61,23.96,20.76,9.52,lfsi_emp_q,2026-01-26
2020-Q2,IT,PT671,25_34,X,UNE,383147,84961,179702,18.15,6.38,12.89,72.26,38.46,26.82,11.83,23.22,10.25,lfsa_egan_q,2024-09-01
2020-Q3,PT,AT58,15_24,F,EMP,744518,216398,1043498,22.52,4.22,34.91,47.94,27.97,27.56,22.08,10.2,25.39,lfsi_part_q,2024-12-18
2020-Q4,BE,GR254,65_74,M,INA,142529,9875,1099889,6.48,1.03,5.97,12.17,41.24,16.21,17.99,8.87,16.17,lfsi_unemp_q,2024-12-21
