lab_skills_reference_year,lab_skills_country_iso2,lab_skills_region_nuts_code,lab_skills_occupation_isco_code,lab_skills_vacancies_count,lab_skills_vacancy_rate_pct,lab_skills_hard_to_fill_share_pct,lab_skills_time_to_hire_days_median,lab_skills_skill_cluster_code,lab_skills_training_places_count,lab_skills_reskilling_participants_count,lab_skills_migration_for_work_share_pct,lab_skills_qualification_mismatch_rate_pct,lab_skills_green_jobs_share_pct,lab_skills_digital_jobs_share_pct,lab_skills_ai_jobs_share_pct,lab_skills_wage_premium_pct,lab_skills_eures_job_postings_count,lab_skills_data_source,lab_skills_data_extract_date
2006,AT,FI898,1_MANAGERS,194946,6.62,67.35,22.61,ICT,124212,33825,16.57,29.42,12.65,24.5,7.51,4.04,205241,EURES_EXPORT,2025-01-14
2007,CZ,DK41,3_TECHNICIANS,138636,1.42,41.26,17.32,CONSTRUCTION,4648,31595,5.29,13.36,4.95,8.25,1.89,1.86,30878,PUBLIC_EMPLOYMENT_SERVICE,2024-07-10
2008,DE,PT238,5_SERVICE_SALES,10482,2.19,39.0,90.56,HOSPITALITY,241548,7454,11.18,23.12,12.36,7.09,1.68,17.84,57149,SECTOR_SKILLS_COUNCIL,2026-01-16
2009,LV,EE67,7_CRAFT,65906,4.0,41.84,34.25,EDUCATION,239741,82457,3.28,14.79,3.82,14.75,2.62,13.49,38530,VACANCY_SCRAPE_AGGREGATE,2025-08-17
2010,PL,NL882,9_ELEMENTARY,48320,4.59,43.22,81.15,AGRI,36585,73255,1.87,20.58,2.32,16.76,3.99,4.66,124587,EURES_EXPORT,2025-08-24
2011,ES,ES121,2_PROFESSIONALS,122149,1.67,29.77,17.57,GREEN_ENERGY,268700,2552,11.58,23.61,6.36,17.46,1.73,2.92,76442,PUBLIC_EMPLOYMENT_SERVICE,2024-04-01
2012,HR,SI62,4_CLERICAL,101150,5.43,17.86,61.44,HEALTH_CARE,350007,30604,6.63,24.66,1.21,11.12,3.66,10.21,175580,SECTOR_SKILLS_COUNCIL,2024-08-07
2013,FI,LT715,6_AGRI,153164,6.72,49.28,30.01,MANUFACTURING,265602,134541,12.82,20.71,4.29,10.39,4.06,6.28,150729,VACANCY_SCRAPE_AGGREGATE,2025-02-12
2014,IE,LV60,8_PLANT_MACHINE,40761,2.71,10.89,75.56,LOGISTICS,161788,4399,5.72,12.71,10.77,3.13,3.57,18.0,34630,EURES_EXPORT,2024-11-14
2015,MT,FI94,1_MANAGERS,121432,6.25,56.89,54.62,FINANCE,228478,97332,12.91,12.1,6.27,8.39,6.12,6.36,43546,PUBLIC_EMPLOYMENT_SERVICE,2025-08-30
2016,SK,RO893,3_TECHNICIANS,82829,1.72,17.81,83.58,PUBLIC_ADMIN,63511,99286,7.44,9.33,9.24,9.35,2.21,11.93,16505,SECTOR_SKILLS_COUNCIL,2025-09-04
2017,BE,ES776,5_SERVICE_SALES,139242,7.31,28.76,19.43,ICT,89555,138396,6.57,27.19,9.71,19.53,1.37,1.43,184429,VACANCY_SCRAPE_AGGREGATE,2025-03-12
2018,DK,DK3,7_CRAFT,254180,3.51,20.03,58.67,CONSTRUCTION,86749,70207,13.17,23.85,6.35,17.21,3.06,14.33,68575,EURES_EXPORT,2024-12-24
2019,GR,MT3,9_ELEMENTARY,76565,3.41,44.17,85.35,HOSPITALITY,159983,124701,16.45,8.34,7.01,22.16,3.06,18.74,629,PUBLIC_EMPLOYMENT_SERVICE,2025-06-04
2020,LT,FR875,2_PROFESSIONALS,50997,3.39,31.12,53.96,EDUCATION,214106,274127,1.91,20.09,15.08,19.26,3.14,17.97,116259,SECTOR_SKILLS_COUNCIL,2025-03-24
2021,PT,LU955,4_CLERICAL,41799,5.16,39.83,92.45,AGRI,50736,109923,7.96,23.48,6.0,22.57,0.63,16.74,139019,VACANCY_SCRAPE_AGGREGATE,2024-08-05
2022,SE,AT77,6_AGRI,122109,4.18,49.37,28.07,GREEN_ENERGY,221538,66849,1.49,36.81,19.57,26.96,9.27,9.59,30235,EURES_EXPORT,2024-06-02
2023,CY,GR487,8_PLANT_MACHINE,165913,9.22,62.32,98.34,HEALTH_CARE,364261,183681,3.95,18.48,15.64,5.5,1.35,23.14,129890,PUBLIC_EMPLOYMENT_SERVICE,2025-06-27
2024,FR,EE197,1_MANAGERS,207403,7.4,41.39,43.51,MANUFACTURING,189647,279579,8.91,23.0,11.08,17.73,5.99,3.23,75269,SECTOR_SKILLS_COUNCIL,2025-02-23
2025,IT,HR752,3_TECHNICIANS,93385,0.56,12.6,57.43,LOGISTICS,171352,89894,11.97,13.02,2.82,7.97,0.41,5.26,185026,VACANCY_SCRAPE_AGGREGATE,2024-03-10
2006,NL,IT76,5_SERVICE_SALES,52271,0.98,32.06,62.86,FINANCE,69113,114616,11.91,14.89,7.58,11.29,5.0,8.91,67989,EURES_EXPORT,2025-07-11
2007,SI,CY2,7_CRAFT,98370,2.96,21.69,24.19,PUBLIC_ADMIN,267463,121145,13.32,15.77,10.58,6.61,3.78,9.4,152418,PUBLIC_EMPLOYMENT_SERVICE,2025-04-29
2008,BG,LV6,9_ELEMENTARY,143817,3.41,24.4,54.16,ICT,311103,95877,1.66,23.91,2.02,12.07,4.49,19.15,175979,SECTOR_SKILLS_COUNCIL,2025-10-18
2009,EE,DK14,2_PROFESSIONALS,203607,7.71,12.07,60.62,CONSTRUCTION,68091,69523,3.04,17.58,7.05,16.83,1.27,2.14,101101,VACANCY_SCRAPE_AGGREGATE,2024-05-20
2010,HU,SE67,4_CLERICAL,26858,5.17,25.47,77.98,HOSPITALITY,48838,100932,13.18,25.35,3.66,13.41,2.03,15.01,96237,EURES_EXPORT,2024-04-10
2011,LU,MT232,6_AGRI,133722,3.95,55.48,79.85,EDUCATION,128517,124885,15.09,16.83,6.02,4.27,1.03,21.54,89246,PUBLIC_EMPLOYMENT_SERVICE,2025-08-15
2012,RO,PL359,8_PLANT_MACHINE,10076,0.98,17.76,42.04,AGRI,220868,10382,1.37,12.9,1.25,14.76,2.94,8.9,1654,SECTOR_SKILLS_COUNCIL,2025-09-30
2013,AT,HU26,1_MANAGERS,30867,2.18,20.45,54.55,GREEN_ENERGY,182002,126310,16.92,27.12,14.89,9.77,2.96,24.47,136130,VACANCY_SCRAPE_AGGREGATE,2024-12-14
2014,CZ,EE27,3_TECHNICIANS,174932,5.7,35.91,45.49,HEALTH_CARE,293167,101550,20.39,25.37,2.31,2.2,2.39,2.83,4321,EURES_EXPORT,2024-10-10
2015,DE,GR71,5_SERVICE_SALES,3597,7.26,43.01,42.8,MANUFACTURING,257380,130022,10.46,15.88,10.74,17.12,2.44,9.22,137942,PUBLIC_EMPLOYMENT_SERVICE,2024-08-15
2016,LV,FI207,7_CRAFT,31223,0.45,14.6,79.14,LOGISTICS,80334,7151,5.35,18.06,4.1,4.12,0.86,17.59,35223,SECTOR_SKILLS_COUNCIL,2024-08-27
2017,PL,MT188,9_ELEMENTARY,193206,3.33,40.24,24.69,FINANCE,111284,1770,8.86,17.23,5.22,14.33,1.39,2.25,52369,VACANCY_SCRAPE_AGGREGATE,2024-01-18
