lab_wages_reference_year,lab_wages_country_iso2,lab_wages_region_nuts_code,lab_wages_nace_section,lab_wages_occupation_isco_code,lab_wages_mean_hourly_earnings_eur,lab_wages_median_hourly_earnings_eur,lab_wages_wage_growth_pct,lab_wages_gender_pay_gap_unadjusted_pct,lab_wages_gender_pay_gap_adjusted_pct,lab_wages_collective_bargaining_coverage_pct,lab_wages_minimum_wage_level_eur_month,lab_wages_low_pay_share_pct,lab_wages_bonus_share_pct,lab_wages_inwork_poverty_rate_pct,lab_wages_labor_share_gdp_pct,lab_wages_unit_labor_cost_index,lab_wages_eurostat_table_code,lab_wages_revision_round,lab_wages_data_extract_date
2006,AT,FI898,A,1_MANAGERS,77.85,71.93,5.74,3.0,1.38,73.23,1710.69,20.66,2.69,6.07,50.48,95.16,earn_ses_hourly,FLASH,2024-08-30
2007,CZ,DK41,L,5_SERVICE_SALES,11.51,9.19,7.51,12.01,6.74,23.38,1520.17,19.83,10.36,10.32,53.69,89.46,earn_ses_annual,BENCHMARK,2025-01-05
2008,DE,PT238,B,9_ELEMENTARY,29.02,26.82,1.76,3.1,1.5,48.11,30.74,7.17,5.25,2.77,48.77,101.73,lfs_gpg,SECOND,2025-02-13
2009,LV,EE67,M,4_CLERICAL,33.76,27.53,-0.01,12.12,8.03,77.98,598.35,10.23,3.02,3.94,55.65,109.78,nama_10_lp_ulc,FIRST,2025-10-08
2010,PL,NL882,C,8_PLANT_MACHINE,10.36,8.12,7.8,4.31,3.08,18.25,272.62,23.22,1.73,4.93,57.16,90.78,earn_ses_hourly,FLASH,2026-02-04
2011,ES,ES121,N,3_TECHNICIANS,18.19,14.88,3.09,7.82,4.37,72.96,1360.87,10.81,3.15,3.11,54.68,107.18,earn_ses_annual,BENCHMARK,2025-10-31
2012,HR,SI62,D,7_CRAFT,36.24,33.62,5.72,16.28,11.08,75.36,973.9,19.07,9.24,12.58,65.71,84.85,lfs_gpg,SECOND,2025-11-06
2013,FI,LT715,O,2_PROFESSIONALS,23.22,20.64,5.58,18.82,7.63,39.21,29.33,15.79,1.36,2.14,48.17,117.63,nama_10_lp_ulc,FIRST,2024-11-04
2014,IE,LV60,E,6_AGRI,13.04,11.31,1.64,12.26,5.03,56.3,549.84,7.75,11.9,10.87,58.82,95.15,earn_ses_hourly,FLASH,2024-04-15
2015,MT,FI94,P,1_MANAGERS,23.63,21.43,5.75,8.9,5.34,67.77,1189.04,16.39,10.16,8.01,52.4,102.06,earn_ses_annual,BENCHMARK,2025-11-01
2016,SK,RO893,F,5_SERVICE_SALES,26.18,21.92,7.08,6.58,3.19,35.9,294.04,7.88,8.99,2.21,47.56,96.52,lfs_gpg,SECOND,2026-02-25
2017,BE,ES776,Q,9_ELEMENTARY,39.85,35.07,3.38,9.18,6.64,54.31,305.33,13.7,10.69,3.11,57.76,114.39,nama_10_lp_ulc,FIRST,2025-02-03
2018,DK,DK3,G,4_CLERICAL,25.83,21.7,7.21,4.52,1.62,22.98,1861.19,23.73,11.0,15.47,58.94,108.23,earn_ses_hourly,FLASH,2024-01-25
2019,GR,MT3,R,8_PLANT_MACHINE,39.84,32.16,2.93,7.15,2.66,30.73,1744.1,5.83,8.08,12.46,51.93,108.99,earn_ses_annual,BENCHMARK,2024-12-23
2020,LT,FR875,H,3_TECHNICIANS,50.06,42.64,4.42,18.39,9.24,62.83,1556.32,10.18,5.8,6.25,58.59,100.08,lfs_gpg,SECOND,2025-04-06
2021,PT,LU955,S,7_CRAFT,23.13,18.91,-1.34,17.17,11.51,49.35,1098.75,17.92,5.26,5.74,50.45,99.58,nama_10_lp_ulc,FIRST,2025-01-04
2022,SE,AT77,I,2_PROFESSIONALS,78.27,61.18,9.63,9.55,5.25,43.24,536.39,23.34,2.21,14.22,52.49,136.26,earn_ses_hourly,FLASH,2026-01-23
2023,CY,GR487,T,6_AGRI,22.56,20.48,5.18,11.48,8.38,55.47,1861.92,26.86,6.22,11.31,48.92,107.77,earn_ses_annual,BENCHMARK,2025-07-07
2024,FR,EE197,J,1_MANAGERS,70.36,55.62,6.57,11.65,7.96,76.29,9.85,9.94,14.34,11.88,50.08,113.99,lfs_gpg,SECOND,2024-09-27
2025,IT,HR752,U,5_SERVICE_SALES,21.85,20.28,1.67,14.15,9.24,47.99,1676.67,17.92,3.16,6.3,44.46,110.31,nama_10_lp_ulc,FIRST,2025-01-06
2006,NL,IT76,K,9_ELEMENTARY,18.34,14.45,2.43,15.2,7.01,16.7,1144.04,26.49,0.41,10.79,59.65,85.24,earn_ses_hourly,FLASH,2025-08-04
2007,SI,CY2,A,4_CLERICAL,31.42,27.52,-1.13,9.86,6.93,69.04,1648.35,10.5,6.77,5.04,62.21,100.91,earn_ses_annual,BENCHMARK,2026-01-20
2008,BG,LV6,L,8_PLANT_MACHINE,22.07,18.81,2.38,11.56,4.92,38.2,8.16,14.54,3.64,3.2,52.53,95.04,lfs_gpg,SECOND,2024-03-06
2009,EE,DK14,B,3_TECHNICIANS,39.91,34.35,-1.41,11.45,7.79,46.78,1463.81,13.72,4.04,6.37,50.37,114.12,nama_10_lp_ulc,FIRST,2025-02-25
2010,HU,SE67,M,7_CRAFT,30.54,24.17,1.8,13.86,8.87,76.65,1771.35,15.43,4.72,5.02,64.74,92.29,earn_ses_hourly,FLASH,2024-08-08
2011,LU,MT232,C,2_PROFESSIONALS,69.95,57.39,4.95,4.71,2.62,34.07,1226.08,17.54,13.67,4.4,53.61,120.38,earn_ses_annual,BENCHMARK,2024-04-12
2012,RO,PL359,N,6_AGRI,9.66,7.95,6.89,13.18,9.8,32.72,1118.03,11.96,9.71,6.84,58.33,111.37,lfs_gpg,SECOND,2024-06-16
2013,AT,HU26,D,1_MANAGERS,54.29,43.14,1.13,9.51,6.68,58.14,961.79,23.15,18.57,9.47,52.84,101.58,nama_10_lp_ulc,FIRST,2025-09-12
2014,CZ,EE27,O,5_SERVICE_SALES,12.3,11.41,2.46,4.31,2.8,72.18,932.48,15.05,7.01,6.26,52.93,98.63,earn_ses_hourly,FLASH,2024-01-30
2015,DE,GR71,E,9_ELEMENTARY,33.21,29.28,-1.02,16.6,7.26,31.71,1011.76,15.24,1.9,9.79,58.81,92.02,earn_ses_annual,BENCHMARK,2025-11-19
2016,LV,FI207,P,4_CLERICAL,20.71,16.26,7.35,2.38,1.64,17.23,849.99,23.09,9.05,12.06,56.72,99.48,lfs_gpg,SECOND,2025-01-18
