mig_asylum_reference_month,mig_asylum_host_country_iso2,mig_asylum_applicant_country_of_origin_iso2,mig_asylum_applicant_age_group,mig_asylum_applicant_sex,mig_asylum_application_type,mig_asylum_dublin_transfer_flag,mig_asylum_first_instance_decision_code,mig_asylum_first_instance_decision_count,mig_asylum_final_decision_code,mig_asylum_final_decision_count,mig_asylum_time_to_decision_days_median,mig_asylum_relocation_mechanism_flag,mig_asylum_resettlement_flag,mig_asylum_temporary_protection_flag,mig_asylum_reception_capacity_beds,mig_asylum_recognition_rate_pct,mig_asylum_eu_agency_support_flag,mig_asylum_eurostat_table_code,mig_asylum_data_extract_date
2018-01,AT,AL,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,61,REFUGEE_STATUS,46,53,0,0,0,131,35.58,1,migr_asyappctzm,2024-06-11
2018-02,EE,IQ,0-13,M,SUBSEQUENT,0,REJECTED,13,OTHER,10,21,0,0,0,345,26.1,0,migr_asyappctza,2025-06-15
2018-03,IT,PK,0-13,M,FAMILY_UNIT,1,OTHER,26,WITHDRAWN,15,57,0,1,0,134,5.82,1,migr_asydec1,2025-01-14
2018-04,PT,BY,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,17,REJECTED,14,45,0,1,0,115,74.37,0,migr_asytpsm,2025-03-15
2018-05,BE,IS,0-13,M,FIRST_TIME,0,WITHDRAWN,22,SUBSIDIARY_PROTECTION,15,35,1,0,0,182,45.7,0,migr_asydec2,2025-11-01
2018-06,FI,RU,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,22,REFUGEE_STATUS,13,25,0,0,0,301,45.67,0,migr_asyappctzm,2025-07-03
2018-07,LV,CN,0-13,M,FAMILY_UNIT,0,REJECTED,31,OTHER,27,42,0,0,0,241,41.39,1,migr_asyappctza,2025-09-30
2018-08,RO,KE,0-13,M,APPEAL_RELATED,0,OTHER,63,WITHDRAWN,47,37,0,0,0,230,64.44,0,migr_asydec1,2025-12-20
2018-09,BG,TN,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,48,REJECTED,41,40,0,0,0,208,20.88,0,migr_asytpsm,2025-01-23
2018-10,FR,EG,0-13,M,SUBSEQUENT,0,WITHDRAWN,43,SUBSIDIARY_PROTECTION,38,57,0,0,0,227,62.86,0,migr_asydec2,2024-02-19
2018-11,LT,MD,0-13,M,FAMILY_UNIT,1,REFUGEE_STATUS,19,REFUGEE_STATUS,13,32,0,0,0,189,37.99,0,migr_asyappctzm,2025-12-30
2018-12,SK,UA,0-13,M,APPEAL_RELATED,1,REJECTED,72,OTHER,40,36,0,0,1,212,50.65,1,migr_asyappctza,2026-02-16
2019-01,HR,GE,0-13,M,FIRST_TIME,0,OTHER,19,WITHDRAWN,8,58,0,0,1,246,11.52,0,migr_asydec1,2024-03-12
2019-02,DE,MK,0-13,M,SUBSEQUENT,0,SUBSIDIARY_PROTECTION,28,REJECTED,21,42,0,0,0,380,11.4,0,migr_asytpsm,2024-08-21
