mig_border_crossing_date,mig_border_border_section_id,mig_border_border_type_code,mig_border_host_country_iso2,mig_border_neighbor_country_iso2,mig_border_crossing_point_code,mig_border_transport_mode_code,mig_border_direction_code,mig_border_entry_exit_system_flag,mig_border_etias_flag,mig_border_visa_required_flag,mig_border_refusal_of_entry_count,mig_border_refusal_reason_code,mig_border_irregular_crossing_count,mig_border_apprehension_count,mig_border_returns_decision_count,mig_border_returns_effected_count,mig_border_frontex_operation_code,mig_border_data_source,mig_border_data_extract_date
2018-01-14,AT-HR-LAND-00000,LAND,AT,HR,ATHR00,ROAD,IN,0,1,0,9,DOCS_INVALID,10,6,4,2,POSEIDON,FRONTEX,2025-04-29
2018-01-21,CZ-DE-LAND-00001,LAND,CZ,DE,CZDE01,AIR,OUT,1,0,0,7,OTHER,3,1,2,2,INDALO,AIRPORT_AUTHORITY,2025-01-07
2018-01-28,DE-LU-LAND-00002,LAND,DE,LU,DELU02,SEA,IN,1,1,0,6,NO_VISA,4,4,3,2,THEMIS,EU_LISA,2025-05-05
2018-02-04,LV-SI-LAND-00003,LAND,LV,SI,LVSI03,RAIL,OUT,0,0,0,7,PUBLIC_HEALTH,13,12,4,3,MINERVA,PORT_AUTHORITY,2025-04-16
2018-02-11,PL-CN-LAND-00004,LAND,PL,CN,PLCN04,FOOT,IN,0,1,1,14,OVERSTAY_RISK,7,7,8,5,TRITON,NATIONAL_BORDER_GUARD,2025-11-26
2018-02-18,ES-IQ-LAND-00005,LAND,ES,IQ,ESIQ05,ROAD,OUT,1,0,1,7,SECURITY_ALERT,9,5,11,7,JOINT_OPS_OTHER,FRONTEX,2025-11-15
2018-02-25,HR-ME-LAND-00006,LAND,HR,ME,HRME06,AIR,IN,1,0,1,19,DOCS_INVALID,17,11,16,15,POSEIDON,AIRPORT_AUTHORITY,2025-07-12
2018-03-04,FI-SY-LAND-00007,LAND,FI,SY,FISY07,SEA,OUT,0,0,1,21,OTHER,12,9,10,6,INDALO,EU_LISA,2024-11-19
2018-03-11,IE-BE-LAND-00008,LAND,IE,BE,IEBE08,RAIL,IN,1,0,0,14,NO_VISA,16,8,15,13,THEMIS,PORT_AUTHORITY,2024-10-22
2018-03-18,MT-FI-LAND-00009,LAND,MT,FI,MTFI09,FOOT,OUT,0,0,0,19,PUBLIC_HEALTH,12,4,19,14,MINERVA,NATIONAL_BORDER_GUARD,2024-10-31
2018-03-25,SK-LV-LAND-00010,LAND,SK,LV,SKLV10,ROAD,IN,1,0,0,10,OVERSTAY_RISK,11,9,11,9,TRITON,FRONTEX,2025-12-14
2018-04-01,BE-RO-LAND-00011,LAND,BE,RO,BERO11,AIR,OUT,0,0,0,19,SECURITY_ALERT,18,17,23,13,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2025-09-06
2018-04-08,DK-BY-LAND-00012,LAND,DK,BY,DKBY12,SEA,IN,1,0,1,21,DOCS_INVALID,20,12,19,11,POSEIDON,EU_LISA,2024-07-17
2018-04-15,GR-GH-LAND-00013,LAND,GR,GH,GRGH13,RAIL,OUT,1,1,0,23,OTHER,19,10,19,15,INDALO,PORT_AUTHORITY,2025-03-24
2018-04-22,LT-MA-LAND-00014,LAND,LT,MA,LTMA14,FOOT,IN,0,1,1,16,NO_VISA,22,22,25,25,THEMIS,NATIONAL_BORDER_GUARD,2024-08-18
