mig_permits_reference_year,mig_permits_host_country_iso2,mig_permits_nuts_code,mig_permits_applicant_citizenship_iso2,mig_permits_permit_type_code,mig_permits_permit_reason_code,mig_permits_duration_months,mig_permits_first_permit_flag,mig_permits_renewal_flag,mig_permits_blue_card_flag,mig_permits_family_reunification_flag,mig_permits_student_permit_flag,mig_permits_seasonal_worker_flag,mig_permits_biometrics_collected_flag,mig_permits_processing_time_days_median,mig_permits_decision_outcome_code,mig_permits_appeal_lodged_flag,mig_permits_residence_permit_count,mig_permits_eurostat_table_code,mig_permits_data_extract_date
2010,AT,HR98,AT,D_VISA,WORK,1,0,1,0,0,0,1,1,35,GRANTED,0,8,migr_resvalid,2025-06-07
2011,CZ,SK28,GR,D_VISA,OTHER,9,1,0,0,0,0,0,1,8,WITHDRAWN,0,15,migr_resbc,2025-06-03
2012,DE,RO296,RO,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,32,PARTIALLY_GRANTED,0,28,migr_reslt,2025-12-16
2013,LV,GR5,EG,D_VISA,INVESTOR,1,1,0,0,1,0,0,1,23,REFUSED,1,29,migr_asyappctza,2024-11-26
2014,PL,CY11,MD,D_VISA,PROTECTION,9,0,1,0,0,0,0,1,35,PENDING,0,21,migr_resfirst,2025-02-10
2015,ES,ES586,UA,D_VISA,FAMILY,36,1,0,0,1,0,0,1,17,GRANTED,0,13,migr_resvalid,2025-11-24
2016,HR,LT7,FI,D_VISA,STUDY,1,1,0,0,0,1,0,0,16,WITHDRAWN,0,16,migr_resbc,2025-01-01
2017,FI,IE7,NL,D_VISA,WORK,9,1,0,0,0,0,0,1,18,PARTIALLY_GRANTED,0,28,migr_reslt,2025-05-31
2018,IE,CZ99,CH,D_VISA,OTHER,36,0,1,0,0,0,0,1,35,REFUSED,1,19,migr_asyappctza,2025-09-15
2019,MT,SE5,JP,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,34,PENDING,0,17,migr_resfirst,2024-08-13
2020,SK,IE258,SY,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,27,GRANTED,0,28,migr_resvalid,2024-12-04
2021,BE,AT35,CZ,D_VISA,PROTECTION,36,1,0,0,1,0,0,1,21,WITHDRAWN,0,34,migr_resbc,2025-04-25
2022,DK,BE945,LT,D_VISA,FAMILY,1,0,1,0,1,0,0,1,19,PARTIALLY_GRANTED,0,27,migr_reslt,2024-09-09
2023,GR,AT96,AL,D_VISA,STUDY,9,1,0,0,0,1,0,1,20,REFUSED,0,23,migr_asyappctza,2025-11-23
2024,LT,FI19,IQ,D_VISA,WORK,36,1,0,0,0,0,1,1,35,PENDING,0,17,migr_resfirst,2024-03-18
2025,PT,GR48,PK,D_VISA,OTHER,1,1,0,0,0,0,0,1,40,GRANTED,0,38,migr_resvalid,2026-02-23
2026,SE,CZ78,BG,D_VISA,RESEARCH,9,0,1,0,0,0,0,1,44,WITHDRAWN,0,21,migr_resbc,2024-06-20
2010,CY,CY244,IE,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,44,PARTIALLY_GRANTED,0,35,migr_reslt,2024-02-06
2011,FR,SI2,SI,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,25,REFUSED,1,30,migr_asyappctza,2026-01-29
2012,IT,CZ937,GE,D_VISA,FAMILY,9,1,0,0,1,0,0,1,51,PENDING,0,21,migr_resfirst,2024-12-06
2013,NL,LV288,MK,D_VISA,STUDY,36,0,1,0,0,0,0,1,45,GRANTED,0,46,migr_resvalid,2026-02-12
2014,SI,LU656,VN,D_VISA,WORK,1,1,0,0,0,0,0,1,27,WITHDRAWN,0,27,migr_resbc,2025-09-29
2015,BG,GR276,DE,D_VISA,OTHER,9,1,1,0,0,0,0,1,52,PARTIALLY_GRANTED,0,46,migr_reslt,2025-04-21
2016,EE,PL889,PT,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,35,REFUSED,0,45,migr_asyappctza,2024-09-22
2017,HU,LV2,DZ,D_VISA,INVESTOR,1,0,1,0,0,0,0,1,30,PENDING,0,37,migr_resfirst,2025-02-19
2018,LU,HU897,MA,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,34,GRANTED,0,36,migr_resvalid,2024-06-29
2019,RO,IT2,TR,D_VISA,FAMILY,36,1,0,0,1,0,0,1,56,WITHDRAWN,0,32,migr_resbc,2025-11-20
2020,AT,BG376,EE,D_VISA,STUDY,1,1,0,0,0,0,0,1,38,PARTIALLY_GRANTED,0,54,migr_reslt,2024-02-19
2021,CZ,SE137,MT,D_VISA,WORK,9,0,1,0,0,0,0,1,37,REFUSED,0,47,migr_asyappctza,2024-04-20
2022,DE,BE7,BY,D_VISA,OTHER,36,1,0,0,0,0,0,1,45,PENDING,0,44,migr_resfirst,2025-03-03
2023,LV,DE619,IS,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,51,GRANTED,0,43,migr_resvalid,2025-08-18
2024,PL,CY9,RU,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,63,WITHDRAWN,0,58,migr_resbc,2025-10-28
2025,ES,SK774,CY,D_VISA,PROTECTION,36,0,0,0,0,0,0,1,63,PARTIALLY_GRANTED,0,39,migr_reslt,2025-07-04
2026,HR,PT376,LV,D_VISA,FAMILY,1,1,0,0,1,0,0,1,53,REFUSED,0,44,migr_asyappctza,2024-06-14
2010,FI,CZ77,SE,D_VISA,STUDY,9,1,0,0,0,1,0,1,50,PENDING,0,35,migr_resfirst,2024-03-27
2011,IE,PL21,IN,D_VISA,WORK,36,1,0,0,0,0,0,1,62,GRANTED,0,42,migr_resvalid,2024-01-01
2012,MT,HR30,NO,D_VISA,OTHER,1,0,1,0,0,0,0,1,66,WITHDRAWN,0,50,migr_resbc,2025-03-02
2013,SK,SE544,BE,D_VISA,RESEARCH,9,1,1,0,1,0,0,1,59,PARTIALLY_GRANTED,0,60,migr_reslt,2024-07-31
2014,BE,GR80,HU,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,43,REFUSED,0,62,migr_asyappctza,2026-01-21
