ph_beh_reference_year,ph_beh_country_iso2,ph_beh_region_nuts_code,ph_beh_age_group,ph_beh_sex,ph_beh_smoking_rate_pct,ph_beh_alcohol_consumption_litres_per_capita,ph_beh_binge_drinking_rate_pct,ph_beh_physical_activity_rate_pct,ph_beh_sedentary_time_hours_day,ph_beh_healthy_diet_score,ph_beh_fruit_veg_daily_pct,ph_beh_ultra_processed_food_share_pct,ph_beh_sleep_quality_score,ph_beh_obesity_rate_pct,ph_beh_screen_time_hours_day,ph_beh_chronic_conditions_count_mean,ph_beh_ehis_table_code,ph_beh_survey_weight,ph_beh_data_extract_date
2006,AT,AT879,15_24,F,21.07,8.03,25.16,29.28,10.28,45.08,25.58,47.47,7.09,17.79,4.88,2.285,HLTH_EHIS_SMOK,0.5296,2025-06-22
2007,EE,SK9,55_64,M,13.87,2.7,13.55,34.85,9.0,61.18,33.48,22.23,5.65,28.57,3.02,1.837,HLTH_EHIS_DIET,1.0941,2025-02-22
2008,IT,CZ60,25_34,X,10.46,1.34,12.27,45.51,10.06,49.57,50.29,12.51,5.55,28.24,3.87,0.472,HLTH_EHIS_MH,0.2425,2024-09-14
2009,PT,RO207,65_74,F,19.89,7.18,4.61,64.62,5.27,55.04,43.94,50.02,6.29,30.79,5.44,1.179,HLTH_EHIS_ALCO,1.343,2024-03-11
2010,BE,LT84,35_44,M,28.52,14.71,27.34,58.83,10.82,47.15,42.39,16.49,5.69,28.61,4.69,0.355,HLTH_EHIS_PA,3.7799,2024-08-20
2011,FI,CZ1,75_PLUS,X,11.51,9.66,24.28,67.92,10.49,33.6,61.14,46.57,6.5,25.74,4.5,3.027,HLTH_EHIS_SMOK,2.686,2024-04-30
2012,LV,LT83,45_54,F,25.56,9.44,12.35,55.57,11.6,46.94,35.98,21.19,5.14,14.26,6.38,2.175,HLTH_EHIS_DIET,2.3888,2025-10-07
2013,RO,BG6,15_24,M,10.72,9.98,33.05,53.66,8.55,51.54,52.08,51.42,5.61,19.71,3.31,1.785,HLTH_EHIS_MH,2.1336,2025-02-22
2014,BG,HR22,55_64,X,28.91,2.15,6.93,66.75,6.5,67.75,26.96,30.61,7.74,30.77,3.77,1.57,HLTH_EHIS_ALCO,3.9196,2025-07-26
2015,FR,DK138,25_34,F,7.53,11.06,13.82,57.14,10.3,61.31,52.73,41.24,7.42,27.75,3.02,0.587,HLTH_EHIS_PA,2.7344,2024-05-14
2016,LT,IT7,65_74,M,18.19,11.6,23.23,40.15,5.27,71.66,45.67,24.96,6.85,30.98,7.21,2.544,HLTH_EHIS_SMOK,4.2407,2026-02-09
2017,SK,LT4,35_44,X,17.5,3.53,7.4,62.37,8.33,74.3,25.06,46.09,4.26,25.5,6.96,1.914,HLTH_EHIS_DIET,0.5092,2025-07-29
2018,HR,RO77,75_PLUS,F,19.35,3.72,20.15,51.28,5.22,60.21,67.57,55.07,5.4,36.68,3.87,2.111,HLTH_EHIS_MH,3.7733,2026-01-24
2019,DE,CZ64,45_54,M,17.16,7.38,28.93,24.66,8.86,38.21,61.75,19.07,4.86,22.93,8.18,1.313,HLTH_EHIS_ALCO,3.8006,2026-02-03
2020,LU,BE167,15_24,X,28.61,8.03,4.16,26.4,8.77,77.75,66.58,53.12,6.98,27.41,6.51,1.132,HLTH_EHIS_PA,4.5706,2026-02-07
2021,SI,RO8,55_64,F,29.69,2.14,10.84,60.76,9.92,63.83,45.94,52.73,7.79,23.23,6.2,1.541,HLTH_EHIS_SMOK,3.7145,2024-06-09
2022,CY,HU99,25_34,M,25.1,2.26,35.03,74.61,6.1,47.84,55.91,53.02,6.52,30.49,6.74,0.483,HLTH_EHIS_DIET,1.9586,2026-02-10
2023,GR,SE45,65_74,X,14.16,13.02,31.96,57.97,12.04,36.81,52.56,30.84,6.51,18.17,5.11,3.028,HLTH_EHIS_MH,1.715,2025-11-02
