ph_disease_report_week,ph_disease_country_iso2,ph_disease_region_nuts_code,ph_disease_pathogen_code,ph_disease_case_definition_code,ph_disease_cases_count,ph_disease_hospitalisations_count,ph_disease_icu_admissions_count,ph_disease_deaths_count,ph_disease_incidence_per_100k,ph_disease_test_positivity_pct,ph_disease_variant_lineage_code,ph_disease_vaccine_breakthrough_share_pct,ph_disease_outbreak_setting_code,ph_disease_contact_tracing_coverage_pct,ph_disease_time_to_report_days_median,ph_disease_ecdc_dataset_code,ph_disease_data_quality_flag,ph_disease_revision_round,ph_disease_data_extract_date
2014-W01,AT,AT879,SARS_COV_2,CONFIRMED,604,83,17,4,265.7,24.82,NONE,2.64,HOUSEHOLD,56.95,10.04,ECDC_TESSy,OK,FLASH,2025-03-18
2014-W02,EE,SK9,INFLUENZA_A,PROBABLE,2758,286,16,0,225.403,28.31,RSV_A,2.72,SCHOOL,58.88,11.95,ECDC_FOODBORNE,REVISED,BENCHMARK,2024-08-15
2014-W03,IT,CZ60,INFLUENZA_B,POSSIBLE,50,6,0,0,161.313,12.93,JN_1,3.91,WORKPLACE,88.5,2.46,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-12-25
2014-W04,PT,RO207,RSV,CONFIRMED,1908,63,13,0,186.885,16.36,BA_2,1.31,CARE_HOME,76.91,2.19,ECDC_AMR,IMPUTED,FIRST,2025-06-26
2014-W05,BE,LT84,NOROVIRUS,PROBABLE,3984,367,86,5,106.437,3.38,RSV_B,12.62,HOSPITAL,19.52,7.79,ECDC_VPD,CHECK,FLASH,2025-07-01
2014-W06,FI,CZ1,MEASLES,POSSIBLE,3949,108,27,4,37.624,5.23,FLU_H3N2,2.41,COMMUNITY,32.01,9.34,ECDC_TESSy,OK,BENCHMARK,2024-11-22
2014-W07,LV,LT83,PERTUSSIS,CONFIRMED,913,50,13,1,154.254,2.22,BA_5,5.83,TRAVEL_RELATED,48.51,7.28,ECDC_FOODBORNE,REVISED,SECOND,2025-04-17
2014-W08,RO,BG6,TB,PROBABLE,2520,406,126,14,65.982,7.56,OTHER,2.49,FOODBORNE,53.3,5.29,ECDC_RESPIRATORY,PARTIAL,FIRST,2025-12-11
2014-W09,BG,HR22,SALMONELLA,POSSIBLE,3497,250,33,2,183.514,10.55,FLU_H1N1,2.19,UNKNOWN,16.44,1.71,ECDC_AMR,IMPUTED,FLASH,2025-03-07
2014-W10,FR,DK138,LISTERIA,CONFIRMED,3178,439,78,8,237.747,18.5,XBB_1_5,2.97,HOUSEHOLD,41.08,14.17,ECDC_VPD,CHECK,BENCHMARK,2024-08-08
2014-W11,LT,IT7,SARS_COV_2,PROBABLE,2441,380,77,14,122.108,10.81,NONE,9.51,SCHOOL,38.65,11.95,ECDC_TESSy,OK,SECOND,2024-05-06
2014-W12,SK,LT4,INFLUENZA_A,POSSIBLE,1752,117,15,1,170.347,22.28,RSV_A,7.06,WORKPLACE,43.48,9.65,ECDC_FOODBORNE,REVISED,FIRST,2024-04-25
2014-W13,HR,RO77,INFLUENZA_B,CONFIRMED,441,46,6,1,188.656,23.69,JN_1,9.51,CARE_HOME,87.36,9.15,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-11-17
2014-W14,DE,CZ64,RSV,PROBABLE,2954,308,38,2,14.098,6.55,BA_2,0.54,HOSPITAL,70.26,3.69,ECDC_AMR,IMPUTED,BENCHMARK,2024-03-05
2014-W15,LU,BE167,NOROVIRUS,POSSIBLE,4496,538,97,12,53.451,16.43,RSV_B,9.14,COMMUNITY,61.99,2.35,ECDC_VPD,CHECK,SECOND,2025-03-03
2014-W16,SI,RO8,MEASLES,CONFIRMED,2899,354,93,10,243.897,9.25,FLU_H3N2,12.28,TRAVEL_RELATED,86.58,10.05,ECDC_TESSy,OK,FIRST,2026-01-26
2014-W17,CY,HU99,PERTUSSIS,PROBABLE,1213,36,4,1,84.395,11.26,BA_5,8.13,FOODBORNE,11.42,3.68,ECDC_FOODBORNE,REVISED,FLASH,2025-08-04
2014-W18,GR,SE45,TB,POSSIBLE,1232,269,99,13,36.767,12.66,OTHER,12.25,UNKNOWN,73.16,12.4,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2024-07-15
2014-W19,MT,DE4,SALMONELLA,CONFIRMED,1124,164,27,4,194.74,18.63,FLU_H1N1,0.05,HOUSEHOLD,31.49,4.1,ECDC_AMR,IMPUTED,SECOND,2025-09-30
2014-W20,ES,IT808,LISTERIA,PROBABLE,3347,396,39,7,68.666,20.44,XBB_1_5,7.84,SCHOOL,22.28,16.56,ECDC_VPD,CHECK,FIRST,2024-06-06
2014-W21,CZ,IE107,SARS_COV_2,POSSIBLE,955,149,47,2,18.497,31.01,NONE,45.47,WORKPLACE,45.58,1.66,ECDC_TESSy,OK,FLASH,2025-12-25
2014-W22,HU,DK29,INFLUENZA_A,CONFIRMED,927,146,37,7,50.408,3.33,RSV_A,7.86,CARE_HOME,80.9,12.89,ECDC_FOODBORNE,REVISED,BENCHMARK,2025-03-16
2014-W23,NL,SK3,INFLUENZA_B,PROBABLE,3459,259,30,6,17.198,22.46,JN_1,8.55,HOSPITAL,27.06,0.77,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-07-31
2014-W24,SE,IE5,RSV,POSSIBLE,1099,107,15,1,212.067,22.13,BA_2,12.6,COMMUNITY,57.48,3.32,ECDC_AMR,IMPUTED,FIRST,2025-03-09
2014-W25,DK,DE88,NOROVIRUS,CONFIRMED,2145,232,41,3,96.181,3.29,RSV_B,13.45,TRAVEL_RELATED,48.96,8.79,ECDC_VPD,CHECK,FLASH,2025-02-15
2014-W26,IE,EE32,MEASLES,PROBABLE,1159,93,16,2,109.874,6.18,FLU_H3N2,10.78,FOODBORNE,42.08,10.28,ECDC_TESSy,OK,BENCHMARK,2025-11-01
2014-W27,PL,CY31,PERTUSSIS,POSSIBLE,901,110,14,2,78.275,11.21,BA_5,13.07,UNKNOWN,59.16,1.59,ECDC_FOODBORNE,REVISED,SECOND,2025-07-09
2014-W28,AT,PT9,TB,CONFIRMED,3267,708,110,30,173.094,1.98,OTHER,11.33,HOUSEHOLD,54.73,5.24,ECDC_RESPIRATORY,PARTIAL,FIRST,2024-08-09
2014-W29,EE,SE4,SALMONELLA,PROBABLE,3607,266,67,7,148.642,3.04,FLU_H1N1,0.07,SCHOOL,65.21,1.32,ECDC_AMR,IMPUTED,FLASH,2025-06-27
2014-W30,IT,DK13,LISTERIA,POSSIBLE,995,38,6,1,130.408,17.95,XBB_1_5,5.06,WORKPLACE,100.0,9.86,ECDC_VPD,CHECK,BENCHMARK,2024-02-11
2014-W31,PT,LT174,SARS_COV_2,CONFIRMED,961,171,20,5,176.939,6.07,NONE,5.02,CARE_HOME,35.84,10.74,ECDC_TESSy,OK,SECOND,2025-06-30
2014-W32,BE,CY36,INFLUENZA_A,PROBABLE,581,20,4,0,103.234,16.44,RSV_A,3.59,HOSPITAL,18.89,13.79,ECDC_FOODBORNE,REVISED,FIRST,2025-04-24
2014-W33,FI,IE457,INFLUENZA_B,POSSIBLE,2170,350,32,7,107.837,17.61,JN_1,9.77,COMMUNITY,37.09,8.26,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-02-01
2014-W34,LV,AT653,RSV,CONFIRMED,3091,147,30,1,43.925,15.44,BA_2,1.74,TRAVEL_RELATED,49.91,3.34,ECDC_AMR,IMPUTED,BENCHMARK,2024-05-02
2014-W35,RO,FI91,NOROVIRUS,PROBABLE,1270,35,3,0,11.647,13.56,RSV_B,8.57,FOODBORNE,61.15,2.86,ECDC_VPD,CHECK,SECOND,2024-04-22
2014-W36,BG,LU815,MEASLES,POSSIBLE,1406,212,13,2,73.432,14.34,FLU_H3N2,10.05,UNKNOWN,26.66,2.13,ECDC_TESSy,OK,FIRST,2025-01-15
2014-W37,FR,FI152,PERTUSSIS,CONFIRMED,2890,272,45,10,223.671,10.08,BA_5,4.02,HOUSEHOLD,35.42,16.33,ECDC_FOODBORNE,REVISED,FLASH,2025-06-02
2014-W38,LT,BG68,TB,PROBABLE,1790,285,113,6,73.603,17.3,OTHER,11.56,SCHOOL,30.56,7.41,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2024-10-18
2014-W39,SK,BG14,SALMONELLA,POSSIBLE,1554,182,31,6,102.731,14.69,FLU_H1N1,1.26,WORKPLACE,74.97,5.06,ECDC_AMR,IMPUTED,SECOND,2025-08-02
2014-W40,HR,RO5,LISTERIA,CONFIRMED,1157,166,20,3,16.816,7.5,XBB_1_5,1.44,CARE_HOME,65.68,11.04,ECDC_VPD,CHECK,FIRST,2026-01-22
2014-W41,DE,HR9,SARS_COV_2,PROBABLE,1127,153,24,4,118.37,26.18,NONE,28.7,HOSPITAL,70.72,8.62,ECDC_TESSy,OK,FLASH,2025-12-16
2014-W42,LU,RO701,INFLUENZA_A,POSSIBLE,1491,79,18,4,98.252,26.41,RSV_A,0.13,COMMUNITY,73.52,12.17,ECDC_FOODBORNE,REVISED,BENCHMARK,2025-10-02
2014-W43,SI,ES781,INFLUENZA_B,CONFIRMED,307,24,4,0,31.423,27.24,JN_1,9.89,TRAVEL_RELATED,52.48,10.29,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-02-28
2014-W44,CY,PT49,RSV,PROBABLE,1836,293,45,9,191.456,20.78,BA_2,7.94,FOODBORNE,67.49,10.66,ECDC_AMR,IMPUTED,FIRST,2024-08-24
2014-W45,GR,GR429,NOROVIRUS,POSSIBLE,2081,162,23,1,217.031,8.92,RSV_B,0.62,UNKNOWN,77.04,17.3,ECDC_VPD,CHECK,FLASH,2024-11-01
2014-W46,MT,LV82,MEASLES,CONFIRMED,2375,208,26,5,151.181,0.54,FLU_H3N2,0.48,HOUSEHOLD,57.53,2.69,ECDC_TESSy,OK,BENCHMARK,2024-12-30
2014-W47,ES,PT99,PERTUSSIS,PROBABLE,286,36,3,0,139.852,5.05,BA_5,11.4,SCHOOL,55.18,5.83,ECDC_FOODBORNE,REVISED,SECOND,2024-03-16
2014-W48,CZ,NL72,TB,POSSIBLE,777,99,15,2,311.887,17.47,OTHER,8.32,WORKPLACE,77.19,12.35,ECDC_RESPIRATORY,PARTIAL,FIRST,2025-11-20
2014-W49,HU,IE9,SALMONELLA,CONFIRMED,2738,374,32,5,192.51,13.7,FLU_H1N1,7.52,CARE_HOME,18.98,11.48,ECDC_AMR,IMPUTED,FLASH,2025-03-03
2014-W50,NL,LU675,LISTERIA,PROBABLE,1101,101,23,4,38.055,21.48,XBB_1_5,10.71,HOSPITAL,33.11,3.85,ECDC_VPD,CHECK,BENCHMARK,2025-05-19
2014-W51,SE,SE3,SARS_COV_2,POSSIBLE,1158,113,27,1,78.446,24.19,NONE,43.64,COMMUNITY,81.88,7.22,ECDC_TESSy,OK,SECOND,2024-07-26
2014-W52,DK,LV19,INFLUENZA_A,CONFIRMED,1703,181,23,1,52.361,1.06,RSV_A,8.01,TRAVEL_RELATED,57.07,13.67,ECDC_FOODBORNE,REVISED,FIRST,2025-02-15
2015-W01,IE,SE97,INFLUENZA_B,PROBABLE,2029,232,21,4,64.205,3.35,JN_1,7.42,FOODBORNE,20.22,6.93,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-07-06
2015-W02,PL,DK68,RSV,POSSIBLE,1250,127,10,1,25.31,5.04,BA_2,3.43,UNKNOWN,63.87,1.36,ECDC_AMR,IMPUTED,BENCHMARK,2024-06-23
2015-W03,AT,LU83,NOROVIRUS,CONFIRMED,2050,188,35,3,22.6,16.53,RSV_B,3.24,HOUSEHOLD,34.48,6.44,ECDC_VPD,CHECK,SECOND,2024-07-29
2015-W04,EE,HU580,MEASLES,PROBABLE,1637,149,13,2,3.344,13.62,FLU_H3N2,5.15,SCHOOL,66.94,10.21,ECDC_TESSy,OK,FIRST,2026-01-18
2015-W05,IT,SK723,PERTUSSIS,POSSIBLE,909,94,9,0,62.695,6.92,BA_5,4.21,WORKPLACE,41.97,5.75,ECDC_FOODBORNE,REVISED,FLASH,2026-02-02
2015-W06,PT,LU41,TB,CONFIRMED,1228,104,37,6,84.703,3.21,OTHER,5.66,CARE_HOME,16.01,11.2,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2025-08-11
2015-W07,BE,HU43,SALMONELLA,PROBABLE,147,7,0,0,112.462,6.78,FLU_H1N1,8.55,HOSPITAL,51.61,6.89,ECDC_AMR,IMPUTED,SECOND,2025-03-13
2015-W08,FI,HR94,LISTERIA,POSSIBLE,201,27,5,0,165.836,20.03,XBB_1_5,3.07,COMMUNITY,40.85,12.25,ECDC_VPD,CHECK,FIRST,2024-02-19
2015-W09,LV,DK5,SARS_COV_2,CONFIRMED,833,80,16,2,146.436,18.48,NONE,38.97,TRAVEL_RELATED,40.44,4.39,ECDC_TESSy,OK,FLASH,2025-07-30
2015-W10,RO,IT2,INFLUENZA_A,PROBABLE,902,110,12,2,162.993,16.17,RSV_A,1.97,FOODBORNE,59.79,17.23,ECDC_FOODBORNE,REVISED,BENCHMARK,2024-06-26
2015-W11,BG,ES27,INFLUENZA_B,POSSIBLE,283,31,3,0,89.284,15.64,JN_1,9.85,UNKNOWN,43.07,3.24,ECDC_RESPIRATORY,PARTIAL,SECOND,2026-02-16
2015-W12,FR,CY2,RSV,CONFIRMED,471,51,7,1,35.762,29.9,BA_2,9.58,HOUSEHOLD,53.74,0.54,ECDC_AMR,IMPUTED,FIRST,2025-04-02
2015-W13,LT,MT524,NOROVIRUS,PROBABLE,858,124,26,5,39.085,1.53,RSV_B,6.03,SCHOOL,97.36,10.78,ECDC_VPD,CHECK,FLASH,2025-08-24
2015-W14,SK,LV13,MEASLES,POSSIBLE,1111,84,13,0,128.56,1.58,FLU_H3N2,1.42,WORKPLACE,33.42,4.54,ECDC_TESSy,OK,BENCHMARK,2025-10-07
2015-W15,HR,BG77,PERTUSSIS,CONFIRMED,872,90,17,1,83.403,4.91,BA_5,1.36,CARE_HOME,64.23,17.36,ECDC_FOODBORNE,REVISED,SECOND,2024-05-10
2015-W16,DE,SE205,TB,PROBABLE,1122,201,43,4,115.016,0.81,OTHER,5.43,HOSPITAL,57.9,2.95,ECDC_RESPIRATORY,PARTIAL,FIRST,2024-05-13
2015-W17,LU,LU965,SALMONELLA,POSSIBLE,984,48,7,1,138.44,1.22,FLU_H1N1,8.0,COMMUNITY,27.95,7.88,ECDC_AMR,IMPUTED,FLASH,2024-06-01
2015-W18,SI,ES39,LISTERIA,CONFIRMED,1418,143,12,1,173.637,3.81,XBB_1_5,0.62,TRAVEL_RELATED,47.13,2.69,ECDC_VPD,CHECK,BENCHMARK,2024-10-21
2015-W19,CY,ES421,SARS_COV_2,PROBABLE,1026,130,45,7,353.941,27.52,NONE,10.58,FOODBORNE,41.65,2.84,ECDC_TESSy,OK,SECOND,2025-08-28
2015-W20,GR,AT559,INFLUENZA_A,POSSIBLE,175,26,2,0,69.397,27.06,RSV_A,9.66,UNKNOWN,76.66,13.59,ECDC_FOODBORNE,REVISED,FIRST,2025-05-01
2015-W21,MT,EE519,INFLUENZA_B,CONFIRMED,138,4,0,0,106.847,30.51,JN_1,2.49,HOUSEHOLD,29.62,10.07,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-09-17
2015-W22,ES,CZ4,RSV,PROBABLE,945,33,5,0,3.771,5.34,BA_2,8.33,SCHOOL,41.47,1.79,ECDC_AMR,IMPUTED,BENCHMARK,2025-07-23
2015-W23,CZ,NL67,NOROVIRUS,POSSIBLE,217,33,2,0,79.037,20.69,RSV_B,0.95,WORKPLACE,99.07,12.14,ECDC_VPD,CHECK,SECOND,2025-08-09
2015-W24,HU,DE97,MEASLES,CONFIRMED,604,54,3,0,274.772,11.12,FLU_H3N2,12.44,CARE_HOME,75.51,6.56,ECDC_TESSy,OK,FIRST,2025-12-14
2015-W25,NL,HU34,PERTUSSIS,PROBABLE,1078,84,19,4,29.063,6.93,BA_5,5.82,HOSPITAL,68.57,3.22,ECDC_FOODBORNE,REVISED,FLASH,2024-05-27
2015-W26,SE,DK113,TB,POSSIBLE,281,37,9,1,53.757,6.04,OTHER,1.07,COMMUNITY,81.98,4.42,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2025-03-05
2015-W27,DK,LT9,SALMONELLA,CONFIRMED,526,68,12,3,184.843,17.21,FLU_H1N1,2.61,TRAVEL_RELATED,55.25,8.13,ECDC_AMR,IMPUTED,SECOND,2024-01-15
2015-W28,IE,GR1,LISTERIA,PROBABLE,239,26,6,0,39.279,15.01,XBB_1_5,10.56,FOODBORNE,67.92,17.28,ECDC_VPD,CHECK,FIRST,2024-10-07
2015-W29,PL,HU344,SARS_COV_2,POSSIBLE,1104,74,23,3,173.569,19.51,NONE,30.62,UNKNOWN,69.19,12.56,ECDC_TESSy,OK,FLASH,2025-02-16
2015-W30,AT,LT3,INFLUENZA_A,CONFIRMED,985,37,4,0,122.544,8.97,RSV_A,12.47,HOUSEHOLD,15.62,7.51,ECDC_FOODBORNE,REVISED,BENCHMARK,2024-06-23
2015-W31,EE,SK20,INFLUENZA_B,PROBABLE,281,33,8,2,88.201,25.03,JN_1,4.83,SCHOOL,53.64,5.44,ECDC_RESPIRATORY,PARTIAL,SECOND,2025-09-17
2015-W32,IT,FI92,RSV,POSSIBLE,48,3,0,0,33.188,1.6,BA_2,4.37,WORKPLACE,90.89,10.83,ECDC_AMR,IMPUTED,FIRST,2024-02-15
2015-W33,PT,PL82,NOROVIRUS,CONFIRMED,889,118,28,4,162.949,15.81,RSV_B,0.8,CARE_HOME,20.06,13.54,ECDC_VPD,CHECK,FLASH,2024-10-15
2015-W34,BE,IT558,MEASLES,PROBABLE,287,25,1,0,60.199,2.06,FLU_H3N2,10.65,HOSPITAL,17.18,12.36,ECDC_TESSy,OK,BENCHMARK,2025-12-25
2015-W35,FI,PL43,PERTUSSIS,POSSIBLE,1138,154,8,1,63.886,21.51,BA_5,12.69,COMMUNITY,74.6,9.74,ECDC_FOODBORNE,REVISED,SECOND,2024-01-06
2015-W36,LV,FI90,TB,CONFIRMED,207,33,7,1,54.758,6.25,OTHER,11.8,TRAVEL_RELATED,31.17,3.19,ECDC_RESPIRATORY,PARTIAL,FIRST,2024-03-30
2015-W37,RO,HU50,SALMONELLA,PROBABLE,758,94,16,4,152.027,4.05,FLU_H1N1,2.31,FOODBORNE,84.23,7.46,ECDC_AMR,IMPUTED,FLASH,2024-11-12
2015-W38,BG,DE993,LISTERIA,POSSIBLE,942,26,2,0,209.667,14.27,XBB_1_5,9.09,UNKNOWN,21.46,8.82,ECDC_VPD,CHECK,BENCHMARK,2024-07-24
2015-W39,FR,PL15,SARS_COV_2,CONFIRMED,915,168,22,1,76.067,22.32,NONE,56.26,HOUSEHOLD,60.68,6.24,ECDC_TESSy,OK,SECOND,2024-10-09
2015-W40,LT,FR89,INFLUENZA_A,PROBABLE,129,17,3,0,147.787,29.06,RSV_A,7.23,SCHOOL,65.13,15.44,ECDC_FOODBORNE,REVISED,FIRST,2024-05-31
2015-W41,SK,CZ54,INFLUENZA_B,POSSIBLE,554,51,9,2,119.645,29.26,JN_1,13.22,WORKPLACE,53.58,8.06,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-03-10
