ph_env_reference_year,ph_env_country_iso2,ph_env_region_nuts_code,ph_env_heatwave_days_count,ph_env_heat_related_mortality_count,ph_env_cold_spell_days_count,ph_env_air_pollution_attributable_deaths_count,ph_env_noise_exposure_l_den_share_pct,ph_env_urban_heat_island_index,ph_env_green_space_access_pct,ph_env_water_quality_compliance_pct,ph_env_bathing_water_quality_code,ph_env_chemical_exposure_indicator,ph_env_endocrine_disruptor_risk_index,ph_env_climate_adaptation_measures_count,ph_env_health_alert_system_flag,ph_env_data_source,ph_env_methodology_version,ph_env_revision_round,ph_env_data_extract_date
2006,AT,AT879,8,266,6,11065,16.53,3.65,56.71,96.0,EXCELLENT,66.99,62.14,45,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-10-30
2007,CZ,GR22,6,489,6,19440,16.94,5.11,76.26,83.77,GOOD,23.34,9.26,55,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-02-29
2008,DE,HU86,9,274,22,1265,9.71,2.66,39.34,84.3,SUFFICIENT,79.36,66.21,8,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-04-19
2009,LV,HU69,4,304,24,23835,35.75,5.47,82.38,79.46,POOR,43.78,42.32,9,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-07-11
2010,PL,LU32,5,134,3,19696,37.21,3.75,27.28,79.19,UNKNOWN,33.58,28.66,18,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-10-09
2011,ES,BG6,18,2059,0,4731,23.98,3.82,68.17,82.78,EXCELLENT,39.0,24.86,54,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-04-06
2012,HR,BG1,10,130,8,10417,24.74,4.98,80.76,74.55,GOOD,50.6,42.17,61,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-05-12
2013,FI,HR422,17,1829,10,34140,19.25,1.87,22.34,80.76,SUFFICIENT,54.9,78.21,46,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-01-30
2014,IE,IT28,20,737,2,22426,27.53,1.13,83.42,91.72,POOR,33.91,23.16,23,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-07-27
2015,MT,LT154,5,178,9,28814,21.24,4.98,25.29,83.86,UNKNOWN,28.47,20.96,61,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-12-18
2016,SK,BE167,12,2002,7,18368,19.12,2.39,36.56,93.46,EXCELLENT,21.2,21.39,67,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-09-28
2017,BE,EE4,15,269,22,5028,12.47,1.92,38.46,82.47,GOOD,20.05,64.87,44,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-03-06
2018,DK,SE710,21,67,20,28225,19.7,3.53,43.67,76.71,SUFFICIENT,66.08,58.36,58,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-09-06
2019,GR,PT1,11,840,5,20207,32.86,2.84,37.11,96.17,POOR,66.33,41.69,74,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-11-26
2020,LT,IE74,14,310,12,16401,27.09,5.97,33.63,79.84,UNKNOWN,56.53,42.89,52,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-12-17
2021,PT,DK29,17,614,4,33569,12.94,3.11,46.94,87.48,EXCELLENT,60.98,40.28,55,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-11-18
2022,SE,MT87,33,5578,14,16381,31.43,4.46,41.54,86.11,GOOD,69.09,69.79,61,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-08-28
2023,CY,AT890,9,1432,9,7706,20.08,6.13,41.13,99.02,SUFFICIENT,61.01,67.35,62,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-09-05
2024,FR,BG64,21,1592,9,28388,28.81,4.15,50.63,79.69,POOR,18.0,72.8,48,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-06-03
