ph_mental_reference_year,ph_mental_country_iso2,ph_mental_region_nuts_code,ph_mental_age_group,ph_mental_sex,ph_mental_depressive_symptoms_rate_pct,ph_mental_anxiety_rate_pct,ph_mental_wellbeing_index_score,ph_mental_self_harm_rate_per_100k,ph_mental_suicide_rate_per_100k,ph_mental_psych_services_access_rate_pct,ph_mental_waiting_time_days_median,ph_mental_antidepressant_use_did,ph_mental_sick_leave_due_to_mental_health_days,ph_mental_work_stress_index,ph_mental_loneliness_rate_pct,ph_mental_mental_health_strategy_flag,ph_mental_ehis_table_code,ph_mental_survey_weight,ph_mental_data_extract_date
2006,AT,AT879,15_24,F,22.1,5.89,29.04,109.99,3.31,37.58,79.16,25.27,8953,46.68,26.73,0,HLTH_EHIS_MH1,2.4263,2026-01-09
2007,EE,SK9,55_64,M,12.87,19.13,33.16,28.5,24.15,22.14,63.82,30.73,16599,38.24,23.18,0,HLTH_EHIS_MH2,4.6683,2025-05-22
2008,IT,CZ60,25_34,X,6.71,13.58,45.35,70.99,13.04,59.45,13.12,31.02,12447,25.08,26.66,0,HLTH_EHIS_MH3,3.9084,2024-07-01
2009,PT,RO207,65_74,F,15.86,16.02,52.23,48.76,18.88,32.4,35.98,141.02,7345,73.67,36.58,0,HLTH_EHIS_MH4,1.979,2024-06-21
2010,BE,LT84,35_44,M,18.76,16.39,41.86,41.65,5.0,67.32,90.18,43.07,1582,61.27,27.43,0,HLTH_EHIS_MH1,2.6741,2025-04-13
2011,FI,CZ1,75_PLUS,X,15.21,5.21,36.46,24.57,11.49,42.01,43.72,79.81,17953,43.02,35.79,0,HLTH_EHIS_MH2,0.6024,2025-09-23
2012,LV,LT83,45_54,F,16.9,9.36,45.76,66.2,12.07,58.92,31.03,104.46,6709,82.92,12.17,0,HLTH_EHIS_MH3,1.4308,2024-02-05
2013,RO,BG6,15_24,M,9.14,6.28,63.97,115.0,20.54,76.8,113.17,135.15,8516,29.76,17.21,1,HLTH_EHIS_MH4,2.2676,2024-08-26
2014,BG,HR22,55_64,X,8.51,13.82,61.2,29.89,4.85,29.61,16.59,115.82,11183,23.29,10.49,1,HLTH_EHIS_MH1,2.7461,2025-07-16
2015,FR,DK138,25_34,F,10.16,18.79,58.47,16.46,16.4,35.54,33.52,114.65,2305,51.48,9.71,0,HLTH_EHIS_MH2,4.0733,2025-03-18
2016,LT,IT7,65_74,M,8.48,16.71,40.64,61.41,25.23,80.27,87.06,95.46,8604,36.76,15.75,0,HLTH_EHIS_MH3,3.1676,2024-09-03
2017,SK,LT4,35_44,X,14.8,5.15,61.38,63.76,8.25,23.83,56.47,24.75,7671,19.85,7.04,1,HLTH_EHIS_MH4,4.4971,2024-02-25
2018,HR,RO77,75_PLUS,F,23.02,14.65,47.45,55.76,19.66,37.27,13.52,91.72,11585,38.18,10.47,1,HLTH_EHIS_MH1,3.5475,2024-10-02
2019,DE,CZ64,45_54,M,4.02,15.73,40.02,50.67,18.3,69.2,127.85,120.66,6370,60.97,27.74,1,HLTH_EHIS_MH2,3.6387,2024-09-02
