ph_vax_reference_year,ph_vax_country_iso2,ph_vax_region_nuts_code,ph_vax_vaccine_code,ph_vax_dose_number,ph_vax_target_age_group,ph_vax_coverage_pct,ph_vax_uptake_rate_pct,ph_vax_mandatory_policy_flag,ph_vax_certificate_policy_flag,ph_vax_supply_deliveries_doses,ph_vax_wastage_rate_pct,ph_vax_adverse_events_reports_count,ph_vax_seroprevalence_estimate_pct,ph_vax_misinformation_incident_index,ph_vax_campaign_spend_eur,ph_vax_joint_procurement_flag,ph_vax_data_source,ph_vax_methodology_version,ph_vax_data_extract_date
2006,AT,AT879,MMR,1,0_1,73.4,80.62,0,0,13942493,0.4,1387,41.91,30.93,78564088.2,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-05-18
2007,CZ,GR22,DTP,2,65_PLUS,72.03,78.0,1,0,15759871,6.21,13829,72.46,51.64,36778697.82,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-07-09
2008,DE,HU86,POLIO,3,25_64,62.3,55.63,0,0,164481,4.23,3735,63.36,34.64,56200118.83,0,HOUSEHOLD_SURVEY,VAX_V3,2025-05-31
2009,LV,HU69,HPV,4,16_24,45.38,45.06,0,0,1142554,6.47,5641,21.68,59.59,96247768.49,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-11-12
2010,PL,LU32,FLU_SEASONAL,1,12_15,58.2,49.47,0,0,2992914,6.81,7990,11.21,59.36,132629091.77,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-08-31
2011,ES,BG6,COVID_19,2,6_11,75.5,78.61,0,0,20802257,8.68,49305,89.76,42.18,98563890.47,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-11-21
2012,HR,BG1,PNEUMOCOCCAL,3,2_5,26.91,27.48,0,0,17188669,6.94,188,25.53,57.61,59957758.58,0,HOUSEHOLD_SURVEY,VAX_V1,2025-03-09
2013,FI,HR422,MENINGO,4,0_1,61.59,52.07,0,0,1305865,5.93,1114,35.77,6.07,59416775.99,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-10-02
2014,IE,IT28,HEP_B,1,65_PLUS,83.66,83.96,1,0,18269156,5.71,1585,37.46,47.94,48527068.75,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-09-21
2015,MT,LT154,VARICELLA,2,25_64,49.72,48.14,0,0,13612244,9.04,3303,36.19,73.21,83533269.49,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-03-04
2016,SK,BE167,MMR,3,16_24,67.46,74.18,1,0,6725423,6.91,390,17.18,31.61,48677543.05,0,HOUSEHOLD_SURVEY,VAX_V2,2025-05-03
2017,BE,EE4,DTP,4,12_15,57.45,64.78,1,0,3181404,4.58,3007,54.28,35.92,20955355.99,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-09-24
2018,DK,SE710,POLIO,1,6_11,91.13,81.16,1,0,18338051,4.1,7228,69.77,25.92,32510056.06,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-06-08
2019,GR,PT1,HPV,2,2_5,58.47,51.11,1,0,4904049,3.47,15299,43.3,16.38,98543814.81,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-10-29
2020,LT,IE74,FLU_SEASONAL,3,0_1,48.71,43.45,0,0,6203532,4.47,5268,23.35,18.75,54636726.03,0,HOUSEHOLD_SURVEY,VAX_V3,2025-05-08
2021,PT,DK29,COVID_19,4,65_PLUS,56.37,58.46,0,1,6589937,5.25,46165,13.9,47.02,33262448.08,1,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-11-21
2022,SE,MT87,PNEUMOCOCCAL,1,25_64,64.03,62.53,0,0,13131257,10.04,5253,46.8,43.53,90107215.65,1,ECDC_VACCINE_TRACKER,VAX_V2,2024-01-11
2023,CY,AT890,MENINGO,2,16_24,29.83,25.61,0,0,228383,4.9,7124,29.73,10.97,99594626.58,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-08-19
2024,FR,BG64,HEP_B,3,12_15,47.97,52.86,0,0,6413137,1.27,9745,99.9,46.81,67835245.21,0,HOUSEHOLD_SURVEY,VAX_V1,2024-05-30
2025,IT,CZ208,VARICELLA,4,6_11,54.94,59.46,0,0,12991270,8.99,1898,4.27,10.61,92762926.02,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-01-16
2006,NL,SE4,MMR,1,2_5,86.68,93.97,1,0,4149795,7.16,4124,42.83,65.75,85559981.5,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-10-31
2007,SI,FR2,DTP,2,0_1,81.8,81.84,1,0,14827651,0.43,10094,9.62,75.82,53380625.93,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2026-01-12
2008,BG,BE296,POLIO,3,65_PLUS,62.54,61.75,1,0,16153117,8.09,139,31.98,73.47,69473684.87,0,HOUSEHOLD_SURVEY,VAX_V2,2024-02-12
2009,EE,PT29,HPV,4,25_64,28.84,32.78,0,0,7198319,4.95,11880,34.11,35.69,18328404.99,1,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-11-13
2010,HU,SI4,FLU_SEASONAL,1,16_24,49.52,42.01,0,0,2075824,2.86,1104,8.42,17.34,90541250.52,0,ECDC_VACCINE_TRACKER,VAX_V1,2026-01-15
2011,LU,LU815,COVID_19,2,12_15,32.09,27.87,0,0,30562614,1.55,35559,36.85,7.28,54964502.23,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-12-08
2012,RO,GR20,PNEUMOCOCCAL,3,6_11,45.72,43.95,0,1,14357161,0.72,9655,54.34,47.67,19030699.86,0,HOUSEHOLD_SURVEY,VAX_V3,2025-07-24
2013,AT,HU240,MENINGO,4,2_5,41.43,38.89,0,0,2223735,8.41,12255,64.04,5.28,69570692.65,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2024-12-21
2014,CZ,SE363,HEP_B,1,0_1,54.39,48.69,1,0,3309001,2.34,6597,6.2,57.36,70284169.47,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-11-10
2015,DE,FI77,VARICELLA,2,65_PLUS,75.11,74.62,0,0,4771482,1.02,1951,57.43,73.41,62845338.02,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-08-16
2016,LV,ES781,MMR,3,25_64,52.97,54.07,1,0,11673579,2.08,1816,72.64,38.66,99889475.06,0,HOUSEHOLD_SURVEY,VAX_V1,2024-04-14
2017,PL,PL328,DTP,4,16_24,64.47,70.4,1,0,3108712,6.63,4244,67.64,50.55,41612167.29,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-06-19
2018,ES,DE6,POLIO,1,12_15,76.07,82.87,1,0,19062984,1.76,11034,41.23,41.81,34413388.92,0,ECDC_VACCINE_TRACKER,VAX_V3,2024-12-28
2019,HR,FI9,HPV,2,6_11,72.49,79.61,0,1,8883957,1.75,4979,18.16,53.24,38263895.34,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-10-19
2020,FI,IT343,FLU_SEASONAL,3,2_5,14.51,21.54,1,0,19948014,5.31,2875,46.84,67.56,112029123.19,1,HOUSEHOLD_SURVEY,VAX_V2,2024-05-05
2021,IE,LU675,COVID_19,4,0_1,23.27,29.59,0,0,28150583,2.63,2756,30.58,29.62,2528346.44,1,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-04-26
2022,MT,IT87,PNEUMOCOCCAL,1,65_PLUS,58.79,62.37,0,0,7446091,6.25,7917,70.93,42.2,100973490.13,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-05-01
2023,SK,EE31,MENINGO,2,25_64,46.7,47.23,1,0,3051839,7.31,14682,9.71,5.43,107319437.45,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-07-24
2024,BE,RO53,HEP_B,3,16_24,73.62,64.91,1,1,20303033,4.49,13987,63.19,70.7,105033990.25,0,HOUSEHOLD_SURVEY,VAX_V3,2026-02-12
2025,DK,HU905,VARICELLA,4,12_15,26.68,26.58,0,0,13702069,2.78,6501,52.68,51.56,3975184.15,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2026-02-22
2006,GR,SK723,MMR,1,6_11,87.11,86.76,1,0,15446144,2.88,2246,86.69,25.56,108446967.13,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-10-02
2007,LT,IT829,DTP,2,2_5,78.56,68.59,1,0,12311322,2.29,159,67.89,22.66,31157681.64,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-11-03
2008,PT,FI32,POLIO,3,0_1,75.57,67.88,0,0,8039446,6.12,12453,16.94,66.83,59266054.13,0,HOUSEHOLD_SURVEY,VAX_V1,2025-09-05
2009,SE,IT3,HPV,4,65_PLUS,55.98,52.91,0,0,18850804,6.77,2918,53.09,42.31,84024129.07,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-08-11
2010,CY,BE368,FLU_SEASONAL,1,25_64,22.62,23.35,0,0,31065859,1.08,13475,21.49,22.67,158225247.17,0,ECDC_VACCINE_TRACKER,VAX_V3,2024-05-05
2011,FR,CY2,COVID_19,2,16_24,63.08,57.95,0,1,16839678,10.18,41244,33.11,42.37,137117808.56,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-09-02
2012,IT,DK8,PNEUMOCOCCAL,3,12_15,35.99,38.93,0,0,16271152,0.74,3555,60.41,41.72,70346379.7,0,HOUSEHOLD_SURVEY,VAX_V2,2026-01-11
2013,NL,PL17,MENINGO,4,6_11,49.25,50.18,0,0,6909016,2.14,613,72.79,67.09,31443239.2,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2024-03-06
2014,SI,IE29,HEP_B,1,2_5,55.09,62.23,1,0,5503820,0.86,8878,88.7,32.09,26826319.25,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-10-16
2015,BG,PL98,VARICELLA,2,0_1,69.83,70.34,0,0,5907883,1.5,6300,23.28,8.87,57276664.72,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-11-11
2016,EE,ES421,MMR,3,65_PLUS,65.59,71.72,1,0,14032197,1.32,8588,85.4,51.58,51123435.15,0,HOUSEHOLD_SURVEY,VAX_V3,2025-09-26
2017,HU,FI3,DTP,4,25_64,55.67,47.01,0,0,16762777,4.09,8468,59.67,57.09,44660131.11,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-05-10
2018,LU,HR911,POLIO,1,16_24,74.4,67.41,1,0,13770993,0.93,3106,53.22,47.52,29980621.84,0,ECDC_VACCINE_TRACKER,VAX_V2,2026-01-27
2019,RO,CZ112,HPV,2,12_15,42.69,39.04,0,0,6696306,7.96,3379,70.3,55.55,43385659.43,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-03-30
2020,AT,ES7,FLU_SEASONAL,3,6_11,60.17,56.52,0,0,28343568,3.08,10147,20.33,33.01,180844280.24,0,HOUSEHOLD_SURVEY,VAX_V1,2024-03-11
2021,CZ,DK113,COVID_19,4,2_5,57.69,54.99,0,1,15708705,0.4,10847,73.06,11.51,279228781.99,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-03-24
2022,DE,FR982,PNEUMOCOCCAL,1,0_1,69.61,74.19,0,0,19321499,6.54,4778,17.95,50.89,83377376.32,1,ECDC_VACCINE_TRACKER,VAX_V3,2025-01-20
2023,LV,RO46,MENINGO,2,65_PLUS,46.03,41.05,0,0,12478994,5.28,10861,18.18,24.73,62540078.25,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-11-08
2024,PL,CY7,HEP_B,3,25_64,68.32,67.53,1,0,14125852,9.19,6788,67.37,63.06,77031609.91,0,HOUSEHOLD_SURVEY,VAX_V2,2024-01-25
2025,ES,HR76,VARICELLA,4,16_24,44.36,45.89,0,0,14679601,4.98,2358,63.88,52.41,57177108.17,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2026-01-14
2006,HR,PL82,MMR,1,12_15,73.45,73.26,0,0,10962208,6.35,9738,35.4,53.43,21532797.29,0,ECDC_VACCINE_TRACKER,VAX_V1,2026-01-16
2007,FI,PT6,DTP,2,6_11,78.9,80.13,1,0,21221570,10.28,1510,69.73,70.55,71597499.52,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-06-16
2008,IE,NL7,POLIO,3,2_5,81.08,82.68,1,0,627177,4.29,2036,66.18,13.98,30469949.39,0,HOUSEHOLD_SURVEY,VAX_V3,2025-09-16
2009,MT,RO88,HPV,4,0_1,35.76,36.77,0,0,14117018,2.47,14118,7.39,97.03,88620231.76,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2024-10-20
2010,SK,LT81,FLU_SEASONAL,1,65_PLUS,40.0,47.39,0,0,20290115,7.93,12065,26.95,41.62,37039324.79,0,ECDC_VACCINE_TRACKER,VAX_V2,2025-10-04
2011,BE,FR89,COVID_19,2,25_64,23.84,24.24,0,0,19810197,6.29,2584,57.28,18.9,202339978.7,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-01-25
2012,DK,IE58,PNEUMOCOCCAL,3,16_24,40.9,33.25,0,0,8626728,8.71,14566,24.04,64.06,108594961.36,0,HOUSEHOLD_SURVEY,VAX_V1,2025-07-18
2013,GR,AT41,MENINGO,4,12_15,38.79,32.29,0,0,14571626,9.1,1022,10.17,14.87,73527160.44,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-06-14
2014,LT,CZ2,HEP_B,1,6_11,66.26,67.37,0,0,9985102,5.53,9707,75.98,28.23,73542948.94,1,ECDC_VACCINE_TRACKER,VAX_V3,2024-12-31
2015,PT,DE58,VARICELLA,2,2_5,67.96,66.14,0,0,11510596,2.5,5030,8.59,50.63,38372264.32,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-04-14
2016,SE,BE3,MMR,3,0_1,66.43,68.68,0,0,18514860,6.09,4014,89.11,74.25,27193466.73,0,HOUSEHOLD_SURVEY,VAX_V2,2025-11-26
2017,CY,CY907,DTP,4,65_PLUS,83.05,83.11,1,1,12459475,0.96,11777,31.84,27.54,20571248.0,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2024-01-28
2018,FR,GR743,POLIO,1,25_64,66.87,66.55,1,0,337542,0.48,11436,61.58,21.0,69634134.27,0,ECDC_VACCINE_TRACKER,VAX_V1,2024-04-13
2019,IT,LT957,HPV,2,16_24,55.56,58.83,0,0,18696562,5.64,2405,13.21,93.39,28080874.71,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-03-20
2020,NL,EE142,FLU_SEASONAL,3,12_15,24.21,25.49,0,0,11504602,9.34,3696,56.29,60.13,172309786.63,1,HOUSEHOLD_SURVEY,VAX_V3,2024-10-21
2021,SI,DK898,COVID_19,4,6_11,20.63,28.34,0,1,23551915,2.78,19274,39.56,53.49,101137558.32,1,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-07-04
2022,BG,IT41,PNEUMOCOCCAL,1,2_5,76.35,76.43,0,0,1145998,3.5,18279,38.48,74.71,40507964.67,1,ECDC_VACCINE_TRACKER,VAX_V2,2025-03-06
2023,EE,PL671,MENINGO,2,0_1,53.81,47.59,0,0,20812369,5.44,13947,74.53,32.19,52293262.39,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-06-30
2024,HU,LU72,HEP_B,3,65_PLUS,66.68,58.55,0,0,20392230,9.34,773,74.6,68.45,43965732.55,0,HOUSEHOLD_SURVEY,VAX_V1,2025-11-10
2025,LU,ES171,VARICELLA,4,25_64,45.75,36.97,0,0,16025391,2.67,4669,39.76,47.95,98231928.83,1,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-01-03
2006,RO,DE305,MMR,1,16_24,75.97,67.58,1,0,2828754,3.72,14199,51.44,8.38,50698964.58,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-03-08
2007,AT,RO7,DTP,2,12_15,79.64,80.7,0,0,13021000,9.47,13425,22.65,12.37,50040542.5,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2024-03-28
2008,CZ,EE764,POLIO,3,6_11,75.64,73.58,0,0,20830591,3.0,2147,43.3,16.26,51030326.81,0,HOUSEHOLD_SURVEY,VAX_V2,2026-02-07
2009,DE,DK937,HPV,4,2_5,55.46,56.5,0,0,5925374,3.57,8742,7.74,55.65,105152082.26,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2024-01-07
2010,LV,PL57,FLU_SEASONAL,1,0_1,14.43,16.72,0,0,11222496,5.07,6681,36.36,27.75,95127939.25,0,ECDC_VACCINE_TRACKER,VAX_V1,2024-10-10
2011,PL,RO680,COVID_19,2,65_PLUS,41.28,33.1,0,0,6208186,2.45,5355,99.9,49.6,214900078.95,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-02-18
2012,ES,PT55,PNEUMOCOCCAL,3,25_64,22.82,12.92,0,0,5938515,8.21,5832,16.92,16.71,49774206.04,0,HOUSEHOLD_SURVEY,VAX_V3,2025-04-12
2013,HR,ES43,MENINGO,4,16_24,30.8,38.17,0,0,16395887,8.88,150,75.32,52.17,47923857.85,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-04-05
2014,FI,PL30,HEP_B,1,12_15,86.1,81.99,1,0,20943170,4.94,14536,84.36,49.04,44691428.22,0,ECDC_VACCINE_TRACKER,VAX_V2,2025-02-18
2015,IE,DE462,VARICELLA,2,6_11,40.13,37.68,0,0,5168536,4.35,8785,18.5,68.57,98709709.84,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2026-01-24
2016,MT,BG322,MMR,3,2_5,95.95,95.19,0,0,17371198,9.2,8850,89.58,70.12,96819662.98,1,HOUSEHOLD_SURVEY,VAX_V1,2024-07-04
2017,SK,ES386,DTP,4,0_1,80.64,73.69,1,0,16731625,3.56,2375,42.52,19.02,11408333.48,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-05-15
2018,BE,SI72,POLIO,1,65_PLUS,66.72,70.57,1,0,11544277,3.38,3795,11.2,13.26,12872636.04,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-01-05
2019,DK,HU29,HPV,2,25_64,30.46,35.1,0,0,19952731,10.03,9986,27.66,29.78,48352213.03,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-09-18
2020,GR,RO34,FLU_SEASONAL,3,16_24,28.44,23.61,0,0,27477941,3.46,3271,22.92,72.07,99404477.48,0,HOUSEHOLD_SURVEY,VAX_V2,2025-04-21
2021,LT,FR431,COVID_19,4,12_15,59.53,66.41,0,1,27514600,6.6,46765,13.86,74.82,9943532.53,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-07-09
2022,PT,CZ516,PNEUMOCOCCAL,1,6_11,51.48,56.54,0,0,1935347,1.95,9713,13.72,21.33,33465547.66,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-02-24
2023,SE,BE364,MENINGO,2,2_5,66.57,59.89,0,0,13499899,6.05,12529,39.45,59.96,1170168.45,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-07-28
2024,CY,AT721,HEP_B,3,0_1,87.64,82.32,0,0,3482743,5.64,11459,99.9,66.97,67729104.54,0,HOUSEHOLD_SURVEY,VAX_V3,2024-02-09
2025,FR,IT903,VARICELLA,4,65_PLUS,57.2,57.2,0,0,20016764,1.41,3078,48.04,46.42,94076786.79,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2024-07-27
2006,IT,ES369,MMR,1,25_64,66.37,63.95,1,0,833671,0.98,5223,12.61,24.06,23263021.5,0,ECDC_VACCINE_TRACKER,VAX_V2,2025-11-07
2007,NL,CY13,DTP,2,16_24,61.22,60.57,1,0,8034891,10.64,15294,69.48,73.88,65411653.33,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-11-07
2008,SI,SE16,POLIO,3,12_15,82.74,77.84,1,0,7240142,1.43,9947,8.48,13.26,55314014.63,0,HOUSEHOLD_SURVEY,VAX_V1,2025-12-24
2009,BG,HR253,HPV,4,6_11,37.98,42.24,0,1,18018515,7.47,13184,26.11,39.37,10865606.56,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-06-15
2010,EE,BG381,FLU_SEASONAL,1,2_5,61.0,60.41,0,0,12898837,0.23,854,26.47,26.53,16511450.72,0,ECDC_VACCINE_TRACKER,VAX_V3,2024-05-08
2011,HU,EE27,COVID_19,2,0_1,35.4,32.53,0,0,25887875,5.5,20569,49.59,39.86,167305210.34,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2024-11-10
2012,LU,MT1,PNEUMOCOCCAL,3,65_PLUS,51.57,52.24,0,0,16903985,5.06,10106,21.95,11.68,63510306.02,0,HOUSEHOLD_SURVEY,VAX_V2,2024-04-10
2013,RO,GR27,MENINGO,4,25_64,64.95,58.47,0,0,14692536,8.31,2977,63.16,11.37,38909157.06,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2024-04-14
2014,AT,MT367,HEP_B,1,16_24,73.0,66.56,0,0,16926402,0.27,14471,13.87,12.86,35252158.69,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-10-07
2015,CZ,HR733,VARICELLA,2,12_15,79.41,86.42,0,1,4008745,7.24,13234,30.43,18.44,41773587.93,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-03-02
2016,DE,FI133,MMR,3,6_11,78.81,72.96,1,0,6934189,7.36,2865,43.23,29.31,94309909.73,0,HOUSEHOLD_SURVEY,VAX_V3,2025-11-01
2017,LV,BE4,DTP,4,2_5,92.14,98.55,1,0,12412896,8.99,4330,30.57,73.68,83751139.44,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-10-20
2018,PL,BE8,POLIO,1,0_1,83.67,87.82,0,0,7292051,8.37,8324,58.64,5.36,30575166.89,0,ECDC_VACCINE_TRACKER,VAX_V2,2025-07-17
2019,ES,IE98,HPV,2,65_PLUS,53.23,56.72,0,0,10072571,1.49,4256,38.0,24.7,23668240.02,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-10-23
2020,HR,MT46,FLU_SEASONAL,3,25_64,15.12,22.35,0,0,19336254,0.51,3732,69.73,45.91,41388949.09,1,HOUSEHOLD_SURVEY,VAX_V1,2024-02-09
2021,FI,RO78,COVID_19,4,16_24,34.21,39.22,0,1,7752289,7.74,58893,44.52,52.66,193368173.03,1,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-07-25
2022,IE,AT7,PNEUMOCOCCAL,1,12_15,53.11,55.3,0,0,5046966,3.87,5811,7.03,29.03,36069810.78,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-03-25
2023,MT,RO692,MENINGO,2,6_11,53.07,55.09,0,0,18579846,4.09,15375,31.93,57.55,20041713.29,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-11-23
2024,SK,PL46,HEP_B,3,2_5,70.86,69.82,1,0,18957399,2.4,10589,55.12,13.88,31292291.46,0,HOUSEHOLD_SURVEY,VAX_V2,2025-04-22
2025,BE,PT15,VARICELLA,4,0_1,33.2,25.53,0,0,2383714,5.14,10148,59.87,67.77,65311076.93,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2026-01-04
2006,DK,FI75,MMR,1,65_PLUS,83.87,80.17,0,0,3047950,6.68,13660,67.63,11.51,31543479.08,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-07-08
2007,GR,PL533,DTP,2,25_64,63.64,66.56,1,0,2615117,2.63,209,28.35,44.55,91517512.24,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-11-12
2008,LT,IT812,POLIO,3,16_24,68.88,60.52,1,0,2081143,4.03,6187,10.73,21.86,42277336.72,0,HOUSEHOLD_SURVEY,VAX_V3,2024-10-12
2009,PT,HU3,HPV,4,12_15,46.44,53.54,0,0,21191222,4.15,11312,10.9,78.2,76100408.02,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-06-20
2010,SE,NL36,FLU_SEASONAL,1,6_11,55.49,49.17,0,0,9432277,10.7,6930,61.29,45.28,51409927.68,0,ECDC_VACCINE_TRACKER,VAX_V2,2025-03-17
2011,CY,ES88,COVID_19,2,2_5,53.3,59.41,0,0,29124510,6.46,9722,91.91,41.81,185257164.57,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2026-01-22
2012,FR,SK1,PNEUMOCOCCAL,3,0_1,64.62,63.93,0,0,4276341,1.54,5193,55.05,13.76,51632524.11,0,HOUSEHOLD_SURVEY,VAX_V1,2025-12-11
